"Date","M1018AUSM144NNBR"
1934-01-01,0
1934-02-01,0
1934-03-01,0
1934-04-01,0
1934-05-01,8
1934-06-01,0
1934-07-01,31
1934-08-01,6
1934-09-01,4
1934-10-01,20
1934-11-01,6
1934-12-01,19
1935-01-01,19
1935-02-01,1
1935-03-01,0
1935-04-01,7
1935-05-01,18
1935-06-01,0
1935-07-01,4
1935-08-01,25
1935-09-01,9
1935-10-01,56
1935-11-01,12
1935-12-01,41
1936-01-01,13
1936-02-01,8
1936-03-01,25
1936-04-01,26
1936-05-01,1
1936-06-01,56
1936-07-01,13
1936-08-01,23
1936-09-01,3
1936-10-01,13
1936-11-01,10
1936-12-01,11
1937-01-01,27
1937-02-01,14
1937-03-01,11
1937-04-01,9
1937-05-01,1
1937-06-01,17
1937-07-01,41
1937-08-01,2
1937-09-01,5
1937-10-01,18
1937-11-01,0
1937-12-01,2
1938-01-01,0
1938-02-01,8
1938-03-01,3
1938-04-01,3
1938-05-01,12
1938-06-01,40
1938-07-01,14
1938-08-01,37
1938-09-01,6
1938-10-01,64
1938-11-01,13
1938-12-01,24
1939-01-01,3
1939-02-01,11
1939-03-01,7
1939-04-01,6
1939-05-01,0
1939-06-01,6
1939-07-01,21
1939-08-01,7
1939-09-01,5
1939-10-01,17
1939-11-01,9
1939-12-01,4
1940-01-01,20
1940-02-01,36
1940-03-01,6
1940-04-01,70
1940-05-01,7
1940-06-01,7
1940-07-01,5
1940-08-01,18
1940-09-01,6
1940-10-01,4
1940-11-01,7
1940-12-01,7
1941-01-01,7
1941-02-01,18
1941-03-01,17
1941-04-01,7
1941-05-01,6
1941-06-01,17
1941-07-01,12
1941-08-01,19
1941-09-01,3
1941-10-01,19
1941-11-01,22
1941-12-01,23
1942-01-01,9
1942-02-01,14
1942-03-01,16
1942-04-01,36
1942-05-01,52
1942-06-01,13
1942-07-01,8
1942-08-01,NA
1942-09-01,24
1942-10-01,NA
1942-11-01,1
1942-12-01,NA
1943-01-01,1
1943-02-01,3
1943-03-01,8
1943-04-01,2
1943-05-01,3
1943-06-01,3
1943-07-01,22
1943-08-01,9
1943-09-01,6
1943-10-01,23
1943-11-01,7
1943-12-01,12
1944-01-01,4
1944-02-01,12
1944-03-01,8
1944-04-01,4
1944-05-01,7
1944-06-01,23
1944-07-01,12
1944-08-01,3
1944-09-01,9
1944-10-01,10
1944-11-01,1
1944-12-01,3
1945-01-01,1
1945-02-01,8
1945-03-01,11
1945-04-01,19
1945-05-01,19
1945-06-01,5
1945-07-01,17
1945-08-01,56
1945-09-01,12
1945-10-01,53
1945-11-01,35
1945-12-01,32
1946-01-01,15
1946-02-01,19
1946-03-01,19
1946-04-01,108
1946-05-01,46
1946-06-01,82
1946-07-01,82
1946-08-01,69
1946-09-01,33
1946-10-01,70
1946-11-01,21
1946-12-01,47
1947-01-01,18
1947-02-01,32
1947-03-01,23
1947-04-01,108
1947-05-01,43
1947-06-01,42
1947-07-01,41
1947-08-01,35
1947-09-01,37
1947-10-01,43
1947-11-01,26
1947-12-01,76
1948-01-01,49
1948-02-01,45
1948-03-01,40
1948-04-01,73
1948-05-01,63
1948-06-01,76
1948-07-01,164
1948-08-01,12
1948-09-01,61
1948-10-01,25
1948-11-01,30
1948-12-01,84
1949-01-01,28
1949-02-01,101
1949-03-01,64
1949-04-01,167
1949-05-01,74
1949-06-01,127
1949-07-01,45
1949-08-01,34
1949-09-01,65
1949-10-01,86
1949-11-01,40
1949-12-01,120
1950-01-01,102
1950-02-01,33
1950-03-01,34
1950-04-01,74
1950-05-01,148
1950-06-01,120
1950-07-01,83
1950-08-01,29
1950-09-01,68
1950-10-01,123
1950-11-01,36
1950-12-01,133
1951-01-01,36
1951-02-01,29
1951-03-01,78
1951-04-01,91
1951-05-01,38
1951-06-01,70
1951-07-01,23
1951-08-01,41
1951-09-01,20
1951-10-01,79
1951-11-01,47
1951-12-01,40
1952-01-01,12
1952-02-01,12
1952-03-01,28
1952-04-01,83
1952-05-01,43
1952-06-01,34
1952-07-01,20
1952-08-01,14
1952-09-01,23
1952-10-01,159
1952-11-01,47
1952-12-01,71
1953-01-01,31
1953-02-01,31
1953-03-01,41
1953-04-01,31
1953-05-01,84
1953-06-01,88
1953-07-01,22
1953-08-01,28
1953-09-01,58
1953-10-01,26
1953-11-01,24
1953-12-01,31
