"Date","H0MRPM"
1995-08-01,207.2
1995-09-01,207.5
1995-10-01,205.4
1995-11-01,202.1
1995-12-01,198.3
1996-01-01,200.2
1996-02-01,201
1996-03-01,200
1996-04-01,202
1996-05-01,216
1996-06-01,213.3
1996-07-01,212
1996-08-01,210.5
1996-09-01,214.3
1996-10-01,216.2
1996-11-01,212.4
1996-12-01,210.3
1997-01-01,212.7
1997-02-01,215.7
1997-03-01,214.9
1997-04-01,220.2
1997-05-01,219.9
1997-06-01,219.2
1997-07-01,228.9
1997-08-01,232
1997-09-01,231.4
1997-10-01,243.5
1997-11-01,253.1
1997-12-01,253.9
1998-01-01,263.6
1998-02-01,256.2
1998-03-01,271.9
1998-04-01,274.8
1998-05-01,274.1
1998-06-01,269.7
1998-07-01,272.5
1998-08-01,280
1998-09-01,287.3
1998-10-01,286.6
1998-11-01,289.7
1998-12-01,293.2
1999-01-01,294.8
1999-02-01,308.2
1999-03-01,298.8
1999-04-01,295.5
1999-05-01,298.5
1999-06-01,305.9
1999-07-01,308
1999-08-01,311.3
1999-09-01,315.5
1999-10-01,317.1
1999-11-01,325.8
1999-12-01,334.9
2000-01-01,334.3
2000-02-01,348
2000-03-01,344.3
2000-04-01,342.9
2000-05-01,350.9
2000-06-01,358.4
2000-07-01,364.9
2000-08-01,363
2000-09-01,367.4
2000-10-01,369.9
2000-11-01,361
2000-12-01,362.3
2001-01-01,364.1
2001-02-01,355.8
2001-03-01,348.7
2001-04-01,372.6
2001-05-01,375.9
2001-06-01,376.1
2001-07-01,378.5
2001-08-01,372.5
2001-09-01,361.4
2001-10-01,361.8
2001-11-01,375.2
2001-12-01,373.7
2002-01-01,376.6
2002-02-01,375
2002-03-01,372.3
2002-04-01,373.9
2002-05-01,369
2002-06-01,369.7
2002-07-01,379
2002-08-01,401.6
2002-09-01,420.6
2002-10-01,424.3
2002-11-01,441.1
2002-12-01,473.4
2003-01-01,472.6
2003-02-01,483
2003-03-01,496
2003-04-01,509.4
2003-05-01,513.5
2003-06-01,515.2
2003-07-01,503.7
2003-08-01,494.1
2003-09-01,491.3
2003-10-01,506.7
2003-11-01,501.2
2003-12-01,494.8
2004-01-01,504.8
2004-02-01,521
2004-03-01,526.1
2004-04-01,520
2004-05-01,522.3
2004-06-01,536.9
2004-07-01,526.5
2004-08-01,524.7
2004-09-01,526.7
2004-10-01,510.2
2004-11-01,501
2004-12-01,492.6
2005-01-01,473.1
2005-02-01,489.3
2005-03-01,487.8
2005-04-01,483.8
2005-05-01,504.7
2005-06-01,504.3
2005-07-01,517.6
2005-08-01,525.1
2005-09-01,534.2
2005-10-01,545.4
2005-11-01,555.3
2005-12-01,564.3
2006-01-01,548.3
2006-02-01,565.2
