"Date","M2OWN"
1959-02-01,0
1959-03-01,0
1959-04-01,1.231
1959-05-01,1.232
1959-06-01,1.251
1959-07-01,1.261
1959-08-01,1.272
1959-09-01,1.289
1959-10-01,1.301
1959-11-01,1.31
1959-12-01,1.313
1960-01-01,1.316
1960-02-01,1.329
1960-03-01,1.354
1960-04-01,1.373
1960-05-01,1.379
1960-06-01,1.395
1960-07-01,1.411
1960-08-01,1.424
1960-09-01,1.436
1960-10-01,1.439
1960-11-01,1.448
1960-12-01,1.451
1961-01-01,1.452
1961-02-01,1.468
1961-03-01,1.493
1961-04-01,1.507
1961-05-01,1.508
1961-06-01,1.539
1961-07-01,1.564
1961-08-01,1.59
1961-09-01,1.611
1961-10-01,1.628
1961-11-01,1.647
1961-12-01,1.748
1962-01-01,1.883
1962-02-01,2.007
1962-03-01,2.06
1962-04-01,2.098
1962-05-01,2.11
1962-06-01,2.13
1962-07-01,2.139
1962-08-01,2.148
1962-09-01,2.157
1962-10-01,2.16
1962-11-01,2.163
1962-12-01,2.158
1963-01-01,2.149
1963-02-01,2.16
1963-03-01,2.188
1963-04-01,2.202
1963-05-01,2.198
1963-06-01,2.234
1963-07-01,2.261
1963-08-01,2.296
1963-09-01,2.305
1963-10-01,2.304
1963-11-01,2.301
1963-12-01,2.292
1964-01-01,2.285
1964-02-01,2.294
1964-03-01,2.324
1964-04-01,2.336
1964-05-01,2.329
1964-06-01,2.349
1964-07-01,2.352
1964-08-01,2.352
1964-09-01,2.358
1964-10-01,2.353
1964-11-01,2.379
1964-12-01,2.399
1965-01-01,2.405
1965-02-01,2.437
1965-03-01,2.475
1965-04-01,2.486
1965-05-01,2.475
1965-06-01,2.502
1965-07-01,2.501
1965-08-01,2.502
1965-09-01,2.531
1965-10-01,2.543
1965-11-01,2.557
1965-12-01,2.613
1966-01-01,2.606
1966-02-01,2.613
1966-03-01,2.653
1966-04-01,2.665
1966-05-01,2.655
1966-06-01,2.689
1966-07-01,2.687
1966-08-01,2.7
1966-09-01,2.713
1966-10-01,2.689
1966-11-01,2.679
1966-12-01,2.671
1967-01-01,2.66
1967-02-01,2.659
1967-03-01,2.697
1967-04-01,2.703
1967-05-01,2.704
1967-06-01,2.729
1967-07-01,2.727
1967-08-01,2.733
1967-09-01,2.742
1967-10-01,2.739
1967-11-01,2.738
1967-12-01,2.73
1968-01-01,2.713
1968-02-01,2.725
1968-03-01,2.774
1968-04-01,2.782
1968-05-01,2.769
1968-06-01,2.795
1968-07-01,2.787
1968-08-01,2.789
1968-09-01,2.804
1968-10-01,2.803
1968-11-01,2.801
1968-12-01,2.791
1969-01-01,2.783
1969-02-01,2.773
1969-03-01,2.82
1969-04-01,2.83
1969-05-01,2.815
1969-06-01,2.838
1969-07-01,2.884
1969-08-01,2.881
1969-09-01,2.849
1969-10-01,2.846
1969-11-01,2.841
1969-12-01,2.864
1970-01-01,2.896
1970-02-01,3.022
1970-03-01,3.133
1970-04-01,3.125
1970-05-01,3.114
1970-06-01,3.144
1970-07-01,3.142
1970-08-01,3.145
1970-09-01,3.155
1970-10-01,3.15
1970-11-01,3.155
1970-12-01,3.167
1971-01-01,3.116
1971-02-01,3.099
1971-03-01,3.155
1971-04-01,3.131
1971-05-01,3.099
1971-06-01,3.145
1971-07-01,3.165
1971-08-01,3.156
1971-09-01,3.197
1971-10-01,3.206
1971-11-01,3.208
1971-12-01,3.202
1972-01-01,3.15
1972-02-01,3.153
1972-03-01,3.198
1972-04-01,3.178
1972-05-01,3.175
1972-06-01,3.213
1972-07-01,3.21
1972-08-01,3.211
1972-09-01,3.267
1972-10-01,3.279
1972-11-01,3.288
1972-12-01,3.307
1973-01-01,3.293
1973-02-01,3.316
1973-03-01,3.399
1973-04-01,3.481
1973-05-01,3.475
1973-06-01,3.825
1973-07-01,4.219
1973-08-01,4.414
1973-09-01,4.484
1973-10-01,4.174
1973-11-01,4.617
1973-12-01,4.489
1974-01-01,4.517
1974-02-01,4.338
1974-03-01,4.579
1974-04-01,4.55
1974-05-01,4.416
1974-06-01,4.342
1974-07-01,4.076
1974-08-01,4.555
1974-09-01,4.266
1974-10-01,4.145
1974-11-01,4.243
1974-12-01,4.241
1975-01-01,3.903
1975-02-01,3.788
1975-03-01,3.8
1975-04-01,3.725
1975-05-01,3.721
1975-06-01,3.784
1975-07-01,3.844
1975-08-01,3.837
1975-09-01,3.842
1975-10-01,3.833
1975-11-01,3.801
1975-12-01,3.794
1976-01-01,3.76
1976-02-01,3.787
1976-03-01,3.845
1976-04-01,3.86
