"Date","M1475FUSM027NNBR"
1937-06-01,7.59
1937-07-01,7.66
1937-08-01,7.87
1937-09-01,8.02
1937-10-01,8.12
1937-11-01,8.02
1937-12-01,7.9
1938-01-01,7.69
1938-02-01,7.58
1938-03-01,7.51
1938-04-01,7.39
1938-05-01,7.24
1938-06-01,7.12
1938-07-01,7.01
1938-08-01,7
1938-09-01,7.02
1938-10-01,7.04
1938-11-01,7.03
1938-12-01,7.05
1939-01-01,6.94
1939-02-01,6.87
1939-03-01,6.88
1939-04-01,6.89
1939-05-01,6.87
1939-06-01,6.88
1939-07-01,6.97
1939-08-01,7.02
1939-09-01,7.24
1939-10-01,7.36
1939-11-01,7.46
1939-12-01,7.54
1940-01-01,7.44
1940-02-01,7.43
1940-03-01,7.49
1940-04-01,7.5
1940-05-01,7.55
1940-06-01,7.55
1940-07-01,7.62
1940-08-01,7.66
1940-09-01,7.79
1940-10-01,7.97
1940-11-01,8.77
1940-12-01,8.31
1941-01-01,8.36
1941-02-01,8.51
1941-03-01,8.74
1941-04-01,8.92
1941-05-01,9.1
1941-06-01,9.32
1941-07-01,9.56
1941-08-01,9.77
1941-09-01,9.96
1941-10-01,10.2
1941-11-01,10.3
1941-12-01,10.4
