"Date","OCALLA"
1967-01-01,0.0253
1967-02-01,0.023
1967-03-01,0.0227
1967-04-01,0.0195
1967-05-01,0.0196
1967-06-01,0.0219
1967-07-01,0.0211
1967-08-01,0.0217
1967-09-01,0.0218
1967-10-01,0.0234
1967-11-01,0.0264
1967-12-01,0.0279
1968-01-01,0.0253
1968-02-01,0.0241
1968-03-01,0.0278
1968-04-01,0.027
1968-05-01,0.0306
1968-06-01,0.031
1968-07-01,0.0281
1968-08-01,0.0261
1968-09-01,0.0257
1968-10-01,0.0284
1968-11-01,0.0307
1968-12-01,0.0324
1969-01-01,0.0344
1969-02-01,0.038
1969-03-01,0.0405
1969-04-01,0.0401
1969-05-01,0.0463
1969-06-01,0.0555
1969-07-01,0.0543
1969-08-01,0.0532
1969-09-01,0.0554
1969-10-01,0.049
1969-11-01,0.0517
1969-12-01,0.0554
1970-01-01,0.0488
1970-02-01,0.0451
1970-03-01,0.0421
1970-04-01,0.0391
1970-05-01,0.0417
1970-06-01,0.0449
1970-07-01,0.0412
1970-08-01,0.0386
1970-09-01,0.0384
1970-10-01,0.038
1970-11-01,0.0383
1970-12-01,0.0368
1971-01-01,0.0345
1971-02-01,0.0326
1971-03-01,0.0332
1971-04-01,0.0332
1971-05-01,0.0342
1971-06-01,0.035
1971-07-01,0.035
1971-08-01,0.0412
1971-09-01,0.04
1971-10-01,0.0331
1971-11-01,0.0325
1971-12-01,0.0326
1972-01-01,0.0317
1972-02-01,0.0318
1972-03-01,0.0319
1972-04-01,0.0319
1972-05-01,0.0318
1972-06-01,0.0316
1972-07-01,0.0318
1972-08-01,0.0315
1972-09-01,0.0309
1972-10-01,0.0307
1972-11-01,0.0302
1972-12-01,0.0299
1973-01-01,0.0297
1973-02-01,0.0446
1973-03-01,0.0418
1973-04-01,0.0437
1973-05-01,0.0407
1973-06-01,0.0423
1973-07-01,0.0506
1973-08-01,0.0565
1973-09-01,0.0548
1973-10-01,0.0503
1973-11-01,0.0468
1973-12-01,0.0525
1974-01-01,0.0447
1974-02-01,0.0394
1974-03-01,0.043
1974-04-01,0.0508
1974-05-01,0.0576
1974-06-01,0.0601
1974-07-01,0.068
1974-08-01,0.0687
1974-09-01,0.0635
1974-10-01,0.0533
1974-11-01,0.048
1974-12-01,0.0492
1975-01-01,0.0455
1975-02-01,0.0446
1975-03-01,0.0435
1975-04-01,0.0441
1975-05-01,0.0448
1975-06-01,0.0443
1975-07-01,0.0438
1975-08-01,0.0441
1975-09-01,0.0442
1975-10-01,0.0442
1975-11-01,0.0439
1975-12-01,0.0439
1976-01-01,0.0429
1976-02-01,0.0419
1976-03-01,0.0411
1976-04-01,0.04
1976-05-01,0.0395
1976-06-01,0.0397
1976-07-01,0.0393
1976-08-01,0.0382
1976-09-01,0.0366
1976-10-01,0.036
1976-11-01,0.0356
1976-12-01,0.035
1977-01-01,0.0348
1977-02-01,0.0351
1977-03-01,0.0351
1977-04-01,0.0348
1977-05-01,0.0343
1977-06-01,0.0336
1977-07-01,0.0333
1977-08-01,0.033
1977-09-01,0.0328
1977-10-01,0.0334
1977-11-01,0.0338
1977-12-01,0.034
1978-01-01,0.0352
1978-02-01,0.0354
1978-03-01,0.0358
1978-04-01,0.0361
1978-05-01,0.0372
1978-06-01,0.0358
1978-07-01,0.0366
1978-08-01,0.0356
1978-09-01,0.0379
1978-10-01,0.0432
1978-11-01,0.0502
1978-12-01,0.0509
1979-01-01,0.0488
1979-02-01,0.0448
1979-03-01,0.0437
1979-04-01,0.043
1979-05-01,0.0437
1979-06-01,0.0426
1979-07-01,0.044
1979-08-01,0.0476
1979-09-01,0.053
1979-10-01,0.0619
1979-11-01,0.062
1979-12-01,0.0598
1980-01-01,0.0581
1980-02-01,0.0633
1980-03-01,0.0767
1980-04-01,0.0737
1980-05-01,0.0585
1980-06-01,0.0529
1980-07-01,0.0514
1980-08-01,0.0517
1980-09-01,0.0509
1980-10-01,0.0545
1980-11-01,0.0672
1980-12-01,0.089
1981-01-01,0.0849
1981-02-01,0.0674
1981-03-01,0.0595
1981-04-01,0.0627
1981-05-01,0.077
1981-06-01,0.079
1981-07-01,0.0821
1981-08-01,0.0733
1981-09-01,0.0698
1981-10-01,0.0653
1981-11-01,0.0599
1981-12-01,0.0674
1982-01-01,0.0667
1982-02-01,0.0617
1982-03-01,0.062
1982-04-01,0.0619
1982-05-01,0.0626
1982-06-01,0.0652
1982-07-01,0.0635
1982-08-01,0.0685
1982-09-01,0.069
1982-10-01,0.0654
1982-11-01,0.0645
1982-12-01,0.0639
1983-01-01,0.0636
1983-02-01,0.0629
1983-03-01,0.0603
1983-04-01,0.0571
1983-05-01,0.0563
1983-06-01,0.0567
1983-07-01,0.0553
1983-08-01,0.0558
1983-09-01,0.0558
1983-10-01,0.0548
1983-11-01,0.0567
1983-12-01,0.0576
1984-01-01,0.0568
1984-02-01,0.0561
1984-03-01,0.058
1984-04-01,0.0595
1984-05-01,0.0609
1984-06-01,0.0621
1984-07-01,0.0609
1984-08-01,0.056
1984-09-01,0.0544
1984-10-01,0.0534
1984-11-01,0.054
1984-12-01,0.0573
1985-01-01,0.0587
1985-02-01,0.0584
1985-03-01,0.0612
1985-04-01,0.0608
1985-05-01,0.0602
1985-06-01,0.057
1985-07-01,0.0579
1985-08-01,0.0584
1985-09-01,0.0582
1985-10-01,0.0569
1985-11-01,0.0539
1985-12-01,0.0508
1986-01-01,0.0498
1986-02-01,0.0471
1986-03-01,0.0434
1986-04-01,0.0431
1986-05-01,0.0449
1986-06-01,0.0456
