"Date","OCALLA"
1986-07-01,0.0455
1986-08-01,0.0472
1986-09-01,0.0488
1986-10-01,0.0498
1986-11-01,0.0485
1986-12-01,0.0475
1987-01-01,0.0456
1987-02-01,0.0451
1987-03-01,0.045
1987-04-01,0.0482
1987-05-01,0.0507
1987-06-01,0.0502
1987-07-01,0.0507
1987-08-01,0.0521
1987-09-01,0.0551
1987-10-01,0.0563
1987-11-01,0.0534
1987-12-01,0.0538
1988-01-01,0.0522
1988-02-01,0.0497
1988-03-01,0.0496
1988-04-01,0.0523
1988-05-01,0.0527
1988-06-01,0.0518
1988-07-01,0.0519
1988-08-01,0.0513
1988-09-01,0.048
1988-10-01,0.0434
1988-11-01,0.043
1988-12-01,0.0433
1989-01-01,0.0423
1989-02-01,0.0439
1989-03-01,0.0475
1989-04-01,0.0445
1989-05-01,0.04
1989-06-01,0.0396
1989-07-01,0.0385
1989-08-01,0.0359
1989-09-01,0.0365
1989-10-01,0.0355
1989-11-01,0.0352
1989-12-01,0.0358
1990-01-01,0.0375
1990-02-01,0.0394
1990-03-01,0.04
1990-04-01,0.0407
1990-05-01,0.0414
1990-06-01,0.0398
1990-07-01,0.0399
1990-08-01,0.0424
1990-09-01,0.0446
1990-10-01,0.0459
1990-11-01,0.0454
1990-12-01,0.0446
1991-01-01,0.0466
1991-02-01,0.0455
1991-03-01,0.0468
1991-04-01,0.0467
1991-05-01,0.0474
1991-06-01,0.0488
1991-07-01,0.0486
1991-08-01,0.0474
1991-09-01,0.0472
1991-10-01,0.0483
1991-11-01,0.05
1991-12-01,0.0509
1992-01-01,0.0534
1992-02-01,0.0559
1992-03-01,0.0564
1992-04-01,0.0566
1992-05-01,0.0568
1992-06-01,0.0567
1992-07-01,0.0566
1992-08-01,0.0561
1992-09-01,0.0568
1992-10-01,0.0596
1992-11-01,0.0607
1992-12-01,0.0593
1993-01-01,0.0583
1993-02-01,0.0563
1993-03-01,0.0546
1993-04-01,0.0549
1993-05-01,0.0558
1993-06-01,0.0547
1993-07-01,0.0536
1993-08-01,0.0509
1993-09-01,0.0488
1993-10-01,0.0487
1993-11-01,0.0518
1993-12-01,0.0522
1994-01-01,0.052
1994-02-01,0.0528
1994-03-01,0.0558
1994-04-01,0.0586
1994-05-01,0.0586
1994-06-01,0.058
1994-07-01,0.0587
1994-08-01,0.0577
1994-09-01,0.059
1994-10-01,0.06
1994-11-01,0.0599
1994-12-01,0.0566
1995-01-01,0.0556
1995-02-01,0.0527
1995-03-01,0.0509
1995-04-01,0.0499
1995-05-01,0.0465
1995-06-01,0.0442
1995-07-01,0.0458
1995-08-01,0.0474
1995-09-01,0.0452
1995-10-01,0.0436
1995-11-01,0.043
1995-12-01,0.0415
1996-01-01,0.0419
1996-02-01,0.0442
1996-03-01,0.048
1996-04-01,0.0495
1996-05-01,0.0506
1996-06-01,0.0513
1996-07-01,0.0506
1996-08-01,0.049
1996-09-01,0.0505
1996-10-01,0.048
1996-11-01,0.0456
1996-12-01,0.0466
1997-01-01,0.0484
1997-02-01,0.0471
1997-03-01,0.0491
1997-04-01,0.0502
1997-05-01,0.0486
1997-06-01,0.047
1997-07-01,0.0446
1997-08-01,0.0452
1997-09-01,0.0442
1997-10-01,0.043
1997-11-01,0.0417
1997-12-01,0.0407
1998-01-01,0.0399
1998-02-01,0.0407
1998-03-01,0.0415
1998-04-01,0.0418
1998-05-01,0.0416
1998-06-01,0.0401
1998-07-01,0.0403
1998-08-01,0.0401
1998-09-01,0.0399
1998-10-01,0.042
1998-11-01,0.0443
1998-12-01,0.044
1999-01-01,0.0449
1999-02-01,0.0462
1999-03-01,0.0476
1999-04-01,0.0474
1999-05-01,0.0497
1999-06-01,0.0523
1999-07-01,0.0513
1999-08-01,0.0527
1999-09-01,0.0526
1999-10-01,0.0538
1999-11-01,0.0513
1999-12-01,0.051
2000-01-01,0.0521
2000-02-01,0.0512
2000-03-01,0.0516
2000-04-01,0.0514
2000-05-01,0.0551
2000-06-01,0.0502
2000-07-01,0.0487
2000-08-01,0.0479
2000-09-01,0.0486
2000-10-01,0.0485
2000-11-01,0.0478
2000-12-01,0.0456
2001-01-01,0.0467
2001-02-01,0.0481
2001-03-01,0.0494
2001-04-01,0.0536
2001-05-01,0.0561
2001-06-01,0.0566
2001-07-01,0.0577
2001-08-01,0.0574
2001-09-01,0.0609
2001-10-01,0.0629
2001-11-01,0.0642
2001-12-01,0.0677
2002-01-01,0.0669
2002-02-01,0.0675
2002-03-01,0.0696
2002-04-01,0.0689
2002-05-01,0.0695
2002-06-01,0.0684
2002-07-01,0.0681
2002-08-01,0.0655
2002-09-01,0.064
2002-10-01,0.0673
2002-11-01,0.0673
2002-12-01,0.0665
2003-01-01,0.0659
2003-02-01,0.0635
2003-03-01,0.0627
2003-04-01,0.0621
2003-05-01,0.0578
2003-06-01,0.0565
2003-07-01,0.0611
2003-08-01,0.0649
2003-09-01,0.0629
2003-10-01,0.0624
2003-11-01,0.0617
2003-12-01,0.0611
2004-01-01,0.0597
2004-02-01,0.0581
2004-03-01,0.0568
2004-04-01,0.06
2004-05-01,0.0627
2004-06-01,0.0628
2004-07-01,0.0608
2004-08-01,0.0588
2004-09-01,0.0565
2004-10-01,0.0554
2004-11-01,0.0548
2004-12-01,0.0536
2005-01-01,0.0518
2005-02-01,0.0492
2005-03-01,0.051
2005-04-01,0.05
2005-05-01,0.049
2005-06-01,0.0472
2005-07-01,0.0476
2005-08-01,0.047
2005-09-01,0.0471
2005-10-01,0.0492
2005-11-01,0.0494
2005-12-01,0.0481
2006-01-01,0.0469
2006-02-01,0.0467
2006-03-01,0.0475
2006-04-01,0.0495
2006-05-01,0.0496
2006-06-01,0.0496
2006-07-01,0.0487
2006-08-01,0.0466
2006-09-01,0.0453
2006-10-01,0.0452
2006-11-01,0.045
2006-12-01,0.0449
2007-01-01,0.0452
2007-02-01,0.0451
2007-03-01,0.0446
2007-04-01,0.0446
2007-05-01,0.0449
2007-06-01,0.0475
2007-07-01,0.047
2007-08-01,0.047
2007-09-01,0.0466
2007-10-01,0.0462
2007-11-01,0.0463
2007-12-01,0.0495
2008-01-01,0.0498
2008-02-01,0.0568
2008-03-01,0.06
2008-04-01,0.0627
2008-05-01,0.0627
2008-06-01,0.064
2008-07-01,0.0648
2008-08-01,0.0646
2008-09-01,0.0664
2008-10-01,0.0832
2008-11-01,0.0877
2008-12-01,0.082
2009-01-01,0.081
2009-02-01,0.0814
2009-03-01,0.0853
2009-04-01,0.0855
2009-05-01,0.0826
2009-06-01,0.0771
2009-07-01,0.0734
2009-08-01,0.0684
2009-09-01,0.066
2009-10-01,0.066
2009-11-01,0.0664
2009-12-01,0.0673
2010-01-01,0.0662
2010-02-01,0.0672
2010-03-01,0.0666
2010-04-01,0.0664
2010-05-01,0.0643
2010-06-01,0.0662
2010-07-01,0.0639
2010-08-01,0.0604
2010-09-01,0.0604
2010-10-01,0.0611
2010-11-01,0.0632
2010-12-01,0.0649
2011-01-01,0.065
2011-02-01,0.0655
2011-03-01,0.0644
2011-04-01,0.0643
2011-05-01,0.0619
2011-06-01,0.0616
2011-07-01,0.0617
2011-08-01,0.0576
2011-09-01,0.0567
2011-10-01,0.0578
2011-11-01,0.0554
2011-12-01,0.0565
2012-01-01,0.0563
2012-02-01,0.0554
2012-03-01,0.0563
2012-04-01,0.0559
2012-05-01,0.0546
2012-06-01,0.0541
2012-07-01,0.0526
2012-08-01,0.053
2012-09-01,0.0523
2012-10-01,0.0496
2012-11-01,0.0489
2012-12-01,0.0501
2013-01-01,0.0512
2013-02-01,0.0523
2013-03-01,0.0524
2013-04-01,0.0497
2013-05-01,0.0511
2013-06-01,0.056
2013-07-01,0.0574
2013-08-01,0.0584
2013-09-01,0.0588
2013-10-01,0.0571
2013-11-01,0.0579
2013-12-01,0.0579
