"Date","M14164USM144SNBR"
1919-07-01,3805
1919-08-01,NA
1919-09-01,NA
1919-10-01,NA
1919-11-01,NA
1919-12-01,4356
1920-01-01,4632
1920-02-01,NA
1920-03-01,NA
1920-04-01,NA
1920-05-01,5040
1920-06-01,NA
1920-07-01,5192
1920-08-01,NA
1920-09-01,NA
1920-10-01,NA
1920-11-01,NA
1920-12-01,5380
1921-01-01,5444
1921-02-01,NA
1921-03-01,NA
1921-04-01,NA
1921-05-01,5570
1921-06-01,NA
1921-07-01,5617
1921-08-01,NA
1921-09-01,NA
1921-10-01,NA
1921-11-01,NA
1921-12-01,NA
1922-01-01,5647
1922-02-01,NA
1922-03-01,5808
1922-04-01,NA
1922-05-01,NA
1922-06-01,NA
1922-07-01,6094
1922-08-01,NA
1922-09-01,NA
1922-10-01,NA
1922-11-01,NA
1922-12-01,NA
1923-01-01,6481
1923-02-01,NA
1923-03-01,NA
1923-04-01,6866
1923-05-01,NA
1923-06-01,NA
1923-07-01,7083
1923-08-01,NA
1923-09-01,7151
1923-10-01,NA
1923-11-01,NA
1923-12-01,NA
1924-01-01,7319
1924-02-01,NA
1924-03-01,NA
1924-04-01,7485
1924-05-01,NA
1924-06-01,NA
1924-07-01,7753
1924-08-01,NA
1924-09-01,NA
1924-10-01,7968
1924-11-01,NA
1924-12-01,NA
1925-01-01,8148
1925-02-01,NA
1925-03-01,NA
1925-04-01,8413
1925-05-01,NA
1925-06-01,NA
1925-07-01,8674
1925-08-01,NA
1925-09-01,NA
1925-10-01,8761
1925-11-01,NA
1925-12-01,NA
1926-01-01,8888
1926-02-01,NA
1926-03-01,NA
1926-04-01,9130
1926-05-01,NA
1926-06-01,NA
1926-07-01,9304
1926-08-01,NA
1926-09-01,NA
1926-10-01,NA
1926-11-01,NA
1926-12-01,NA
1927-01-01,9448
1927-02-01,NA
1927-03-01,NA
1927-04-01,9762
1927-05-01,NA
1927-06-01,NA
1927-07-01,10047
1927-08-01,NA
1927-09-01,NA
1927-10-01,10213
1927-11-01,NA
1927-12-01,NA
1928-01-01,10438
1928-02-01,NA
1928-03-01,10547
1928-04-01,NA
1928-05-01,NA
1928-06-01,NA
1928-07-01,10950
1928-08-01,NA
1928-09-01,NA
1928-10-01,10761
1928-11-01,NA
1928-12-01,NA
1929-01-01,10742
1929-02-01,NA
1929-03-01,NA
1929-04-01,10624
1929-05-01,NA
1929-06-01,NA
1929-07-01,10644
1929-08-01,NA
1929-09-01,NA
1929-10-01,10408
1929-11-01,NA
1929-12-01,NA
1930-01-01,10331
1930-02-01,NA
1930-03-01,NA
1930-04-01,10448
1930-05-01,NA
1930-06-01,NA
1930-07-01,10550
1930-08-01,NA
1930-09-01,NA
1930-10-01,10708
1930-11-01,NA
1930-12-01,NA
1931-01-01,10519
1931-02-01,NA
1931-03-01,NA
1931-04-01,10586
1931-05-01,NA
1931-06-01,NA
1931-07-01,10526
1931-08-01,NA
1931-09-01,NA
1931-10-01,9964
1931-11-01,NA
1931-12-01,NA
1932-01-01,8925
1932-02-01,NA
1932-03-01,NA
1932-04-01,NA
1932-05-01,NA
1932-06-01,NA
1932-07-01,8234
1932-08-01,NA
1932-09-01,NA
1932-10-01,8042
1932-11-01,NA
1932-12-01,NA
1933-01-01,7927
1933-02-01,NA
1933-03-01,NA
1933-04-01,NA
1933-05-01,NA
1933-06-01,NA
1933-07-01,6514
1933-08-01,NA
1933-09-01,NA
1933-10-01,NA
1933-11-01,6651
1933-12-01,NA
1934-01-01,6723
1934-02-01,NA
1934-03-01,7039
1934-04-01,NA
1934-05-01,NA
1934-06-01,NA
1934-07-01,7512
1934-08-01,NA
1934-09-01,NA
1934-10-01,NA
1934-11-01,7646
1934-12-01,NA
1935-01-01,7788
1935-02-01,NA
1935-03-01,7973
