"Date","M14170USM144SNBR"
1907-05-01,190
1907-06-01,179
1907-07-01,167
1907-08-01,161
1907-09-01,169
1907-10-01,198
1907-11-01,211
1907-12-01,237
1908-01-01,241
1908-02-01,243
1908-03-01,219
1908-04-01,209
1908-05-01,168
1908-06-01,148
1908-07-01,130
1908-08-01,134
1908-09-01,135
1908-10-01,130
1908-11-01,123
1908-12-01,120
1909-01-01,111
1909-02-01,97
1909-03-01,83
1909-04-01,69
1909-05-01,69
1909-06-01,67
1909-07-01,60
1909-08-01,52
1909-09-01,51
1909-10-01,49
1909-11-01,48
1909-12-01,47
1910-01-01,46
1910-02-01,47
1910-03-01,47
1910-04-01,48
1910-05-01,49
1910-06-01,50
1910-07-01,52
1910-08-01,54
1910-09-01,51
1910-10-01,48
1910-11-01,46
1910-12-01,45
1911-01-01,45
1911-02-01,45
1911-03-01,45
1911-04-01,45
1911-05-01,44
1911-06-01,46
1911-07-01,49
1911-08-01,52
1911-09-01,50
1911-10-01,48
1911-11-01,46
1911-12-01,51
1912-01-01,56
1912-02-01,59
1912-03-01,54
1912-04-01,53
1912-05-01,54
1912-06-01,56
1912-07-01,60
1912-08-01,63
1912-09-01,58
1912-10-01,51
1912-11-01,45
1912-12-01,48
1913-01-01,50
1913-02-01,48
1913-03-01,45
1913-04-01,45
1913-05-01,46
1913-06-01,50
1913-07-01,55
1913-08-01,68
1913-09-01,81
1913-10-01,89
1913-11-01,85
1913-12-01,82
1914-01-01,76
1914-02-01,68
1914-03-01,65
1914-04-01,64
1914-05-01,62
1914-06-01,61
1914-07-01,67
1914-08-01,73
1914-09-01,73
1914-10-01,69
1914-11-01,65
1914-12-01,62
1915-01-01,60
1915-02-01,59
1915-03-01,55
1915-04-01,50
1915-05-01,47
1915-06-01,45
1915-07-01,46
1915-08-01,48
1915-09-01,45
1915-10-01,41
1915-11-01,36
1915-12-01,31
1916-01-01,32
1916-02-01,32
1916-03-01,34
1916-04-01,37
1916-05-01,37
1916-06-01,36
1916-07-01,36
1916-08-01,37
1916-09-01,36
1916-10-01,35
1916-11-01,33
1916-12-01,31
1917-01-01,32
1917-02-01,34
1917-03-01,35
1917-04-01,39
1917-05-01,87
1917-06-01,284
1917-07-01,295
1917-08-01,355
1917-09-01,918
1917-10-01,1821
1917-11-01,2257
1917-12-01,632
1918-01-01,856
1918-02-01,1454
1918-03-01,1045
1918-04-01,1218
1918-05-01,1951
1918-06-01,1562
1918-07-01,1506
1918-08-01,1374
1918-09-01,990
1918-10-01,2133
1918-11-01,1462
1918-12-01,411
1919-01-01,991
1919-02-01,1452
1919-03-01,989
1919-04-01,1074
1919-05-01,1171
1919-06-01,978
1919-07-01,858
1919-08-01,975
1919-09-01,670
1919-10-01,612
1919-11-01,536
1919-12-01,592
1920-01-01,403
1920-02-01,148
1920-03-01,175
1920-04-01,199
1920-05-01,193
1920-06-01,191
1920-07-01,239
1920-08-01,214
1920-09-01,337
1920-10-01,246
1920-11-01,135
1920-12-01,264
1921-01-01,204
1921-02-01,223
1921-03-01,317
1921-04-01,277
1921-05-01,168
1921-06-01,387
1921-07-01,488
1921-08-01,289
1921-09-01,451
1921-10-01,350
1921-11-01,295
1921-12-01,268
1922-01-01,446
1922-02-01,502
1922-03-01,273
1922-04-01,257
1922-05-01,263
1922-06-01,153
1922-07-01,266
1922-08-01,295
1922-09-01,164
1922-10-01,308
1922-11-01,369
1922-12-01,342
1923-01-01,235
1923-02-01,236
1923-03-01,385
1923-04-01,330
1923-05-01,383
1923-06-01,310
1923-07-01,222
1923-08-01,199
1923-09-01,210
1923-10-01,165
1923-11-01,158
1923-12-01,214
1924-01-01,221
1924-02-01,245
1924-03-01,265
1924-04-01,257
1924-05-01,204
1924-06-01,181
1924-07-01,185
1924-08-01,205
1924-09-01,261
1924-10-01,315
1924-11-01,328
1924-12-01,224
1925-01-01,245
1925-02-01,278
1925-03-01,401
1925-04-01,314
1925-05-01,304
1925-06-01,180
1925-07-01,168
1925-08-01,169
1925-09-01,241
1925-10-01,204
1925-11-01,192
1925-12-01,287
1926-01-01,316
1926-02-01,390
1926-03-01,362
1926-04-01,330
1926-05-01,380
1926-06-01,228
1926-07-01,246
1926-08-01,204
1926-09-01,276
1926-10-01,239
1926-11-01,222
1926-12-01,217
1927-01-01,252
1927-02-01,279
1927-03-01,229
1927-04-01,224
1927-05-01,203
1927-06-01,184
1927-07-01,203
1927-08-01,240
1927-09-01,335
1927-10-01,311
1927-11-01,156
1927-12-01,261
1928-01-01,214
1928-02-01,170
1928-03-01,239
1928-04-01,196
1928-05-01,164
1928-06-01,235
1928-07-01,394
1928-08-01,468
1928-09-01,122
1928-10-01,220
1928-11-01,281
1928-12-01,237
1929-01-01,219
1929-02-01,169
1929-03-01,234
1929-04-01,237
1929-05-01,297
1929-06-01,322
1929-07-01,240
1929-08-01,245
1929-09-01,244
1929-10-01,235
1929-11-01,261
1929-12-01,136
1930-01-01,122
1930-02-01,84
