"Date","M1439AUS35620M144NNBR"
1920-04-01,1058
1920-05-01,1016
1920-06-01,1003
1920-07-01,1021
1920-08-01,941
1920-09-01,950
1920-10-01,972
1920-11-01,894
1920-12-01,904
1921-01-01,954
1921-02-01,859
1921-03-01,829
1921-04-01,828
1921-05-01,816
1921-06-01,813
1921-07-01,812
1921-08-01,790
1921-09-01,782
1921-10-01,847
1921-11-01,868
1921-12-01,821
1922-01-01,886
1922-02-01,893
1922-03-01,911
1922-04-01,923
1922-05-01,968
1922-06-01,969
1922-07-01,987
1922-08-01,930
1922-09-01,922
1922-10-01,974
1922-11-01,932
1922-12-01,895
1923-01-01,995
1923-02-01,961
1923-03-01,958
1923-04-01,942
1923-05-01,896
1923-06-01,858
1923-07-01,914
1923-08-01,879
1923-09-01,862
1923-10-01,899
1923-11-01,908
1923-12-01,933
1924-01-01,1009
1924-02-01,972
1924-03-01,1002
1924-04-01,994
1924-05-01,965
1924-06-01,1106
1924-07-01,1205
1924-08-01,1227
1924-09-01,1238
1924-10-01,1250
1924-11-01,1217
1924-12-01,1206
1925-01-01,1225
1925-02-01,1177
1925-03-01,1111
1925-04-01,1124
1925-05-01,1049
1925-06-01,1085
1925-07-01,1075
1925-08-01,1022
1925-09-01,1057
1925-10-01,1073
1925-11-01,1080
1925-12-01,1086
1926-01-01,1126
1926-02-01,1084
1926-03-01,1116
1926-04-01,1086
1926-05-01,1072
1926-06-01,1098
1926-07-01,1067
1926-08-01,1040
1926-09-01,1062
1926-10-01,1067
1926-11-01,1052
1926-12-01,1078
1927-01-01,978
1927-02-01,960
1927-03-01,988
1927-04-01,954
1927-05-01,947
1927-06-01,981
1927-07-01,971
1927-08-01,964
1927-09-01,978
1927-10-01,1006
1927-11-01,1105
1927-12-01,1046
1928-01-01,1137
1928-02-01,1098
1928-03-01,1089
1928-04-01,1053
1928-05-01,1020
1928-06-01,933
1928-07-01,957
1928-08-01,901
1928-09-01,934
1928-10-01,992
1928-11-01,981
1928-12-01,956
1929-01-01,1012
1929-02-01,949
1929-03-01,916
1929-04-01,874
1929-05-01,817
1929-06-01,796
1929-07-01,935
1929-08-01,827
1929-09-01,887
1929-10-01,1023
1929-11-01,1132
1929-12-01,980
1930-01-01,931
1930-02-01,902
1930-03-01,952
1930-04-01,982
1930-05-01,931
1930-06-01,1009
1930-07-01,1100
1930-08-01,999
1930-09-01,1076
1930-10-01,1154
1930-11-01,1201
1930-12-01,1181
1931-01-01,1280
1931-02-01,1302
1931-03-01,1315
1931-04-01,1249
1931-05-01,1232
1931-06-01,1145
1931-07-01,1273
1931-08-01,1118
1931-09-01,1087
1931-10-01,1003
1931-11-01,929
1931-12-01,877
1932-01-01,879
1932-02-01,818
1932-03-01,882
1932-04-01,1037
1932-05-01,1123
1932-06-01,1070
1932-07-01,1065
1932-08-01,1157
1932-09-01,1265
1932-10-01,1369
1932-11-01,1437
1932-12-01,1454
1933-01-01,1596
1933-02-01,1446
1933-03-01,826
1933-04-01,1125
1933-05-01,1279
1933-06-01,1349
1933-07-01,1188
1933-08-01,1111
1933-09-01,1153
1933-10-01,1175
1933-11-01,1175
1933-12-01,1111
1934-01-01,1222
1934-02-01,1322
1934-03-01,1475
1934-04-01,1567
1934-05-01,1577
1934-06-01,1617
1934-07-01,1640
1934-08-01,1583
1934-09-01,1570
1934-10-01,1633
1934-11-01,1652
1934-12-01,1720
1935-01-01,1838
1935-02-01,1948
1935-03-01,1938
1935-04-01,1893
1935-05-01,1913
1935-06-01,1898
1935-07-01,1953
1935-08-01,2023
