"Date","MANMM101USM189N"
1960-01-01,1.433e+11
1960-02-01,1.398e+11
1960-03-01,1.385e+11
1960-04-01,1.397e+11
1960-05-01,1.376e+11
1960-06-01,1.379e+11
1960-07-01,1.389e+11
1960-08-01,1.394e+11
1960-09-01,1.405e+11
1960-10-01,1.412e+11
1960-11-01,1.423e+11
1960-12-01,1.445e+11
1961-01-01,1.445e+11
1961-02-01,1.416e+11
1961-03-01,1.406e+11
1961-04-01,1.424e+11
1961-05-01,1.406e+11
1961-06-01,1.412e+11
1961-07-01,1.415e+11
1961-08-01,1.414e+11
1961-09-01,1.431e+11
1961-10-01,1.444e+11
1961-11-01,1.463e+11
1961-12-01,1.492e+11
1962-01-01,1.489e+11
1962-02-01,1.456e+11
1962-03-01,1.446e+11
1962-04-01,1.467e+11
1962-05-01,1.445e+11
1962-06-01,1.448e+11
1962-07-01,1.45e+11
1962-08-01,1.444e+11
1962-09-01,1.455e+11
1962-10-01,1.47e+11
1962-11-01,1.488e+11
1962-12-01,1.519e+11
1963-01-01,1.521e+11
1963-02-01,1.487e+11
1963-03-01,1.478e+11
1963-04-01,1.5e+11
1963-05-01,1.479e+11
1963-06-01,1.487e+11
1963-07-01,1.499e+11
1963-08-01,1.495e+11
1963-09-01,1.51e+11
1963-10-01,1.528e+11
1963-11-01,1.552e+11
1963-12-01,1.575e+11
1964-01-01,1.579e+11
1964-02-01,1.539e+11
1964-03-01,1.531e+11
1964-04-01,1.552e+11
1964-05-01,1.527e+11
1964-06-01,1.539e+11
1964-07-01,1.555e+11
1964-08-01,1.555e+11
1964-09-01,1.578e+11
1964-10-01,1.597e+11
1964-11-01,1.616e+11
1964-12-01,1.649e+11
1965-01-01,1.653e+11
1965-02-01,1.603e+11
1965-03-01,1.599e+11
1965-04-01,1.626e+11
1965-05-01,1.587e+11
1965-06-01,1.605e+11
1965-07-01,1.618e+11
1965-08-01,1.612e+11
1965-09-01,1.639e+11
1965-10-01,1.665e+11
1965-11-01,1.682e+11
1965-12-01,1.726e+11
1966-01-01,1.738e+11
1966-02-01,1.686e+11
1966-03-01,1.687e+11
1966-04-01,1.724e+11
1966-05-01,1.68e+11
1966-06-01,1.7e+11
1966-07-01,1.692e+11
1966-08-01,1.683e+11
1966-09-01,1.711e+11
1966-10-01,1.716e+11
1966-11-01,1.729e+11
1966-12-01,1.769e+11
1967-01-01,1.766e+11
1967-02-01,1.716e+11
1967-03-01,1.729e+11
1967-04-01,1.747e+11
1967-05-01,1.723e+11
1967-06-01,1.756e+11
1967-07-01,1.772e+11
1967-08-01,1.772e+11
1967-09-01,1.798e+11
1967-10-01,1.819e+11
1967-11-01,1.838e+11
1967-12-01,1.884e+11
1968-01-01,1.892e+11
1968-02-01,1.83e+11
1968-03-01,1.835e+11
1968-04-01,1.873e+11
1968-05-01,1.846e+11
1968-06-01,1.882e+11
1968-07-01,1.898e+11
1968-08-01,1.895e+11
1968-09-01,1.919e+11
1968-10-01,1.942e+11
1968-11-01,1.976e+11
1968-12-01,2.028e+11
1969-01-01,2.038e+11
1969-02-01,1.973e+11
1969-03-01,1.978e+11
1969-04-01,2.015e+11
1969-05-01,1.974e+11
1969-06-01,2.002e+11
1969-07-01,2.012e+11
1969-08-01,1.995e+11
1969-09-01,2.012e+11
1969-10-01,2.029e+11
1969-11-01,2.05e+11
1969-12-01,2.093e+11
1970-01-01,2.108e+11
1970-02-01,2.02e+11
1970-03-01,2.035e+11
1970-04-01,2.081e+11
1970-05-01,2.043e+11
1970-06-01,2.069e+11
1970-07-01,2.081e+11
1970-08-01,2.08e+11
1970-09-01,2.108e+11
1970-10-01,2.123e+11
1970-11-01,2.145e+11
1970-12-01,2.201e+11
1971-01-01,2.204e+11
1971-02-01,2.143e+11
1971-03-01,2.164e+11
1971-04-01,2.214e+11
1971-05-01,2.188e+11
1971-06-01,2.229e+11
1971-07-01,2.251e+11
1971-08-01,2.236e+11
1971-09-01,2.254e+11
1971-10-01,2.266e+11
1971-11-01,2.288e+11
1971-12-01,2.345e+11
1972-01-01,2.35e+11
1972-02-01,2.289e+11
1972-03-01,2.317e+11
1972-04-01,2.369e+11
1972-05-01,2.322e+11
1972-06-01,2.361e+11
1972-07-01,2.391e+11
1972-08-01,2.387e+11
1972-09-01,2.419e+11
1972-10-01,2.442e+11
1972-11-01,2.477e+11
1972-12-01,2.561e+11
1973-01-01,2.564e+11
1973-02-01,2.484e+11
1973-03-01,2.488e+11
1973-04-01,2.54e+11
1973-05-01,2.508e+11
1973-06-01,2.564e+11
1973-07-01,2.581e+11
1973-08-01,2.556e+11
1973-09-01,2.565e+11
1973-10-01,2.583e+11
1973-11-01,2.627e+11
1973-12-01,2.702e+11
1974-01-01,2.686e+11
1974-02-01,2.611e+11
1974-03-01,2.635e+11
1974-04-01,2.685e+11
1974-05-01,2.633e+11
1974-06-01,2.683e+11
1974-07-01,2.701e+11
1974-08-01,2.681e+11
1974-09-01,2.697e+11
1974-10-01,2.717e+11
1974-11-01,2.757e+11
1974-12-01,2.818e+11
1975-01-01,2.785e+11
1975-02-01,2.699e+11
1975-03-01,2.729e+11
1975-04-01,2.777e+11
1975-05-01,2.744e+11
1975-06-01,2.823e+11
1975-07-01,2.844e+11
1975-08-01,2.827e+11
1975-09-01,2.843e+11
1975-10-01,2.849e+11
1975-11-01,2.899e+11
1975-12-01,2.953e+11
1976-01-01,2.932e+11
1976-02-01,2.853e+11
1976-03-01,2.877e+11
1976-04-01,2.961e+11
1976-05-01,2.913e+11
1976-06-01,2.956e+11
1976-07-01,2.984e+11
1976-08-01,2.971e+11
1976-09-01,2.986e+11
1976-10-01,3.029e+11
1976-11-01,3.057e+11
1976-12-01,3.145e+11
1977-01-01,3.136e+11
1977-02-01,3.049e+11
1977-03-01,3.082e+11
1977-04-01,3.186e+11
1977-05-01,3.116e+11
1977-06-01,3.177e+11
1977-07-01,3.222e+11
1977-08-01,3.202e+11
1977-09-01,3.237e+11
1977-10-01,3.279e+11
1977-11-01,3.314e+11
1977-12-01,3.4e+11
1978-01-01,3.393e+11
1978-02-01,3.279e+11
1978-03-01,3.308e+11
1978-04-01,3.434e+11
1978-05-01,3.382e+11
1978-06-01,3.452e+11
1978-07-01,3.495e+11
1978-08-01,3.475e+11
1978-09-01,3.527e+11
1978-10-01,3.549e+11
1978-11-01,3.585e+11
1978-12-01,3.679e+11
1979-01-01,3.633e+11
1979-02-01,3.517e+11
1979-03-01,3.561e+11
1979-04-01,3.713e+11
1979-05-01,3.622e+11
1979-06-01,3.719e+11
1979-07-01,3.784e+11
1979-08-01,3.769e+11
1979-09-01,3.805e+11
1979-10-01,3.826e+11
1979-11-01,3.844e+11
1979-12-01,3.932e+11
1980-01-01,3.904e+11
1980-02-01,3.808e+11
1980-03-01,3.822e+11
1980-04-01,3.867e+11
1980-05-01,3.778e+11
1980-06-01,3.873e+11
1980-07-01,3.946e+11
1980-08-01,3.983e+11
1980-09-01,4.047e+11
1980-10-01,4.107e+11
