"Date","M14155USM144SNBR"
1917-07-01,4970
1917-08-01,NA
1917-09-01,5098
1917-10-01,NA
1917-11-01,NA
1917-12-01,5332
1918-01-01,5335
1918-02-01,NA
1918-03-01,5362
1918-04-01,NA
1918-05-01,5466
1918-06-01,NA
1918-07-01,5551
1918-08-01,NA
1918-09-01,5633
1918-10-01,NA
1918-11-01,5964
1918-12-01,NA
1919-01-01,6004
1919-02-01,NA
1919-03-01,6237
1919-04-01,NA
1919-05-01,6526
1919-06-01,NA
1919-07-01,6583
1919-08-01,NA
1919-09-01,6984
1919-10-01,NA
1919-11-01,NA
1919-12-01,7521
1920-01-01,7466
1920-02-01,NA
1920-03-01,7247
1920-04-01,NA
1920-05-01,7625
1920-06-01,NA
1920-07-01,7432
1920-08-01,NA
1920-09-01,7509
1920-10-01,NA
1920-11-01,NA
1920-12-01,7446
1921-01-01,7151
1921-02-01,NA
1921-03-01,6928
1921-04-01,NA
1921-05-01,6722
1921-06-01,NA
1921-07-01,6632
1921-08-01,NA
1921-09-01,6698
1921-10-01,NA
1921-11-01,NA
1921-12-01,NA
1922-01-01,6520
1922-02-01,NA
1922-03-01,6656
1922-04-01,NA
1922-05-01,6768
1922-06-01,NA
1922-07-01,6783
1922-08-01,NA
1922-09-01,NA
1922-10-01,7137
1922-11-01,NA
1922-12-01,NA
1923-01-01,7496
1923-02-01,NA
1923-03-01,NA
1923-04-01,7633
1923-05-01,NA
1923-06-01,NA
1923-07-01,7506
