"Date","MABMM301USM189S"
1960-01-01,2.982e+11
1960-02-01,2.984e+11
1960-03-01,2.993e+11
1960-04-01,3.001e+11
1960-05-01,3.009e+11
1960-06-01,3.023e+11
1960-07-01,3.041e+11
1960-08-01,3.069e+11
1960-09-01,3.084e+11
1960-10-01,3.095e+11
1960-11-01,3.109e+11
1960-12-01,3.124e+11
1961-01-01,3.141e+11
1961-02-01,3.165e+11
1961-03-01,3.183e+11
1961-04-01,3.199e+11
1961-05-01,3.222e+11
1961-06-01,3.243e+11
1961-07-01,3.256e+11
1961-08-01,3.276e+11
1961-09-01,3.295e+11
1961-10-01,3.311e+11
1961-11-01,3.334e+11
1961-12-01,3.355e+11
1962-01-01,3.375e+11
1962-02-01,3.401e+11
1962-03-01,3.431e+11
1962-04-01,3.455e+11
1962-05-01,3.475e+11
1962-06-01,3.493e+11
1962-07-01,3.508e+11
1962-08-01,3.528e+11
1962-09-01,3.549e+11
1962-10-01,3.572e+11
1962-11-01,3.598e+11
1962-12-01,3.627e+11
1963-01-01,3.652e+11
1963-02-01,3.679e+11
1963-03-01,3.707e+11
1963-04-01,3.733e+11
1963-05-01,3.761e+11
1963-06-01,3.784e+11
1963-07-01,3.811e+11
1963-08-01,3.836e+11
1963-09-01,3.86e+11
1963-10-01,3.883e+11
1963-11-01,3.915e+11
1963-12-01,3.932e+11
1964-01-01,3.952e+11
1964-02-01,3.976e+11
1964-03-01,3.998e+11
1964-04-01,4.017e+11
1964-05-01,4.042e+11
1964-06-01,4.071e+11
1964-07-01,4.101e+11
1964-08-01,4.134e+11
1964-09-01,4.169e+11
1964-10-01,4.191e+11
1964-11-01,4.22e+11
1964-12-01,4.247e+11
1965-01-01,4.275e+11
1965-02-01,4.304e+11
1965-03-01,4.332e+11
1965-04-01,4.354e+11
1965-05-01,4.371e+11
1965-06-01,4.401e+11
1965-07-01,4.429e+11
1965-08-01,4.458e+11
1965-09-01,4.495e+11
1965-10-01,4.526e+11
1965-11-01,4.557e+11
1965-12-01,4.592e+11
1966-01-01,4.62e+11
1966-02-01,4.646e+11
1966-03-01,4.672e+11
1966-04-01,4.693e+11
1966-05-01,4.701e+11
1966-06-01,4.712e+11
1966-07-01,4.709e+11
1966-08-01,4.726e+11
1966-09-01,4.754e+11
1966-10-01,4.757e+11
1966-11-01,4.773e+11
1966-12-01,4.802e+11
1967-01-01,4.816e+11
1967-02-01,4.851e+11
1967-03-01,4.897e+11
1967-04-01,4.921e+11
1967-05-01,4.972e+11
1967-06-01,5.02e+11
1967-07-01,5.063e+11
1967-08-01,5.108e+11
1967-09-01,5.147e+11
1967-10-01,5.182e+11
1967-11-01,5.212e+11
1967-12-01,5.248e+11
1968-01-01,5.274e+11
1968-02-01,5.304e+11
1968-03-01,5.332e+11
1968-04-01,5.357e+11
1968-05-01,5.389e+11
1968-06-01,5.426e+11
1968-07-01,5.456e+11
1968-08-01,5.494e+11
1968-09-01,5.536e+11
1968-10-01,5.576e+11
1968-11-01,5.624e+11
1968-12-01,5.668e+11
