"Date","MSIM2MA"
1967-01-01,582.8
1967-02-01,585.4
1967-03-01,590.3
1967-04-01,589.7
1967-05-01,594.4
1967-06-01,598.7
1967-07-01,602.1
1967-08-01,606.7
1967-09-01,609.9
1967-10-01,612.6
1967-11-01,614.9
1967-12-01,617.1
1968-01-01,619.1
1968-02-01,620.2
1968-03-01,622.5
1968-04-01,624.9
1968-05-01,628
1968-06-01,631.3
1968-07-01,633.3
1968-08-01,636.7
1968-09-01,639.6
1968-10-01,642.5
1968-11-01,647.4
1968-12-01,651.6
1969-01-01,653.9
1969-02-01,654.8
1969-03-01,656.7
1969-04-01,657
1969-05-01,656.6
1969-06-01,658
1969-07-01,656.5
1969-08-01,654.9
1969-09-01,655.7
1969-10-01,656
1969-11-01,657
1969-12-01,658
1970-01-01,661.2
1970-02-01,653.8
1970-03-01,651.7
1970-04-01,650.7
1970-05-01,650.4
1970-06-01,651.5
1970-07-01,653.4
1970-08-01,658.6
1970-09-01,664.4
1970-10-01,668.4
1970-11-01,671.7
1970-12-01,675.3
1971-01-01,680
1971-02-01,686.3
1971-03-01,692.1
1971-04-01,697.6
1971-05-01,704.6
1971-06-01,709.8
1971-07-01,715
1971-08-01,718.9
1971-09-01,723.3
1971-10-01,726.7
1971-11-01,729.9
1971-12-01,732.9
1972-01-01,738.7
1972-02-01,745.6
1972-03-01,751.8
1972-04-01,755.9
1972-05-01,757.9
1972-06-01,761.5
1972-07-01,768.4
1972-08-01,776
1972-09-01,783.4
1972-10-01,789.3
1972-11-01,794.4
1972-12-01,802.3
1973-01-01,808
1973-02-01,809.7
1973-03-01,809.2
1973-04-01,811.5
1973-05-01,817
1973-06-01,822
1973-07-01,824.5
1973-08-01,823.2
1973-09-01,822.4
1973-10-01,825.1
1973-11-01,829.1
1973-12-01,833.7
1974-01-01,836.2
1974-02-01,839.4
1974-03-01,843
1974-04-01,844.8
1974-05-01,845.7
1974-06-01,848.1
1974-07-01,851.1
1974-08-01,853
1974-09-01,855.5
1974-10-01,859.6
1974-11-01,864.3
1974-12-01,867.8
1975-01-01,869.8
1975-02-01,874.9
1975-03-01,882.3
1975-04-01,887
1975-05-01,898.3
1975-06-01,911.4
1975-07-01,918.7
1975-08-01,923.1
1975-09-01,929.5
1975-10-01,931.8
1975-11-01,938.6
1975-12-01,943.3
1976-01-01,951.3
1976-02-01,964
1976-03-01,973.4
1976-04-01,982.2
1976-05-01,989
1976-06-01,990.9
1976-07-01,996
1976-08-01,1004.2
1976-09-01,1010.1
1976-10-01,1020.7
1976-11-01,1030.5
1976-12-01,1041.5
1977-01-01,1050.8
1977-02-01,1061.2
1977-03-01,1068.6
1977-04-01,1076.2
1977-05-01,1080.9
1977-06-01,1085.6
1977-07-01,1091.2
1977-08-01,1099.2
1977-09-01,1106.3
1977-10-01,1112.3
1977-11-01,1119.8
1977-12-01,1125.8
1978-01-01,1135.1
1978-02-01,1138.6
1978-03-01,1143
1978-04-01,1150
1978-05-01,1161
1978-06-01,1164
1978-07-01,1161.5
1978-08-01,1165.8
1978-09-01,1171.8
1978-10-01,1172.3
1978-11-01,1170.5
1978-12-01,1165.6
1979-01-01,1157.3
1979-02-01,1153
1979-03-01,1153.7
1979-04-01,1159.7
1979-05-01,1159.3
1979-06-01,1166.7
1979-07-01,1174.4
1979-08-01,1178.8
1979-09-01,1175.7
1979-10-01,1167.9
1979-11-01,1154.9
1979-12-01,1151.6
1980-01-01,1152.2
1980-02-01,1153.3
1980-03-01,1139
1980-04-01,1114.4
1980-05-01,1111.9
1980-06-01,1129.6
1980-07-01,1151.7
1980-08-01,1173.6
1980-09-01,1187.7
1980-10-01,1195.5
1980-11-01,1192
1980-12-01,1171.6
1981-01-01,1149.2
1981-02-01,1143.6
1981-03-01,1145.8
1981-04-01,1160
1981-05-01,1150.7
1981-06-01,1144.2
1981-07-01,1147.8
1981-08-01,1142.3
1981-09-01,1136.7
1981-10-01,1134.9
1981-11-01,1139.5
1981-12-01,1151.9
1982-01-01,1165.5
1982-02-01,1161.4
1982-03-01,1161
1982-04-01,1168.3
1982-05-01,1169
1982-06-01,1171
1982-07-01,1169.2
1982-08-01,1179
1982-09-01,1191.5
1982-10-01,1212.2
1982-11-01,1231.4
1982-12-01,1256.9
1983-01-01,1316.3
1983-02-01,1363.6
1983-03-01,1388.6
1983-04-01,1399.7
1983-05-01,1416.5
1983-06-01,1425
1983-07-01,1429.2
1983-08-01,1431.3
1983-09-01,1432.6
1983-10-01,1436.6
1983-11-01,1436.4
1983-12-01,1438.9
1984-01-01,1444.6
1984-02-01,1452.7
1984-03-01,1462.1
1984-04-01,1470.9
1984-05-01,1474.3
1984-06-01,1477.2
