"Date","MSIM2MA"
1984-07-01,1475
1984-08-01,1469
1984-09-01,1470.7
1984-10-01,1471.9
1984-11-01,1483
1984-12-01,1497.6
1985-01-01,1518
1985-02-01,1539
1985-03-01,1548.7
1985-04-01,1555.2
1985-05-01,1566.4
1985-06-01,1586
1985-07-01,1605.1
1985-08-01,1623.6
1985-09-01,1638.8
1985-10-01,1650.3
1985-11-01,1659.5
1985-12-01,1673.2
1986-01-01,1677.4
1986-02-01,1685.5
1986-03-01,1703.6
1986-04-01,1725
1986-05-01,1754.5
1986-06-01,1777.1
1986-07-01,1800.6
1986-08-01,1821.7
1986-09-01,1845.3
1986-10-01,1868.7
1986-11-01,1890
1986-12-01,1925.7
1987-01-01,1938.4
1987-02-01,1942.1
1987-03-01,1948.6
1987-04-01,1966.2
1987-05-01,1971.3
1987-06-01,1964.8
1987-07-01,1961.2
1987-08-01,1962.6
1987-09-01,1966.5
1987-10-01,1974.9
1987-11-01,1962
1987-12-01,1956
1988-01-01,1965.6
1988-02-01,1970.6
1988-03-01,1979.5
1988-04-01,1992
1988-05-01,2000.4
1988-06-01,2009.9
1988-07-01,2012.6
1988-08-01,2011.6
1988-09-01,2006.1
1988-10-01,2001.6
1988-11-01,2006.3
1988-12-01,2006.4
1989-01-01,1997.4
1989-02-01,1986.7
1989-03-01,1981.9
1989-04-01,1968.5
1989-05-01,1956.1
1989-06-01,1953.8
1989-07-01,1965.6
1989-08-01,1974.3
1989-09-01,1982.8
1989-10-01,1998.2
1989-11-01,2008.4
1989-12-01,2021.9
1990-01-01,2033.6
1990-02-01,2042.9
1990-03-01,2050.1
1990-04-01,2058.4
1990-05-01,2056.5
1990-06-01,2066.8
1990-07-01,2074.8
1990-08-01,2091.3
1990-09-01,2103.3
1990-10-01,2105.8
1990-11-01,2108.5
1990-12-01,2114.5
1991-01-01,2126.5
1991-02-01,2142.3
1991-03-01,2161.6
1991-04-01,2176.7
1991-05-01,2195.1
1991-06-01,2214.3
1991-07-01,2227.4
1991-08-01,2235
1991-09-01,2243.4
1991-10-01,2262.1
1991-11-01,2282
1991-12-01,2304.7
1992-01-01,2335.7
1992-02-01,2376.1
1992-03-01,2399.9
1992-04-01,2414.5
1992-05-01,2431.2
1992-06-01,2439.4
1992-07-01,2454.7
1992-08-01,2474.8
1992-09-01,2500.8
1992-10-01,2530.6
1992-11-01,2548.6
1992-12-01,2559.8
1993-01-01,2564.9
1993-02-01,2568.6
1993-03-01,2574.9
1993-04-01,2584.5
1993-05-01,2619.3
1993-06-01,2634.2
1993-07-01,2643.8
1993-08-01,2656.6
1993-09-01,2670.9
1993-10-01,2682.4
1993-11-01,2703.1
1993-12-01,2713.2
1994-01-01,2720.6
1994-02-01,2728.6
1994-03-01,2737.9
1994-04-01,2742.3
1994-05-01,2750
1994-06-01,2737.9
1994-07-01,2742.1
1994-08-01,2734.4
1994-09-01,2729.6
1994-10-01,2718.5
1994-11-01,2711
1994-12-01,2699.5
1995-01-01,2689.9
1995-02-01,2668.9
1995-03-01,2650.3
1995-04-01,2642.1
1995-05-01,2649.9
1995-06-01,2663.3
1995-07-01,2671.2
1995-08-01,2685.2
1995-09-01,2693
1995-10-01,2701.1
1995-11-01,2702.8
1995-12-01,2709.1
1996-01-01,2726.8
1996-02-01,2737
1996-03-01,2761.7
1996-04-01,2774
1996-05-01,2783.7
1996-06-01,2797
1996-07-01,2809
1996-08-01,2812.1
1996-09-01,2818.2
1996-10-01,2829.4
1996-11-01,2843.9
1996-12-01,2861
1997-01-01,2874.1
1997-02-01,2883.4
1997-03-01,2894.2
1997-04-01,2905.9
1997-05-01,2916
1997-06-01,2926.6
1997-07-01,2942.5
1997-08-01,2968.1
1997-09-01,2985.1
1997-10-01,3000.8
1997-11-01,3021.2
1997-12-01,3041.9
1998-01-01,3061.5
1998-02-01,3088.2
1998-03-01,3108.8
1998-04-01,3131.2
1998-05-01,3149.7
1998-06-01,3170.7
1998-07-01,3188.5
1998-08-01,3209
1998-09-01,3244.3
1998-10-01,3277.9
1998-11-01,3313.2
1998-12-01,3346.6
1999-01-01,3368.6
1999-02-01,3393.6
1999-03-01,3405.2
1999-04-01,3433
1999-05-01,3455.3
1999-06-01,3478.9
1999-07-01,3501.6
1999-08-01,3516
1999-09-01,3524.8
1999-10-01,3537.9
1999-11-01,3555.9
1999-12-01,3573.6
2000-01-01,3582.3
2000-02-01,3585.2
2000-03-01,3599.7
2000-04-01,3634.3
2000-05-01,3623.9
2000-06-01,3630.4
2000-07-01,3639.1
2000-08-01,3659.4
2000-09-01,3680.5
2000-10-01,3690.2
2000-11-01,3694.4
2000-12-01,3720.4
2001-01-01,3762.9
2001-02-01,3798.2
2001-03-01,3854
2001-04-01,3910
2001-05-01,3926.1
2001-06-01,3969
2001-07-01,4009.3
2001-08-01,4051.2
2001-09-01,4168.5
2001-10-01,4162.1
2001-11-01,4215.2
2001-12-01,4275.4
2002-01-01,4315.1
2002-02-01,4350.2
2002-03-01,4366.2
2002-04-01,4381.4
2002-05-01,4407.5
2002-06-01,4432.1
2002-07-01,4481
2002-08-01,4521.1
2002-09-01,4550.6
2002-10-01,4604.7
2002-11-01,4649.5
2002-12-01,4677.3
2003-01-01,4713.1
2003-02-01,4754
2003-03-01,4773.2
2003-04-01,4820
2003-05-01,4881
2003-06-01,4922.2
2003-07-01,4985.3
2003-08-01,5037.8
2003-09-01,5029
2003-10-01,5022.8
2003-11-01,5026.9
2003-12-01,5036
2004-01-01,5044.5
2004-02-01,5082.1
2004-03-01,5123.8
2004-04-01,5166.4
2004-05-01,5233.3
2004-06-01,5245.5
2004-07-01,5256.6
2004-08-01,5275.7
2004-09-01,5310.5
2004-10-01,5329
2004-11-01,5360.6
2004-12-01,5369.4
2005-01-01,5357.7
2005-02-01,5361.9
2005-03-01,5362.5
2005-04-01,5353.1
2005-05-01,5350.9
2005-06-01,5373.1
2005-07-01,5382.5
2005-08-01,5403.2
2005-09-01,5427.5
2005-10-01,5446.1
2005-11-01,5457.2
2005-12-01,5472.7
2006-01-01,5494.5
2006-02-01,5503.3
2006-03-01,5496.3
2006-04-01,5506.8
2006-05-01,5494.3
2006-06-01,5502.1
2006-07-01,5506.4
2006-08-01,5507.9
2006-09-01,5509.8
2006-10-01,5543.8
2006-11-01,5566.3
2006-12-01,5593.2
2007-01-01,5618
2007-02-01,5623.5
2007-03-01,5638.7
2007-04-01,5691.3
2007-05-01,5703.2
2007-06-01,5715.4
2007-07-01,5738.4
2007-08-01,5783.9
2007-09-01,5790.5
2007-10-01,5805.8
2007-11-01,5822.5
2007-12-01,5837.1
2008-01-01,5852.5
2008-02-01,5916.8
2008-03-01,5975.6
2008-04-01,6019.8
2008-05-01,6031.2
2008-06-01,6045
2008-07-01,6087.9
2008-08-01,6051.7
2008-09-01,6124.1
2008-10-01,6165
2008-11-01,6181.6
2008-12-01,6345.2
2009-01-01,6411.8
2009-02-01,6457.2
2009-03-01,6523.7
2009-04-01,6545.9
2009-05-01,6605.5
2009-06-01,6646
2009-07-01,6670.9
2009-08-01,6679.1
2009-09-01,6729
2009-10-01,6788.7
2009-11-01,6842.6
2009-12-01,6879.4
2010-01-01,6841.9
2010-02-01,6920.2
2010-03-01,6932.6
2010-04-01,6976.6
2010-05-01,7036
2010-06-01,7076.8
2010-07-01,7102.9
2010-08-01,7158.7
2010-09-01,7219.3
2010-10-01,7284.4
2010-11-01,7346.8
2010-12-01,7394.5
2011-01-01,7429.3
2011-02-01,7493.5
2011-03-01,7545.3
2011-04-01,7602.1
2011-05-01,7663.9
2011-06-01,7753.8
2011-07-01,7943.2
2011-08-01,8169.9
2011-09-01,8211.7
2011-10-01,8252
2011-11-01,8312.4
2011-12-01,8352.9
2012-01-01,8431.8
2012-02-01,8475.5
2012-03-01,8521.4
2012-04-01,8574.2
2012-05-01,8624
2012-06-01,8681.4
2012-07-01,8785
2012-08-01,8863.2
2012-09-01,8944.1
2012-10-01,9035.8
2012-11-01,9098.3
2012-12-01,9213.1
2013-01-01,9260.2
2013-02-01,9248.3
2013-03-01,9290.8
2013-04-01,9351.8
2013-05-01,9380.3
2013-06-01,9430.4
2013-07-01,9541.4
2013-08-01,9605.6
2013-09-01,9662.3
2013-10-01,9794
2013-11-01,9783.4
2013-12-01,9835.2
