"Date","BOGMBBM"
1959-01-01,18900
1959-02-01,18600
1959-03-01,18400
1959-04-01,18700
1959-05-01,18600
1959-06-01,18500
1959-07-01,18700
1959-08-01,18600
1959-09-01,18600
1959-10-01,18600
1959-11-01,18600
1959-12-01,18700
1960-01-01,18500
1960-02-01,17900
1960-03-01,17800
1960-04-01,17900
1960-05-01,17900
1960-06-01,18000
1960-07-01,18200
1960-08-01,18100
1960-09-01,17700
1960-10-01,17900
1960-11-01,17700
1960-12-01,16700
1961-01-01,16700
1961-02-01,16500
1961-03-01,16400
1961-04-01,16500
1961-05-01,16400
1961-06-01,16600
1961-07-01,16600
1961-08-01,16700
1961-09-01,16800
1961-10-01,17100
1961-11-01,17200
1961-12-01,17300
1962-01-01,17200
1962-02-01,16900
1962-03-01,17000
1962-04-01,17100
1962-05-01,17100
1962-06-01,17200
1962-07-01,17300
1962-08-01,17100
1962-09-01,17200
1962-10-01,17400
1962-11-01,16700
1962-12-01,16900
1963-01-01,16900
1963-02-01,16700
1963-03-01,16700
1963-04-01,16700
1963-05-01,16800
1963-06-01,16800
1963-07-01,17000
1963-08-01,16700
1963-09-01,16900
1963-10-01,16900
1963-11-01,17000
1963-12-01,17300
1964-01-01,17300
1964-02-01,17000
1964-03-01,17200
1964-04-01,17100
1964-05-01,17100
1964-06-01,17300
1964-07-01,17400
1964-08-01,17300
1964-09-01,17600
1964-10-01,17700
1964-11-01,17800
1964-12-01,18000
1965-01-01,18000
1965-02-01,17800
1965-03-01,17800
1965-04-01,18100
1965-05-01,18000
1965-06-01,18200
1965-07-01,18300
1965-08-01,18000
1965-09-01,18200
1965-10-01,18300
1965-11-01,18200
1965-12-01,18800
1966-01-01,18800
1966-02-01,18500
1966-03-01,18500
1966-04-01,18800
1966-05-01,18700
1966-06-01,18700
1966-07-01,19200
1966-08-01,18800
1966-09-01,19300
1966-10-01,19400
1966-11-01,19200
1966-12-01,19600
1967-01-01,19800
1967-02-01,19700
1967-03-01,19400
1967-04-01,19400
1967-05-01,19200
1967-06-01,19400
1967-07-01,19700
1967-08-01,19600
1967-09-01,20000
1967-10-01,20400
1967-11-01,20400
1967-12-01,20800
1968-01-01,21200
1968-02-01,21300
1968-03-01,21300
1968-04-01,21200
1968-05-01,21100
1968-06-01,21300
1968-07-01,21600
1968-08-01,21600
1968-09-01,21500
1968-10-01,22100
1968-11-01,22200
1968-12-01,22500
1969-01-01,23000
1969-02-01,22700
1969-03-01,22200
1969-04-01,22600
1969-05-01,23300
1969-06-01,22700
1969-07-01,22400
1969-08-01,22400
1969-09-01,22300
1969-10-01,22700
1969-11-01,23000
1969-12-01,23100
1970-01-01,23600
1970-02-01,23000
1970-03-01,22800
1970-04-01,23400
1970-05-01,23100
1970-06-01,22700
1970-07-01,23200
1970-08-01,23400
1970-09-01,23700
1970-10-01,23500
1970-11-01,23500
1970-12-01,23900
1971-01-01,24900
1971-02-01,24700
1971-03-01,24600
1971-04-01,24800
1971-05-01,25200
1971-06-01,24900
1971-07-01,25300
1971-08-01,25100
1971-09-01,25300
1971-10-01,25400
1971-11-01,25500
1971-12-01,25700
1972-01-01,27000
1972-02-01,26400
1972-03-01,26500
1972-04-01,27200
1972-05-01,27400
1972-06-01,27000
1972-07-01,27400
1972-08-01,27400
1972-09-01,27300
1972-10-01,28100
1972-11-01,26000
1972-12-01,25300
1973-01-01,26400
1973-02-01,25700
1973-03-01,26000
1973-04-01,26500
1973-05-01,26400
1973-06-01,26100
1973-07-01,27200
1973-08-01,27400
1973-09-01,27600
1973-10-01,28600
1973-11-01,28400
1973-12-01,28500
1974-01-01,29400
1974-02-01,28600
1974-03-01,28500
1974-04-01,29600
1974-05-01,29900
1974-06-01,29800
1974-07-01,30500
1974-08-01,30300
1974-09-01,30100
1974-10-01,30000
1974-11-01,29800
1974-12-01,29700
1975-01-01,29900
1975-02-01,28500
1975-03-01,27900
1975-04-01,28300
1975-05-01,27700
1975-06-01,27700
1975-07-01,27700
1975-08-01,27200
1975-09-01,27200
1975-10-01,27300
1975-11-01,27200
1975-12-01,27200
1976-01-01,27200
1976-02-01,26500
1976-03-01,26300
1976-04-01,26600
1976-05-01,26200
1976-06-01,26000
1976-07-01,26200
1976-08-01,26100
1976-09-01,25800
1976-10-01,26300
1976-11-01,26500
1976-12-01,26700
1977-01-01,27100
1977-02-01,26100
1977-03-01,25900
1977-04-01,26400
1977-05-01,26100
1977-06-01,25800
1977-07-01,26700
1977-08-01,26500
1977-09-01,26300
1977-10-01,26900
1977-11-01,27000
1977-12-01,27100
1978-01-01,28200
1978-02-01,27500
1978-03-01,27100
1978-04-01,27900
1978-05-01,27900
1978-06-01,28000
1978-07-01,28700
1978-08-01,28100
1978-09-01,28200
1978-10-01,28700
1978-11-01,29900
1978-12-01,31300
1979-01-01,32000
1979-02-01,30600
1979-03-01,30400
1979-04-01,31000
1979-05-01,30200
1979-06-01,30000
1979-07-01,30400
1979-08-01,30200
1979-09-01,30300
1979-10-01,31600
1979-11-01,32300
1979-12-01,32700
1980-01-01,32900
1980-02-01,32100
1980-03-01,32400
1980-04-01,34000
1980-05-01,33000
1980-06-01,32400
1980-07-01,31600
1980-08-01,29100
1980-09-01,29400
1980-10-01,30000
1980-11-01,28900
1980-12-01,27400
1981-01-01,27200
1981-02-01,26700
1981-03-01,26700
1981-04-01,27300
1981-05-01,27000
1981-06-01,26700
1981-07-01,27100
1981-08-01,27000
1981-09-01,25600
1981-10-01,25800
1981-11-01,26000
1981-12-01,26300
1982-01-01,26800
1982-02-01,26100
1982-03-01,24400
1982-04-01,24700
1982-05-01,24400
1982-06-01,24200
1982-07-01,24500
1982-08-01,24700
1982-09-01,23700
1982-10-01,24600
1982-11-01,25000
1982-12-01,25200
1983-01-01,24900
1983-02-01,24100
1983-03-01,22800
1983-04-01,23200
1983-05-01,22700
1983-06-01,22600
1983-07-01,23000
1983-08-01,22800
1983-09-01,21500
1983-10-01,22000
1983-11-01,21900
1983-12-01,22000
1984-01-01,22400
1984-02-01,19700
1984-03-01,20700
1984-04-01,21800
1984-05-01,20800
1984-06-01,21400
1984-07-01,21300
1984-08-01,20500
1984-09-01,21400
1984-10-01,21500
1984-11-01,22000
1984-12-01,23100
1985-01-01,23200
1985-02-01,21900
1985-03-01,23500
1985-04-01,24500
1985-05-01,23800
1985-06-01,24700
1985-07-01,24800
1985-08-01,24900
1985-09-01,26200
1985-10-01,27000
1985-11-01,28100
1985-12-01,29500
1986-01-01,28400
1986-02-01,26500
1986-03-01,28800
1986-04-01,30700
1986-05-01,30000
1986-06-01,31500
1986-07-01,32200
1986-08-01,32100
1986-09-01,33600
1986-10-01,34800
1986-11-01,36800
1986-12-01,39500
1987-01-01,38900
1987-02-01,36000
1987-03-01,37400
1987-04-01,40000
1987-05-01,38600
1987-06-01,38400
1987-07-01,38400
1987-08-01,37600
1987-09-01,38600
1987-10-01,39400
1987-11-01,39300
1987-12-01,39600
1988-01-01,39700
1988-02-01,36300
1988-03-01,37900
1988-04-01,40200
1988-05-01,38300
1988-06-01,39600
1988-07-01,39800
1988-08-01,38800
1988-09-01,39000
1988-10-01,38300
1988-11-01,38900
1988-12-01,39300
1989-01-01,38600
1989-02-01,34700
1989-03-01,36700
1989-04-01,37800
1989-05-01,35000
1989-06-01,35700
1989-07-01,35800
1989-08-01,34700
1989-09-01,35200
1989-10-01,35100
1989-11-01,36000
1989-12-01,37600
1990-01-01,36300
1990-02-01,33000
1990-03-01,35600
1990-04-01,37500
1990-05-01,34900
1990-06-01,35800
1990-07-01,34900
1990-08-01,34500
1990-09-01,35300
1990-10-01,34200
1990-11-01,35400
1990-12-01,32300
1991-01-01,25000
1991-02-01,22700
1991-03-01,24700
1991-04-01,26600
1991-05-01,25600
1991-06-01,26900
1991-07-01,26600
1991-08-01,26200
1991-09-01,27300
1991-10-01,27300
1991-11-01,29300
1991-12-01,30900
1992-01-01,29900
1992-02-01,29600
1992-03-01,32800
1992-04-01,27600
1992-05-01,26400
1992-06-01,26600
1992-07-01,26900
1992-08-01,27000
1992-09-01,28400
1992-10-01,29400
1992-11-01,31500
1992-12-01,31400
1993-01-01,30400
1993-02-01,30000
1993-03-01,31100
1993-04-01,33500
1993-05-01,32300
1993-06-01,32900
1993-07-01,32900
1993-08-01,32700
1993-09-01,33600
1993-10-01,34900
1993-11-01,35400
1993-12-01,36200
1994-01-01,34900
1994-02-01,34100
1994-03-01,34000
1994-04-01,36100
1994-05-01,32900
1994-06-01,32500
1994-07-01,32000
1994-08-01,31000
1994-09-01,30300
1994-10-01,29700
1994-11-01,29400
1994-12-01,29500
1995-01-01,27000
1995-02-01,26200
1995-03-01,27100
1995-04-01,28400
1995-05-01,25800
1995-06-01,25400
1995-07-01,25200
1995-08-01,25200
1995-09-01,25200
1995-10-01,25000
1995-11-01,25300
1995-12-01,26100
1996-01-01,23900
1996-02-01,22900
1996-03-01,24500
1996-04-01,25200
1996-05-01,23100
1996-06-01,22700
1996-07-01,21700
1996-08-01,21300
1996-09-01,20200
1996-10-01,19800
1996-11-01,19900
1996-12-01,20600
1997-01-01,19200
1997-02-01,18900
1997-03-01,18800
1997-04-01,19600
1997-05-01,18400
1997-06-01,17900
1997-07-01,17300
1997-08-01,17600
1997-09-01,16800
1997-10-01,17000
1997-11-01,17700
1997-12-01,17700
1998-01-01,17100
1998-02-01,16700
1998-03-01,17200
1998-04-01,17900
1998-05-01,16300
1998-06-01,16600
1998-07-01,16500
1998-08-01,16600
1998-09-01,16100
1998-10-01,16100
1998-11-01,15700
1998-12-01,16000
1999-01-01,17400
1999-02-01,15800
1999-03-01,16200
1999-04-01,15900
1999-05-01,17000
1999-06-01,15600
1999-07-01,14900
1999-08-01,14900
1999-09-01,14800
1999-10-01,13600
1999-11-01,13300
1999-12-01,12600
2000-01-01,12900
2000-02-01,12300
2000-03-01,13400
2000-04-01,13900
2000-05-01,14600
2000-06-01,13300
2000-07-01,13400
2000-08-01,13600
2000-09-01,13600
2000-10-01,13800
2000-11-01,14300
2000-12-01,14100
2001-01-01,14200
2001-02-01,13500
2001-03-01,13800
2001-04-01,13700
2001-05-01,14500
2001-06-01,14200
2001-07-01,14900
2001-08-01,15000
2001-09-01,34100
2001-10-01,19900
2001-11-01,17300
2001-12-01,18500
2002-01-01,19200
2002-02-01,18600
2002-03-01,18800
2002-04-01,19700
2002-05-01,19200
2002-06-01,18200
2002-07-01,18300
2002-08-01,18700
2002-09-01,19000
2002-10-01,19200
2002-11-01,20300
2002-12-01,20900
2003-01-01,21100
2003-02-01,20700
2003-03-01,21400
2003-04-01,22300
2003-05-01,23000
2003-06-01,22500
2003-07-01,23400
2003-08-01,25400
2003-09-01,24100
2003-10-01,23000
2003-11-01,23400
2003-12-01,23000
2004-01-01,22700
2004-02-01,21800
2004-03-01,22700
2004-04-01,24300
2004-05-01,24200
2004-06-01,23500
2004-07-01,23300
2004-08-01,22500
2004-09-01,23400
2004-10-01,22600
2004-11-01,22400
2004-12-01,22800
2005-01-01,25700
2005-02-01,21700
2005-03-01,21200
2005-04-01,21900
2005-05-01,20900
2005-06-01,20000
2005-07-01,19700
2005-08-01,19400
2005-09-01,19900
2005-10-01,18300
2005-11-01,18300
2005-12-01,18400
2006-01-01,19300
2006-02-01,17900
2006-03-01,21000
2006-04-01,18300
2006-05-01,18200
2006-06-01,17200
2006-07-01,16700
2006-08-01,15900
2006-09-01,16100
2006-10-01,15300
2006-11-01,15400
2006-12-01,15600
2007-01-01,15700
2007-02-01,14700
2007-03-01,14500
2007-04-01,15300
2007-05-01,15900
2007-06-01,15400
2007-07-01,15100
2007-08-01,17900
