"Date","M1421CUSM144NNBR"
1944-01-01,19
1944-02-01,18
1944-03-01,31
1944-04-01,39
1944-05-01,107
1944-06-01,95
1944-07-01,28
1944-08-01,46
1944-09-01,53
1944-10-01,71
1944-11-01,175
1944-12-01,79
1945-01-01,79
1945-02-01,150
1945-03-01,135
1945-04-01,233
1945-05-01,302
1945-06-01,191
1945-07-01,88
1945-08-01,234
1945-09-01,277
1945-10-01,265
1945-11-01,376
1945-12-01,142
1946-01-01,91
1946-02-01,190
1946-03-01,229
1946-04-01,254
1946-05-01,143
1946-06-01,121
1946-07-01,114
1946-08-01,107
1946-09-01,120
1946-10-01,105
1946-11-01,183
1946-12-01,151
1947-01-01,104
1947-02-01,176
1947-03-01,152
1947-04-01,122
1947-05-01,99
1947-06-01,124
1947-07-01,90
1947-08-01,101
1947-09-01,89
1947-10-01,101
1947-11-01,214
1947-12-01,186
1948-01-01,115
1948-02-01,210
1948-03-01,227
1948-04-01,104
1948-05-01,94
1948-06-01,77
1948-07-01,64
1948-08-01,70
1948-09-01,73
1948-10-01,81
1948-11-01,93
1948-12-01,84
1949-01-01,71
1949-02-01,87
1949-03-01,96
1949-04-01,79
