"Date","RPNS"
1970-01-01,3.9
1970-02-01,4.6
1970-03-01,4.8
1970-04-01,4.2
1970-05-01,4.8
1970-06-01,4.1
1970-07-01,3
1970-08-01,2.8
1970-09-01,2.6
1970-10-01,2.7
1970-11-01,3
1970-12-01,2.9
1971-01-01,2.8
1971-02-01,3
1971-03-01,3.3
1971-04-01,4
1971-05-01,4.6
1971-06-01,3.8
1971-07-01,3.9
1971-08-01,4.1
1971-09-01,4.3
1971-10-01,4.5
1971-11-01,5.5
1971-12-01,5
1972-01-01,4.3
1972-02-01,5
1972-03-01,5.3
1972-04-01,5.8
1972-05-01,5.9
1972-06-01,6.4
1972-07-01,6.8
1972-08-01,6.9
1972-09-01,5.9
1972-10-01,6
1972-11-01,6.9
1972-12-01,6.3
1973-01-01,6.7
1973-02-01,8
1973-03-01,7.9
1973-04-01,7.6
1973-05-01,7.9
1973-06-01,9
1973-07-01,10.7
1973-08-01,11.1
1973-09-01,12.1
1973-10-01,13.2
1973-11-01,13.3
1973-12-01,12.1
1974-01-01,11.9
1974-02-01,13.5
1974-03-01,14.4
1974-04-01,13.9
1974-05-01,15
1974-06-01,15.9
1974-07-01,15.8
1974-08-01,16.5
1974-09-01,16.5
1974-10-01,15.3
1974-11-01,16
1974-12-01,13.6
1975-01-01,12.5
1975-02-01,13.9
1975-03-01,13.7
1975-04-01,14
1975-05-01,14.6
1975-06-01,14
1975-07-01,14.6
1975-08-01,14.4
1975-09-01,16.1
1975-10-01,15.3
1975-11-01,15.9
1975-12-01,14.3
1976-01-01,14.7
1976-02-01,16
1976-03-01,16.6
1976-04-01,17.6
1976-05-01,21.2
1976-06-01,19.7
1976-07-01,19.8
1976-08-01,23.8
1976-09-01,22.6
1976-10-01,21.3
1976-11-01,23.3
1976-12-01,24.7
1977-01-01,22.7
1977-02-01,23.4
1977-03-01,24.8
1977-04-01,24.8
1977-05-01,28.6
1977-06-01,27.7
1977-07-01,28.2
1977-08-01,30
1977-09-01,30.5
1977-10-01,30.2
1977-11-01,33
1977-12-01,33.1
1978-01-01,32.1
1978-02-01,33.1
1978-03-01,34.8
1978-04-01,34.6
1978-05-01,36.4
1978-06-01,33.5
1978-07-01,34.8
1978-08-01,37.4
1978-09-01,37.2
1978-10-01,39
1978-11-01,42.4
1978-12-01,45.3
1979-01-01,45.2
1979-02-01,46.6
1979-03-01,48.4
1979-04-01,50.1
1979-05-01,54.2
1979-06-01,55.1
1979-07-01,53.8
1979-08-01,54.5
1979-09-01,57.5
1979-10-01,55.7
1979-11-01,50.4
1979-12-01,49.5
1980-01-01,46.8
1980-02-01,47.1
1980-03-01,47.1
1980-04-01,44
1980-05-01,44.7
1980-06-01,47.5
1980-07-01,51.9
1980-08-01,55.2
1980-09-01,55.1
1980-10-01,56.2
1980-11-01,57.2
1980-12-01,58.5
1981-01-01,61
1981-02-01,60.3
1981-03-01,60.3
1981-04-01,60.3
1981-05-01,62.3
1981-06-01,65.4
1981-07-01,64
1981-08-01,64.1
1981-09-01,63.4
1981-10-01,63
1981-11-01,65.9
1981-12-01,67.9
1982-01-01,68.8
1982-02-01,68.3
1982-03-01,69.6
1982-04-01,69.5
1982-05-01,68.3
1982-06-01,66.4
1982-07-01,66.5
1982-08-01,71.9
1982-09-01,71.1
1982-10-01,74.1
1982-11-01,74.3
1982-12-01,71.8
1983-01-01,73
1983-02-01,76.1
1983-03-01,78.6
1983-04-01,81.7
1983-05-01,86.9
1983-06-01,85.7
1983-07-01,83.4
1983-08-01,85
1983-09-01,86
1983-10-01,88.7
1983-11-01,95.3
1983-12-01,97.5
1984-01-01,97.4
1984-02-01,99.2
1984-03-01,100.8
1984-04-01,105.4
1984-05-01,108.7
1984-06-01,105.3
1984-07-01,105.7
1984-08-01,112.1
1984-09-01,114.1
1984-10-01,113.8
1984-11-01,114.1
1984-12-01,107.8
1985-01-01,106.6
1985-02-01,111
1985-03-01,110.9
1985-04-01,106.8
1985-05-01,107.7
1985-06-01,106.3
1985-07-01,105.3
1985-08-01,108.5
1985-09-01,110.6
1985-10-01,112.3
1985-11-01,117.2
1985-12-01,121.5
1986-01-01,121.2
1986-02-01,125.1
1986-03-01,124.7
1986-04-01,124.6
1986-05-01,127.7
1986-06-01,126.8
1986-07-01,131.2
1986-08-01,135.8
1986-09-01,136.7
1986-10-01,140
1986-11-01,145
1986-12-01,145.8
1987-01-01,148.7
1987-02-01,150.7
1987-03-01,148
1987-04-01,152.7
1987-05-01,160.4
1987-06-01,164.5
1987-07-01,167.1
1987-08-01,175.5
1987-09-01,180.5
1987-10-01,180.9
1987-11-01,184
1987-12-01,176.9
1988-01-01,179.6
1988-02-01,179
1988-03-01,175
1988-04-01,179.2
1988-05-01,188.2
1988-06-01,190.7
1988-07-01,190.2
1988-08-01,191.7
1988-09-01,190.5
1988-10-01,194
1988-11-01,197.4
1988-12-01,194.1
1989-01-01,195
1989-02-01,195.9
1989-03-01,197.6
1989-04-01,192.3
1989-05-01,192.9
1989-06-01,197.2
1989-07-01,191.7
1989-08-01,184.4
1989-09-01,177.6
1989-10-01,176.3
1989-11-01,177.1
1989-12-01,166.2
1990-01-01,165.8
1990-02-01,170.7
1990-03-01,167.9
1990-04-01,164.8
1990-05-01,168.7
1990-06-01,171.9
1990-07-01,171.4
1990-08-01,172.1
1990-09-01,165.8
1990-10-01,163.3
1990-11-01,157.9
1990-12-01,148.7
1991-01-01,145.5
1991-02-01,140.9
1991-03-01,135.4
1991-04-01,134.6
1991-05-01,133.8
1991-06-01,132.9
1991-07-01,132.3
1991-08-01,133.3
1991-09-01,129.9
1991-10-01,132.3
1991-11-01,133.1
1991-12-01,128.9
1992-01-01,129.3
1992-02-01,133.3
1992-03-01,132.3
1992-04-01,129
1992-05-01,129.3
1992-06-01,133.5
1992-07-01,131.8
1992-08-01,137.9
1992-09-01,137.3
1992-10-01,139.4
1992-11-01,140.4
1992-12-01,139.1
1993-01-01,138.8
1993-02-01,142.4
1993-03-01,148.6
1993-04-01,151.9
1993-05-01,153.5
1993-06-01,159.7
1993-07-01,165.3
1993-08-01,164.7
1993-09-01,167.6
1993-10-01,168.9
1993-11-01,169.2
1993-12-01,169.4
1994-01-01,168.4
1994-02-01,166.5
1994-03-01,172.8
1994-04-01,176.7
1994-05-01,176.9
1994-06-01,183.6
1994-07-01,184.6
1994-08-01,184.6
1994-09-01,186.2
1994-10-01,186.9
1994-11-01,188.4
