"Date","H0MDTLTNM"
1995-08-01,72.6
1995-09-01,73
1995-10-01,74.1
1995-11-01,74.6
1995-12-01,74.3
1996-01-01,74.6
1996-02-01,75.1
1996-03-01,74.5
1996-04-01,74.3
1996-05-01,74.8
1996-06-01,74.7
1996-07-01,75.1
1996-08-01,76.2
1996-09-01,77
1996-10-01,78.4
1996-11-01,79
1996-12-01,78.1
1997-01-01,78.9
1997-02-01,80.2
1997-03-01,79.9
1997-04-01,79.9
1997-05-01,81
1997-06-01,81.5
1997-07-01,82.5
1997-08-01,83.3
1997-09-01,84
1997-10-01,84.9
1997-11-01,85.4
1997-12-01,85.4
1998-01-01,85.6
1998-02-01,86.5
1998-03-01,86.3
1998-04-01,86.7
1998-05-01,86.1
1998-06-01,86.5
1998-07-01,85.9
1998-08-01,85.8
1998-09-01,86.8
1998-10-01,88.4
1998-11-01,88.4
1998-12-01,88.6
1999-01-01,89
1999-02-01,89.3
1999-03-01,89.5
1999-04-01,89.3
1999-05-01,89.3
1999-06-01,89.2
1999-07-01,88.9
1999-08-01,89.5
1999-09-01,90
1999-10-01,90.5
1999-11-01,92.1
1999-12-01,92.2
2000-01-01,94.3
2000-02-01,95.7
2000-03-01,96.6
2000-04-01,96.3
2000-05-01,96.2
2000-06-01,97.7
2000-07-01,99.3
2000-08-01,100.4
2000-09-01,101.5
2000-10-01,103.1
2000-11-01,104
2000-12-01,103.1
2001-01-01,105.2
2001-02-01,107
2001-03-01,108
2001-04-01,109.9
2001-05-01,112
2001-06-01,110.7
2001-07-01,111.8
2001-08-01,114.3
2001-09-01,115.3
2001-10-01,115.6
2001-11-01,114.6
2001-12-01,114.8
2002-01-01,114.9
2002-02-01,115.1
2002-03-01,115.1
2002-04-01,115.6
2002-05-01,113.5
2002-06-01,112
2002-07-01,111.4
2002-08-01,112.5
2002-09-01,113.2
2002-10-01,114.5
2002-11-01,116.3
2002-12-01,117.3
2003-01-01,118.1
2003-02-01,118.4
2003-03-01,117.9
2003-04-01,118.2
2003-05-01,118.5
2003-06-01,119.4
2003-07-01,121.7
2003-08-01,122.9
2003-09-01,122.7
2003-10-01,122.3
2003-11-01,121.2
2003-12-01,120.1
2004-01-01,120.1
2004-02-01,121.4
2004-03-01,124.4
2004-04-01,128.8
2004-05-01,134.7
2004-06-01,134.8
2004-07-01,138.5
2004-08-01,143.9
2004-09-01,148.3
2004-10-01,150.9
2004-11-01,154.6
2004-12-01,160.4
2005-01-01,166.1
2005-02-01,172.3
2005-03-01,179.1
2005-04-01,189.7
2005-05-01,195
2005-06-01,200.4
2005-07-01,204
2005-08-01,210.1
2005-09-01,216.4
2005-10-01,223.4
2005-11-01,227.6
2005-12-01,228.9
2006-01-01,233.5
2006-02-01,233.5
