"Date","MANMNM01USM657S"
1959-02-01,0.359971202303821
1959-03-01,0.215208034433282
1959-04-01,0
1959-05-01,0.715819613457403
1959-06-01,0.355366027007824
1959-07-01,0.354107648725201
1959-08-01,0.141143260409325
1959-09-01,-0.634249471458781
1959-10-01,-0.354609929078003
1959-11-01,-0.0711743772242039
1959-12-01,-0.356125356125362
1960-01-01,0.0714796283059374
1960-02-01,-0.071428571428576
1960-03-01,-0.0714796283059374
1960-04-01,-0.143061516452066
1960-05-01,0
1960-06-01,0
1960-07-01,0.42979942693409
1960-08-01,0.784593437945791
1960-09-01,-0.0707714083510136
1960-10-01,-0.212464589235124
1960-11-01,0
1960-12-01,-0.141944641589789
1961-01-01,0.284292821606256
1961-02-01,0.354358610914251
1961-03-01,0.211864406779658
1961-04-01,0.140944326990831
1961-05-01,0.422237860661516
1961-06-01,0.140154169586537
1961-07-01,0
1961-08-01,0.419874037788674
1961-09-01,0.209059233449474
1961-10-01,0.208623087621693
1961-11-01,0.485773768216514
1961-12-01,0.276243093922653
1962-01-01,0
1962-02-01,0.344352617079895
1962-03-01,0.20590253946465
1962-04-01,0.273972602739727
1962-05-01,0.273224043715848
1962-06-01,-0.136239782016358
1962-07-01,-0.068212824010902
1962-08-01,0.0682593856655169
1962-09-01,-0.204638472032739
1962-10-01,0.27341079972659
1962-11-01,0.408997955010218
1962-12-01,0.33944331296674
1963-01-01,0.338294993234106
1963-02-01,0.404585300067424
1963-03-01,0.201477501678976
1963-04-01,0.335120643431641
1963-05-01,0.467601870407479
1963-06-01,0
1963-07-01,0.598404255319155
1963-08-01,0.330469266358234
1963-09-01,0.131752305665342
1963-10-01,0.394736842105257
1963-11-01,0.655307994757547
1963-12-01,-0.195312499999997
1964-01-01,0.260926288323534
1964-02-01,0.390370852309704
1964-03-01,0.1296176279974
1964-04-01,0.194174757281566
1964-05-01,0.322997416020661
1964-06-01,0.193174500965869
1964-07-01,0.771208226221083
1964-08-01,0.637755102040827
1964-09-01,0.570342205323185
1964-10-01,0.315059861373666
1964-11-01,0.502512562814072
1964-12-01,0.187499999999997
1965-01-01,0.249532127261386
1965-02-01,0.124455507156185
1965-03-01,0.372902423865764
1965-04-01,0.309597523219804
1965-05-01,-0.185185185185182
1965-06-01,0.309214594928886
1965-07-01,0.493218249075218
1965-08-01,0.429447852760734
1965-09-01,0.671960904092852
1965-10-01,0.728155339805828
1965-11-01,0.42168674698795
1965-12-01,0.65986802639472
1966-01-01,0.774731823599516
1966-02-01,0.295683027794209
1966-03-01,0.530660377358496
1966-04-01,0.762463343108497
1966-05-01,-0.291036088474961
1966-06-01,0.175131348511381
1966-07-01,-0.757575757575764
1966-08-01,0.293599530240756
1966-09-01,0.702576112412181
1966-10-01,-0.465116279069769
1966-11-01,0.116822429906535
1966-12-01,0.350058343057185
1967-01-01,-0.0581395348837247
1967-02-01,0.639906922629435
1967-03-01,1.04046242774568
1967-04-01,-0.343249427917628
1967-05-01,0.861079219288174
1967-06-01,0.739897552646549
1967-07-01,0.621468926553658
1967-08-01,0.898371701291413
1967-09-01,0.556483027267677
1967-10-01,0.498063087991138
1967-11-01,0.440528634361235
1967-12-01,0.493421052631598
1968-01-01,0.545553737043094
1968-02-01,0.217037438958234
1968-03-01,0.433134813210613
1968-04-01,0.592991913746617
1968-05-01,0.750267952840284
1968-06-01,0.744680851063852
1968-07-01,0.580781414994719
1968-08-01,0.682414698162723
1968-09-01,0.469238790406691
1968-10-01,0.674623767514251
1968-11-01,1.03092783505154
1968-12-01,0.714285714285723
1969-01-01,0.658561296859175
1969-02-01,0.30196275792653
1969-03-01,0.351229302558943
1969-04-01,0.349999999999998
1969-05-01,0.0498256103637302
1969-06-01,0.249003984063737
1969-07-01,0.19870839542972
1969-08-01,0
1969-09-01,0.198314328210202
1969-10-01,0.395843641761506
1969-11-01,0.344997535731886
1969-12-01,0.147347740667986
1970-01-01,1.12800392349191
1970-02-01,-0.581959262851614
1970-03-01,0.341463414634168
1970-04-01,0.486144871171605
1970-05-01,0.241896468311555
1970-06-01,0.193050193050194
1970-07-01,0.192678227360309
1970-08-01,0.913461538461539
1970-09-01,0.905192949023345
1970-10-01,0.519357884796989
1970-11-01,0.375763269140443
1970-12-01,0.327562002807661
1971-01-01,0.513059701492537
1971-02-01,0.881670533642703
1971-03-01,0.643974241030333
1971-04-01,0.548446069469849
1971-05-01,0.909090909090902
1971-06-01,0.675675675675687
1971-07-01,0.626398210290825
1971-08-01,0.311249444197409
1971-09-01,0.398936170212802
1971-10-01,0.309050772626898
1971-11-01,0.264084507042249
1971-12-01,0.219490781387185
1972-01-01,0.78843626806834
1972-02-01,0.956106040851823
1972-03-01,0.860955660783442
1972-04-01,0.554844216816053
1972-05-01,0.127334465195244
1972-06-01,0.29673590504454
1972-07-01,0.929839391377831
1972-08-01,0.879396984924649
1972-09-01,0.954753009547501
1972-10-01,0.740131578947376
1972-11-01,0.571428571428569
1972-12-01,1.13636363636363
1973-01-01,0.92295345104333
1973-02-01,0.278330019880724
1973-03-01,-0.198255352894531
1973-04-01,0.397298371076685
1973-05-01,0.870597546497822
1973-06-01,0.706159278148282
1973-07-01,0.311647837943126
1973-08-01,0.0776699029126264
1973-09-01,0.0776096235933118
1973-10-01,0.426521907716187
1973-11-01,0.772200772200766
1973-12-01,0.727969348659004
1974-01-01,0.342335488779016
1974-02-01,0.568612585291879
1974-03-01,0.527704485488124
1974-04-01,0.187476565429324
1974-05-01,0.149700598802405
1974-06-01,0.336322869955151
1974-07-01,0.297951582867785
