"Date","MSIM2MP"
1967-01-01,658.9
1967-02-01,661.9
1967-03-01,667.4
1967-04-01,666.7
1967-05-01,672
1967-06-01,676.9
1967-07-01,680.8
1967-08-01,686
1967-09-01,689.5
1967-10-01,692.7
1967-11-01,695.3
1967-12-01,697.7
1968-01-01,700
1968-02-01,701.2
1968-03-01,703.8
1968-04-01,706.5
1968-05-01,710
1968-06-01,713.8
1968-07-01,716
1968-08-01,719.9
1968-09-01,723.2
1968-10-01,726.5
1968-11-01,732
1968-12-01,736.7
1969-01-01,739.4
1969-02-01,740.3
1969-03-01,742.5
1969-04-01,742.8
1969-05-01,742.4
1969-06-01,743.9
1969-07-01,742.2
1969-08-01,740.5
1969-09-01,741.4
1969-10-01,741.7
1969-11-01,742.9
1969-12-01,743.9
1970-01-01,747.5
1970-02-01,739.2
1970-03-01,736.9
1970-04-01,735.7
1970-05-01,735.4
1970-06-01,736.6
1970-07-01,738.7
1970-08-01,744.7
1970-09-01,751.2
1970-10-01,755.8
1970-11-01,759.4
1970-12-01,763.4
1971-01-01,768.6
1971-02-01,775.6
1971-03-01,781.9
1971-04-01,787.9
1971-05-01,795.7
1971-06-01,801.5
1971-07-01,807.3
1971-08-01,811.7
1971-09-01,816.7
1971-10-01,820.6
1971-11-01,824
1971-12-01,827.3
1972-01-01,833.9
1972-02-01,841.7
1972-03-01,848.7
1972-04-01,853.4
1972-05-01,855.4
1972-06-01,859.2
1972-07-01,867
1972-08-01,875.4
1972-09-01,883.7
1972-10-01,890.4
1972-11-01,896.1
1972-12-01,905.1
1973-01-01,911.7
1973-02-01,913.6
1973-03-01,913.1
1973-04-01,915.7
1973-05-01,921.8
1973-06-01,927.5
1973-07-01,930.2
1973-08-01,928.8
1973-09-01,928
1973-10-01,931
1973-11-01,935.5
1973-12-01,940.7
1974-01-01,943.5
1974-02-01,947.1
1974-03-01,951.2
1974-04-01,953.2
1974-05-01,954.2
1974-06-01,956.9
1974-07-01,960.4
1974-08-01,962.4
1974-09-01,965.3
1974-10-01,969.9
1974-11-01,975.2
1974-12-01,979.2
1975-01-01,981.3
1975-02-01,986.8
1975-03-01,994.6
1975-04-01,999.2
1975-05-01,1011.7
1975-06-01,1025.9
1975-07-01,1033.7
1975-08-01,1038.3
1975-09-01,1045.4
1975-10-01,1047.6
1975-11-01,1055
1975-12-01,1059.7
1976-01-01,1067.7
1976-02-01,1080.3
1976-03-01,1090
1976-04-01,1099.1
1976-05-01,1105.8
1976-06-01,1107.6
1976-07-01,1112.9
1976-08-01,1121.4
1976-09-01,1126.8
1976-10-01,1137.7
1976-11-01,1146.9
1976-12-01,1158.4
1977-01-01,1167.7
1977-02-01,1179.4
1977-03-01,1187.8
1977-04-01,1196.1
1977-05-01,1201
1977-06-01,1206.2
1977-07-01,1212.2
1977-08-01,1220.8
1977-09-01,1228.7
1977-10-01,1235.4
1977-11-01,1243.7
1977-12-01,1250.4
1978-01-01,1260.8
1978-02-01,1264.6
1978-03-01,1269.5
1978-04-01,1277.4
1978-05-01,1289.8
1978-06-01,1293.1
1978-07-01,1290.3
1978-08-01,1295.1
1978-09-01,1301.8
1978-10-01,1302.3
1978-11-01,1300.3
1978-12-01,1294.9
1979-01-01,1285.7
1979-02-01,1280.9
1979-03-01,1281.7
1979-04-01,1288.3
1979-05-01,1287.9
1979-06-01,1296.1
1979-07-01,1304.6
1979-08-01,1309.6
1979-09-01,1306.2
1979-10-01,1297.5
1979-11-01,1283.1
1979-12-01,1279.4
1980-01-01,1280
1980-02-01,1281.3
1980-03-01,1265.3
1980-04-01,1238.1
1980-05-01,1235.3
1980-06-01,1254
1980-07-01,1277.1
1980-08-01,1300.7
1980-09-01,1316.3
1980-10-01,1324.9
1980-11-01,1321.1
1980-12-01,1298.5
1981-01-01,1273.6
1981-02-01,1267.4
1981-03-01,1269.8
1981-04-01,1285.6
1981-05-01,1275.3
1981-06-01,1268.1
1981-07-01,1272.1
1981-08-01,1266
1981-09-01,1259.8
1981-10-01,1257.8
1981-11-01,1262.5
1981-12-01,1275.2
1982-01-01,1289.9
1982-02-01,1285.4
1982-03-01,1284.9
1982-04-01,1292.8
1982-05-01,1293.4
1982-06-01,1295.5
1982-07-01,1293.6
1982-08-01,1303.7
1982-09-01,1317
1982-10-01,1339.3
1982-11-01,1359.5
1982-12-01,1376.9
1983-01-01,1399.8
1983-02-01,1424
1983-03-01,1441
1983-04-01,1447.7
1983-05-01,1462.6
1983-06-01,1469.8
1983-07-01,1474.3
1983-08-01,1476.8
1983-09-01,1478.3
1983-10-01,1482.6
1983-11-01,1482.2
1983-12-01,1484.4
1984-01-01,1490.2
1984-02-01,1496.9
1984-03-01,1505.5
1984-04-01,1513.8
1984-05-01,1517
1984-06-01,1520.5
1984-07-01,1518.3
1984-08-01,1512.4
1984-09-01,1514
1984-10-01,1514.3
1984-11-01,1523.5
1984-12-01,1534.8
1985-01-01,1550.7
1985-02-01,1569.1
1985-03-01,1577.3
1985-04-01,1583.4
1985-05-01,1595.2
1985-06-01,1612.9
1985-07-01,1631
1985-08-01,1648.8
1985-09-01,1664.4
1985-10-01,1675.4
1985-11-01,1684.2
1985-12-01,1699.6
1986-01-01,1702.8
1986-02-01,1710.5
1986-03-01,1729.1
1986-04-01,1749
1986-05-01,1777.2
1986-06-01,1798.1
1986-07-01,1821.1
1986-08-01,1839.9
1986-09-01,1861.4
1986-10-01,1879.7
1986-11-01,1899.9
1986-12-01,1938.8
1987-01-01,1948.6
1987-02-01,1949.7
1987-03-01,1954.8
1987-04-01,1973
1987-05-01,1977.7
1987-06-01,1970.6
1987-07-01,1967.1
1987-08-01,1968.4
1987-09-01,1972.4
1987-10-01,1982.9
1987-11-01,1970.6
1987-12-01,1964.3
1988-01-01,1974.2
1988-02-01,1978.2
1988-03-01,1986.9
1988-04-01,1999.3
1988-05-01,2007.2
1988-06-01,2017.6
1988-07-01,2020.2
1988-08-01,2019.9
1988-09-01,2014.8
1988-10-01,2010.4
1988-11-01,2015
1988-12-01,2015.1
1989-01-01,2006.1
1989-02-01,1995.3
1989-03-01,1990.6
1989-04-01,1977
1989-05-01,1964.7
1989-06-01,1962.3
1989-07-01,1974.2
1989-08-01,1982.9
1989-09-01,1991.4
1989-10-01,2006.9
1989-11-01,2017.1
1989-12-01,2030.6
1990-01-01,2042.2
1990-02-01,2051.2
1990-03-01,2058.4
1990-04-01,2066.7
1990-05-01,2064.9
1990-06-01,2075.2
1990-07-01,2083.3
1990-08-01,2100
1990-09-01,2112
1990-10-01,2114.5
1990-11-01,2117.5
1990-12-01,2123.5
1991-01-01,2134.7
1991-02-01,2150
1991-03-01,2167.5
1991-04-01,2180.5
1991-05-01,2197.1
1991-06-01,2215.5
1991-07-01,2227.4
1991-08-01,2235
1991-09-01,2242
1991-10-01,2260.7
1991-11-01,2280.5
1991-12-01,2303.4
1992-01-01,2334.7
1992-02-01,2373.2
1992-03-01,2397.7
1992-04-01,2413
1992-05-01,2428.7
1992-06-01,2436.7
1992-07-01,2454.4
1992-08-01,2475.7
1992-09-01,2504.8
1992-10-01,2536.6
1992-11-01,2555.6
1992-12-01,2568.7
1993-01-01,2574.5
1993-02-01,2580.2
1993-03-01,2588.5
1993-04-01,2601.8
1993-05-01,2639.1
1993-06-01,2655.7
1993-07-01,2667.7
1993-08-01,2682.9
1993-09-01,2699.6
1993-10-01,2712.8
1993-11-01,2735.4
1993-12-01,2746.2
1994-01-01,2755.1
1994-02-01,2764.8
1994-03-01,2774.2
1994-04-01,2778.2
1994-05-01,2785.5
1994-06-01,2775
1994-07-01,2779.8
1994-08-01,2772.9
1994-09-01,2768.8
1994-10-01,2758
1994-11-01,2750.7
1994-12-01,2739
1995-01-01,2729.5
1995-02-01,2708.6
1995-03-01,2690.3
1995-04-01,2682.3
1995-05-01,2689.5
1995-06-01,2702.4
1995-07-01,2709.5
1995-08-01,2722.7
1995-09-01,2729.9
1995-10-01,2738
1995-11-01,2739.4
1995-12-01,2745.6
1996-01-01,2763.5
1996-02-01,2773.2
1996-03-01,2797.8
1996-04-01,2810.7
1996-05-01,2819.9
1996-06-01,2833
1996-07-01,2844.8
1996-08-01,2848.1
1996-09-01,2854.6
1996-10-01,2865.3
1996-11-01,2879.7
1996-12-01,2896.2
