"Date","M2MOWN"
1959-01-01,0
1959-02-01,0
1959-03-01,0
1959-04-01,1.165
1959-05-01,1.173
1959-06-01,1.185
1959-07-01,1.194
1959-08-01,1.205
1959-09-01,1.222
1959-10-01,1.233
1959-11-01,1.248
1959-12-01,1.264
1960-01-01,1.275
1960-02-01,1.285
1960-03-01,1.3
1960-04-01,1.315
1960-05-01,1.33
1960-06-01,1.343
1960-07-01,1.354
1960-08-01,1.363
1960-09-01,1.376
1960-10-01,1.388
1960-11-01,1.404
1960-12-01,1.417
1961-01-01,1.426
1961-02-01,1.436
1961-03-01,1.445
1961-04-01,1.451
1961-05-01,1.458
1961-06-01,1.485
1961-07-01,1.511
1961-08-01,1.535
1961-09-01,1.557
1961-10-01,1.577
1961-11-01,1.602
1961-12-01,1.719
1962-01-01,1.838
1962-02-01,1.956
1962-03-01,1.982
1962-04-01,2.005
1962-05-01,2.028
1962-06-01,2.038
1962-07-01,2.047
1962-08-01,2.053
1962-09-01,2.062
1962-10-01,2.065
1962-11-01,2.073
1962-12-01,2.078
1963-01-01,2.085
1963-02-01,2.09
1963-03-01,2.097
1963-04-01,2.101
1963-05-01,2.104
1963-06-01,2.133
1963-07-01,2.153
1963-08-01,2.176
1963-09-01,2.181
1963-10-01,2.18
1963-11-01,2.183
1963-12-01,2.191
1964-01-01,2.197
1964-02-01,2.201
1964-03-01,2.207
1964-04-01,2.211
1964-05-01,2.215
1964-06-01,2.222
1964-07-01,2.221
1964-08-01,2.222
1964-09-01,2.224
1964-10-01,2.226
1964-11-01,2.231
1964-12-01,2.255
1965-01-01,2.283
1965-02-01,2.311
1965-03-01,2.315
1965-04-01,2.317
1965-05-01,2.325
1965-06-01,2.33
1965-07-01,2.331
1965-08-01,2.334
1965-09-01,2.354
1965-10-01,2.374
1965-11-01,2.399
1965-12-01,2.397
1966-01-01,2.398
1966-02-01,2.398
1966-03-01,2.392
1966-04-01,2.377
1966-05-01,2.376
1966-06-01,2.374
1966-07-01,2.38
1966-08-01,2.374
1966-09-01,2.366
1966-10-01,2.365
1966-11-01,2.363
1966-12-01,2.356
1967-01-01,2.362
1967-02-01,2.358
1967-03-01,2.353
1967-04-01,2.361
1967-05-01,2.359
1967-06-01,2.359
1967-07-01,2.358
1967-08-01,2.355
1967-09-01,2.354
1967-10-01,2.347
1967-11-01,2.341
1967-12-01,2.331
1968-01-01,2.333
1968-02-01,2.334
1968-03-01,2.341
1968-04-01,2.335
1968-05-01,2.329
1968-06-01,2.331
1968-07-01,2.325
1968-08-01,2.321
1968-09-01,2.326
1968-10-01,2.316
1968-11-01,2.303
1968-12-01,2.294
1969-01-01,2.297
1969-02-01,2.296
1969-03-01,2.303
1969-04-01,2.296
1969-05-01,2.294
1969-06-01,2.295
1969-07-01,2.287
1969-08-01,2.28
1969-09-01,2.283
1969-10-01,2.27
1969-11-01,2.261
1969-12-01,2.254
1970-01-01,2.258
1970-02-01,2.396
1970-03-01,2.431
1970-04-01,2.459
1970-05-01,2.472
1970-06-01,2.477
1970-07-01,2.478
1970-08-01,2.473
1970-09-01,2.469
1970-10-01,2.468
1970-11-01,2.469
1970-12-01,2.477
1971-01-01,2.492
1971-02-01,2.489
1971-03-01,2.475
1971-04-01,2.458
1971-05-01,2.447
1971-06-01,2.449
1971-07-01,2.451
1971-08-01,2.462
1971-09-01,2.481
1971-10-01,2.494
1971-11-01,2.502
1971-12-01,2.502
1972-01-01,2.508
1972-02-01,2.51
1972-03-01,2.493
1972-04-01,2.475
1972-05-01,2.471
1972-06-01,2.481
1972-07-01,2.48
1972-08-01,2.481
1972-09-01,2.484
1972-10-01,2.48
1972-11-01,2.479
1972-12-01,2.475
1973-01-01,2.483
1973-02-01,2.502
1973-03-01,2.524
1973-04-01,2.537
1973-05-01,2.547
1973-06-01,2.549
1973-07-01,2.63
1973-08-01,2.692
1973-09-01,2.702
1973-10-01,2.706
1973-11-01,2.701
1973-12-01,2.696
1974-01-01,2.71
1974-02-01,2.712
1974-03-01,2.716
1974-04-01,2.722
1974-05-01,2.719
1974-06-01,2.723
1974-07-01,2.726
1974-08-01,2.724
1974-09-01,2.727
1974-10-01,2.727
1974-11-01,2.726
1974-12-01,2.735
1975-01-01,2.764
1975-02-01,2.773
1975-03-01,2.786
1975-04-01,2.807
1975-05-01,2.819
1975-06-01,2.833
1975-07-01,2.852
1975-08-01,2.865
1975-09-01,2.87
1975-10-01,2.881
1975-11-01,2.88
1975-12-01,2.895
1976-01-01,2.922
1976-02-01,2.938
1976-03-01,2.954
1976-04-01,2.961
1976-05-01,2.965
1976-06-01,2.971
1976-07-01,2.973
1976-08-01,2.977
1976-09-01,2.987
1976-10-01,2.996
1976-11-01,3.007
1976-12-01,3.009
1977-01-01,3.025
1977-02-01,3.029
1977-03-01,3.025
1977-04-01,3.025
1977-05-01,3.024
1977-06-01,3.028
1977-07-01,3.032
1977-08-01,3.032
1977-09-01,3.032
1977-10-01,3.029
1977-11-01,3.028
1977-12-01,3.027
1978-01-01,3.043
1978-02-01,3.049
1978-03-01,3.05
1978-04-01,3.04
1978-05-01,3.023
1978-06-01,3.013
1978-07-01,3.006
1978-08-01,2.998
1978-09-01,2.993
1978-10-01,2.995
1978-11-01,2.995
1978-12-01,2.995
1979-01-01,3.008
1979-02-01,3.003
1979-03-01,3
1979-04-01,2.986
1979-05-01,2.988
1979-06-01,3.001
1979-07-01,3.063
1979-08-01,3.154
1979-09-01,3.188
1979-10-01,3.234
1979-11-01,3.297
1979-12-01,3.312
1980-01-01,3.368
1980-02-01,3.395
1980-03-01,3.49
1980-04-01,3.605
1980-05-01,3.455
1980-06-01,3.276
1980-07-01,3.227
1980-08-01,3.233
1980-09-01,3.3
1980-10-01,3.413
1980-11-01,3.554
1980-12-01,3.812
1981-01-01,4.053
1981-02-01,4.116
1981-03-01,4.134
1981-04-01,4.166
1981-05-01,4.4
1981-06-01,4.629
1981-07-01,4.788
1981-08-01,4.95
1981-09-01,5.007
1981-10-01,4.905
1981-11-01,4.817
1981-12-01,4.502
1982-01-01,4.526
1982-02-01,4.717
1982-03-01,4.8
1982-04-01,4.853
1982-05-01,4.856
1982-06-01,4.837
1982-07-01,4.781
1982-08-01,4.474
1982-09-01,4.238
1982-10-01,4.17
1982-11-01,4.056
1982-12-01,4.011
1983-01-01,4.058
1983-02-01,4.079
1983-03-01,4.261
1983-04-01,4.726
1983-05-01,4.88
1983-06-01,5.025
1983-07-01,5.131
1983-08-01,5.247
1983-09-01,5.247
1983-10-01,5.204
1983-11-01,5.177
1983-12-01,5.186
1984-01-01,5.25
1984-02-01,5.273
1984-03-01,5.323
1984-04-01,5.409
1984-05-01,5.514
1984-06-01,5.602
1984-07-01,5.735
1984-08-01,5.791
1984-09-01,5.802
1984-10-01,5.706
1984-11-01,5.469
1984-12-01,5.243
1985-01-01,5.092
1985-02-01,5.073
1985-03-01,5.121
1985-04-01,5.08
1985-05-01,4.922
1985-06-01,4.743
1985-07-01,4.696
1985-08-01,4.711
1985-09-01,4.707
1985-10-01,4.727
1985-11-01,4.732
1985-12-01,4.705
1986-01-01,4.711
1986-02-01,4.691
1986-03-01,4.595
1986-04-01,4.453
1986-05-01,4.368
1986-06-01,4.349
1986-07-01,4.247
1986-08-01,4.131
1986-09-01,4.016
1986-10-01,3.978
1986-11-01,3.958
1986-12-01,3.952
1987-01-01,3.966
1987-02-01,3.943
1987-03-01,3.943
1987-04-01,3.945
1987-05-01,4.008
1987-06-01,4.043
1987-07-01,4.057
1987-08-01,4.065
1987-09-01,4.131
1987-10-01,4.204
1987-11-01,4.171
1987-12-01,4.186
1988-01-01,4.194
1988-02-01,4.136
1988-03-01,4.1
1988-04-01,4.1
1988-05-01,4.128
1988-06-01,4.18
1988-07-01,4.239
1988-08-01,4.306
1988-09-01,4.345
1988-10-01,4.372
1988-11-01,4.427
1988-12-01,4.514
1989-01-01,4.598
1989-02-01,4.65
1989-03-01,4.795
1989-04-01,4.879
1989-05-01,4.875
1989-06-01,4.839
1989-07-01,4.834
1989-08-01,4.778
1989-09-01,4.787
1989-10-01,4.785
1989-11-01,4.757
1989-12-01,4.72
1990-01-01,4.696
1990-02-01,4.676
1990-03-01,4.67
1990-04-01,4.675
1990-05-01,4.67
1990-06-01,4.66
1990-07-01,4.663
1990-08-01,4.62
1990-09-01,4.609
1990-10-01,4.603
1990-11-01,4.565
1990-12-01,4.508
1991-01-01,4.415
1991-02-01,4.198
1991-03-01,4.174
1991-04-01,4.09
1991-05-01,3.987
1991-06-01,3.946
1991-07-01,3.924
1991-08-01,3.869
1991-09-01,3.797
1991-10-01,3.685
1991-11-01,3.507
1991-12-01,3.272
1992-01-01,2.983
1992-02-01,2.834
1992-03-01,2.779
1992-04-01,2.703
1992-05-01,2.642
1992-06-01,2.603
1992-07-01,2.398
1992-08-01,2.304
1992-09-01,2.192
1992-10-01,2.129
1992-11-01,2.108
1992-12-01,2.088
1993-01-01,2.075
1993-02-01,2.023
1993-03-01,1.967
