"Date","VALIMPUSM052N"
2006-01-01,1.50267e+11
2006-02-01,1.40809e+11
2006-03-01,1.59452e+11
2006-04-01,1.52501e+11
2006-05-01,1.64221e+11
2006-06-01,1.65702e+11
2006-07-01,1.63015e+11
2006-08-01,1.73421e+11
2006-09-01,1.63937e+11
2006-10-01,1.70185e+11
2006-11-01,1.62182e+11
2006-12-01,1.53735e+11
2007-01-01,1.56067e+11
2007-02-01,1.44439e+11
2007-03-01,1.66573e+11
2007-04-01,1.61838e+11
2007-05-01,1.68816e+11
2007-06-01,1.69862e+11
2007-07-01,1.72332e+11
2007-08-01,1.76283e+11
2007-09-01,1.6799e+11
2007-10-01,1.87623e+11
2007-11-01,1.8099e+11
2007-12-01,1.6759e+11
2008-01-01,1.73741e+11
2008-02-01,1.70233e+11
2008-03-01,1.76304e+11
2008-04-01,1.87642e+11
2008-05-01,1.8845e+11
2008-06-01,1.95668e+11
2008-07-01,2.08651e+11
2008-08-01,1.95835e+11
2008-09-01,1.85936e+11
2008-10-01,1.9191e+11
2008-11-01,1.52536e+11
2008-12-01,1.42582e+11
2009-01-01,1.27002e+11
2009-02-01,1.12575e+11
2009-03-01,1.25298e+11
2009-04-01,1.22676e+11
2009-05-01,1.19872e+11
2009-06-01,1.30768e+11
2009-07-01,1.39368e+11
2009-08-01,1.34844e+11
2009-09-01,1.44801e+11
2009-10-01,1.50962e+11
2009-11-01,1.47124e+11
2009-12-01,1.50007e+11
2010-01-01,1.40536e+11
2010-02-01,1.3765e+11
2010-03-01,1.62162e+11
2010-04-01,1.57622e+11
2010-05-01,1.60704e+11
2010-06-01,1.7338e+11
2010-07-01,1.69019e+11
2010-08-01,1.76316e+11
2010-09-01,1.72191e+11
2010-10-01,1.75235e+11
2010-11-01,1.7354e+11
2010-12-01,1.70829e+11
2011-01-01,1.71778e+11
2011-02-01,1.60554e+11
2011-03-01,1.90813e+11
2011-04-01,1.83038e+11
2011-05-01,1.93944e+11
2011-06-01,1.96609e+11
2011-07-01,1.9223e+11
2011-08-01,2.01476e+11
2011-09-01,1.94468e+11
2011-10-01,1.9678e+11
2011-11-01,1.95086e+11
2011-12-01,1.89118e+11
2012-01-01,1.88404e+11
2012-02-01,1.76244e+11
2012-03-01,2.02297e+11
2012-04-01,1.94447e+11
2012-05-01,2.03598e+11
2012-06-01,1.96943e+11
2012-07-01,1.97986e+11
2012-08-01,1.99979e+11
2012-09-01,1.90472e+11
2012-10-01,2.03937e+11
2012-11-01,1.9947e+11
2012-12-01,1.81761e+11
2013-01-01,1.9036e+11
2013-02-01,1.75054e+11
2013-03-01,1.86593e+11
2013-04-01,1.9579e+11
2013-05-01,2.01923e+11
2013-06-01,1.89917e+11
2013-07-01,2.02656e+11
2013-08-01,1.98265e+11
2013-09-01,1.96984e+11
2013-10-01,2.10411e+11
2013-11-01,1.93646e+11
2013-12-01,1.87463e+11
2014-01-01,1.9097e+11
2014-02-01,1.75075e+11
2014-03-01,1.99471e+11
2014-04-01,2.0604e+11
2014-05-01,2.05614e+11
2014-06-01,2.03038e+11
2014-07-01,2.09897e+11
2014-08-01,2.01999e+11
2014-09-01,2.08381e+11
2014-10-01,2.1644e+11
2014-11-01,1.94978e+11
2014-12-01,2.00644e+11
2015-01-01,1.86756e+11
2015-02-01,1.67974e+11
2015-03-01,2.04474e+11
2015-04-01,1.95797e+11
2015-05-01,1.92106e+11
2015-06-01,2.02967e+11
2015-07-01,1.99379e+11
2015-08-01,1.95591e+11
2015-09-01,1.97212e+11
2015-10-01,2.00667e+11
2015-11-01,1.87329e+11
2015-12-01,1.85049e+11
2016-01-01,1.71007e+11
2016-02-01,1.7321e+11
2016-03-01,1.83545e+11
2016-04-01,1.79136e+11
2016-05-01,1.88698e+11
2016-06-01,1.9389e+11
2016-07-01,1.87009e+11
2016-08-01,1.99512e+11
2016-09-01,1.91137e+11
2016-10-01,1.97383e+11
2016-11-01,1.96577e+11
2016-12-01,1.89048e+11
2017-01-01,1.91252e+11
2017-02-01,1.74335e+11
2017-03-01,1.99743e+11
2017-04-01,1.91453e+11
2017-05-01,2.0635e+11
2017-06-01,2.04033e+11
2017-07-01,1.97679e+11
2017-08-01,2.07541e+11
2017-09-01,2.00364e+11
2017-10-01,2.16612e+11
2017-11-01,2.13413e+11
2017-12-01,2.057e+11
2018-01-01,2.09366e+11
2018-02-01,1.92768e+11
2018-03-01,2.13836e+11
2018-04-01,2.11011e+11
2018-05-01,2.22739e+11
2018-06-01,2.18583e+11
2018-07-01,2.22989e+11
2018-08-01,2.28575e+11
2018-09-01,2.17993e+11
2018-10-01,2.42981e+11
2018-11-01,2.2017e+11
2018-12-01,2.13212e+11
2019-01-01,2.10819e+11
2019-02-01,1.91041e+11
2019-03-01,2.13664e+11
2019-04-01,2.14987e+11
2019-05-01,2.26663e+11
2019-06-01,2.12832e+11
2019-07-01,2.24953e+11
2019-08-01,2.21702e+11
2019-09-01,2.12439e+11
2019-10-01,2.25377e+11
2019-11-01,2.05005e+11
2019-12-01,2.07963e+11
2020-01-01,2.01862e+11
2020-02-01,1.83512e+11
2020-03-01,1.99853e+11
2020-04-01,1.7094e+11
2020-05-01,1.69026e+11
2020-06-01,1.84823e+11
2020-07-01,2.06368e+11
2020-08-01,2.09542e+11
2020-09-01,2.12799e+11
2020-10-01,2.26403e+11
2020-11-01,2.19509e+11
2020-12-01,2.22297e+11
2021-01-01,2.11481e+11
2021-02-01,2.00214e+11
2021-03-01,2.45175e+11
2021-04-01,2.34733e+11
2021-05-01,2.38812e+11
2021-06-01,2.51217e+11
2021-07-01,2.46699e+11
2021-08-01,2.55255e+11
2021-09-01,2.54061e+11
2021-10-01,2.6119e+11
2021-11-01,258675900000
2021-12-01,257670700000
2022-01-01,2.47771e+11
2022-02-01,2.33928e+11
2022-03-01,295281700000
2022-04-01,2.75491e+11
2022-05-01,2.88066e+11
2022-06-01,2.88559e+11
2022-07-01,269521100000
2022-08-01,283193200000
2022-09-01,274956300000
2022-10-01,282411700000
2022-11-01,256068100000
2022-12-01,2.61319e+11
2023-01-01,2.62949e+11
2023-02-01,2.37999e+11
2023-03-01,2.7048e+11
2023-04-01,250751800000
2023-05-01,264348900000
2023-06-01,257886600000
2023-07-01,2.55662e+11
