"Date","M1495BUSM157SNBR"
1947-01-01,0.28
1947-02-01,0.557
1947-03-01,0.623
1947-04-01,0.482
1947-05-01,0.343
1947-06-01,0.137
1947-07-01,0.546
1947-08-01,0.475
1947-09-01,0.135
1947-10-01,0.405
1947-11-01,0
1947-12-01,0.269
1948-01-01,0.067
1948-02-01,-0.337
1948-03-01,0.203
1948-04-01,-0.135
1948-05-01,0
1948-06-01,0.135
1948-07-01,-0.135
1948-08-01,-0.067
1948-09-01,0
1948-10-01,0.203
1948-11-01,-0.203
1948-12-01,-0.204
1949-01-01,0.068
1949-02-01,0
1949-03-01,0.136
1949-04-01,0.203
1949-05-01,0.068
1949-06-01,-0.068
1949-07-01,-0.068
1949-08-01,-0.136
1949-09-01,NA
1949-10-01,0.068
1949-11-01,0.136
1949-12-01,0.203
1950-01-01,0.472
1950-02-01,0.336
1950-03-01,0.602
1950-04-01,0.399
1950-05-01,0.265
1950-06-01,0.265
1950-07-01,0.198
1950-08-01,0.066
1950-09-01,0.329
1950-10-01,0.131
1950-11-01,0.262
1950-12-01,0.326
1951-01-01,0.195
1951-02-01,0.325
1951-03-01,0.194
1951-04-01,0.259
1951-05-01,0.322
1951-06-01,0.577
1951-07-01,0.447
1951-08-01,0.698
1951-09-01,0.442
1951-10-01,0.753
1951-11-01,0.561
1951-12-01,0.372
1952-01-01,0.494
1952-02-01,0.246
1952-03-01,0.307
1952-04-01,0.367
1952-05-01,0.426
1952-06-01,0.303
1952-07-01,0.423
1952-08-01,0.602
1952-09-01,0.299
1952-10-01,0.418
1952-11-01,0.416
1952-12-01,0.059
1953-01-01,0.178
1953-02-01,0.531
1953-03-01,0.294
1953-04-01,0.293
1953-05-01,0.117
1953-06-01,0.234
1953-07-01,0.175
1953-08-01,0.116
1953-09-01,0.29
1953-10-01,0.232
1953-11-01,0.289
1953-12-01,0.288
1954-01-01,0.23
1954-02-01,0.286
1954-03-01,-0.057
1954-04-01,0.855
1954-05-01,0.283
1954-06-01,0.508
1954-07-01,0.449
1954-08-01,0.224
1954-09-01,0.446
1954-10-01,0.389
1954-11-01,0.222
1954-12-01,0.442
1955-01-01,0.604
1955-02-01,0.11
1955-03-01,0.274
1955-04-01,0.382
1955-05-01,0
1955-06-01,0.272
1955-07-01,0
1955-08-01,0.271
1955-09-01,0.162
1955-10-01,0.054
1955-11-01,-0.216
1955-12-01,0.108
1956-01-01,0
1956-02-01,0.216
1956-03-01,0.269
1956-04-01,0.054
1956-05-01,-0.268
1956-06-01,0.107
1956-07-01,0
1956-08-01,0.427
1956-09-01,0.107
1956-10-01,0.266
1956-11-01,0.212
1956-12-01,0.37
1957-01-01,0.211
1957-02-01,0.368
1957-03-01,0.157
1957-04-01,0.314
1957-05-01,0.104
1957-06-01,0.313
1957-07-01,0.26
1957-08-01,0.052
1957-09-01,0.104
1957-10-01,0.104
1957-11-01,0
1957-12-01,0.104
1958-01-01,1.184
1958-02-01,0.816
1958-03-01,0.759
1958-04-01,0.653
1958-05-01,0.897
1958-06-01,0.396
1958-07-01,0.64
1958-08-01,0.294
1958-09-01,0.342
1958-10-01,0.535
1958-11-01,0.194
1958-12-01,0.531
1959-01-01,0.192
1959-02-01,0.336
1959-03-01,0.239
1959-04-01,0.286
1959-05-01,0.286
1959-06-01,0.38
1959-07-01,0.19
1959-08-01,-0.095
1959-09-01,-0.19
1959-10-01,-0.095
1959-11-01,-0.334
1959-12-01,-0.191
1960-01-01,-0.336
1960-02-01,-0.144
1960-03-01,0.096
1960-04-01,-0.192
1960-05-01,0.144
1960-06-01,0.527
1960-07-01,0.715
1960-08-01,0.474
1960-09-01,0.377
1960-10-01,0.235
1960-11-01,0.515
1960-12-01,0.373
1961-01-01,0.833
1961-02-01,0.416
1961-03-01,0.459
1961-04-01,0.639
1961-05-01,0.544
1961-06-01,0.451
1961-07-01,0.494
1961-08-01,0.625
1961-09-01,0.533
1961-10-01,0.618
1961-11-01,0.439
1961-12-01,0.612
1962-01-01,0.954
1962-02-01,0.774
1962-03-01,0.725
1962-04-01,0.127
1962-05-01,0.508
1962-06-01,0.421
1962-07-01,0.336
1962-08-01,0.376
1962-09-01,0.79
1962-10-01,0.66
1962-11-01,0.942
1962-12-01,0.691
1963-01-01,0.766
1963-02-01,0.559
1963-03-01,0.64
1963-04-01,0.592
1963-05-01,0.669
1963-06-01,0.704
1963-07-01,0.584
1963-08-01,0.577
1963-09-01,0.766
1963-10-01,0.912
1963-11-01,0.378
1963-12-01,0.639
1964-01-01,0.523
1964-02-01,0.336
1964-03-01,0.482
1964-04-01,0.623
1964-05-01,0.697
1964-06-01,0.763
1964-07-01,0.649
1964-08-01,0.788
1964-09-01,0.711
1964-10-01,0.635
1964-11-01,0.772
1964-12-01,0.733
1965-01-01,0.721
1965-02-01,0.619
1965-03-01,0.683
1965-04-01,0.34
1965-05-01,0.875
1965-06-01,0.802
1965-07-01,0.896
1965-08-01,0.886
1965-09-01,1.042
1965-10-01,0.71
1965-11-01,0.96
1965-12-01,0.539
1966-01-01,0.285
1966-02-01,0.661
1966-03-01,1.091
1966-04-01,0.28
1966-05-01,0.493
1966-06-01,0.031
1966-07-01,0.401
1966-08-01,0.426
1966-09-01,0.365
1966-10-01,-0.123
1966-11-01,0.703
1966-12-01,0.546
