"Date","STLPPMLOW"
1990-01-01,0.06969467
1990-02-01,0.03352415
1990-03-01,0.04675656
1990-04-01,0.04814681
1990-05-01,0.0494726
1990-06-01,0.05696163
1990-07-01,0.05068624
1990-08-01,0.06266269
1990-09-01,0.0924328
1990-10-01,0.03784228
1990-11-01,0.04605197
1990-12-01,0.04957344
1991-01-01,0.03893346
1991-02-01,0.02894227
1991-03-01,0.03340073
1991-04-01,0.05617505
1991-05-01,0.05470047
1991-06-01,0.05123775
1991-07-01,0.04390022
1991-08-01,0.05642468
1991-09-01,0.0645727
1991-10-01,0.06343398
1991-11-01,0.06855463
1991-12-01,0.07437986
1992-01-01,0.1244135
1992-02-01,0.09774668
1992-03-01,0.10480655
1992-04-01,0.07745914
1992-05-01,0.08189569
1992-06-01,0.09947693
1992-07-01,0.08768469
1992-08-01,0.10581819
1992-09-01,0.10465555
1992-10-01,0.10724967
1992-11-01,0.08498621
1992-12-01,0.09026894
1993-01-01,0.10899586
1993-02-01,0.09316662
1993-03-01,0.12118981
1993-04-01,0.10417178
1993-05-01,0.11332942
1993-06-01,0.07023803
1993-07-01,0.09735664
1993-08-01,0.08901931
1993-09-01,0.11452022
1993-10-01,0.10926137
1993-11-01,0.12468415
1993-12-01,0.06461253
1994-01-01,0.19086761
1994-02-01,0.1908806
1994-03-01,0.10974529
1994-04-01,0.10324408
1994-05-01,0.10082989
1994-06-01,0.12436345
1994-07-01,0.15930674
1994-08-01,0.13060936
1994-09-01,0.0922298
1994-10-01,0.10960174
1994-11-01,0.11099773
1994-12-01,0.06976151
1995-01-01,0.09357835
1995-02-01,0.07238239
1995-03-01,0.08957619
1995-04-01,0.06889632
1995-05-01,0.1034794
1995-06-01,0.08463417
1995-07-01,0.12137027
1995-08-01,0.14933957
1995-09-01,0.13297023
1995-10-01,0.26824285
1995-11-01,0.1238926
1995-12-01,0.26164264
1996-01-01,0.25084195
1996-02-01,0.18081393
1996-03-01,0.20492308
1996-04-01,0.09900295
1996-05-01,0.09828889
1996-06-01,0.07430814
1996-07-01,0.11180328
1996-08-01,0.05759537
1996-09-01,0.14507712
1996-10-01,0.08621025
1996-11-01,0.10201665
1996-12-01,0.09276126
1997-01-01,0.0321296
1997-02-01,0.01907229
1997-03-01,0.02926911
1997-04-01,0.11296342
1997-05-01,0.08217714
1997-06-01,0.34487573
1997-07-01,0.15523374
1997-08-01,0.2521949
1997-09-01,0.3385803
1997-10-01,0.27554294
1997-11-01,0.35190432
1997-12-01,0.40029423
1998-01-01,0.69154862
1998-02-01,0.77619432
1998-03-01,0.76962038
1998-04-01,0.51422758
1998-05-01,0.64573068
1998-06-01,0.50080266
1998-07-01,0.74346952
1998-08-01,0.57434169
1998-09-01,0.63457844
1998-10-01,0.79985508
1998-11-01,0.67278453
1998-12-01,0.79760856
1999-01-01,0.92005544
1999-02-01,0.83070517
1999-03-01,0.90613243
1999-04-01,0.81583054
1999-05-01,0.25951041
1999-06-01,0.65753431
1999-07-01,0.65009004
1999-08-01,0.37051035
1999-09-01,0.31043208
1999-10-01,0.11904435
1999-11-01,0.20797268
1999-12-01,0.11959972
2000-01-01,0.07030239
2000-02-01,0.03973327
2000-03-01,0.01111452
2000-04-01,0.00166107
2000-05-01,0.04568043
2000-06-01,0.00365868
2000-07-01,0.00555882
2000-08-01,0.01072969
2000-09-01,0.01350711
2000-10-01,0.0244291
2000-11-01,0.02580942
2000-12-01,0.00935058
2001-01-01,0.02092826
2001-02-01,0.00388786
2001-03-01,0.00618105
2001-04-01,0.16372883
2001-05-01,0.00746976
2001-06-01,0.00384792
2001-07-01,0.0058225
2001-08-01,0.01777224
2001-09-01,0.05071904
2001-10-01,0.61199958
2001-11-01,0.27474585
2001-12-01,0.66009426
2002-01-01,0.77364465
2002-02-01,0.81245722
2002-03-01,0.7626402
2002-04-01,0.49453051
2002-05-01,0.45596726
2002-06-01,0.68970242
2002-07-01,0.68808907
2002-08-01,0.60367878
2002-09-01,0.59124937
2002-10-01,0.53048087
2002-11-01,0.1999473
2002-12-01,0.29544926
2003-01-01,0.27374654
2003-02-01,0.32574344
2003-03-01,0.09282982
2003-04-01,0.13279451
2003-05-01,0.77564046
2003-06-01,0.71296074
2003-07-01,0.55183397
2003-08-01,0.20495863
2003-09-01,0.21430581
2003-10-01,0.29503312
2003-11-01,0.26451425
2003-12-01,0.25065299
2004-01-01,0.10297183
2004-02-01,0.04668888
2004-03-01,0.11388026
2004-04-01,0.21962209
2004-05-01,0.02272256
2004-06-01,0.01675785
2004-07-01,0.03506824
2004-08-01,0.09694228
2004-09-01,0.10307505
2004-10-01,0.10075758
2004-11-01,0.0874534
2004-12-01,0.04545286
2005-01-01,0.03084213
2005-02-01,0.0353308
2005-03-01,0.02362048
2005-04-01,0.00119718
2005-05-01,0.01114742
2005-06-01,0.03200892
2005-07-01,0.06813989
2005-08-01,0.01168507
2005-09-01,0.00473528
2005-10-01,8.99e-05
2005-11-01,0.00614084
2005-12-01,0.02284689
2006-01-01,0.02759006
2006-02-01,0.00111452
2006-03-01,0.00705069
2006-04-01,0.01111443
2006-05-01,0.00153152
2006-06-01,0.00106299
2006-07-01,0.00948829
2006-08-01,0.00931635
2006-09-01,0.01011722
2006-10-01,0.2628181
2006-11-01,0.309951
2006-12-01,0.25014097
2007-01-01,0.12301275
2007-02-01,0.09841628
2007-03-01,0.01753654
2007-04-01,0.03584171
2007-05-01,0.10149151
2007-06-01,0.19723099
2007-07-01,0.24889978
2007-08-01,0.37398407
2007-09-01,0.71097543
2007-10-01,0.34390877
2007-11-01,0.13679782
2007-12-01,0.10106014
2008-01-01,0.12950491
2008-02-01,0.21215862
2008-03-01,0.12575577
2008-04-01,0.11109786
2008-05-01,0.10395379
2008-06-01,0.06520306
2008-07-01,0.02557765
2008-08-01,0.04632108
2008-09-01,0.17622793
2008-10-01,0.10460102
2008-11-01,0.45499339
2008-12-01,0.50674108
2009-01-01,0.10394966
2009-02-01,0.57888517
2009-03-01,0.48400166
2009-04-01,0.2230995
2009-05-01,0.53012538
2009-06-01,0.42628331
2009-07-01,0.44772766
2009-08-01,0.24827133
2009-09-01,0.5037576
2009-10-01,0.40612438
2009-11-01,0.74617658
2009-12-01,0.28040148
2010-01-01,0.28809478
2010-02-01,0.20921862
2010-03-01,0.49432596
2010-04-01,0.13229735
2010-05-01,0.10094364
2010-06-01,0.30784173
2010-07-01,0.66846685
2010-08-01,0.56362855
2010-09-01,0.54980064
2010-10-01,0.63579452
2010-11-01,0.52558407
2010-12-01,0.68974032
2011-01-01,0.51722129
2011-02-01,0.34243241
2011-03-01,0.30810325
2011-04-01,0.31173829
2011-05-01,0.12238862
2011-06-01,0.21217197
2011-07-01,0.16372278
2011-08-01,0.15536204
2011-09-01,0.18584732
2011-10-01,0.26695003
2011-11-01,0.40242582
2011-12-01,0.29127234
2012-01-01,0.28323603
2012-02-01,0.14125389
2012-03-01,0.1246368
2012-04-01,0.10464362
2012-05-01,0.18679936
2012-06-01,0.3473293
2012-07-01,0.4435443
2012-08-01,0.35332016
2012-09-01,0.16277182
2012-10-01,0.1559329
2012-11-01,0.25668202
2012-12-01,0.33428349
2013-01-01,0.3352606
2013-02-01,0.29161587
2013-03-01,0.13664989
2013-04-01,0.34358418
2013-05-01,0.52553321
2013-06-01,0.39383403
2013-07-01,0.23961667
2013-08-01,0.2010736
2013-09-01,0.26254456
2013-10-01,0.42747245
2013-11-01,0.5945889
2013-12-01,0.4204294
2014-01-01,0.35784579
2014-02-01,0.42034736
2014-03-01,0.47854051
2014-04-01,0.17896743
2014-05-01,0.15614652
2014-06-01,0.21054464
2014-07-01,0.36346292
2014-08-01,0.266847
