"Date","RBMTSRBR"
2013-07-01,69338
2013-08-01,71408
2013-09-01,73695
2013-10-01,73111
2013-11-01,77246
2013-12-01,75713
2014-01-01,83187
2014-02-01,84858
2014-03-01,86124
2014-04-01,88014
2014-05-01,90873
2014-06-01,89357
2014-07-01,92840
2014-08-01,95348
2014-09-01,89839
2014-10-01,93260
2014-11-01,94838
2014-12-01,90852
2015-01-01,99273
2015-02-01,97853
2015-03-01,100483
2015-04-01,101495
2015-05-01,101248
2015-06-01,96362
2015-07-01,100727
2015-08-01,105413
2015-09-01,100898
2015-10-01,98332
2015-11-01,98290
2015-12-01,97981
2016-01-01,105739
2016-02-01,99391
2016-03-01,101702
2016-04-01,106587
2016-05-01,110769
2016-06-01,109284
2016-07-01,111795
2016-08-01,112997
2016-09-01,118285
2016-10-01,116011
2016-11-01,117875
2016-12-01,116285
2017-01-01,121169
2017-02-01,118775
2017-03-01,118757
2017-04-01,124219
2017-05-01,126547
2017-06-01,129695
2017-07-01,132296
2017-08-01,131641
2017-09-01,133950
2017-10-01,128204
2017-11-01,134981
2017-12-01,135719
2018-01-01,138807
2018-02-01,135786
2018-03-01,131778
2018-04-01,138481
2018-05-01,140316
2018-06-01,137568
2018-07-01,137861
2018-08-01,135544
2018-09-01,138965
2018-10-01,135731
2018-11-01,138700
2018-12-01,135698
2019-01-01,143615
2019-02-01,137128
2019-03-01,140926
2019-04-01,142641
2019-05-01,147792
2019-06-01,148025
2019-07-01,148191
2019-08-01,147555
2019-09-01,147498
2019-10-01,148050
2019-11-01,154256
2019-12-01,152562
2020-01-01,158765
2020-02-01,151612
2020-03-01,124147
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
