"Date","H0M3M2M"
1959-01-01,2.3
1959-02-01,2.2
1959-03-01,2.2
1959-04-01,2.2
1959-05-01,2.2
1959-06-01,2.2
1959-07-01,2.2
1959-08-01,2.1
1959-09-01,2.1
1959-10-01,2
1959-11-01,2
1959-12-01,1.9
1960-01-01,1.9
1960-02-01,1.9
1960-03-01,2
1960-04-01,2.1
1960-05-01,2.1
1960-06-01,2.2
1960-07-01,2.3
1960-08-01,2.4
1960-09-01,2.6
1960-10-01,2.7
1960-11-01,2.7
1960-12-01,2.8
1961-01-01,3.1
1961-02-01,3.3
1961-03-01,3.6
1961-04-01,3.9
1961-05-01,4.3
1961-06-01,4.6
1961-07-01,5
1961-08-01,5.1
1961-09-01,5.2
1961-10-01,5.4
1961-11-01,5.5
1961-12-01,5.3
1962-01-01,5.5
1962-02-01,5.9
1962-03-01,6.3
1962-04-01,6.6
1962-05-01,6.7
1962-06-01,7.1
1962-07-01,7.1
1962-08-01,7.3
1962-09-01,7.6
1962-10-01,8
1962-11-01,8.2
1962-12-01,8.6
1963-01-01,9
1963-02-01,9.2
1963-03-01,9.6
1963-04-01,9.8
1963-05-01,10.1
1963-06-01,10.3
1963-07-01,10.4
1963-08-01,10.9
1963-09-01,11.3
1963-10-01,11.7
1963-11-01,12.3
1963-12-01,12.7
1964-01-01,13.2
1964-02-01,13.7
1964-03-01,13.8
1964-04-01,14.1
1964-05-01,14.6
1964-06-01,15.1
1964-07-01,15.4
1964-08-01,15.7
1964-09-01,16.2
1964-10-01,16.8
1964-11-01,17.3
1964-12-01,17.6
1965-01-01,18.3
1965-02-01,18.6
1965-03-01,18.8
1965-04-01,19
1965-05-01,19.3
1965-06-01,19.8
1965-07-01,20.4
1965-08-01,21
1965-09-01,21.6
1965-10-01,22.4
1965-11-01,22.6
1965-12-01,23
1966-01-01,23.1
1966-02-01,23.2
1966-03-01,23.6
1966-04-01,24.8
1966-05-01,25.4
1966-06-01,25.9
1966-07-01,27
1966-08-01,27
1966-09-01,26.9
1966-10-01,25.7
1966-11-01,24.7
1966-12-01,25.3
1967-01-01,27.5
1967-02-01,29.3
1967-03-01,30.3
1967-04-01,30.5
1967-05-01,30.5
1967-06-01,31.1
1967-07-01,31.4
1967-08-01,31.7
1967-09-01,32.2
1967-10-01,32.1
1967-11-01,32.7
1967-12-01,33.1
1968-01-01,33
1968-02-01,33.2
1968-03-01,33.8
1968-04-01,33.5
1968-05-01,33.4
1968-06-01,33.3
1968-07-01,35
