"Date","RESBALNS"
1960-12-01,16.68
1961-01-01,16.718
1961-02-01,16.523
1961-03-01,16.445
1961-04-01,16.46
1961-05-01,16.419
1961-06-01,16.551
1961-07-01,16.557
1961-08-01,16.69
1961-09-01,16.804
1961-10-01,17.093
1961-11-01,17.172
1961-12-01,17.267
1962-01-01,17.192
1962-02-01,16.917
1962-03-01,16.951
1962-04-01,17.057
1962-05-01,17.149
1962-06-01,17.204
1962-07-01,17.257
1962-08-01,17.138
1962-09-01,17.236
1962-10-01,17.372
1962-11-01,16.702
1962-12-01,16.917
1963-01-01,16.937
1963-02-01,16.712
1963-03-01,16.701
1963-04-01,16.696
1963-05-01,16.76
1963-06-01,16.825
1963-07-01,16.952
1963-08-01,16.73
1963-09-01,16.887
1963-10-01,16.93
1963-11-01,17.037
1963-12-01,17.251
1964-01-01,17.285
1964-02-01,17.009
1964-03-01,17.151
1964-04-01,17.092
1964-05-01,17.096
1964-06-01,17.336
1964-07-01,17.417
1964-08-01,17.32
1964-09-01,17.593
1964-10-01,17.725
1964-11-01,17.801
1964-12-01,17.979
1965-01-01,18.007
1965-02-01,17.793
1965-03-01,17.848
1965-04-01,18.067
1965-05-01,18.043
1965-06-01,18.197
1965-07-01,18.329
1965-08-01,18.015
1965-09-01,18.16
1965-10-01,18.332
1965-11-01,18.201
1965-12-01,18.757
1966-01-01,18.813
1966-02-01,18.454
1966-03-01,18.468
1966-04-01,18.765
1966-05-01,18.708
1966-06-01,18.745
1966-07-01,19.17
1966-08-01,18.779
1966-09-01,19.286
1966-10-01,19.409
1966-11-01,19.207
1966-12-01,19.55
1967-01-01,19.762
1967-02-01,19.686
1967-03-01,19.419
1967-04-01,19.384
1967-05-01,19.246
1967-06-01,19.368
1967-07-01,19.745
1967-08-01,19.609
1967-09-01,19.957
1967-10-01,20.429
1967-11-01,20.445
1967-12-01,20.77
1968-01-01,21.177
1968-02-01,21.283
1968-03-01,21.315
1968-04-01,21.243
1968-05-01,21.148
1968-06-01,21.302
1968-07-01,21.556
1968-08-01,21.627
1968-09-01,21.502
1968-10-01,22.125
1968-11-01,22.246
1968-12-01,22.455
1969-01-01,23
1969-02-01,22.669
1969-03-01,22.246
1969-04-01,22.591
1969-05-01,23.325
1969-06-01,22.723
1969-07-01,22.41
1969-08-01,22.361
1969-09-01,22.268
1969-10-01,22.673
1969-11-01,23.017
1969-12-01,23.094
1970-01-01,23.577
1970-02-01,23.047
1970-03-01,22.785
1970-04-01,23.35
1970-05-01,23.071
1970-06-01,22.699
1970-07-01,23.188
1970-08-01,23.376
1970-09-01,23.685
1970-10-01,23.54
1970-11-01,23.525
1970-12-01,23.907
1971-01-01,24.89
1971-02-01,24.73
1971-03-01,24.595
1971-04-01,24.84
1971-05-01,25.16
1971-06-01,24.864
1971-07-01,25.251
1971-08-01,25.096
1971-09-01,25.347
1971-10-01,25.416
1971-11-01,25.475
1971-12-01,25.67
1972-01-01,26.981
1972-02-01,26.396
1972-03-01,26.515
1972-04-01,27.159
1972-05-01,27.379
1972-06-01,27.005
1972-07-01,27.405
1972-08-01,27.385
1972-09-01,27.271
1972-10-01,28.05
1972-11-01,26
1972-12-01,25.317
1973-01-01,26.396
1973-02-01,25.704
1973-03-01,26.036
1973-04-01,26.526
1973-05-01,26.406
1973-06-01,26.102
1973-07-01,27.21
1973-08-01,27.418
1973-09-01,27.605
1973-10-01,28.571
1973-11-01,28.385
1973-12-01,28.473
1974-01-01,29.385
1974-02-01,28.635
1974-03-01,28.475
1974-04-01,29.55
1974-05-01,29.883
1974-06-01,29.789
1974-07-01,30.495
1974-08-01,30.274
1974-09-01,30.144
1974-10-01,30.017
1974-11-01,29.848
1974-12-01,29.682
1975-01-01,29.911
1975-02-01,28.461
1975-03-01,27.882
1975-04-01,28.3
1975-05-01,27.731
1975-06-01,27.66
1975-07-01,27.66
1975-08-01,27.161
1975-09-01,27.207
1975-10-01,27.312
1975-11-01,27.217
1975-12-01,27.219
1976-01-01,27.169
1976-02-01,26.504
1976-03-01,26.298
1976-04-01,26.559
1976-05-01,26.22
1976-06-01,25.962
1976-07-01,26.245
1976-08-01,26.064
1976-09-01,25.78
1976-10-01,26.309
1976-11-01,26.507
1976-12-01,26.689
1977-01-01,27.141
1977-02-01,26.101
1977-03-01,25.948
1977-04-01,26.41
1977-05-01,26.058
1977-06-01,25.831
1977-07-01,26.694
1977-08-01,26.474
1977-09-01,26.285
1977-10-01,26.911
1977-11-01,26.963
1977-12-01,27.134
1978-01-01,28.16
1978-02-01,27.53
1978-03-01,27.132
1978-04-01,27.936
1978-05-01,27.93
1978-06-01,27.954
1978-07-01,28.7
1978-08-01,28.049
1978-09-01,28.195
1978-10-01,28.722
1978-11-01,29.85
1978-12-01,31.347
1979-01-01,31.99
1979-02-01,30.626
1979-03-01,30.439
1979-04-01,30.983
1979-05-01,30.189
1979-06-01,29.95
1979-07-01,30.354
1979-08-01,30.19
1979-09-01,30.327
1979-10-01,31.598
1979-11-01,32.26
1979-12-01,32.676
1980-01-01,32.908
1980-02-01,32.129
1980-03-01,32.394
1980-04-01,34.008
1980-05-01,32.982
1980-06-01,32.351
1980-07-01,31.588
1980-08-01,29.123
1980-09-01,29.365
1980-10-01,30.037
1980-11-01,28.929
1980-12-01,27.354
1981-01-01,27.22
1981-02-01,26.673
1981-03-01,26.727
1981-04-01,27.322
1981-05-01,26.984
1981-06-01,26.627
1981-07-01,27.106
1981-08-01,26.981
1981-09-01,25.497
1981-10-01,25.689
1981-11-01,25.89
1981-12-01,26.167
1982-01-01,26.712
1982-02-01,25.968
1982-03-01,24.251
1982-04-01,24.564
1982-05-01,24.204
1982-06-01,24.03
1982-07-01,24.271
1982-08-01,24.472
1982-09-01,23.382
1982-10-01,24.252
1982-11-01,24.606
1982-12-01,24.806
1983-01-01,24.432
1983-02-01,23.532
1983-03-01,22.163
1983-04-01,22.566
1983-05-01,22.01
1983-06-01,21.807
1983-07-01,22.139
1983-08-01,21.965
1983-09-01,20.585
1983-10-01,21.059
1983-11-01,20.943
1983-12-01,20.986
1984-01-01,21.325
1984-02-01,18.383
1984-03-01,19.444
1984-04-01,20.344
1984-05-01,19.546
1984-06-01,20.196
1984-07-01,19.882
1984-08-01,19.27
1984-09-01,20.125
1984-10-01,20.055
1984-11-01,20.796
1984-12-01,21.734
1985-01-01,21.519
1985-02-01,20.348
1985-03-01,21.964
1985-04-01,23.195
1985-05-01,22.326
1985-06-01,23.382
1985-07-01,23.484
1985-08-01,23.406
1985-09-01,25.004
1985-10-01,25.419
1985-11-01,26.37
1985-12-01,27.582
1986-01-01,26.337
1986-02-01,24.662
1986-03-01,27.109
1986-04-01,28.887
1986-05-01,28.333
1986-06-01,29.475
1986-07-01,30.258
1986-08-01,30.15
1986-09-01,31.914
1986-10-01,32.926
1986-11-01,34.73
1986-12-01,37.165
1987-01-01,36.572
1987-02-01,33.597
1987-03-01,35.309
1987-04-01,37.814
1987-05-01,36.418
1987-06-01,36.302
1987-07-01,36.148
1987-08-01,35.586
1987-09-01,36.656
1987-10-01,37.205
1987-11-01,37.49
1987-12-01,37.692
1988-01-01,37.435
1988-02-01,34.167
1988-03-01,35.923
1988-04-01,38.359
1988-05-01,36.455
1988-06-01,37.926
1988-07-01,37.885
1988-08-01,36.879
1988-09-01,37.225
1988-10-01,36.371
1988-11-01,36.991
1988-12-01,37.765
1989-01-01,36.392
1989-02-01,32.765
1989-03-01,34.549
1989-04-01,35.798
1989-05-01,33.15
1989-06-01,33.832
1989-07-01,33.92
1989-08-01,32.863
1989-09-01,33.546
1989-10-01,33.089
1989-11-01,33.881
1989-12-01,35.367
1990-01-01,34.076
1990-02-01,30.883
1990-03-01,33.386
1990-04-01,35.37
1990-05-01,32.771
1990-06-01,33.885
1990-07-01,32.933
1990-08-01,32.426
1990-09-01,33.26
1990-10-01,32.081
1990-11-01,33.378
1990-12-01,30.227
1991-01-01,21.96
1991-02-01,19.789
1991-03-01,21.712
1991-04-01,23.498
1991-05-01,22.282
1991-06-01,23.671
1991-07-01,23.261
1991-08-01,22.787
1991-09-01,23.443
1991-10-01,23.174
1991-11-01,24.999
1991-12-01,26.67
1992-01-01,25.403
1992-02-01,24.868
1992-03-01,28.042
1992-04-01,22.646
1992-05-01,21.085
1992-06-01,21.237
1992-07-01,21.208
1992-08-01,21.269
1992-09-01,22.641
1992-10-01,23.634
1992-11-01,25.482
1992-12-01,25.401
1993-01-01,23.645
1993-02-01,23.52
1993-03-01,24.387
1993-04-01,26.965
1993-05-01,25.958
1993-06-01,26.446
1993-07-01,26.524
1993-08-01,26.563
1993-09-01,27.277
1993-10-01,28.277
1993-11-01,29.018
1993-12-01,29.36
1994-01-01,27.791
1994-02-01,26.913
1994-03-01,27.395
1994-04-01,29.602
1994-05-01,26.79
1994-06-01,26.505
1994-07-01,25.995
1994-08-01,25.292
1994-09-01,25.169
1994-10-01,24.738
1994-11-01,24.711
1994-12-01,24.671
1995-01-01,22.266
1995-02-01,21.741
1995-03-01,22.629
1995-04-01,24.193
1995-05-01,21.472
1995-06-01,21.055
1995-07-01,20.815
1995-08-01,20.559
1995-09-01,20.521
1995-10-01,20.039
1995-11-01,20.055
1995-12-01,20.455
1996-01-01,17.776
1996-02-01,16.88
1996-03-01,18.495
1996-04-01,19.236
1996-05-01,16.812
1996-06-01,16.63
1996-07-01,15.411
1996-08-01,14.813
1996-09-01,13.734
1996-10-01,12.811
1996-11-01,12.864
1996-12-01,13.332
1997-01-01,11.679
1997-02-01,11.436
1997-03-01,11.481
1997-04-01,12.247
1997-05-01,10.867
1997-06-01,10.312
1997-07-01,9.876
1997-08-01,10.488
1997-09-01,9.744
1997-10-01,9.995
1997-11-01,10.564
1997-12-01,10.666
1998-01-01,9.748
1998-02-01,9.536
1998-03-01,10.17
1998-04-01,11.166
1998-05-01,9.807
1998-06-01,9.674
1998-07-01,9.648
1998-08-01,9.69
1998-09-01,9.291
1998-10-01,9.031
1998-11-01,8.849
1998-12-01,9.025
1999-01-01,9.647
1999-02-01,8.583
1999-03-01,8.825
1999-04-01,9.199
1999-05-01,10.018
1999-06-01,8.469
1999-07-01,7.585
1999-08-01,7.723
1999-09-01,7.649
1999-10-01,6.774
1999-11-01,6.28
1999-12-01,5.26
2000-01-01,5.165
2000-02-01,5.075
2000-03-01,6.517
2000-04-01,7.102
2000-05-01,7.69
2000-06-01,6.608
2000-07-01,6.801
2000-08-01,6.962
2000-09-01,6.859
2000-10-01,6.729
2000-11-01,7.067
2000-12-01,6.92
2001-01-01,6.925
2001-02-01,6.38
2001-03-01,6.584
2001-04-01,6.84
2001-05-01,7.603
2001-06-01,6.93
2001-07-01,7.686
2001-08-01,7.571
2001-09-01,25.63
2001-10-01,12.074
2001-11-01,8.815
2001-12-01,9.046
2002-01-01,9.991
2002-02-01,9.253
2002-03-01,9.106
2002-04-01,9.712
2002-05-01,9.185
2002-06-01,7.916
2002-07-01,8.036
2002-08-01,8.461
2002-09-01,8.662
2002-10-01,8.778
2002-11-01,9.756
2002-12-01,9.925
2003-01-01,10.073
2003-02-01,9.852
2003-03-01,9.83
2003-04-01,10.595
2003-05-01,11.408
2003-06-01,11.464
2003-07-01,12.177
2003-08-01,14.137
2003-09-01,12.488
2003-10-01,11.598
2003-11-01,11.516
2003-12-01,10.867
2004-01-01,11.579
2004-02-01,10.896
2004-03-01,12.047
2004-04-01,14.091
2004-05-01,14.081
2004-06-01,13.2
2004-07-01,13.315
2004-08-01,12.385
2004-09-01,13.01
2004-10-01,11.924
2004-11-01,12.09
2004-12-01,12.045
2005-01-01,14.073
2005-02-01,12.224
2005-03-01,12.031
2005-04-01,12.906
2005-05-01,11.918
2005-06-01,11.158
2005-07-01,11.503
2005-08-01,11.028
2005-09-01,11.705
2005-10-01,10.252
2005-11-01,10.145
2005-12-01,10.046
2006-01-01,10.272
2006-02-01,9.409
2006-03-01,9.138
2006-04-01,10.304
2006-05-01,10.719
2006-06-01,9.989
2006-07-01,9.688
2006-08-01,8.845
2006-09-01,9.159
2006-10-01,8.225
2006-11-01,8.372
2006-12-01,8.479
2007-01-01,8.75
2007-02-01,7.616
2007-03-01,7.434
2007-04-01,8.509
2007-05-01,9.128
2007-06-01,8.736
2007-07-01,8.296
2007-08-01,10.912
2007-09-01,8.728
2007-10-01,8.275
2007-11-01,8.497
2007-12-01,8.098
2008-01-01,8.665
2008-02-01,8.344
2008-03-01,9.885
2008-04-01,9.751
2008-05-01,10.844
2008-06-01,10.148
2008-07-01,10.51
2008-08-01,10.454
2008-09-01,67.514
2008-10-01,278.018
2008-11-01,571.077
2008-12-01,783.631
2009-01-01,820.669
2009-02-01,662.192
2009-03-01,741.02
2009-04-01,844.528
2009-05-01,865.312
2009-06-01,771.976
2009-07-01,758.906
2009-08-01,790.761
2009-09-01,884.206
2009-10-01,1017.767
2009-11-01,1102.446
2009-12-01,1099.831
2010-01-01,1070.701
2010-02-01,1183.755
2010-03-01,1143.627
2010-04-01,1076.456
2010-05-01,1070.761
2010-06-01,1058.765
2010-07-01,1046.938
2010-08-01,1044.121
2010-09-01,1006.743
2010-10-01,998.508
2010-11-01,997.742
2010-12-01,1035.074
2011-01-01,1066.213
2011-02-01,1219.257
2011-03-01,1391.358
2011-04-01,1484.147
2011-05-01,1546.486
2011-06-01,1622.346
2011-07-01,1652.208
2011-08-01,1621.06
2011-09-01,1596.944
2011-10-01,1592.447
2011-11-01,1546.124
2011-12-01,1550.043
2012-01-01,1568.915
2012-02-01,1609.775
2012-03-01,1557.859
2012-04-01,1537.808
2012-05-01,1510.119
2012-06-01,1507.596
2012-07-01,1535.052
2012-08-01,1532.976
2012-09-01,1468.681
2012-10-01,1476.73
2012-11-01,1497.506
2012-12-01,1517.425
2013-01-01,1582.524
2013-02-01,1680.086
2013-03-01,1760.359
2013-04-01,1832.952
2013-05-01,1930.723
2013-06-01,2010.604
2013-07-01,2094.225
2013-08-01,2199.056
2013-09-01,2281.08
2013-10-01,2374.958
2013-11-01,2463.012
2013-12-01,2485.248
2014-01-01,2498.153
2014-02-01,2593.879
2014-03-01,2623.027
2014-04-01,2660.368
2014-05-01,2635.18
2014-06-01,2668.354
2014-07-01,2704.004
2014-08-01,2786.867
2014-09-01,2759.284
2014-10-01,2705.668
2014-11-01,2519.578
2014-12-01,2606.7
2015-01-01,2683.709
2015-02-01,2496.868
2015-03-01,2675.202
2015-04-01,2698.96
2015-05-01,2584.359
2015-06-01,2553.138
2015-07-01,2590.841
2015-08-01,2608.263
2015-09-01,2643.958
2015-10-01,2668.193
2015-11-01,2602.104
2015-12-01,2419.774
2016-01-01,2376.108
2016-02-01,2448.797
2016-03-01,2460.382
2016-04-01,2427.737
2016-05-01,2384.089
2016-06-01,2367.024
2016-07-01,2309.659
2016-08-01,2352.298
2016-09-01,2265.32
2016-10-01,2095.127
2016-11-01,2140.315
2016-12-01,2031.007
2017-01-01,2092.776
2017-02-01,2237.98
2017-03-01,2326.253
2017-04-01,2281.42
2017-05-01,2225.769
2017-06-01,2206.547
2017-07-01,2233.323
2017-08-01,2344.015
2017-09-01,2295.735
2017-10-01,2245.701
2017-11-01,2314.455
2017-12-01,2244.274
2018-01-01,2214.601
2018-02-01,2238.775
2018-03-01,2167.009
2018-04-01,2086.192
2018-05-01,2022.453
2018-06-01,1988.224
2018-07-01,1949.82
2018-08-01,1911.165
2018-09-01,1873.866
2018-10-01,1830.017
2018-11-01,1775.291
2018-12-01,1691.394
2019-01-01,1639.03
2019-02-01,1645.233
2019-03-01,1661.297
2019-04-01,1559.45
2019-05-01,1511.285
2019-06-01,1535.857
2019-07-01,1513.55
2019-08-01,1520.876
2019-09-01,1439.771
2019-10-01,1481.513
2019-11-01,1529.341
2019-12-01,1630.09
2020-01-01,1645.384
2020-02-01,1656.989
2020-03-01,2045.148
2020-04-01,2953.586
2020-05-01,3217.635
2020-06-01,3043.556
2020-07-01,2718.529
2020-08-01,2799.719
