"Date","RESBALNS"
1950-01-01,16.52
1950-02-01,16.146
1950-03-01,16.081
1950-04-01,15.898
1950-05-01,15.941
1950-06-01,16.194
1950-07-01,16.253
1950-08-01,16.273
1950-09-01,16.602
1950-10-01,16.731
1950-11-01,16.742
1950-12-01,17.391
1951-01-01,18.088
1951-02-01,18.907
1951-03-01,19.207
1951-04-01,19.324
1951-05-01,18.892
1951-06-01,19.309
1951-07-01,19.229
1951-08-01,19.174
1951-09-01,19.396
1951-10-01,19.868
1951-11-01,19.794
1951-12-01,20.31
1952-01-01,20.47
1952-02-01,19.995
1952-03-01,20.207
1952-04-01,19.777
1952-05-01,19.767
1952-06-01,20.14
1952-07-01,20.535
1952-08-01,20.306
1952-09-01,20.514
1952-10-01,20.611
1952-11-01,20.744
1952-12-01,21.18
1953-01-01,20.958
1953-02-01,20.52
1953-03-01,20.416
1953-04-01,20.007
1953-05-01,19.897
1953-06-01,20.287
1953-07-01,19.653
1953-08-01,19.526
1953-09-01,19.552
1953-10-01,19.536
1953-11-01,19.718
1953-12-01,19.92
1954-01-01,20.179
1954-02-01,19.557
1954-03-01,19.573
1954-04-01,19.392
1954-05-01,19.533
1954-06-01,19.67
1954-07-01,19.164
1954-08-01,18.478
1954-09-01,18.403
1954-10-01,18.893
1954-11-01,19.207
1954-12-01,19.279
1955-01-01,19.114
1955-02-01,18.819
1955-03-01,18.635
1955-04-01,18.8
1955-05-01,18.746
1955-06-01,18.715
1955-07-01,18.824
1955-08-01,18.728
1955-09-01,18.711
1955-10-01,18.87
1955-11-01,18.902
1955-12-01,19.24
1956-01-01,19.138
1956-02-01,18.709
1956-03-01,18.924
1956-04-01,18.847
1956-05-01,18.735
1956-06-01,18.933
1956-07-01,18.836
1956-08-01,18.783
1956-09-01,19.024
1956-10-01,18.939
1956-11-01,19.169
1956-12-01,19.535
1957-01-01,19.295
1957-02-01,18.816
1957-03-01,18.884
1957-04-01,19.087
1957-05-01,18.827
1957-06-01,18.982
1957-07-01,19.129
1957-08-01,18.834
1957-09-01,18.956
1957-10-01,19.04
1957-11-01,18.958
1957-12-01,19.42
1958-01-01,19.296
1958-02-01,19
1958-03-01,18.73
1958-04-01,18.394
1958-05-01,18.223
1958-06-01,18.6
1958-07-01,18.609
1958-08-01,18.58
1958-09-01,18.425
1958-10-01,18.476
1958-11-01,18.54
1958-12-01,18.899
1959-01-01,18.889
1959-02-01,18.57
1959-03-01,18.431
1959-04-01,18.678
1959-05-01,18.552
1959-06-01,18.454
1959-07-01,18.683
1959-08-01,18.591
1959-09-01,18.622
1959-10-01,18.607
1959-11-01,18.612
1959-12-01,18.66
1960-01-01,18.537
1960-02-01,17.947
1960-03-01,17.776
1960-04-01,17.864
1960-05-01,17.938
1960-06-01,18.014
1960-07-01,18.204
1960-08-01,18.11
1960-09-01,17.688
1960-10-01,17.872
1960-11-01,17.717
