"Date","CCUSSP01IFM650N"
1975-01-01,1.23889639262968
1975-02-01,1.26038240160873
1975-03-01,1.24747386697871
1975-04-01,1.24143410621888
1975-05-01,1.24682060900556
1975-06-01,1.23641489290967
1975-07-01,1.19098661472892
1975-08-01,1.18699997766897
1975-09-01,1.1642663389229
1975-10-01,1.18577543925364
1975-11-01,1.17101503720434
1975-12-01,1.17065861390585
1976-01-01,1.16874313500005
1976-02-01,1.16872947555454
1976-03-01,1.15632335559987
1976-04-01,1.15069502111605
1976-05-01,1.1423088359214
1976-06-01,1.14609239928265
1976-07-01,1.14693367414116
1976-08-01,1.15077447254341
1976-09-01,1.15708599596997
1976-10-01,1.15470774480348
1976-11-01,1.14982177894656
1976-12-01,1.1618315125441
1977-01-01,1.15232597129824
1977-02-01,1.15601590811525
1977-03-01,1.15916493892263
1977-04-01,1.16220959422871
1977-05-01,1.16161557629098
1977-06-01,1.16586804841368
1977-07-01,1.1714402872037
1977-08-01,1.16188550915204
1977-09-01,1.16353482013327
1977-10-01,1.17999669740164
1977-11-01,1.18340394450238
1977-12-01,1.2147126004746
1978-01-01,1.21512588851843
1978-02-01,1.22670788555638
1978-03-01,1.2366748302499
1978-04-01,1.22609122269016
1978-05-01,1.21985435087873
1978-06-01,1.23952600679202
1978-07-01,1.25985839350399
1978-08-01,1.27080950727006
1978-09-01,1.28106584842565
1978-10-01,1.34878137784597
1978-11-01,1.27241032850124
1978-12-01,1.30279580148362
1979-01-01,1.28542965651447
1979-02-01,1.28915818137058
1979-03-01,1.28681911349335
1979-04-01,1.27268562281758
1979-05-01,1.26892281303555
1979-06-01,1.29108890604887
1979-07-01,1.30050850051436
1979-08-01,1.30030557350017
1979-09-01,1.31774875975826
1979-10-01,1.28576020737481
1979-11-01,1.30804447522308
1979-12-01,1.31733214068756
1980-01-01,1.31573753840735
1980-02-01,1.30378096649776
1980-03-01,1.25118863076321
1980-04-01,1.29474979127954
1980-05-01,1.31133782857056
1980-06-01,1.32438052276528
1980-07-01,1.31199160497506
1980-08-01,1.31528758936102
1980-09-01,1.31243930140489
1980-10-01,1.29003960588005
1980-11-01,1.27671526859116
1980-12-01,1.27541259760148
1981-01-01,1.24416796422292
1981-02-01,1.22328648295752
1981-03-01,1.22851632234857
1981-04-01,1.19858088167439
1981-05-01,1.17015177005365
1981-06-01,1.15060234164905
1981-07-01,1.1272305086371
1981-08-01,1.13270807975704
1981-09-01,1.14459693150114
1981-10-01,1.15117189431226
1981-11-01,1.18072118589359
1981-12-01,1.16395465368154
1982-01-01,1.14784205825051
1982-02-01,1.12688753789372
1982-03-01,1.11308993890593
1982-04-01,1.12967544552104
1982-05-01,1.12410072068806
1982-06-01,1.09223963856943
1982-07-01,1.09208457222183
1982-08-01,1.0830950535949
1982-09-01,1.07234006162989
1982-10-01,1.06237185252406
1982-11-01,1.07952889475622
1982-12-01,1.10310745491391
1983-01-01,1.08644872623279
1983-02-01,1.08994201627277
1983-03-01,1.07866719997267
1983-04-01,1.08163066756258
1983-05-01,1.07733080635769
1983-06-01,1.06835324145676
1983-07-01,1.05563179674404
1983-08-01,1.04460461824361
1983-09-01,1.05683667757692
1983-10-01,1.0592771503954
1983-11-01,1.0505746654451
1983-12-01,1.04695597659735
1984-01-01,1.03409408294892
1984-02-01,1.06013060921479
1984-03-01,1.06420339168453
1984-04-01,1.04712041994463
1984-05-01,1.04139547101421
1984-06-01,1.03121487424335
1984-07-01,1.01332522673152
1984-08-01,1.01663210117523
1984-09-01,0.999000999000999
1984-10-01,0.99623423558572
1984-11-01,0.98934475696746
1984-12-01,0.980209569766621
1985-01-01,0.974991469775256
1985-02-01,0.959416674661806
1985-03-01,0.99127676545527
1985-04-01,0.99116868699884
1985-05-01,0.992950054612253
1985-06-01,0.998282953320289
1985-07-01,1.03736592045478
1985-08-01,1.03536817692371
1985-09-01,1.05940059114553
1985-10-01,1.07165055618664
1985-11-01,1.09318291136473
1985-12-01,1.09841827768014
1986-01-01,1.11114814938276
1986-02-01,1.15584220442225
1986-03-01,1.13826505640103
1986-04-01,1.17595870033044
1986-05-01,1.14314456206132
1986-06-01,1.17756503102884
1986-07-01,1.20370693587974
1986-08-01,1.20688406671655
1986-09-01,1.21341552201136
1986-10-01,1.18661967652748
1986-11-01,1.21030209140201
1986-12-01,1.22319670226169
1987-01-01,1.2675877804538
1987-02-01,1.26419053879801
1987-03-01,1.28562796497949
1987-04-01,1.30626747132743
1987-05-01,1.28658732711483
1987-06-01,1.2780206016921
1987-07-01,1.26721832904591
1987-08-01,1.2931257435473
1987-09-01,1.27963965347358
1987-10-01,1.32109122134883
1987-11-01,1.37379621107005
1987-12-01,1.41866106768432
1988-01-01,1.36641888937473
1988-02-01,1.36100714528751
1988-03-01,1.38728965220648
1988-04-01,1.3841788359056
1988-05-01,1.36483369501426
1988-06-01,1.31061598951507
1988-07-01,1.29647876367785
1988-08-01,1.28817838694302
1988-09-01,1.2903891813771
1988-10-01,1.34591313476628
1988-11-01,1.36636287865331
1988-12-01,1.34569579200926
1989-01-01,1.31092525104219
1989-02-01,1.32149275821969
1989-03-01,1.29270783510219
1989-04-01,1.29565566655006
1989-05-01,1.24362641462505
1989-06-01,1.2463854821019
1989-07-01,1.28749839062701
1989-08-01,1.24652531069643
1989-09-01,1.27980342219435
1989-10-01,1.27782463134759
1989-11-01,1.28771392147521
1989-12-01,1.31416406024128
1990-01-01,1.32559187677298
1990-02-01,1.31681173542619
1990-03-01,1.30082992949502
1990-04-01,1.30247339698087
1990-05-01,1.31200881669925
