"Date","M1491AUSM144NNBR"
1937-07-01,87
1937-08-01,172
1937-09-01,185
1937-10-01,110
1937-11-01,-90
1937-12-01,-129
1938-01-01,182
1938-02-01,-90
1938-03-01,-87
1938-04-01,-127
1938-05-01,-175
1938-06-01,-164
1938-07-01,-100
1938-08-01,12
1938-09-01,8
1938-10-01,20
1938-11-01,-24
1938-12-01,-33
1939-01-01,-73
1939-02-01,-44
1939-03-01,19
1939-04-01,54
1939-05-01,-12
1939-06-01,-8
1939-07-01,69
1939-08-01,45
1939-09-01,249
1939-10-01,119
1939-11-01,75
1939-12-01,54
1940-01-01,-71
1940-02-01,-7
1940-03-01,64
1940-04-01,45
1940-05-01,-29
1940-06-01,-29
1940-07-01,52
1940-08-01,5
1940-09-01,99
1940-10-01,170
1940-11-01,185
1940-12-01,115
1941-01-01,68
1941-02-01,148
1941-03-01,215
1941-04-01,155
1941-05-01,129
1941-06-01,168
1941-07-01,224
1941-08-01,201
1941-09-01,175
1941-10-01,230
1941-11-01,103
1941-12-01,107
1942-01-01,25
1942-02-01,126
1942-03-01,125
1942-04-01,-83
1942-05-01,-311
1942-06-01,-127
1942-07-01,-112
1942-08-01,-85
1942-09-01,-142
1942-10-01,29
1942-11-01,-50
1942-12-01,-184
1943-01-01,-208
1943-02-01,-90
1943-03-01,-121
1943-04-01,-166
1943-05-01,-68
1943-06-01,-157
1943-07-01,6
1943-08-01,111
1943-09-01,259
1943-10-01,392
1943-11-01,104
1943-12-01,-25
1944-01-01,-67
1944-02-01,61
1944-03-01,-47
1944-04-01,-220
1944-05-01,-207
1944-06-01,-21
1944-07-01,126
1944-08-01,-57
1944-09-01,30
1944-10-01,102
1944-11-01,164
1944-12-01,174
1945-01-01,-51
1945-02-01,-89
1945-03-01,-170
1945-04-01,-175
1945-05-01,-179
1945-06-01,61
1945-07-01,51
1945-08-01,20
1945-09-01,158
1945-10-01,179
1945-11-01,409
1945-12-01,511
1946-01-01,129
1946-02-01,100
1946-03-01,112
1946-04-01,37
1946-05-01,-44
1946-06-01,39
1946-07-01,382
1946-08-01,520
1946-09-01,529
1946-10-01,676
1946-11-01,555
1946-12-01,232
1947-01-01,97
1947-02-01,268
1947-03-01,330
1947-04-01,52
1947-05-01,-256
1947-06-01,-126
1947-07-01,97
1947-08-01,377
1947-09-01,470
1947-10-01,637
1947-11-01,681
1947-12-01,391
1948-01-01,128
1948-02-01,-64
1948-03-01,-108
1948-04-01,-249
1948-05-01,-38
1948-06-01,5
1948-07-01,232
1948-08-01,303
1948-09-01,281
1948-10-01,283
1948-11-01,147
1948-12-01,22
1949-01-01,161
1949-02-01,-114
1949-03-01,-219
1949-04-01,-599
1949-05-01,-560
1949-06-01,-440
1949-07-01,-396
1949-08-01,-13
1949-09-01,281
1949-10-01,346
1949-11-01,170
1949-12-01,98
1950-01-01,-4
1950-02-01,30
1950-03-01,-57
1950-04-01,-195
1950-05-01,-234
1950-06-01,114
1950-07-01,259
1950-08-01,559
1950-09-01,955
1950-10-01,664
1950-11-01,701
1950-12-01,724
1951-01-01,378
1951-02-01,512
1951-03-01,446
1951-04-01,180
1951-05-01,-42
1951-06-01,-22
1951-07-01,-58
1951-08-01,253
1951-09-01,496
1951-10-01,512
1951-11-01,387
1951-12-01,474
1952-01-01,9
1952-02-01,-165
1952-03-01,163
1952-04-01,-298
1952-05-01,-321
1952-06-01,-20
1952-07-01,-23
1952-08-01,173
1952-09-01,532
