"Date","SMU42000005552200001"
1990-01-01,132.3
1990-02-01,132
1990-03-01,132
1990-04-01,130.2
1990-05-01,131.2
1990-06-01,131.1
1990-07-01,131.2
1990-08-01,130.9
1990-09-01,129.6
1990-10-01,128.5
1990-11-01,128.5
1990-12-01,129
1991-01-01,128.6
1991-02-01,128.7
1991-03-01,129.4
1991-04-01,127.9
1991-05-01,127.8
1991-06-01,128.4
1991-07-01,129.6
1991-08-01,129.8
1991-09-01,129.4
1991-10-01,129.2
1991-11-01,129.4
1991-12-01,129.9
1992-01-01,128
1992-02-01,128.3
1992-03-01,128.5
1992-04-01,128.4
1992-05-01,128.7
1992-06-01,129.3
1992-07-01,129.5
1992-08-01,129.3
1992-09-01,128.8
1992-10-01,125.7
1992-11-01,126.1
1992-12-01,126.7
1993-01-01,124.6
1993-02-01,124.8
1993-03-01,124.9
1993-04-01,124.1
1993-05-01,124.3
1993-06-01,124.9
1993-07-01,125.7
1993-08-01,127
1993-09-01,126.7
1993-10-01,126.2
1993-11-01,126.5
1993-12-01,125.2
1994-01-01,124.8
1994-02-01,124.8
1994-03-01,125.1
1994-04-01,124.6
1994-05-01,124.7
1994-06-01,125
1994-07-01,124.1
1994-08-01,124
1994-09-01,123.5
1994-10-01,121.8
1994-11-01,121
1994-12-01,120.4
1995-01-01,120.1
1995-02-01,120
1995-03-01,120.4
1995-04-01,119.6
1995-05-01,119.9
1995-06-01,120.3
1995-07-01,120.6
1995-08-01,120.6
1995-09-01,120.4
1995-10-01,120.5
1995-11-01,121
1995-12-01,120.6
1996-01-01,119.9
1996-02-01,119.7
1996-03-01,120.3
1996-04-01,121.1
1996-05-01,120.5
1996-06-01,120.1
1996-07-01,120.3
1996-08-01,121.3
1996-09-01,122.1
1996-10-01,119.6
1996-11-01,120.5
1996-12-01,121.7
1997-01-01,120
1997-02-01,117.8
1997-03-01,118.1
1997-04-01,118.5
1997-05-01,118.9
1997-06-01,119.8
1997-07-01,117.4
1997-08-01,118.7
1997-09-01,118.4
1997-10-01,118.6
1997-11-01,119.2
1997-12-01,119.7
1998-01-01,120.7
1998-02-01,120.7
1998-03-01,121.1
1998-04-01,119.4
1998-05-01,119.9
1998-06-01,120.3
1998-07-01,120
1998-08-01,120.3
1998-09-01,119.2
1998-10-01,120
1998-11-01,120.4
1998-12-01,120.7
1999-01-01,122.6
1999-02-01,119.6
1999-03-01,119.4
1999-04-01,117.4
1999-05-01,116.8
1999-06-01,117.6
1999-07-01,118.2
1999-08-01,117.9
1999-09-01,116.9
1999-10-01,114.4
1999-11-01,114.7
1999-12-01,115.6
2000-01-01,114.9
2000-02-01,114
2000-03-01,113.4
2000-04-01,113.3
2000-05-01,112.8
2000-06-01,113.6
2000-07-01,113.8
2000-08-01,113.1
2000-09-01,112
2000-10-01,112.5
2000-11-01,113
2000-12-01,113.6
2001-01-01,113.1
2001-02-01,113
2001-03-01,113.3
2001-04-01,111.6
2001-05-01,111.3
2001-06-01,111.6
2001-07-01,111.4
2001-08-01,111.2
2001-09-01,110.1
2001-10-01,110.2
2001-11-01,110.2
