"Date","STLPPM"
2007-12-01,0.33432794
2008-01-01,0.41566201
2008-02-01,0.3221194
2008-03-01,0.42745899
2008-04-01,0.43322939
2008-05-01,0.42778614
2008-06-01,0.58016667
2008-07-01,0.7735991
2008-08-01,0.52623599
2008-09-01,0.43168229
2008-10-01,0.49055196
2008-11-01,0.08439437
2008-12-01,9.118e-05
2009-01-01,3.93e-05
2009-02-01,0.01462899
2009-03-01,0.00748385
2009-04-01,0.00027778
2009-05-01,0.00455051
2009-06-01,0.01059106
2009-07-01,0.01294836
2009-08-01,0.0001577
2009-09-01,0.00040629
2009-10-01,0.00036845
2009-11-01,0.00334239
2009-12-01,0.09798347
2010-01-01,0.10686049
2010-02-01,0.23698511
2010-03-01,0.03552693
2010-04-01,0.30909588
2010-05-01,0.37544285
2010-06-01,0.10307557
2010-07-01,0.01314816
2010-08-01,0.0299084
2010-09-01,0.04464736
2010-10-01,0.02248493
2010-11-01,0.06062855
2010-12-01,0.02190293
2011-01-01,0.05353352
2011-02-01,0.10127646
2011-03-01,0.09668146
2011-04-01,0.09931691
2011-05-01,0.39105549
2011-06-01,0.31054494
2011-07-01,0.31666428
2011-08-01,0.39165104
2011-09-01,0.36490705
2011-10-01,0.2851377
2011-11-01,0.10401174
2011-12-01,0.22744363
2012-01-01,0.18247117
2012-02-01,0.38356212
2012-03-01,0.34271851
2012-04-01,0.37968862
2012-05-01,0.21023958
2012-06-01,0.1182108
2012-07-01,0.0977494
2012-08-01,0.1779794
2012-09-01,0.30358888
2012-10-01,0.25145811
2012-11-01,0.14363142
2012-12-01,0.12377282
2013-01-01,0.14416901
2013-02-01,0.13896668
2013-03-01,0.25392052
2013-04-01,0.14326445
2013-05-01,0.10035575
2013-06-01,0.16590138
2013-07-01,0.19831482
2013-08-01,0.19124706
2013-09-01,0.1917959
2013-10-01,0.15646987
2013-11-01,0.062995
2013-12-01,0.11135212
2014-01-01,0.12811473
2014-02-01,0.09424284
2014-03-01,0.10027859
2014-04-01,0.23421616
2014-05-01,0.22734721
2014-06-01,0.16902825
2014-07-01,0.09444467
2014-08-01,0.12950931
2014-09-01,0.08412574
2014-10-01,0.09259151
2014-11-01,0.04846264
2014-12-01,0.06105856
2015-01-01,0.03407375
2015-02-01,0.01548795
2015-03-01,0.04155115
2015-04-01,0.045814
2015-05-01,0.04888045
2015-06-01,0.10370381
2015-07-01,0.05994493
2015-08-01,0.02956857
2015-09-01,0.02348823
2015-10-01,0.04274383
2015-11-01,0.0354053
2015-12-01,0.02520057
2016-01-01,0.02312226
2016-02-01,0.06941931
2016-03-01,0.05800305
2016-04-01,0.08994264
2016-05-01,0.18098663
2016-06-01,0.322408
2016-07-01,0.25878013
2016-08-01,0.15822344
2016-09-01,0.20132684
2016-10-01,0.18210309
2016-11-01,0.24906819
2016-12-01,0.33274967
2017-01-01,0.18065133
2017-02-01,0.20000161
2017-03-01,0.17221321
2017-04-01,0.09611668
2017-05-01,0.08873521
2017-06-01,0.11091532
2017-07-01,0.10274051
2017-08-01,0.09569668
2017-09-01,0.0937093
2017-10-01,0.11858197
2017-11-01,0.07729766
2017-12-01,0.12228989
2018-01-01,0.11738605
2018-02-01,0.21108049
2018-03-01,0.13868279
2018-04-01,0.14912937
2018-05-01,0.18409684
2018-06-01,0.3758933
2018-07-01,0.18856385
2018-08-01,0.14797559
2018-09-01,0.04742463
2018-10-01,0.09471729
2018-11-01,0.15513238
2018-12-01,0.07931905
2019-01-01,0.03576906
2019-02-01,0.04773248
2019-03-01,0.06797442
2019-04-01,0.10178519
2019-05-01,0.16825829
2019-06-01,0.04696813
2019-07-01,0.04529718
2019-08-01,0.03150956
2019-09-01,0.03328388
2019-10-01,0.03582802
2019-11-01,0.06214185
2019-12-01,0.04785019
2020-01-01,0.09428511
2020-02-01,0.17989732
2020-03-01,0.07801302
2020-04-01,0.01561755
2020-05-01,0.00309797
2020-06-01,0.04540198
2020-07-01,0.10747047
2020-08-01,0.21879262
2020-09-01,0.30123945
2020-10-01,0.21146609
2020-11-01,0.11244232
2020-12-01,0.09016035
2021-01-01,0.1554034
2021-02-01,0.22413392
2021-03-01,0.31413812
2021-04-01,0.82267959
2021-05-01,0.87677278
2021-06-01,0.88081152
2021-07-01,0.85191236
2021-08-01,0.81392163
2021-09-01,0.79423746
2021-10-01,0.74236589
2021-11-01,0.85492662
2021-12-01,0.91225807
2022-01-01,0.89439173
2022-02-01,0.90284246
2022-03-01,0.95762431
2022-04-01,0.96696623
2022-05-01,0.96008816
2022-06-01,0.95309134
2022-07-01,0.9478321
2022-08-01,0.93713203
2022-09-01,0.91353586
2022-10-01,0.80280321
2022-11-01,0.76318297
2022-12-01,0.89262036
2023-01-01,0.69587453
2023-02-01,0.82881063
2023-03-01,0.77089358
2023-04-01,0.66605007
2023-05-01,0.72752062
2023-06-01,0.65933668
2023-07-01,0.42921551
2023-08-01,0.86906949
2023-09-01,0.75510054
