"Date","M1432AUS35620M027NNBR"
1919-01-01,4.3
1919-02-01,4.17
1919-03-01,4.29
1919-04-01,4.33
1919-05-01,4.5
1919-06-01,4.51
1919-07-01,4.5
1919-08-01,4.51
1919-09-01,4.63
1919-10-01,4.7
1919-11-01,4.69
1919-12-01,4.61
1920-01-01,4.71
1920-02-01,4.61
1920-03-01,4.65
1920-04-01,4.74
1920-05-01,4.75
1920-06-01,4.75
1920-07-01,4.71
1920-08-01,4.56
1920-09-01,4.54
1920-10-01,4.54
1920-11-01,4.41
1920-12-01,4.4
1921-01-01,4.34
1921-02-01,4.17
1921-03-01,4.12
1921-04-01,4.1
1921-05-01,4.09
1921-06-01,4.18
1921-07-01,4.05
1921-08-01,3.96
1921-09-01,4.01
1921-10-01,4.11
1921-11-01,4.19
1921-12-01,4.22
1922-01-01,4.29
1922-02-01,4.19
1922-03-01,4.22
1922-04-01,4.34
1922-05-01,4.5
1922-06-01,4.64
1922-07-01,4.48
1922-08-01,4.36
1922-09-01,4.34
1922-10-01,4.4
1922-11-01,4.32
1922-12-01,4.32
1923-01-01,4.48
1923-02-01,4.46
1923-03-01,4.27
1923-04-01,4.22
1923-05-01,4.2
1923-06-01,4.21
1923-07-01,4.23
1923-08-01,4.07
1923-09-01,4.11
1923-10-01,4.2
1923-11-01,4.26
1923-12-01,4.23
1924-01-01,4.34
1924-02-01,4.33
1924-03-01,4.37
1924-04-01,4.39
1924-05-01,4.47
1924-06-01,4.78
1924-07-01,4.94
1924-08-01,5.06
1924-09-01,5.12
1924-10-01,5.24
1924-11-01,5.28
1924-12-01,5.37
1925-01-01,5.32
1925-02-01,5.13
1925-03-01,5.04
1925-04-01,5.06
1925-05-01,5.05
1925-06-01,5.04
1925-07-01,5.09
1925-08-01,5
1925-09-01,5.01
1925-10-01,5.11
1925-11-01,5.21
1925-12-01,5.2
1926-01-01,5.2
1926-02-01,5.08
1926-03-01,5.09
1926-04-01,5.01
1926-05-01,5.06
1926-06-01,5.13
1926-07-01,5.01
1926-08-01,4.94
1926-09-01,5.02
1926-10-01,4.98
1926-11-01,4.96
1926-12-01,5.09
1927-01-01,5.13
1927-02-01,4.94
1927-03-01,5.07
1927-04-01,5.07
1927-05-01,5.18
1927-06-01,5.39
1927-07-01,5.26
1927-08-01,5.21
1927-09-01,5.22
1927-10-01,5.26
1927-11-01,5.43
1927-12-01,5.57
1928-01-01,5.63
1928-02-01,5.47
1928-03-01,5.47
1928-04-01,5.61
1928-05-01,5.57
1928-06-01,5.38
1928-07-01,5.27
1928-08-01,5.06
1928-09-01,5.09
1928-10-01,5.15
1928-11-01,5.26
1928-12-01,5.3
1929-01-01,5.42
1929-02-01,5.3
1929-03-01,5.27
1929-04-01,5.22
1929-05-01,5.17
1929-06-01,5.2
1929-07-01,5.27
1929-08-01,5.15
1929-09-01,5.19
1929-10-01,5.56
1929-11-01,6.28
1929-12-01,5.79
1930-01-01,5.37
1930-02-01,5.24
1930-03-01,5.26
1930-04-01,5.44
1930-05-01,5.44
1930-06-01,5.62
1930-07-01,5.6
1930-08-01,5.65
1930-09-01,5.57
1930-10-01,5.75
1930-11-01,5.94
1930-12-01,5.93
1931-01-01,5.88
1931-02-01,5.83
1931-03-01,5.87
1931-04-01,5.77
1931-05-01,5.83
1931-06-01,5.65
1931-07-01,5.83
1931-08-01,5.67
1931-09-01,5.73
1931-10-01,5.54
1931-11-01,5.37
1931-12-01,5.28
1932-01-01,5.07
1932-02-01,4.74
1932-03-01,4.73
1932-04-01,4.91
1932-05-01,5.1
1932-06-01,4.98
1932-07-01,4.89
1932-08-01,5
1932-09-01,5.24
1932-10-01,5.38
1932-11-01,5.57
1932-12-01,5.68
1933-01-01,5.83
1933-02-01,5.63
1933-03-01,4.69
1933-04-01,5.11
1933-05-01,5.53
1933-06-01,5.64
1933-07-01,5.34
1933-08-01,5.21
1933-09-01,5.26
1933-10-01,5.26
1933-11-01,5.22
1933-12-01,5.2
1934-01-01,5.33
1934-02-01,5.39
1934-03-01,5.7
1934-04-01,5.98
1934-05-01,6.01
1934-06-01,6.15
1934-07-01,6.16
1934-08-01,6.22
