"Date","MANMM101USM189S"
1960-01-01,1.4e+11
1960-02-01,1.399e+11
1960-03-01,1.398e+11
1960-04-01,1.396e+11
1960-05-01,1.396e+11
1960-06-01,1.396e+11
1960-07-01,1.402e+11
1960-08-01,1.413e+11
1960-09-01,1.412e+11
1960-10-01,1.409e+11
1960-11-01,1.409e+11
1960-12-01,1.407e+11
1961-01-01,1.411e+11
1961-02-01,1.416e+11
1961-03-01,1.419e+11
1961-04-01,1.421e+11
1961-05-01,1.427e+11
1961-06-01,1.429e+11
1961-07-01,1.429e+11
1961-08-01,1.435e+11
1961-09-01,1.438e+11
1961-10-01,1.441e+11
1961-11-01,1.448e+11
1961-12-01,1.452e+11
1962-01-01,1.452e+11
1962-02-01,1.457e+11
1962-03-01,1.46e+11
1962-04-01,1.464e+11
1962-05-01,1.468e+11
1962-06-01,1.466e+11
1962-07-01,1.465e+11
1962-08-01,1.466e+11
1962-09-01,1.463e+11
1962-10-01,1.467e+11
1962-11-01,1.473e+11
1962-12-01,1.478e+11
1963-01-01,1.483e+11
1963-02-01,1.489e+11
1963-03-01,1.492e+11
1963-04-01,1.497e+11
1963-05-01,1.504e+11
1963-06-01,1.504e+11
1963-07-01,1.513e+11
1963-08-01,1.518e+11
1963-09-01,1.52e+11
1963-10-01,1.526e+11
1963-11-01,1.536e+11
1963-12-01,1.533e+11
1964-01-01,1.537e+11
1964-02-01,1.543e+11
1964-03-01,1.545e+11
1964-04-01,1.548e+11
1964-05-01,1.553e+11
1964-06-01,1.556e+11
1964-07-01,1.568e+11
1964-08-01,1.578e+11
1964-09-01,1.587e+11
1964-10-01,1.592e+11
1964-11-01,1.6e+11
1964-12-01,1.603e+11
1965-01-01,1.607e+11
1965-02-01,1.609e+11
1965-03-01,1.615e+11
1965-04-01,1.62e+11
1965-05-01,1.617e+11
1965-06-01,1.622e+11
1965-07-01,1.63e+11
1965-08-01,1.637e+11
1965-09-01,1.648e+11
1965-10-01,1.66e+11
1965-11-01,1.667e+11
1965-12-01,1.678e+11
1966-01-01,1.691e+11
1966-02-01,1.696e+11
1966-03-01,1.705e+11
1966-04-01,1.718e+11
1966-05-01,1.713e+11
1966-06-01,1.716e+11
1966-07-01,1.703e+11
1966-08-01,1.708e+11
1966-09-01,1.72e+11
1966-10-01,1.712e+11
1966-11-01,1.714e+11
1966-12-01,1.72e+11
1967-01-01,1.719e+11
1967-02-01,1.73e+11
1967-03-01,1.748e+11
1967-04-01,1.742e+11
1967-05-01,1.757e+11
1967-06-01,1.77e+11
1967-07-01,1.781e+11
1967-08-01,1.797e+11
1967-09-01,1.807e+11
1967-10-01,1.816e+11
1967-11-01,1.824e+11
1967-12-01,1.833e+11
1968-01-01,1.843e+11
1968-02-01,1.847e+11
1968-03-01,1.855e+11
1968-04-01,1.866e+11
1968-05-01,1.88e+11
1968-06-01,1.894e+11
1968-07-01,1.905e+11
1968-08-01,1.918e+11
1968-09-01,1.927e+11
1968-10-01,1.94e+11
1968-11-01,1.96e+11
1968-12-01,1.974e+11
1969-01-01,1.987e+11
1969-02-01,1.993e+11
1969-03-01,2e+11
1969-04-01,2.007e+11
1969-05-01,2.008e+11
1969-06-01,2.013e+11
1969-07-01,2.017e+11
1969-08-01,2.017e+11
1969-09-01,2.021e+11
1969-10-01,2.029e+11
1969-11-01,2.036e+11
1969-12-01,2.039e+11
1970-01-01,2.062e+11
1970-02-01,2.05e+11
1970-03-01,2.057e+11
1970-04-01,2.067e+11
1970-05-01,2.072e+11
1970-06-01,2.076e+11
1970-07-01,2.08e+11
1970-08-01,2.099e+11
1970-09-01,2.118e+11
1970-10-01,2.129e+11
1970-11-01,2.137e+11
1970-12-01,2.144e+11
1971-01-01,2.155e+11
1971-02-01,2.174e+11
1971-03-01,2.188e+11
1971-04-01,2.2e+11
1971-05-01,2.22e+11
1971-06-01,2.235e+11
1971-07-01,2.249e+11
1971-08-01,2.256e+11
1971-09-01,2.265e+11
1971-10-01,2.272e+11
1971-11-01,2.278e+11
1971-12-01,2.283e+11
1972-01-01,2.301e+11
1972-02-01,2.323e+11
1972-03-01,2.343e+11
1972-04-01,2.356e+11
1972-05-01,2.359e+11
1972-06-01,2.366e+11
1972-07-01,2.388e+11
1972-08-01,2.409e+11
1972-09-01,2.432e+11
1972-10-01,2.45e+11
1972-11-01,2.464e+11
1972-12-01,2.492e+11
1973-01-01,2.515e+11
1973-02-01,2.522e+11
1973-03-01,2.517e+11
1973-04-01,2.527e+11
1973-05-01,2.549e+11
1973-06-01,2.567e+11
1973-07-01,2.575e+11
1973-08-01,2.577e+11
1973-09-01,2.579e+11
1973-10-01,2.59e+11
1973-11-01,2.61e+11
1973-12-01,2.629e+11
1974-01-01,2.638e+11
1974-02-01,2.653e+11
1974-03-01,2.667e+11
1974-04-01,2.672e+11
1974-05-01,2.676e+11
1974-06-01,2.685e+11
1974-07-01,2.693e+11
1974-08-01,2.701e+11
1974-09-01,2.71e+11
1974-10-01,2.723e+11
1974-11-01,2.737e+11
1974-12-01,2.742e+11
1975-01-01,2.739e+11
1975-02-01,2.75e+11
1975-03-01,2.764e+11
1975-04-01,2.762e+11
1975-05-01,2.792e+11
1975-06-01,2.824e+11
1975-07-01,2.837e+11
1975-08-01,2.841e+11
1975-09-01,2.857e+11
1975-10-01,2.854e+11
1975-11-01,2.868e+11
1975-12-01,2.871e+11
1976-01-01,2.884e+11
1976-02-01,2.908e+11
1976-03-01,2.927e+11
1976-04-01,2.947e+11
1976-05-01,2.959e+11
1976-06-01,2.962e+11
1976-07-01,2.972e+11
1976-08-01,2.99e+11
1976-09-01,2.996e+11
1976-10-01,3.02e+11
1976-11-01,3.036e+11
1976-12-01,3.062e+11
1977-01-01,3.083e+11
1977-02-01,3.115e+11
1977-03-01,3.139e+11
1977-04-01,3.16e+11
1977-05-01,3.172e+11
1977-06-01,3.188e+11
1977-07-01,3.202e+11
1977-08-01,3.223e+11
1977-09-01,3.245e+11
1977-10-01,3.264e+11
1977-11-01,3.286e+11
1977-12-01,3.309e+11
1978-01-01,3.344e+11
1978-02-01,3.353e+11
1978-03-01,3.37e+11
1978-04-01,3.399e+11
1978-05-01,3.449e+11
1978-06-01,3.469e+11
1978-07-01,3.476e+11
1978-08-01,3.496e+11
1978-09-01,3.522e+11
1978-10-01,3.533e+11
1978-11-01,3.554e+11
1978-12-01,3.573e+11
1979-01-01,3.586e+11
1979-02-01,3.599e+11
1979-03-01,3.625e+11
1979-04-01,3.68e+11
1979-05-01,3.696e+11
1979-06-01,3.734e+11
1979-07-01,3.772e+11
1979-08-01,3.788e+11
1979-09-01,3.793e+11
1979-10-01,3.808e+11
1979-11-01,3.808e+11
1979-12-01,3.818e+11
1980-01-01,3.858e+11
1980-02-01,3.901e+11
1980-03-01,3.884e+11
1980-04-01,3.838e+11
1980-05-01,3.848e+11
1980-06-01,3.891e+11
1980-07-01,3.94e+11
1980-08-01,3.992e+11
1980-09-01,4.048e+11
1980-10-01,4.09e+11
1980-11-01,4.107e+11
1980-12-01,4.085e+11
1981-01-01,4.113e+11
1981-02-01,4.148e+11
1981-03-01,4.19e+11
1981-04-01,4.274e+11
1981-05-01,4.247e+11
1981-06-01,4.252e+11
1981-07-01,4.269e+11
1981-08-01,4.269e+11
1981-09-01,4.27e+11
1981-10-01,4.284e+11
1981-11-01,4.313e+11
1981-12-01,4.367e+11
1982-01-01,4.427e+11
1982-02-01,4.419e+11
1982-03-01,4.427e+11
1982-04-01,4.471e+11
1982-05-01,4.467e+11
1982-06-01,4.475e+11
1982-07-01,4.48e+11
1982-08-01,4.514e+11
1982-09-01,4.569e+11
1982-10-01,4.645e+11
1982-11-01,4.715e+11
1982-12-01,4.748e+11
1983-01-01,4.772e+11
1983-02-01,4.843e+11
1983-03-01,4.906e+11
1983-04-01,4.932e+11
1983-05-01,5e+11
1983-06-01,5.04e+11
1983-07-01,5.078e+11
1983-08-01,5.105e+11
1983-09-01,5.128e+11
1983-10-01,5.172e+11
1983-11-01,5.19e+11
1983-12-01,5.214e+11
1984-01-01,5.251e+11
1984-02-01,5.275e+11
1984-03-01,5.314e+11
1984-04-01,5.35e+11
1984-05-01,5.367e+11
1984-06-01,5.402e+11
1984-07-01,5.409e+11
1984-08-01,5.41e+11
1984-09-01,5.431e+11
1984-10-01,5.437e+11
1984-11-01,5.475e+11
1984-12-01,5.516e+11
1985-01-01,5.57e+11
1985-02-01,5.636e+11
1985-03-01,5.666e+11
1985-04-01,5.704e+11
1985-05-01,5.751e+11
1985-06-01,5.823e+11
1985-07-01,5.891e+11
1985-08-01,5.962e+11
1985-09-01,6.033e+11
1985-10-01,6.078e+11
1985-11-01,6.122e+11
1985-12-01,6.198e+11
1986-01-01,6.214e+11
1986-02-01,6.252e+11
1986-03-01,6.335e+11
1986-04-01,6.41e+11
1986-05-01,6.52e+11
1986-06-01,6.606e+11
1986-07-01,6.703e+11
1986-08-01,6.787e+11
1986-09-01,6.874e+11
1986-10-01,6.949e+11
1986-11-01,7.054e+11
1986-12-01,7.247e+11
1987-01-01,7.302e+11
1987-02-01,7.307e+11
1987-03-01,7.338e+11
1987-04-01,7.439e+11
1987-05-01,7.458e+11
1987-06-01,7.432e+11
1987-07-01,7.43e+11
1987-08-01,7.449e+11
1987-09-01,7.476e+11
1987-10-01,7.562e+11
1987-11-01,7.532e+11
1987-12-01,7.502e+11
1988-01-01,7.562e+11
1988-02-01,7.577e+11
1988-03-01,7.618e+11
1988-04-01,7.681e+11
1988-05-01,7.717e+11
1988-06-01,7.783e+11
1988-07-01,7.814e+11
1988-08-01,7.833e+11
1988-09-01,7.837e+11
1988-10-01,7.833e+11
1988-11-01,7.849e+11
1988-12-01,7.867e+11
1989-01-01,7.857e+11
1989-02-01,7.838e+11
1989-03-01,7.83e+11
1989-04-01,7.792e+11
1989-05-01,7.75e+11
1989-06-01,7.735e+11
1989-07-01,7.778e+11
1989-08-01,7.794e+11
1989-09-01,7.81e+11
1989-10-01,7.866e+11
1989-11-01,7.879e+11
1989-12-01,7.929e+11
1990-01-01,7.954e+11
1990-02-01,7.981e+11
1990-03-01,8.015e+11
1990-04-01,8.061e+11
1990-05-01,8.042e+11
1990-06-01,8.088e+11
1990-07-01,8.101e+11
1990-08-01,8.157e+11
1990-09-01,8.202e+11
1990-10-01,8.199e+11
1990-11-01,8.221e+11
1990-12-01,8.247e+11
1991-01-01,8.272e+11
1991-02-01,8.326e+11
1991-03-01,8.387e+11
1991-04-01,8.431e+11
1991-05-01,8.488e+11
1991-06-01,8.567e+11
1991-07-01,8.616e+11
1991-08-01,8.668e+11
1991-09-01,8.697e+11
1991-10-01,8.78e+11
1991-11-01,8.876e+11
1991-12-01,8.97e+11
1992-01-01,9.104e+11
1992-02-01,9.252e+11
1992-03-01,9.367e+11
1992-04-01,9.438e+11
1992-05-01,9.506e+11
1992-06-01,9.543e+11
1992-07-01,9.633e+11
1992-08-01,9.737e+11
1992-09-01,9.88e+11
1992-10-01,1.0037e+12
1992-11-01,1.0157e+12
1992-12-01,1.0249e+12
1993-01-01,1.0304e+12
1993-02-01,1.0335e+12
1993-03-01,1.0384e+12
1993-04-01,1.0476e+12
1993-05-01,1.0659e+12
1993-06-01,1.0751e+12
1993-07-01,1.0846e+12
1993-08-01,1.0942e+12
1993-09-01,1.1042e+12
1993-10-01,1.1131e+12
1993-11-01,1.1241e+12
1993-12-01,1.1296e+12
1994-01-01,1.1316e+12
1994-02-01,1.1363e+12
1994-03-01,1.1401e+12
1994-04-01,1.1411e+12
1994-05-01,1.1433e+12
1994-06-01,1.1452e+12
1994-07-01,1.1507e+12
1994-08-01,1.1506e+12
1994-09-01,1.1519e+12
1994-10-01,1.1502e+12
1994-11-01,1.1509e+12
1994-12-01,1.1507e+12
1995-01-01,1.1514e+12
1995-02-01,1.1474e+12
1995-03-01,1.1467e+12
1995-04-01,1.1493e+12
1995-05-01,1.1453e+12
1995-06-01,1.1442e+12
1995-07-01,1.1455e+12
1995-08-01,1.1454e+12
1995-09-01,1.142e+12
1995-10-01,1.1373e+12
1995-11-01,1.1341e+12
1995-12-01,1.1275e+12
1996-01-01,1.1235e+12
1996-02-01,1.1185e+12
1996-03-01,1.1226e+12
1996-04-01,1.1248e+12
1996-05-01,1.1165e+12
1996-06-01,1.1152e+12
1996-07-01,1.1124e+12
1996-08-01,1.1016e+12
1996-09-01,1.0962e+12
1996-10-01,1.0857e+12
1996-11-01,1.0835e+12
1996-12-01,1.0813e+12
1997-01-01,1.0812e+12
1997-02-01,1.0788e+12
1997-03-01,1.0725e+12
1997-04-01,1.0639e+12
1997-05-01,1.0638e+12
1997-06-01,1.0661e+12
1997-07-01,1.0655e+12
1997-08-01,1.0753e+12
1997-09-01,1.0669e+12
1997-10-01,1.0656e+12
1997-11-01,1.0709e+12
1997-12-01,1.0723e+12
1998-01-01,1.074e+12
1998-02-01,1.0778e+12
1998-03-01,1.0769e+12
1998-04-01,1.0765e+12
1998-05-01,1.0791e+12
1998-06-01,1.0763e+12
1998-07-01,1.0751e+12
1998-08-01,1.0759e+12
1998-09-01,1.0799e+12
1998-10-01,1.086e+12
1998-11-01,1.0949e+12
1998-12-01,1.095e+12
1999-01-01,1.0981e+12
1999-02-01,1.0967e+12
1999-03-01,1.0966e+12
1999-04-01,1.1016e+12
1999-05-01,1.1038e+12
1999-06-01,1.0998e+12
1999-07-01,1.0991e+12
1999-08-01,1.0992e+12
1999-09-01,1.0965e+12
1999-10-01,1.1033e+12
1999-11-01,1.1107e+12
1999-12-01,1.1222e+12
2000-01-01,1.1221e+12
2000-02-01,1.1086e+12
2000-03-01,1.1075e+12
2000-04-01,1.1156e+12
2000-05-01,1.1049e+12
2000-06-01,1.1026e+12
2000-07-01,1.1035e+12
2000-08-01,1.1002e+12
2000-09-01,1.0997e+12
2000-10-01,1.0987e+12
2000-11-01,1.0924e+12
2000-12-01,1.0886e+12
2001-01-01,1.0967e+12
2001-02-01,1.1012e+12
2001-03-01,1.1089e+12
2001-04-01,1.1167e+12
2001-05-01,1.1185e+12
2001-06-01,1.1262e+12
