"Date","MSIM2A"
1967-01-01,719.6
1967-02-01,724.2
1967-03-01,731.1
1967-04-01,731.5
1967-05-01,738.2
1967-06-01,744.3
1967-07-01,749.7
1967-08-01,756.1
1967-09-01,760.8
1967-10-01,765.2
1967-11-01,768.9
1967-12-01,773.3
1968-01-01,777.1
1968-02-01,779.9
1968-03-01,783.5
1968-04-01,787.4
1968-05-01,792.2
1968-06-01,797.6
1968-07-01,801.7
1968-08-01,807
1968-09-01,811.9
1968-10-01,817.2
1968-11-01,824.5
1968-12-01,830.6
1969-01-01,834.5
1969-02-01,837.7
1969-03-01,840.9
1969-04-01,842.9
1969-05-01,843.8
1969-06-01,846.3
1969-07-01,847.5
1969-08-01,848.1
1969-09-01,850.7
1969-10-01,852.7
1969-11-01,855.5
1969-12-01,858.6
1970-01-01,862.4
1970-02-01,857.2
1970-03-01,858.6
1970-04-01,860.6
1970-05-01,864.3
1970-06-01,868.6
1970-07-01,873.3
1970-08-01,881.6
1970-09-01,890.4
1970-10-01,897.1
1970-11-01,902.9
1970-12-01,909.4
1971-01-01,917.3
1971-02-01,927.8
1971-03-01,938.4
1971-04-01,948.5
1971-05-01,959.3
1971-06-01,967.4
1971-07-01,975.8
1971-08-01,982.8
1971-09-01,991.1
1971-10-01,998
1971-11-01,1004.8
1971-12-01,1011.1
1972-01-01,1020.7
1972-02-01,1031.5
1972-03-01,1041.7
1972-04-01,1048.2
1972-05-01,1053.2
1972-06-01,1060.3
1972-07-01,1072.6
1972-08-01,1084.5
1972-09-01,1096.8
1972-10-01,1107.4
1972-11-01,1115.9
1972-12-01,1127.8
1973-01-01,1138.4
1973-02-01,1142.9
1973-03-01,1143.5
1973-04-01,1149.2
1973-05-01,1159
1973-06-01,1167.8
1973-07-01,1172.1
1973-08-01,1174.6
1973-09-01,1175
1973-10-01,1179.7
1973-11-01,1188.2
1973-12-01,1197.2
1974-01-01,1202.5
1974-02-01,1208.8
1974-03-01,1216.4
1974-04-01,1219.9
1974-05-01,1222
1974-06-01,1226.3
1974-07-01,1231
1974-08-01,1234.7
1974-09-01,1239.8
1974-10-01,1246.8
1974-11-01,1253.6
1974-12-01,1257.9
1975-01-01,1261.8
1975-02-01,1271.1
1975-03-01,1284.1
1975-04-01,1294.5
1975-05-01,1311.4
1975-06-01,1331.1
1975-07-01,1345.3
1975-08-01,1354.2
1975-09-01,1364.7
1975-10-01,1371
1975-11-01,1382.3
1975-12-01,1392.4
1976-01-01,1404.9
1976-02-01,1422.2
1976-03-01,1434.5
1976-04-01,1448
1976-05-01,1460.9
1976-06-01,1466.5
1976-07-01,1476.5
1976-08-01,1491.1
1976-09-01,1503.9
1976-10-01,1521.2
1976-11-01,1536.4
1976-12-01,1553.5
1977-01-01,1569.1
1977-02-01,1585.5
1977-03-01,1599.2
1977-04-01,1612.8
1977-05-01,1623.3
1977-06-01,1633.5
1977-07-01,1643.9
1977-08-01,1656.5
1977-09-01,1668.2
1977-10-01,1678
1977-11-01,1689.1
1977-12-01,1699.5
1978-01-01,1713.3
1978-02-01,1720
1978-03-01,1728.4
1978-04-01,1740
1978-05-01,1756.2
1978-06-01,1765.1
1978-07-01,1767.5
1978-08-01,1777
1978-09-01,1789.3
1978-10-01,1794.4
1978-11-01,1797.5
1978-12-01,1798.3
1979-01-01,1795.2
1979-02-01,1794.9
1979-03-01,1800.6
1979-04-01,1814
1979-05-01,1817.4
1979-06-01,1830.6
1979-07-01,1843.4
1979-08-01,1853.1
1979-09-01,1854.7
1979-10-01,1852.5
1979-11-01,1844.8
1979-12-01,1845.4
1980-01-01,1850.1
1980-02-01,1856.6
1980-03-01,1846.4
1980-04-01,1826.6
1980-05-01,1830.1
1980-06-01,1849.8
1980-07-01,1872.9
1980-08-01,1897.9
1980-09-01,1917.2
1980-10-01,1930
1980-11-01,1932.1
1980-12-01,1917.3
1981-01-01,1902.8
1981-02-01,1901
1981-03-01,1907.6
1981-04-01,1927.7
1981-05-01,1919.2
1981-06-01,1915.9
1981-07-01,1921.4
1981-08-01,1919.8
1981-09-01,1916.2
1981-10-01,1919.2
1981-11-01,1927.8
1981-12-01,1945.1
1982-01-01,1963.3
1982-02-01,1961.7
1982-03-01,1966.1
1982-04-01,1980.2
1982-05-01,1984.9
1982-06-01,1990.1
1982-07-01,1992.2
1982-08-01,2006.1
1982-09-01,2021.9
1982-10-01,2040.9
1982-11-01,2060.5
1982-12-01,2078.1
1983-01-01,2104.1
1983-02-01,2129.1
1983-03-01,2144.8
1983-04-01,2154.4
1983-05-01,2170.6
1983-06-01,2180.3
1983-07-01,2190.3
1983-08-01,2197.9
1983-09-01,2204.6
1983-10-01,2217.3
1983-11-01,2224.9
1983-12-01,2232.9
1984-01-01,2245.5
1984-02-01,2260.8
1984-03-01,2275.6
1984-04-01,2290.1
1984-05-01,2299.2
1984-06-01,2308.8
1984-07-01,2312.3
1984-08-01,2312.2
1984-09-01,2319.9
1984-10-01,2326.1
1984-11-01,2343.3
1984-12-01,2363.5
1985-01-01,2386.8
1985-02-01,2409.2
1985-03-01,2420.1
1985-04-01,2429.2
1985-05-01,2445
1985-06-01,2468.7
1985-07-01,2488.3
1985-08-01,2506
1985-09-01,2522
1985-10-01,2534.9
1985-11-01,2545.6
1985-12-01,2564.2
1986-01-01,2571.8
1986-02-01,2582.6
1986-03-01,2606.2
1986-04-01,2631.5
1986-05-01,2662.7
1986-06-01,2685.3
1986-07-01,2710.6
1986-08-01,2731.7
1986-09-01,2755.3
1986-10-01,2775.1
1986-11-01,2792.2
1986-12-01,2829.2
1987-01-01,2841.5
1987-02-01,2842.7
1987-03-01,2848.3
1987-04-01,2866.4
1987-05-01,2871.8
1987-06-01,2869.3
1987-07-01,2871.2
1987-08-01,2878.4
1987-09-01,2888.4
