"Date","M14065USM144NNBR"
1914-11-01,2
1914-12-01,8
1915-01-01,12
1915-02-01,19
1915-03-01,30
1915-04-01,42
1915-05-01,53
1915-06-01,70
1915-07-01,82
1915-08-01,91
1915-09-01,108
1915-10-01,136
1915-11-01,158
1915-12-01,180
1916-01-01,185
1916-02-01,178
1916-03-01,165
1916-04-01,165
1916-05-01,160
1916-06-01,155
1916-07-01,155
1916-08-01,155
1916-09-01,183
1916-10-01,208
1916-11-01,233
1916-12-01,265
1917-01-01,266
1917-02-01,286
1917-03-01,335
1917-04-01,399
1917-05-01,443
1917-06-01,492
1917-07-01,530
1917-08-01,559
1917-09-01,648
1917-10-01,795
1917-11-01,967
1917-12-01,1168
1918-01-01,1242
1918-02-01,1283
1918-03-01,1409
1918-04-01,1504
1918-05-01,1571
1918-06-01,1661
1918-07-01,1824
1918-08-01,1989
1918-09-01,2251
1918-10-01,2481
1918-11-01,2553
1918-12-01,2630
1919-01-01,2541
1919-02-01,2462
1919-03-01,2503
1919-04-01,2548
1919-05-01,2534
1919-06-01,2501
1919-07-01,2524
1919-08-01,2544
1919-09-01,2627
1919-10-01,2738
1919-11-01,2812
1919-12-01,2955
1920-01-01,2888
1920-02-01,2947
1920-03-01,3040
1920-04-01,3072
1920-05-01,3090
1920-06-01,3114
1920-07-01,3143
1920-08-01,3165
1920-09-01,3276
1920-10-01,3337
1920-11-01,3328
1920-12-01,3343
1921-01-01,3178
1921-02-01,3051
1921-03-01,2979
1921-04-01,2871
1921-05-01,2787
1921-06-01,2683
1921-07-01,2605
1921-08-01,2512
1921-09-01,2494
1921-10-01,2456
1921-11-01,2402
1921-12-01,2416
1922-01-01,2272
1922-02-01,2177
1922-03-01,2195
1922-04-01,2190
1922-05-01,2153
1922-06-01,2138
1922-07-01,2157
1922-08-01,2151
1922-09-01,2225
1922-10-01,2309
1922-11-01,2325
1922-12-01,2416
1923-01-01,2289
1923-02-01,2245
1923-03-01,2253
1923-04-01,2236
1923-05-01,2243
1923-06-01,2247
1923-07-01,2242
1923-08-01,2229
1923-09-01,2264
1923-10-01,2276
1923-11-01,2257
1923-12-01,2292
1924-01-01,2113
1924-02-01,2035
1924-03-01,2014
1924-04-01,1971
1924-05-01,1915
1924-06-01,1871
1924-07-01,1825
1924-08-01,1757
1924-09-01,1750
1924-10-01,1769
1924-11-01,1836
