"Date","MSIM2DS"
1959-01-01,25.255
1959-02-01,25.347
1959-03-01,25.461
1959-04-01,25.523
1959-05-01,25.701
1959-06-01,25.85
1959-07-01,25.935
1959-08-01,26.028
1959-09-01,26.034
1959-10-01,26
1959-11-01,26.022
1959-12-01,26.06
1960-01-01,26.088
1960-02-01,26.105
1960-03-01,26.166
1960-04-01,26.215
1960-05-01,26.277
1960-06-01,26.376
1960-07-01,26.522
1960-08-01,26.746
1960-09-01,26.846
1960-10-01,26.908
1960-11-01,26.986
1960-12-01,27.07
1961-01-01,27.196
1961-02-01,27.376
1961-03-01,27.5
1961-04-01,27.616
1961-05-01,27.798
1961-06-01,27.944
1961-07-01,28.041
1961-08-01,28.198
1961-09-01,28.351
1961-10-01,28.478
1961-11-01,28.635
1961-12-01,28.793
1962-01-01,28.937
1962-02-01,29.127
1962-03-01,29.329
1962-04-01,29.506
1962-05-01,29.632
1962-06-01,29.726
1962-07-01,29.812
1962-08-01,29.933
1962-09-01,30.036
1962-10-01,30.197
1962-11-01,30.373
1962-12-01,30.572
1963-01-01,30.737
1963-02-01,30.932
1963-03-01,31.106
1963-04-01,31.295
1963-05-01,31.489
1963-06-01,31.634
1963-07-01,31.846
1963-08-01,32.015
1963-09-01,32.161
1963-10-01,32.321
1963-11-01,32.572
1963-12-01,32.66
1964-01-01,32.792
1964-02-01,32.96
1964-03-01,33.105
1964-04-01,33.234
1964-05-01,33.419
1964-06-01,33.605
1964-07-01,33.841
1964-08-01,34.09
1964-09-01,34.337
1964-10-01,34.489
1964-11-01,34.706
1964-12-01,34.865
1965-01-01,35.01
1965-02-01,35.15
1965-03-01,35.315
1965-04-01,35.458
1965-05-01,35.515
1965-06-01,35.694
1965-07-01,35.894
1965-08-01,36.085
1965-09-01,36.36
1965-10-01,36.605
1965-11-01,36.83
1965-12-01,37.091
1966-01-01,37.304
1966-02-01,37.432
1966-03-01,37.555
1966-04-01,37.65
1966-05-01,37.595
1966-06-01,37.627
1966-07-01,37.527
1966-08-01,37.611
1966-09-01,37.798
1966-10-01,37.758
1966-11-01,37.856
1966-12-01,38.038
1967-01-01,38.079
1967-02-01,38.288
1967-03-01,38.608
1967-04-01,38.668
1967-05-01,39.009
1967-06-01,39.34
1967-07-01,39.641
1967-08-01,39.971
1967-09-01,40.248
1967-10-01,40.502
1967-11-01,40.71
1967-12-01,40.968
1968-01-01,41.131
1968-02-01,41.347
1968-03-01,41.551
1968-04-01,41.752
1968-05-01,41.981
1968-06-01,42.257
1968-07-01,42.464
1968-08-01,42.736
1968-09-01,43.021
1968-10-01,43.282
1968-11-01,43.643
1968-12-01,43.968
1969-01-01,44.144
1969-02-01,44.318
1969-03-01,44.504
1969-04-01,44.595
1969-05-01,44.643
1969-06-01,44.795
1969-07-01,44.861
1969-08-01,44.905
1969-09-01,45.054
1969-10-01,45.159
1969-11-01,45.313
1969-12-01,45.502
1970-01-01,45.655
1970-02-01,45.427
1970-03-01,45.518
1970-04-01,45.625
1970-05-01,45.894
1970-06-01,46.194
1970-07-01,46.499
1970-08-01,46.944
1970-09-01,47.42
1970-10-01,47.807
1970-11-01,48.154
1970-12-01,48.542
1971-01-01,48.99
1971-02-01,49.57
1971-03-01,50.174
1971-04-01,50.768
1971-05-01,51.372
1971-06-01,51.833
1971-07-01,52.332
1971-08-01,52.759
1971-09-01,53.25
1971-10-01,53.666
1971-11-01,54.095
1971-12-01,54.477
1972-01-01,55.028
1972-02-01,55.634
1972-03-01,56.221
1972-04-01,56.582
1972-05-01,56.941
1972-06-01,57.399
1972-07-01,58.126
1972-08-01,58.81
1972-09-01,59.527
1972-10-01,60.166
1972-11-01,60.676
1972-12-01,61.318
1973-01-01,61.917
1973-02-01,62.192
1973-03-01,62.271
1973-04-01,62.63
1973-05-01,63.17
