"Date","ADJBORNS"
1959-01-01,0.552
1959-02-01,0.505
1959-03-01,0.599
1959-04-01,0.692
1959-05-01,0.741
1959-06-01,0.93
1959-07-01,0.961
1959-08-01,0.99
1959-09-01,0.927
1959-10-01,0.907
1959-11-01,0.859
1959-12-01,0.941
1960-01-01,0.887
1960-02-01,0.81
1960-03-01,0.641
1960-04-01,0.606
1960-05-01,0.496
1960-06-01,0.434
1960-07-01,0.379
1960-08-01,0.296
1960-09-01,0.215
1960-10-01,0.167
1960-11-01,0.133
1960-12-01,0.074
1961-01-01,0.066
1961-02-01,0.133
1961-03-01,0.07
1961-04-01,0.057
1961-05-01,0.095
1961-06-01,0.063
1961-07-01,0.054
1961-08-01,0.065
1961-09-01,0.038
1961-10-01,0.071
1961-11-01,0.098
1961-12-01,0.133
1962-01-01,0.087
1962-02-01,0.068
1962-03-01,0.089
1962-04-01,0.072
1962-05-01,0.061
1962-06-01,0.102
1962-07-01,0.092
1962-08-01,0.125
1962-09-01,0.081
1962-10-01,0.063
1962-11-01,0.12
1962-12-01,0.26
1963-01-01,0.146
1963-02-01,0.166
1963-03-01,0.148
1963-04-01,0.13
1963-05-01,0.21
1963-06-01,0.259
1963-07-01,0.298
1963-08-01,0.329
1963-09-01,0.319
1963-10-01,0.32
1963-11-01,0.349
1963-12-01,0.332
1964-01-01,0.274
1964-02-01,0.286
1964-03-01,0.278
1964-04-01,0.211
1964-05-01,0.26
1964-06-01,0.268
1964-07-01,0.263
1964-08-01,0.315
1964-09-01,0.345
1964-10-01,0.321
1964-11-01,0.4
1964-12-01,0.264
1965-01-01,0.3
1965-02-01,0.405
1965-03-01,0.411
1965-04-01,0.471
1965-05-01,0.495
1965-06-01,0.537
1965-07-01,0.528
1965-08-01,0.547
1965-09-01,0.554
1965-10-01,0.488
1965-11-01,0.432
1965-12-01,0.444
1966-01-01,0.42
1966-02-01,0.482
1966-03-01,0.56
1966-04-01,0.637
1966-05-01,0.687
1966-06-01,0.707
1966-07-01,0.741
1966-08-01,0.735
1966-09-01,0.769
1966-10-01,0.734
1966-11-01,0.607
1966-12-01,0.532
1967-01-01,0.41
1967-02-01,0.364
1967-03-01,0.2
1967-04-01,0.146
1967-05-01,0.089
1967-06-01,0.106
1967-07-01,0.115
1967-08-01,0.081
1967-09-01,0.089
1967-10-01,0.129
1967-11-01,0.132
1967-12-01,0.228
1968-01-01,0.246
1968-02-01,0.373
1968-03-01,0.659
1968-04-01,0.685
1968-05-01,0.741
1968-06-01,0.694
1968-07-01,0.527
1968-08-01,0.565
1968-09-01,0.504
1968-10-01,0.443
1968-11-01,0.545
1968-12-01,0.746
1969-01-01,0.736
1969-02-01,0.835
1969-03-01,0.902
1969-04-01,1.003
1969-05-01,1.374
1969-06-01,1.385
1969-07-01,1.252
1969-08-01,1.219
1969-09-01,1.079
1969-10-01,1.15
1969-11-01,1.203
1969-12-01,1.119
1970-01-01,0.959
1970-02-01,1.08
1970-03-01,0.898
1970-04-01,0.845
1970-05-01,0.968
1970-06-01,0.881
1970-07-01,1.36
1970-08-01,0.837
1970-09-01,0.6
1970-10-01,0.463
1970-11-01,0.415
1970-12-01,0.332
1971-01-01,0.364
1971-02-01,0.332
1971-03-01,0.319
1971-04-01,0.153
1971-05-01,0.284
1971-06-01,0.492
1971-07-01,0.823
1971-08-01,0.809
1971-09-01,0.495
1971-10-01,0.357
1971-11-01,0.384
1971-12-01,0.126
1972-01-01,0.021
1972-02-01,0.033
1972-03-01,0.098
1972-04-01,0.118
1972-05-01,0.111
1972-06-01,0.1
1972-07-01,0.238
1972-08-01,0.388
1972-09-01,0.541
1972-10-01,0.555
1972-11-01,0.608
1972-12-01,1.05
1973-01-01,1.16
1973-02-01,1.593
1973-03-01,1.824
1973-04-01,1.711
1973-05-01,1.842
1973-06-01,1.843
1973-07-01,1.921
1973-08-01,2.14
1973-09-01,1.826
1973-10-01,1.46
1973-11-01,1.393
1973-12-01,1.298
1974-01-01,1.048
1974-02-01,1.191
1974-03-01,1.314
1974-04-01,1.736
1974-05-01,1.932
1974-06-01,1.78
1974-07-01,1.871
1974-08-01,1.799
1974-09-01,1.653
1974-10-01,1.328
1974-11-01,1.092
1974-12-01,0.58
1975-01-01,0.262
1975-02-01,0.094
1975-03-01,0.069
1975-04-01,0.099
1975-05-01,0.062
1975-06-01,0.211
1975-07-01,0.281
1975-08-01,0.199
1975-09-01,0.383
1975-10-01,0.179
1975-11-01,0.055
1975-12-01,0.118
1976-01-01,0.067
1976-02-01,0.072
1976-03-01,0.051
1976-04-01,0.044
1976-05-01,0.115
1976-06-01,0.127
1976-07-01,0.133
1976-08-01,0.1
1976-09-01,0.062
1976-10-01,0.094
1976-11-01,0.072
1976-12-01,0.053
1977-01-01,0.068
1977-02-01,0.072
1977-03-01,0.103
1977-04-01,0.073
1977-05-01,0.206
1977-06-01,0.262
1977-07-01,0.323
1977-08-01,1.061
1977-09-01,0.626
1977-10-01,1.306
1977-11-01,0.862
1977-12-01,0.569
1978-01-01,0.484
1978-02-01,0.406
1978-03-01,0.328
1978-04-01,0.557
1978-05-01,1.212
1978-06-01,1.094
1978-07-01,1.317
1978-08-01,1.14
1978-09-01,1.06
1978-10-01,1.277
1978-11-01,0.703
1978-12-01,0.868
1979-01-01,1.003
1979-02-01,0.973
1979-03-01,0.991
1979-04-01,0.918
1979-05-01,1.765
1979-06-01,1.418
1979-07-01,1.171
1979-08-01,1.085
1979-09-01,1.34
1979-10-01,2.022
1979-11-01,1.906
1979-12-01,1.473
1980-01-01,1.241
1980-02-01,1.655
1980-03-01,2.724
1980-04-01,1.903
1980-05-01,0.275
1980-06-01,0.072
1980-07-01,0.142
1980-08-01,0.417
1980-09-01,1.22
1980-10-01,1.31
1980-11-01,2.06
1980-12-01,1.687
1981-01-01,1.325
1981-02-01,1.283
1981-03-01,0.985
1981-04-01,1.33
1981-05-01,2.217
1981-06-01,2.03
1981-07-01,1.676
1981-08-01,1.34
1981-09-01,1.155
1981-10-01,0.743
1981-11-01,0.498
1981-12-01,0.488
1982-01-01,1.32
1982-02-01,1.557
1982-03-01,1.247
1982-04-01,1.323
1982-05-01,0.941
1982-06-01,1.101
1982-07-01,0.641
1982-08-01,0.421
1982-09-01,0.814
1982-10-01,0.336
1982-11-01,0.433
1982-12-01,0.448
1983-01-01,0.372
1983-02-01,0.303
1983-03-01,0.475
1983-04-01,0.604
1983-05-01,0.439
1983-06-01,0.678
1983-07-01,0.875
1983-08-01,1.055
1983-09-01,0.926
1983-10-01,0.588
1983-11-01,0.899
1983-12-01,0.772
1984-01-01,0.711
1984-02-01,0.562
1984-03-01,0.925
1984-04-01,1.19
1984-05-01,2.951
1984-06-01,1.427
1984-07-01,0.916
1984-08-01,0.974
1984-09-01,0.783
1984-10-01,0.96
1984-11-01,0.78
1984-12-01,0.582
1985-01-01,0.345
1985-02-01,0.486
1985-03-01,0.534
1985-04-01,0.455
1985-05-01,0.8
1985-06-01,0.54
1985-07-01,0.6
1985-08-01,0.503
1985-09-01,0.633
1985-10-01,0.558
1985-11-01,1.211
1985-12-01,0.819
1986-01-01,0.273
1986-02-01,0.392
1986-03-01,0.243
1986-04-01,0.259
1986-05-01,0.292
1986-06-01,0.272
1986-07-01,0.363
1986-08-01,0.407
1986-09-01,0.438
1986-10-01,0.344
1986-11-01,0.334
1986-12-01,0.524
1987-01-01,0.355
1987-02-01,0.273
1987-03-01,0.263
1987-04-01,0.723
1987-05-01,0.747
1987-06-01,0.503
1987-07-01,0.477
1987-08-01,0.515
1987-09-01,0.531
1987-10-01,0.494
1987-11-01,0.231
1987-12-01,0.294
1988-01-01,0.71
1988-02-01,0.191
1988-03-01,0.274
1988-04-01,0.369
1988-05-01,0.471
1988-06-01,0.529
1988-07-01,0.902
1988-08-01,0.588
1988-09-01,0.78
1988-10-01,0.518
1988-11-01,0.539
1988-12-01,0.472
1989-01-01,0.611
1989-02-01,0.437
1989-03-01,0.479
1989-04-01,0.582
1989-05-01,0.523
1989-06-01,0.573
1989-07-01,0.588
1989-08-01,0.634
1989-09-01,0.671
1989-10-01,0.534
1989-11-01,0.328
1989-12-01,0.245
1990-01-01,0.414
1990-02-01,0.913
1990-03-01,0.174
1990-04-01,0.225
1990-05-01,0.46
1990-06-01,0.535
1990-07-01,0.477
1990-08-01,0.8
1990-09-01,0.618
1990-10-01,0.392
1990-11-01,0.205
1990-12-01,0.303
1991-01-01,0.507
1991-02-01,0.218
1991-03-01,0.188
1991-04-01,0.145
1991-05-01,0.215
1991-06-01,0.332
1991-07-01,0.561
1991-08-01,0.464
1991-09-01,0.343
1991-10-01,0.249
1991-11-01,0.107
1991-12-01,0.191
1992-01-01,0.232
1992-02-01,0.075
1992-03-01,0.089
1992-04-01,0.088
1992-05-01,0.155
1992-06-01,0.229
1992-07-01,0.284
1992-08-01,0.25
1992-09-01,0.287
1992-10-01,0.143
1992-11-01,0.104
1992-12-01,0.123
1993-01-01,0.165
1993-02-01,0.045
1993-03-01,0.091
1993-04-01,0.073
1993-05-01,0.121
1993-06-01,0.181
1993-07-01,0.244
1993-08-01,0.352
1993-09-01,0.428
1993-10-01,0.285
1993-11-01,0.089
1993-12-01,0.082
1994-01-01,0.073
1994-02-01,0.07
1994-03-01,0.055
1994-04-01,0.124
1994-05-01,0.2
1994-06-01,0.333
1994-07-01,0.458
1994-08-01,0.469
1994-09-01,0.487
1994-10-01,0.38
1994-11-01,0.249
1994-12-01,0.209
1995-01-01,0.132
1995-02-01,0.059
1995-03-01,0.069
1995-04-01,0.111
1995-05-01,0.15
1995-06-01,0.272
1995-07-01,0.371
1995-08-01,0.282
1995-09-01,0.278
1995-10-01,0.245
1995-11-01,0.204
1995-12-01,0.257
1996-01-01,0.038
1996-02-01,0.035
1996-03-01,0.021
1996-04-01,0.091
1996-05-01,0.127
1996-06-01,0.386
1996-07-01,0.368
1996-08-01,0.334
1996-09-01,0.368
1996-10-01,0.287
1996-11-01,0.214
1996-12-01,0.155
1997-01-01,0.045
1997-02-01,0.042
1997-03-01,0.156
1997-04-01,0.261
1997-05-01,0.243
1997-06-01,0.367
1997-07-01,0.409
1997-08-01,0.598
1997-09-01,0.438
1997-10-01,0.27
1997-11-01,0.153
1997-12-01,0.324
1998-01-01,0.21
1998-02-01,0.058
1998-03-01,0.041
1998-04-01,0.072
1998-05-01,0.153
1998-06-01,0.251
1998-07-01,0.258
1998-08-01,0.271
1998-09-01,0.251
1998-10-01,0.174
1998-11-01,0.083
1998-12-01,0.117
1999-01-01,0.206
1999-02-01,0.116
1999-03-01,0.065
1999-04-01,0.166
1999-05-01,0.127
1999-06-01,0.145
1999-07-01,0.309
1999-08-01,0.344
1999-09-01,0.338
1999-10-01,0.281
1999-11-01,0.236
1999-12-01,0.32
2000-01-01,0.374
2000-02-01,0.108
2000-03-01,0.179
2000-04-01,0.304
2000-05-01,0.362
2000-06-01,0.479
2000-07-01,0.57
2000-08-01,0.579
2000-09-01,0.477
2000-10-01,0.418
2000-11-01,0.283
2000-12-01,0.21
2001-01-01,0.073
2001-02-01,0.051
2001-03-01,0.058
2001-04-01,0.051
2001-05-01,0.213
2001-06-01,0.229
2001-07-01,0.283
2001-08-01,0.183
2001-09-01,3.385
2001-10-01,0.127
2001-11-01,0.084
2001-12-01,0.067
2002-01-01,0.05
2002-02-01,0.03
2002-03-01,0.079
2002-04-01,0.071
2002-05-01,0.112
2002-06-01,0.142
2002-07-01,0.191
2002-08-01,0.333
2002-09-01,0.229
2002-10-01,0.143
2002-11-01,0.272
2002-12-01,0.08
