"Date","BOGMBASE"
1992-09-01,346900
1992-10-01,349800
1992-11-01,355900
1992-12-01,361900
1993-01-01,360600
1993-02-01,359500
1993-03-01,362700
1993-04-01,368800
1993-05-01,370800
1993-06-01,375800
1993-07-01,379100
1993-08-01,380900
1993-09-01,384700
1993-10-01,388200
1993-11-01,392000
1993-12-01,398600
1994-01-01,397800
1994-02-01,397900
1994-03-01,400800
1994-04-01,406900
1994-05-01,407100
1994-06-01,411600
1994-07-01,415000
1994-08-01,415300
1994-09-01,416900
1994-10-01,418700
1994-11-01,423100
1994-12-01,428500
1995-01-01,426200
1995-02-01,422900
1995-03-01,427700
1995-04-01,433500
1995-05-01,434000
1995-06-01,434800
1995-07-01,435900
1995-08-01,435500
1995-09-01,436300
1995-10-01,436600
1995-11-01,439100
1995-12-01,445800
1996-01-01,441700
1996-02-01,435700
1996-03-01,440500
1996-04-01,443400
1996-05-01,443000
1996-06-01,446400
1996-07-01,449800
1996-08-01,450900
1996-09-01,452000
1996-10-01,452500
1996-11-01,457000
1996-12-01,465000
1997-01-01,462500
1997-02-01,459900
1997-03-01,462300
1997-04-01,465500
1997-05-01,467000
1997-06-01,469800
1997-07-01,473100
1997-08-01,474300
1997-09-01,475400
1997-10-01,477700
1997-11-01,484600
1997-12-01,493100
1998-01-01,491200
1998-02-01,488400
1998-03-01,491000
1998-04-01,494100
1998-05-01,495200
1998-06-01,498100
1998-07-01,502400
1998-08-01,504900
1998-09-01,508600
1998-10-01,512600
1998-11-01,518300
1998-12-01,526400
1999-01-01,527900
1999-02-01,526400
1999-03-01,531000
1999-04-01,535200
1999-05-01,540600
1999-06-01,544000
1999-07-01,548800
1999-08-01,551400
1999-09-01,556800
1999-10-01,564700
1999-11-01,582800
1999-12-01,612500
2000-01-01,601900
2000-02-01,578000
2000-03-01,577100
2000-04-01,578600
2000-05-01,580600
2000-06-01,582000
2000-07-01,584200
2000-08-01,583400
2000-09-01,583800
2000-10-01,585300
2000-11-01,590300
2000-12-01,598300
2001-01-01,598700
2001-02-01,595900
2001-03-01,599100
2001-04-01,601700
2001-05-01,605900
2001-06-01,609100
2001-07-01,616000
