"Date","STLPPMDEF"
1990-01-01,0.13041442
1990-02-01,0.04512703
1990-03-01,0.08660381
1990-04-01,0.07248703
1990-05-01,0.09573397
1990-06-01,0.10197756
1990-07-01,0.10002655
1990-08-01,0.11852372
1990-09-01,0.18576917
1990-10-01,0.05710641
1990-11-01,0.08980726
1990-12-01,0.11076539
1991-01-01,0.07138475
1991-02-01,0.05212435
1991-03-01,0.05894362
1991-04-01,0.09685548
1991-05-01,0.09791784
1991-06-01,0.09333923
1991-07-01,0.07690011
1991-08-01,0.10011418
1991-09-01,0.12510557
1991-10-01,0.11395731
1991-11-01,0.12067621
1991-12-01,0.13316245
1992-01-01,0.16454036
1992-02-01,0.11905891
1992-03-01,0.122855
1992-04-01,0.08601058
1992-05-01,0.09387598
1992-06-01,0.10699952
1992-07-01,0.09745668
1992-08-01,0.13697989
1992-09-01,0.13378964
1992-10-01,0.12830172
1992-11-01,0.10039846
1992-12-01,0.09680655
1993-01-01,0.08611168
1993-02-01,0.06839182
1993-03-01,0.10121178
1993-04-01,0.08435291
1993-05-01,0.08318768
1993-06-01,0.05162835
1993-07-01,0.07590534
1993-08-01,0.07100641
1993-09-01,0.08945866
1993-10-01,0.08882777
1993-11-01,0.09284757
1993-12-01,0.04986589
1994-01-01,0.06104646
1994-02-01,0.0572606
1994-03-01,0.023175
1994-04-01,0.02459456
1994-05-01,0.02638643
1994-06-01,0.03134346
1994-07-01,0.0423449
1994-08-01,0.03191673
1994-09-01,0.01970901
1994-10-01,0.02821845
1994-11-01,0.03163772
1994-12-01,0.01570663
1995-01-01,0.00158804
1995-02-01,0.00059363
1995-03-01,0.00400529
1995-04-01,0.00113064
1995-05-01,0.00114827
1995-06-01,0.00143425
1995-07-01,0.00173518
1995-08-01,0.00211877
1995-09-01,0.00230142
1995-10-01,0.00874454
1995-11-01,0.0022044
1995-12-01,0.00875147
1996-01-01,0.0013154
1996-02-01,0.00025146
1996-03-01,0.00043377
1996-04-01,8.221e-05
1996-05-01,4.148e-05
1996-06-01,3.333e-05
1996-07-01,0.00013497
1996-08-01,1.666e-05
1996-09-01,0.00015298
1996-10-01,5.339e-05
1996-11-01,0.00012998
1996-12-01,0.00012556
1997-01-01,2.7e-07
1997-02-01,3e-08
1997-03-01,1.4e-07
1997-04-01,2.9e-06
1997-05-01,7.25e-06
1997-06-01,3.785e-05
1997-07-01,2.17e-06
1997-08-01,1.003e-05
1997-09-01,3.069e-05
1997-10-01,1.463e-05
1997-11-01,3.724e-05
1997-12-01,0.00018713
1998-01-01,0.00127488
1998-02-01,0.00301034
1998-03-01,0.01502705
1998-04-01,0.00951062
1998-05-01,0.00217952
1998-06-01,0.00475476
1998-07-01,0.04387422
1998-08-01,0.0031764
1998-09-01,0.0028383
1998-10-01,0.05050848
1998-11-01,0.02163212
1998-12-01,0.00846114
1999-01-01,0.04526864
1999-02-01,0.00292224
1999-03-01,0.01695321
1999-04-01,0.00309407
1999-05-01,4.25e-06
1999-06-01,0.0006056
1999-07-01,0.0006431
1999-08-01,5.567e-05
1999-09-01,2.518e-05
1999-10-01,1.65e-06
1999-11-01,3.86e-05
1999-12-01,1.726e-05
2000-01-01,6.8e-06
2000-02-01,2e-07
2000-03-01,2.8e-07
2000-04-01,0
2000-05-01,3.14e-06
2000-06-01,1e-08
2000-07-01,7e-08
2000-08-01,1.5e-07
2000-09-01,1.3e-07
2000-10-01,1e-08
2000-11-01,7e-08
2000-12-01,2e-08
2001-01-01,2.74e-06
2001-02-01,1.4e-07
2001-03-01,2.8e-07
2001-04-01,1.048e-05
2001-05-01,1e-07
2001-06-01,1e-08
2001-07-01,1e-07
2001-08-01,4.38e-06
2001-09-01,3.15e-06
2001-10-01,0.00107315
2001-11-01,0.00228698
2001-12-01,0.00042932
2002-01-01,0.00295047
2002-02-01,0.00632554
2002-03-01,0.00346027
2002-04-01,7.16e-05
2002-05-01,0.00010807
2002-06-01,0.00050818
2002-07-01,0.00085302
2002-08-01,0.00019919
2002-09-01,0.00069031
2002-10-01,0.00042814
2002-11-01,6.735e-05
2002-12-01,6.791e-05
2003-01-01,0.00064901
2003-02-01,0.00030816
2003-03-01,0.00062661
2003-04-01,0.00136072
2003-05-01,0.06787144
2003-06-01,0.02376175
2003-07-01,0.00528644
2003-08-01,4.221e-05
2003-09-01,3.399e-05
2003-10-01,0.0005043
2003-11-01,0.00043464
2003-12-01,0.00056326
2004-01-01,9.578e-05
2004-02-01,4.044e-05
2004-03-01,7.106e-05
2004-04-01,0.00010206
2004-05-01,2.74e-06
2004-06-01,4e-06
2004-07-01,4.7e-06
2004-08-01,0.00010535
2004-09-01,0.00018754
2004-10-01,5.877e-05
2004-11-01,5.51e-06
2004-12-01,3.41e-06
2005-01-01,3.59e-06
2005-02-01,7.1e-06
2005-03-01,1.88e-06
2005-04-01,1e-08
2005-05-01,1.44e-06
2005-06-01,1.177e-05
2005-07-01,4.024e-05
2005-08-01,3.1e-07
2005-09-01,5.5e-07
2005-10-01,0
2005-11-01,4e-08
2005-12-01,2.269e-05
2006-01-01,8.2e-06
2006-02-01,2e-08
2006-03-01,3.3e-07
2006-04-01,2.77e-06
2006-05-01,1.7e-07
2006-06-01,3e-08
2006-07-01,2.38e-06
2006-08-01,2.23e-06
2006-09-01,2.48e-06
2006-10-01,0.00386092
2006-11-01,0.00236508
2006-12-01,0.00015566
2007-01-01,0.00014009
2007-02-01,6.391e-05
2007-03-01,6.1e-07
2007-04-01,2.75e-06
2007-05-01,0.00010041
2007-06-01,0.00045787
2007-07-01,0.00041748
2007-08-01,0.00149088
2007-09-01,0.00928623
2007-10-01,0.0003031
2007-11-01,9.618e-05
2007-12-01,1.995e-05
2008-01-01,0.00020434
2008-02-01,0.00048129
2008-03-01,0.00016744
2008-04-01,0.00074598
2008-05-01,0.00023324
2008-06-01,0.00047046
2008-07-01,5.156e-05
2008-08-01,7.18e-06
2008-09-01,0.00026
2008-10-01,0.00016861
2008-11-01,0.19265904
2008-12-01,0.48413748
2009-01-01,0.89305152
2009-02-01,0.25416369
2009-03-01,0.39525305
2009-04-01,0.76417972
2009-05-01,0.39472499
2009-06-01,0.43561638
2009-07-01,0.39751618
2009-08-01,0.74250002
2009-09-01,0.47154316
2009-10-01,0.57232816
2009-11-01,0.16300355
2009-12-01,0.00013069
2010-01-01,0.01483803
2010-02-01,0.01578727
2010-03-01,0.03504046
2010-04-01,0.00379598
2010-05-01,0.00233438
2010-06-01,0.01795992
2010-07-01,0.08236287
2010-08-01,0.03901972
2010-09-01,0.03012658
2010-10-01,0.0534523
2010-11-01,0.02100498
2010-12-01,0.05310878
2011-01-01,0.02021576
2011-02-01,0.01587556
2011-03-01,0.01519091
2011-04-01,0.03018899
2011-05-01,0.00335526
2011-06-01,0.00938054
2011-07-01,0.00333675
2011-08-01,0.00384763
2011-09-01,0.00738023
2011-10-01,0.01580196
2011-11-01,0.02258305
2011-12-01,0.01921942
2012-01-01,0.01362989
2012-02-01,0.00485962
2012-03-01,0.00245462
2012-04-01,0.00182442
2012-05-01,0.00439659
2012-06-01,0.01106522
2012-07-01,0.01476384
2012-08-01,0.0040027
2012-09-01,0.00114182
2012-10-01,0.00338135
2012-11-01,0.0094498
2012-12-01,0.00923717
2013-01-01,0.00374306
2013-02-01,0.00444667
2013-03-01,0.00121387
2013-04-01,0.00413531
2013-05-01,0.00818917
2013-06-01,0.00297453
2013-07-01,0.0019247
2013-08-01,0.00223489
2013-09-01,0.001924
2013-10-01,0.00314489
2013-11-01,0.01541251
2013-12-01,0.00623666
2014-01-01,0.004742
2014-02-01,0.00833426
2014-03-01,0.00744383
2014-04-01,0.00187553
2014-05-01,0.00173989
2014-06-01,0.00321786
2014-07-01,0.00834469
2014-08-01,0.00538904
2014-09-01,0.01020567
2014-10-01,0.0085188
2014-11-01,0.0214722
2014-12-01,0.02534761
2015-01-01,0.0411836
2015-02-01,0.37407751
2015-03-01,0.05529639
2015-04-01,0.02768666
2015-05-01,0.05070245
2015-06-01,0.01995857
2015-07-01,0.01976157
2015-08-01,0.05641405
2015-09-01,0.08269925
2015-10-01,0.12664584
2015-11-01,0.13833616
2015-12-01,0.14544426
2016-01-01,0.08826178
2016-02-01,0.02360487
2016-03-01,0.0128192
2016-04-01,0.00609306
2016-05-01,0.00150351
2016-06-01,0.00039121
2016-07-01,0.00106986
2016-08-01,0.00242508
2016-09-01,0.0009024
2016-10-01,0.0015375
2016-11-01,0.00074952
2016-12-01,0.00028763
2017-01-01,0.00118373
2017-02-01,0.00303267
2017-03-01,0.00251436
2017-04-01,0.00467762
2017-05-01,0.00732811
2017-06-01,0.00290321
2017-07-01,0.00369715
2017-08-01,0.00372649
2017-09-01,0.00555265
2017-10-01,0.00392643
2017-11-01,0.00794557
2017-12-01,0.00405934
2018-01-01,0.00161517
2018-02-01,0.00118286
2018-03-01,0.00175828
2018-04-01,0.00202519
2018-05-01,0.00134814
2018-06-01,0.00111799
2018-07-01,0.00206614
2018-08-01,0.00366353
2018-09-01,0.00856736
2018-10-01,0.00337464
2018-11-01,0.00357519
2018-12-01,0.00308676
2019-01-01,0.00599857
2019-02-01,0.00359092
2019-03-01,0.00280797
2019-04-01,0.00155856
2019-05-01,0.00133905
2019-06-01,0.00362846
2019-07-01,0.00385522
2019-08-01,0.00650332
2019-09-01,0.00695964
2019-10-01,0.00562295
2019-11-01,0.00242586
2019-12-01,0.00374239
2020-01-01,0.00131232
2020-02-01,0.00052007
2020-03-01,0.0014033
2020-04-01,0.05511829
2020-05-01,0.83170834
2020-06-01,0.00602889
2020-07-01,0.00365277
2020-08-01,0.00083334
2020-09-01,0.00021964
2020-10-01,0.00038193
2020-11-01,0.00119929
2020-12-01,0.00098799
2021-01-01,0.00088498
2021-02-01,0.00138091
2021-03-01,0.00044019
2021-04-01,3.147e-05
2021-05-01,4.485e-05
2021-06-01,2e-05
2021-07-01,4.132e-05
2021-08-01,7.022e-05
2021-09-01,5.863e-05
2021-10-01,0.00011649
2021-11-01,5.41e-05
2021-12-01,9.85e-06
2022-01-01,1.373e-05
2022-02-01,6.782e-05
2022-03-01,2.95e-06
2022-04-01,1.77e-06
2022-05-01,2.81e-06
2022-06-01,5.11e-06
2022-07-01,9.31e-06
2022-08-01,3.9e-07
2022-09-01,8.94e-06
2022-10-01,0.00026462
2022-11-01,0.00028856
2022-12-01,9.49e-06
2023-01-01,0.00014022
2023-02-01,0.00015782
2023-03-01,8.291e-05
2023-04-01,4.321e-05
2023-05-01,0.0001617
2023-06-01,7.104e-05
2023-07-01,0.00051761
2023-08-01,1.602e-05
2023-09-01,5.227e-05
