"Date","RESBRQBPF"
2013-07-01,56953
2013-08-01,58657
2013-09-01,60473
2013-10-01,60028
2013-11-01,63421
2013-12-01,62114
2014-01-01,68298
2014-02-01,69574
2014-03-01,70610
2014-04-01,72169
2014-05-01,74603
2014-06-01,73285
2014-07-01,76117
2014-08-01,78196
2014-09-01,73690
2014-10-01,76511
2014-11-01,77769
2014-12-01,74481
2015-01-01,81458
2015-02-01,80193
2015-03-01,82333
2015-04-01,83209
2015-05-01,83111
2015-06-01,79082
2015-07-01,82638
2015-08-01,86517
2015-09-01,82767
2015-10-01,80662
2015-11-01,80603
2015-12-01,80370
2016-01-01,86843
2016-02-01,81596
2016-03-01,83495
2016-04-01,87504
2016-05-01,91024
2016-06-01,89696
2016-07-01,91790
2016-08-01,92643
2016-09-01,97031
2016-10-01,95108
2016-11-01,96599
2016-12-01,95338
2017-01-01,99424
2017-02-01,97415
2017-03-01,97345
2017-04-01,101890
2017-05-01,103906
2017-06-01,106357
2017-07-01,108561
2017-08-01,108071
2017-09-01,109887
2017-10-01,105176
2017-11-01,110816
2017-12-01,111337
2018-01-01,114101
2018-02-01,111594
2018-03-01,108245
2018-04-01,113762
2018-05-01,115318
2018-06-01,112942
2018-07-01,113152
2018-08-01,111246
2018-09-01,114069
2018-10-01,111428
2018-11-01,113872
2018-12-01,111322
2019-01-01,118006
2019-02-01,112606
2019-03-01,115569
2019-04-01,117098
2019-05-01,121237
2019-06-01,121408
2019-07-01,121584
2019-08-01,121167
2019-09-01,121227
2019-10-01,121489
2019-11-01,126625
2019-12-01,125076
2020-01-01,130326
2020-02-01,124524
2020-03-01,101817
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
