"Date","H0MEUM"
1959-01-01,0.7
1959-02-01,0.7
1959-03-01,0.7
1959-04-01,0.7
1959-05-01,0.7
1959-06-01,0.7
1959-07-01,0.7
1959-08-01,0.7
1959-09-01,0.7
1959-10-01,0.7
1959-11-01,0.7
1959-12-01,0.7
1960-01-01,0.7
1960-02-01,0.7
1960-03-01,0.8
1960-04-01,0.8
1960-05-01,0.8
1960-06-01,0.8
1960-07-01,0.8
1960-08-01,0.9
1960-09-01,0.9
1960-10-01,0.9
1960-11-01,0.9
1960-12-01,0.8
1961-01-01,0.9
1961-02-01,1
1961-03-01,1.1
1961-04-01,1.2
1961-05-01,1.4
1961-06-01,1.5
1961-07-01,1.6
1961-08-01,1.6
1961-09-01,1.5
1961-10-01,1.5
1961-11-01,1.5
1961-12-01,1.5
1962-01-01,1.5
1962-02-01,1.5
1962-03-01,1.6
1962-04-01,1.6
1962-05-01,1.5
1962-06-01,1.5
1962-07-01,1.5
1962-08-01,1.6
1962-09-01,1.6
1962-10-01,1.6
1962-11-01,1.6
1962-12-01,1.6
1963-01-01,1.7
1963-02-01,1.7
1963-03-01,1.7
1963-04-01,1.8
1963-05-01,1.8
1963-06-01,1.8
1963-07-01,1.8
1963-08-01,1.8
1963-09-01,1.8
1963-10-01,1.8
1963-11-01,1.9
1963-12-01,1.9
1964-01-01,2
1964-02-01,2
1964-03-01,2
1964-04-01,2.1
1964-05-01,2.1
1964-06-01,2.2
1964-07-01,2.2
1964-08-01,2.2
1964-09-01,2.3
1964-10-01,2.3
1964-11-01,2.4
1964-12-01,2.4
1965-01-01,2.4
1965-02-01,2.3
1965-03-01,2.2
1965-04-01,2.1
1965-05-01,2
1965-06-01,1.9
1965-07-01,1.9
1965-08-01,1.9
1965-09-01,1.8
1965-10-01,1.8
1965-11-01,1.8
1965-12-01,1.8
1966-01-01,1.8
1966-02-01,1.8
1966-03-01,1.8
1966-04-01,1.8
1966-05-01,1.8
1966-06-01,1.9
1966-07-01,1.9
1966-08-01,2
1966-09-01,2
1966-10-01,2.1
1966-11-01,2.1
1966-12-01,2.2
1967-01-01,2.2
1967-02-01,2.2
1967-03-01,2.2
1967-04-01,2.2
1967-05-01,2.2
1967-06-01,2.2
1967-07-01,2.1
1967-08-01,2.1
1967-09-01,2.1
1967-10-01,2.1
1967-11-01,2.1
1967-12-01,2.2
1968-01-01,2.3
1968-02-01,2.4
1968-03-01,2.5
1968-04-01,2.6
1968-05-01,2.8
1968-06-01,3
1968-07-01,3.1
1968-08-01,3.3
1968-09-01,3.3
1968-10-01,3.3
1968-11-01,3.1
1968-12-01,2.9
1969-01-01,2.8
1969-02-01,2.9
1969-03-01,3
1969-04-01,3
1969-05-01,3
1969-06-01,2.9
1969-07-01,2.9
1969-08-01,2.9
1969-09-01,2.8
1969-10-01,2.8
1969-11-01,2.6
1969-12-01,2.7
1970-01-01,3
1970-02-01,3
1970-03-01,3.1
1970-04-01,3
1970-05-01,2.9
1970-06-01,2.8
1970-07-01,2.7
1970-08-01,2.7
1970-09-01,2.8
1970-10-01,2.8
1970-11-01,2.6
1970-12-01,2.4
1971-01-01,2.3
1971-02-01,2.3
1971-03-01,2.4
1971-04-01,2.4
1971-05-01,2.4
1971-06-01,2.4
1971-07-01,2.4
1971-08-01,2.4
1971-09-01,2.5
1971-10-01,2.7
1971-11-01,2.8
1971-12-01,2.9
1972-01-01,3
1972-02-01,3
1972-03-01,3
1972-04-01,3.1
1972-05-01,3.1
1972-06-01,3.2
1972-07-01,3.4
1972-08-01,3.6
1972-09-01,3.7
1972-10-01,3.7
1972-11-01,3.7
1972-12-01,3.8
1973-01-01,4.2
1973-02-01,4.6
1973-03-01,4.8
1973-04-01,4.8
1973-05-01,5.1
1973-06-01,5.2
1973-07-01,5.3
1973-08-01,5.5
1973-09-01,5.6
1973-10-01,5.8
1973-11-01,5.8
1973-12-01,5.8
1974-01-01,5.8
1974-02-01,6
1974-03-01,6.5
1974-04-01,6.9
1974-05-01,7.2
1974-06-01,7.4
1974-07-01,7.6
1974-08-01,7.5
1974-09-01,7.5
1974-10-01,7.7
1974-11-01,8.1
1974-12-01,8.5
1975-01-01,8.3
1975-02-01,8.3
1975-03-01,8.3
1975-04-01,8.3
1975-05-01,8.3
1975-06-01,8.3
1975-07-01,8.4
1975-08-01,8.8
1975-09-01,9.4
1975-10-01,9.6
1975-11-01,9.7
1975-12-01,10
1976-01-01,11.6
1976-02-01,11.7
1976-03-01,12
1976-04-01,12.5
1976-05-01,13.1
1976-06-01,13.4
1976-07-01,13.7
1976-08-01,14
1976-09-01,14.3
1976-10-01,14.7
1976-11-01,15.1
1976-12-01,15.2
1977-01-01,14.9
1977-02-01,14.7
1977-03-01,15.3
1977-04-01,16
1977-05-01,16.8
1977-06-01,17.8
1977-07-01,18.3
1977-08-01,18.5
1977-09-01,19.2
1977-10-01,19.9
1977-11-01,20.8
1977-12-01,21.7
1978-01-01,22.8
1978-02-01,24.1
1978-03-01,25.3
1978-04-01,26
1978-05-01,26.2
1978-06-01,27.3
1978-07-01,28.4
1978-08-01,29.5
1978-09-01,30.1
1978-10-01,31.6
1978-11-01,34.2
1978-12-01,35.1
1979-01-01,36.6
1979-02-01,38.6
1979-03-01,40.2
1979-04-01,40.7
1979-05-01,41.3
1979-06-01,43.8
1979-07-01,46.2
1979-08-01,49.9
1979-09-01,53.1
1979-10-01,53.7
1979-11-01,53.1
1979-12-01,52.7
1980-01-01,56.1
1980-02-01,57.9
1980-03-01,57.6
1980-04-01,57.1
1980-05-01,57.5
1980-06-01,57.4
1980-07-01,57.9
1980-08-01,57.4
1980-09-01,55.9
1980-10-01,57.1
1980-11-01,59.2
1980-12-01,61.4
1981-01-01,63.5
1981-02-01,64.4
1981-03-01,64.1
1981-04-01,68.2
1981-05-01,72.4
1981-06-01,73.5
1981-07-01,76.7
1981-08-01,79.2
1981-09-01,82.4
1981-10-01,85.9
1981-11-01,87.7
1981-12-01,88.8
1982-01-01,93.2
1982-02-01,94.4
1982-03-01,95.7
1982-04-01,100.6
1982-05-01,103
1982-06-01,107
1982-07-01,104.6
1982-08-01,103.4
1982-09-01,104.4
1982-10-01,107.2
1982-11-01,106.2
1982-12-01,104.2
1983-01-01,103.3
1983-02-01,104.3
1983-03-01,106.5
1983-04-01,109.1
1983-05-01,109
1983-06-01,111.7
1983-07-01,111.8
1983-08-01,113.1
1983-09-01,113.3
1983-10-01,111.9
1983-11-01,115.1
1983-12-01,116.6
1984-01-01,112.6
1984-02-01,113
1984-03-01,114.2
1984-04-01,114.4
1984-05-01,115
1984-06-01,113.9
1984-07-01,114.2
1984-08-01,112.2
1984-09-01,110.9
1984-10-01,107.8
1984-11-01,106.9
1984-12-01,108.9
1985-01-01,108.4
1985-02-01,107.7
1985-03-01,107.4
1985-04-01,103.2
1985-05-01,102.7
1985-06-01,101
1985-07-01,100.6
1985-08-01,103.6
1985-09-01,103.7
1985-10-01,104.8
1985-11-01,104.3
1985-12-01,104.2
1986-01-01,106.5
1986-02-01,107.1
1986-03-01,108.2
1986-04-01,109.4
1986-05-01,107.7
1986-06-01,109.2
1986-07-01,109.2
1986-08-01,107.9
1986-09-01,110.6
1986-10-01,112.6
1986-11-01,113.6
1986-12-01,115.7
1987-01-01,120.1
1987-02-01,122.3
1987-03-01,121
1987-04-01,120.1
1987-05-01,122.1
1987-06-01,123.6
1987-07-01,119.2
1987-08-01,123.3
1987-09-01,128.7
1987-10-01,129.5
1987-11-01,125
1987-12-01,121.5
1988-01-01,119
1988-02-01,117.5
1988-03-01,118.8
1988-04-01,122.3
1988-05-01,126.7
1988-06-01,129.7
1988-07-01,131.9
1988-08-01,134
1988-09-01,131.2
1988-10-01,129.7
1988-11-01,131.5
1988-12-01,131.7
1989-01-01,129.1
1989-02-01,129.8
1989-03-01,132.3
1989-04-01,131.4
1989-05-01,127.5
1989-06-01,124.5
1989-07-01,124.9
1989-08-01,121.6
1989-09-01,117.3
1989-10-01,112.9
1989-11-01,110.7
1989-12-01,109.4
1990-01-01,106.5
1990-02-01,101.6
1990-03-01,97.2
1990-04-01,96.4
1990-05-01,100.6
1990-06-01,97.6
1990-07-01,97.4
1990-08-01,98.5
1990-09-01,100.9
1990-10-01,103
1990-11-01,101.5
1990-12-01,103.3
1991-01-01,105
1991-02-01,104.2
1991-03-01,102.9
1991-04-01,101.9
1991-05-01,98.6
1991-06-01,96.7
1991-07-01,96
1991-08-01,95.6
1991-09-01,93.6
1991-10-01,92.9
1991-11-01,93.1
1991-12-01,92.3
1992-01-01,90.6
1992-02-01,89.7
1992-03-01,89.9
1992-04-01,86.8
1992-05-01,84.4
1992-06-01,84.3
1992-07-01,83.4
1992-08-01,80.2
1992-09-01,80.1
1992-10-01,80
1992-11-01,79
1992-12-01,79.5
1993-01-01,77.7
1993-02-01,79.2
1993-03-01,80.1
1993-04-01,79.1
1993-05-01,77.5
1993-06-01,74.5
1993-07-01,71.4
1993-08-01,72.7
1993-09-01,72.4
1993-10-01,72.4
1993-11-01,74.6
1993-12-01,72.8
1994-01-01,72
1994-02-01,73
1994-03-01,72.1
1994-04-01,72.6
1994-05-01,75.8
1994-06-01,79.7
1994-07-01,85
1994-08-01,84.3
1994-09-01,84.4
1994-10-01,85.6
1994-11-01,86.8
1994-12-01,86.3
1995-01-01,89.3
1995-02-01,88.5
1995-03-01,90.7
1995-04-01,93.1
1995-05-01,93.5
1995-06-01,95
1995-07-01,97.5
1995-08-01,98
1995-09-01,98.5
1995-10-01,96.9
1995-11-01,95
1995-12-01,94
1996-01-01,96.5
1996-02-01,97.7
1996-03-01,97.3
1996-04-01,99.2
1996-05-01,98.6
1996-06-01,100.9
1996-07-01,99.6
1996-08-01,98.2
1996-09-01,100.9
1996-10-01,107.2
1996-11-01,109
1996-12-01,114.6
1997-01-01,117.5
1997-02-01,119.6
1997-03-01,122.2
1997-04-01,124.3
1997-05-01,128.9
1997-06-01,126.2
1997-07-01,129.2
1997-08-01,133.1
1997-09-01,135.5
1997-10-01,133.6
1997-11-01,138.2
1997-12-01,147.5
1998-01-01,149
1998-02-01,142.5
1998-03-01,136.7
1998-04-01,137.3
1998-05-01,139.6
1998-06-01,141
1998-07-01,145.4
1998-08-01,150.6
1998-09-01,153.1
1998-10-01,156.9
1998-11-01,153.6
1998-12-01,150.2
1999-01-01,146.7
1999-02-01,148.6
1999-03-01,150.2
1999-04-01,153.3
1999-05-01,154
1999-06-01,159
1999-07-01,158.9
1999-08-01,157.5
1999-09-01,155.2
1999-10-01,153.2
1999-11-01,161.9
1999-12-01,170.8
2000-01-01,175
2000-02-01,174.8
2000-03-01,184.3
2000-04-01,181.4
2000-05-01,185.1
2000-06-01,185.9
2000-07-01,182.9
2000-08-01,185.2
2000-09-01,189.2
2000-10-01,189.8
2000-11-01,192.2
2000-12-01,195.2
2001-01-01,198.8
2001-02-01,204.5
2001-03-01,215.3
2001-04-01,211.3
2001-05-01,211.4
2001-06-01,212.7
2001-07-01,216.8
2001-08-01,214.2
2001-09-01,215.9
2001-10-01,210.9
2001-11-01,215.3
2001-12-01,211.4
2002-01-01,209
2002-02-01,214.3
2002-03-01,214.6
2002-04-01,214.7
2002-05-01,210.9
2002-06-01,211.8
2002-07-01,211.3
2002-08-01,211.9
2002-09-01,215.5
2002-10-01,222.2
2002-11-01,227.9
2002-12-01,230.7
2003-01-01,235.4
2003-02-01,236.1
2003-03-01,238.3
2003-04-01,246.3
2003-05-01,259.8
2003-06-01,265.3
2003-07-01,273.6
2003-08-01,283.1
2003-09-01,284.9
2003-10-01,291.2
2003-11-01,292.4
2003-12-01,295.3
2004-01-01,302.4
2004-02-01,310.1
2004-03-01,316
2004-04-01,324.9
2004-05-01,327
2004-06-01,329.5
2004-07-01,337
2004-08-01,343.8
2004-09-01,354.1
2004-10-01,367.6
2004-11-01,370.8
2004-12-01,379.1
2005-01-01,390.4
2005-02-01,393.2
2005-03-01,402
2005-04-01,402.7
2005-05-01,404
2005-06-01,399.7
2005-07-01,406
2005-08-01,415.6
2005-09-01,419.5
2005-10-01,419
2005-11-01,422.6
2005-12-01,423.9
2006-01-01,418.8
2006-02-01,423.8
