"Date","STLPPMMID"
1990-01-01,0.05757589
1990-02-01,0.03137479
1990-03-01,0.0396236
1990-04-01,0.04325779
1990-05-01,0.04142417
1990-06-01,0.048302
1990-07-01,0.04196775
1990-08-01,0.05216169
1990-09-01,0.07086267
1990-10-01,0.03534568
1990-11-01,0.038542
1990-12-01,0.03917939
1991-01-01,0.03452048
1991-02-01,0.02629044
1991-03-01,0.02999559
1991-04-01,0.05049839
1991-05-01,0.04766444
1991-06-01,0.04512569
1991-07-01,0.03906532
1991-08-01,0.04932783
1991-09-01,0.05459512
1991-10-01,0.05575628
1991-11-01,0.06129145
1991-12-01,0.06591711
1992-01-01,0.10500104
1992-02-01,0.09208145
1992-03-01,0.09695205
1992-04-01,0.07518898
1992-05-01,0.07813461
1992-06-01,0.0932128
1992-07-01,0.08589928
1992-08-01,0.09602814
1992-09-01,0.09517117
1992-10-01,0.09821728
1992-11-01,0.0789481
1992-12-01,0.08783507
1993-01-01,0.11127375
1993-02-01,0.09969058
1993-03-01,0.11748712
1993-04-01,0.10854426
1993-05-01,0.11394819
1993-06-01,0.08050002
1993-07-01,0.10268847
1993-08-01,0.09636428
1993-09-01,0.11562141
1993-10-01,0.11250448
1993-11-01,0.11558461
1993-12-01,0.0737003
1994-01-01,0.21260928
1994-02-01,0.20421962
1994-03-01,0.17036712
1994-04-01,0.16014413
1994-05-01,0.15710535
1994-06-01,0.17982682
1994-07-01,0.20205603
1994-08-01,0.18545915
1994-09-01,0.15276881
1994-10-01,0.16418781
1994-11-01,0.16368921
1994-12-01,0.12426547
1995-01-01,0.35582216
1995-02-01,0.31733794
1995-03-01,0.29920254
1995-04-01,0.31593073
1995-05-01,0.35369134
1995-06-01,0.34314361
1995-07-01,0.39357093
1995-08-01,0.392369
1995-09-01,0.39929989
1995-10-01,0.44583028
1995-11-01,0.39883723
1995-12-01,0.41852556
1996-01-01,0.59528378
1996-02-01,0.61974327
1996-03-01,0.61209207
1996-04-01,0.56460314
1996-05-01,0.52621503
1996-06-01,0.50059745
1996-07-01,0.58655154
1996-08-01,0.52084264
1996-09-01,0.61735587
1996-10-01,0.57606532
1996-11-01,0.58388481
1996-12-01,0.55479347
1997-01-01,0.60983906
1997-02-01,0.57829866
1997-03-01,0.63670583
1997-04-01,0.74794341
1997-05-01,0.70616522
1997-06-01,0.6158293
1997-07-01,0.69589021
1997-08-01,0.67999636
1997-09-01,0.61731258
1997-10-01,0.64654917
1997-11-01,0.60452372
1997-12-01,0.56281839
1998-01-01,0.30455346
1998-02-01,0.21931673
1998-03-01,0.2123601
1998-04-01,0.45178503
1998-05-01,0.3427086
1998-06-01,0.44213134
1998-07-01,0.20906475
1998-08-01,0.40896862
1998-09-01,0.35376799
1998-10-01,0.14892096
1998-11-01,0.30007506
1998-12-01,0.19243257
1999-01-01,0.03446947
1999-02-01,0.16444692
1999-03-01,0.07673516
1999-04-01,0.17925207
1999-05-01,0.57706544
1999-06-01,0.33317168
1999-07-01,0.33790338
1999-08-01,0.59005531
1999-09-01,0.64243841
1999-10-01,0.74069181
1999-11-01,0.75060393
1999-12-01,0.79354145
2000-01-01,0.80702722
2000-02-01,0.77139268
2000-03-01,0.42150449
2000-04-01,0.31808196
2000-05-01,0.62505557
2000-06-01,0.49956749
2000-07-01,0.2535157
2000-08-01,0.43768455
2000-09-01,0.54731877
2000-10-01,0.63182072
2000-11-01,0.67827063
2000-12-01,0.52576391
2001-01-01,0.58446196
2001-02-01,0.36064044
2001-03-01,0.36166855
2001-04-01,0.74000011
2001-05-01,0.52173948
2001-06-01,0.42395937
2001-07-01,0.48235331
2001-08-01,0.48919807
2001-09-01,0.75734398
2001-10-01,0.37819489
2001-11-01,0.62489476
2001-12-01,0.32056688
2002-01-01,0.20528929
2002-02-01,0.17635201
2002-03-01,0.22000653
2002-04-01,0.43297909
2002-05-01,0.4953232
2002-06-01,0.28979849
2002-07-01,0.28765221
2002-08-01,0.36948726
2002-09-01,0.39492318
2002-10-01,0.44825822
2002-11-01,0.74365526
2002-12-01,0.66573601
2003-01-01,0.69969126
2003-02-01,0.63840383
2003-03-01,0.45954953
2003-04-01,0.40585894
2003-05-01,0.15126115
2003-06-01,0.2620189
2003-07-01,0.43919328
2003-08-01,0.72564697
2003-09-01,0.70723519
2003-10-01,0.67923313
2003-11-01,0.7074278
2003-12-01,0.7197362
2004-01-01,0.79693359
2004-02-01,0.71251189
2004-03-01,0.80777769
2004-04-01,0.7407813
2004-05-01,0.64663449
2004-06-01,0.40700077
2004-07-01,0.49823255
2004-08-01,0.56394762
2004-09-01,0.67413515
2004-10-01,0.75879065
2004-11-01,0.72720285
2004-12-01,0.50431944
2005-01-01,0.55087267
2005-02-01,0.58906438
2005-03-01,0.57901303
2005-04-01,0.17707603
2005-05-01,0.27325309
2005-06-01,0.45879214
2005-07-01,0.66213033
2005-08-01,0.49060413
2005-09-01,0.16262011
2005-10-01,0.06004129
2005-11-01,0.2635355
2005-12-01,0.2824256
2006-01-01,0.34148891
2006-02-01,0.12201301
2006-03-01,0.29827762
2006-04-01,0.27148934
2006-05-01,0.09469339
2006-06-01,0.10035099
2006-07-01,0.22612247
2006-08-01,0.25609316
2006-09-01,0.21003047
2006-10-01,0.66421522
2006-11-01,0.6681489
2006-12-01,0.70414638
2007-01-01,0.78129541
2007-02-01,0.78023058
2007-03-01,0.62562736
2007-04-01,0.66798438
2007-05-01,0.77573773
2007-06-01,0.73692598
2007-07-01,0.70342539
2007-08-01,0.61155936
2007-09-01,0.27572318
2007-10-01,0.614315
2007-11-01,0.6423974
2007-12-01,0.56459198
2008-01-01,0.45462874
2008-02-01,0.46524069
2008-03-01,0.4466178
2008-04-01,0.45492677
2008-05-01,0.46802682
2008-06-01,0.35415981
2008-07-01,0.20077169
2008-08-01,0.42743576
2008-09-01,0.39182978
2008-10-01,0.40467841
2008-11-01,0.2679532
2008-12-01,0.00903026
2009-01-01,0.00295952
2009-02-01,0.15232214
2009-03-01,0.11326144
2009-04-01,0.012443
2009-05-01,0.07059913
2009-06-01,0.12750925
2009-07-01,0.14180781
2009-08-01,0.00907095
2009-09-01,0.02429296
2009-10-01,0.021179
2009-11-01,0.08747747
2009-12-01,0.62148437
2010-01-01,0.5902067
2010-02-01,0.538009
2010-03-01,0.43510666
2010-04-01,0.55481079
2010-05-01,0.52127914
2010-06-01,0.57112278
2010-07-01,0.23602212
2010-08-01,0.36744333
2010-09-01,0.37542541
2010-10-01,0.28826826
2010-11-01,0.3927824
2010-12-01,0.23524797
2011-01-01,0.40902943
2011-02-01,0.54041557
2011-03-01,0.58002438
2011-04-01,0.5587558
2011-05-01,0.48320064
2011-06-01,0.46790255
2011-07-01,0.51627619
2011-08-01,0.44913929
2011-09-01,0.44186539
2011-10-01,0.43211031
2011-11-01,0.47097939
2011-12-01,0.46206461
2012-01-01,0.52066291
2012-02-01,0.47032437
2012-03-01,0.53019006
2012-04-01,0.51384334
2012-05-01,0.59856447
2012-06-01,0.52339469
2012-07-01,0.44394246
2012-08-01,0.46469774
2012-09-01,0.53249749
2012-10-01,0.58922763
2012-11-01,0.59023676
2012-12-01,0.53270652
2013-01-01,0.51682733
2013-02-01,0.56497079
2013-03-01,0.60821572
2013-04-01,0.50901605
2013-05-01,0.36592188
2013-06-01,0.43729006
2013-07-01,0.5601438
2013-08-01,0.60544444
2013-09-01,0.54373554
