"Date","LTDNS"
1969-03-01,33.2
1969-04-01,32.8
1969-05-01,32.4
1969-06-01,30.4
1969-07-01,27.2
1969-08-01,25.3
1969-09-01,23.9
1969-10-01,22.6
1969-11-01,21.4
1969-12-01,20.5
1970-01-01,19.6
1970-02-01,19.3
1970-03-01,20.5
1970-04-01,24
1970-05-01,25.2
1970-06-01,24.5
1970-07-01,30
1970-08-01,35
1970-09-01,38.5
1970-10-01,41.1
1970-11-01,42.6
1970-12-01,45.2
1971-01-01,48
1971-02-01,49.3
1971-03-01,50.5
1971-04-01,48.9
1971-05-01,49.5
1971-06-01,49.9
1971-07-01,51
1971-08-01,52.7
1971-09-01,53.6
1971-10-01,55.6
1971-11-01,55.5
1971-12-01,57.7
1972-01-01,59.1
1972-02-01,59
1972-03-01,58.4
1972-04-01,60.3
1972-05-01,63.8
1972-06-01,64.1
1972-07-01,64.5
1972-08-01,68.4
1972-09-01,69.9
1972-10-01,70.4
1972-11-01,71.2
1972-12-01,73.3
1973-01-01,74.9
1973-02-01,79
1973-03-01,86.3
1973-04-01,89.7
1973-05-01,92.6
1973-06-01,91.9
1973-07-01,96.3
1973-08-01,105.4
1973-09-01,111.3
1973-10-01,112
1973-11-01,109.5
1973-12-01,111.2
1974-01-01,115.6
1974-02-01,117.9
1974-03-01,119
1974-04-01,125.9
1974-05-01,132.5
1974-06-01,134.9
1974-07-01,137.7
1974-08-01,142.4
1974-09-01,143.8
1974-10-01,143.8
1974-11-01,141
1974-12-01,145.5
1975-01-01,147.9
1975-02-01,145
1975-03-01,142.1
1975-04-01,137.1
1975-05-01,135.2
1975-06-01,131.5
1975-07-01,128.8
1975-08-01,129.4
1975-09-01,130.4
1975-10-01,131.1
1975-11-01,131
1975-12-01,131.1
1976-01-01,128.3
1976-02-01,124.3
1976-03-01,125.3
1976-04-01,124.1
1976-05-01,121.2
1976-06-01,123.3
1976-07-01,124.1
1976-08-01,122.8
1976-09-01,121.2
1976-10-01,119.3
1976-11-01,118.2
1976-12-01,120
1977-01-01,118.9
1977-02-01,118.5
1977-03-01,118.9
1977-04-01,117.8
1977-05-01,119
1977-06-01,121.8
1977-07-01,124.7
1977-08-01,129.3
1977-09-01,132.2
1977-10-01,136.7
1977-11-01,142
1977-12-01,148
1978-01-01,150.8
1978-02-01,153.9
1978-03-01,159.5
1978-04-01,163
1978-05-01,168.7
1978-06-01,171.1
1978-07-01,174.8
1978-08-01,180.4
1978-09-01,182.6
1978-10-01,184.9
1978-11-01,193.9
1978-12-01,199.3
1979-01-01,200.4
1979-02-01,202.4
1979-03-01,202.7
1979-04-01,198.6
1979-05-01,198.7
1979-06-01,196.5
1979-07-01,198.6
1979-08-01,204
1979-09-01,211.1
1979-10-01,218.2
1979-11-01,222.7
1979-12-01,226.3
1980-01-01,227.1
1980-02-01,231.2
1980-03-01,234.2
1980-04-01,234.9
1980-05-01,236.8
1980-06-01,230.4
1980-07-01,226.5
1980-08-01,229.4
1980-09-01,234
1980-10-01,239.5
1980-11-01,249.2
1980-12-01,262.9
1981-01-01,272.7
1981-02-01,278.2
1981-03-01,275.6
1981-04-01,270
1981-05-01,279
1981-06-01,282.9
1981-07-01,288.2
1981-08-01,296.8
1981-09-01,301
1981-10-01,303.4
1981-11-01,304.8
1981-12-01,306.4
1982-01-01,305.4
1982-02-01,312.1
1982-03-01,314.7
1982-04-01,312.8
1982-05-01,316.4
1982-06-01,317.8
1982-07-01,322.1
1982-08-01,327.2
1982-09-01,327.7
1982-10-01,331.8
1982-11-01,331.1
1982-12-01,326.9
1983-01-01,301.3
1983-02-01,290.1
1983-03-01,284.6
1983-04-01,283.6
1983-05-01,283.2
1983-06-01,285.7
1983-07-01,288.2
1983-08-01,296.4
1983-09-01,302.2
1983-10-01,304.4
1983-11-01,309.7
1983-12-01,316.4
1984-01-01,321.3
1984-02-01,326.1
1984-03-01,333.6
1984-04-01,337.8
1984-05-01,351.8
1984-06-01,363.5
1984-07-01,374.1
1984-08-01,383.6
1984-09-01,388.1
1984-10-01,396.4
1984-11-01,397.5
1984-12-01,402.1
1985-01-01,401.8
1985-02-01,402
1985-03-01,406.4
1985-04-01,407.5
1985-05-01,409.3
1985-06-01,406.3
1985-07-01,401.6
1985-08-01,407
1985-09-01,412.8
1985-10-01,416.3
1985-11-01,418.2
1985-12-01,421.4
1986-01-01,431.1
1986-02-01,434.1
1986-03-01,434.7
1986-04-01,431.2
1986-05-01,428.4
1986-06-01,426.4
1986-07-01,425.4
1986-08-01,430.1
1986-09-01,430.1
1986-10-01,425.9
1986-11-01,421
1986-12-01,418.6
1987-01-01,421.3
1987-02-01,423.6
1987-03-01,426.8
1987-04-01,425.6
1987-05-01,432.5
1987-06-01,437.4
1987-07-01,437.8
1987-08-01,442.6
1987-09-01,445.8
1987-10-01,454.2
1987-11-01,461.2
1987-12-01,461.2
1988-01-01,459.1
1988-02-01,464.8
1988-03-01,470.5
1988-04-01,467.7
1988-05-01,472.4
1988-06-01,476.5
1988-07-01,482
1988-08-01,493.5
1988-09-01,503.1
1988-10-01,506.7
1988-11-01,506.7
1988-12-01,511.6
1989-01-01,517.8
1989-02-01,522.7
1989-03-01,530.8
1989-04-01,532.9
1989-05-01,537.1
1989-06-01,536.1
1989-07-01,534.2
1989-08-01,535.6
1989-09-01,533.8
1989-10-01,531.8
1989-11-01,530.9
1989-12-01,527.2
1990-01-01,525.5
1990-02-01,523.9
1990-03-01,520.1
1990-04-01,514.4
1990-05-01,515
1990-06-01,510.2
1990-07-01,509
1990-08-01,508.4
1990-09-01,500.9
1990-10-01,495.3
1990-11-01,491.7
1990-12-01,479.5
1991-01-01,479.1
1991-02-01,480.6
1991-03-01,475.9
1991-04-01,468.3
1991-05-01,465.2
1991-06-01,461.8
1991-07-01,451.4
1991-08-01,447.5
1991-09-01,441.9
1991-10-01,431.3
1991-11-01,424.3
1991-12-01,416.7
1992-01-01,408.4
1992-02-01,405.1
1992-03-01,401.9
1992-04-01,395.2
1992-05-01,392.8
1992-06-01,387.3
1992-07-01,380.1
1992-08-01,377
1992-09-01,373.6
1992-10-01,365.7
1992-11-01,359.7
1992-12-01,354.4
1993-01-01,347.3
1993-02-01,347
1993-03-01,345
1993-04-01,343.4
1993-05-01,350.8
1993-06-01,348.1
1993-07-01,340.7
1993-08-01,341.4
1993-09-01,340
1993-10-01,340.1
1993-11-01,339.6
1993-12-01,338.4
1994-01-01,337.8
1994-02-01,337.9
1994-03-01,336.7
1994-04-01,337.6
1994-05-01,345.2
1994-06-01,347.3
1994-07-01,350.9
1994-08-01,356.4
1994-09-01,363.1
1994-10-01,368.5
1994-11-01,374.9
1994-12-01,378.8
1995-01-01,379.2
1995-02-01,388.4
1995-03-01,396.7
1995-04-01,397.8
1995-05-01,406.5
1995-06-01,410.6
1995-07-01,411.3
1995-08-01,417.8
1995-09-01,424.1
1995-10-01,432.7
1995-11-01,438.5
1995-12-01,439.7
1996-01-01,440.4
1996-02-01,450.7
1996-03-01,456.6
1996-04-01,456
1996-05-01,469.5
1996-06-01,473.3
1996-07-01,478.9
1996-08-01,486.9
1996-09-01,495
1996-10-01,514
1996-11-01,517.2
1996-12-01,523
1997-01-01,522
1997-02-01,534.6
1997-03-01,546
1997-04-01,558.1
1997-05-01,565.9
1997-06-01,572
1997-07-01,587.6
1997-08-01,599.1
1997-09-01,614
1997-10-01,626.7
1997-11-01,633.1
1997-12-01,634.7
1998-01-01,629.6
1998-02-01,647.7
1998-03-01,669.3
1998-04-01,663.2
1998-05-01,670.3
1998-06-01,673.5
1998-07-01,660.7
1998-08-01,671.8
1998-09-01,678.3
1998-10-01,686
1998-11-01,690.9
1998-12-01,688.2
1999-01-01,682.6
1999-02-01,684.3
1999-03-01,682.6
1999-04-01,680.6
1999-05-01,683.7
1999-06-01,679.3
1999-07-01,680.6
1999-08-01,674.8
1999-09-01,681.2
1999-10-01,708
1999-11-01,737.7
1999-12-01,763.9
2000-01-01,762.3
2000-02-01,769.4
2000-03-01,782.3
2000-04-01,795.8
2000-05-01,800.1
2000-06-01,809.1
2000-07-01,812.4
2000-08-01,822.3
2000-09-01,822
2000-10-01,818.6
2000-11-01,824.2
2000-12-01,841.1
2001-01-01,850
2001-02-01,823.2
2001-03-01,801.6
2001-04-01,824.5
2001-05-01,838.5
2001-06-01,841.7
2001-07-01,827.9
2001-08-01,812.5
2001-09-01,814.9
2001-10-01,805.2
2001-11-01,802.7
2001-12-01,804.2
2002-01-01,805.5
2002-02-01,810.1
2002-03-01,815.6
2002-04-01,829.9
2002-05-01,850.3
2002-06-01,841.1
2002-07-01,835.8
2002-08-01,832.8
2002-09-01,832.8
2002-10-01,842.6
2002-11-01,835.4
2002-12-01,814.7
2003-01-01,818.6
2003-02-01,818.6
2003-03-01,825.6
2003-04-01,825.4
2003-05-01,836
2003-06-01,833
2003-07-01,840.1
2003-08-01,848.8
2003-09-01,857.3
2003-10-01,854.3
2003-11-01,862.6
2003-12-01,881.1
2004-01-01,906.2
2004-02-01,913
2004-03-01,938.6
2004-04-01,964.5
2004-05-01,995.4
2004-06-01,1004.3
2004-07-01,1018.2
2004-08-01,1025.3
2004-09-01,1031.3
2004-10-01,1033.7
2004-11-01,1037.7
2004-12-01,1063.6
2005-01-01,1113.6
2005-02-01,1130.6
2005-03-01,1148.7
2005-04-01,1202.1
2005-05-01,1223.1
2005-06-01,1247
2005-07-01,1231.6
2005-08-01,1270.2
2005-09-01,1294.8
2005-10-01,1318.7
2005-11-01,1318.3
2005-12-01,1343.4
2006-01-01,1375.9
2006-02-01,1394.8
