"Date","BOGAMBSL"
1980-02-01,132.785
1980-03-01,133.607
1980-04-01,134.74
1980-05-01,134.998
1980-06-01,135.679
1980-07-01,136.637
1980-08-01,137.977
1980-09-01,139.22
1980-10-01,140.15
1980-11-01,141.566
1980-12-01,142.004
1981-01-01,141.462
1981-02-01,142.27
1981-03-01,143.029
1981-04-01,143.917
1981-05-01,144.587
1981-06-01,145.001
1981-07-01,145.839
1981-08-01,146.467
1981-09-01,146.941
1981-10-01,147.062
1981-11-01,147.749
1981-12-01,149.021
1982-01-01,149.991
1982-02-01,150.459
1982-03-01,150.66
1982-04-01,151.606
1982-05-01,152.868
1982-06-01,153.861
1982-07-01,154.385
1982-08-01,155.47
1982-09-01,156.629
1982-10-01,157.716
1982-11-01,158.667
1982-12-01,160.127
1983-01-01,161.136
1983-02-01,163.17
1983-03-01,165.052
1983-04-01,166.549
1983-05-01,167.842
1983-06-01,169.393
1983-07-01,170.129
1983-08-01,171.208
1983-09-01,172.411
1983-10-01,173.584
1983-11-01,174.605
1983-12-01,175.467
1984-01-01,176.896
1984-02-01,177.838
1984-03-01,178.872
1984-04-01,179.898
1984-05-01,180.723
1984-06-01,181.995
1984-07-01,182.991
1984-08-01,183.754
1984-09-01,184.661
1984-10-01,185.22
1984-11-01,186.105
1984-12-01,187.253
1985-01-01,188.081
1985-02-01,189.636
1985-03-01,190.321
1985-04-01,191.353
1985-05-01,192.69
1985-06-01,194.762
1985-07-01,195.947
1985-08-01,198.013
1985-09-01,199.307
1985-10-01,200.74
1985-11-01,202.12
1985-12-01,203.556
1986-01-01,204.222
1986-02-01,205.315
1986-03-01,206.93
1986-04-01,208.125
1986-05-01,210.155
1986-06-01,211.795
1986-07-01,213.407
1986-08-01,215.273
1986-09-01,216.764
1986-10-01,218.635
1986-11-01,220.714
1986-12-01,223.417
1987-01-01,225.347
1987-02-01,226.568
1987-03-01,227.084
1987-04-01,228.964
1987-05-01,230.521
1987-06-01,231.303
1987-07-01,231.973
1987-08-01,233.529
1987-09-01,234.709
1987-10-01,237.11
1987-11-01,238.807
1987-12-01,239.83
1988-01-01,241.825
1988-02-01,242.804
1988-03-01,243.751
1988-04-01,245.76
1988-05-01,247.435
1988-06-01,249.161
1988-07-01,251.001
1988-08-01,252.064
1988-09-01,253.359
1988-10-01,254.579
1988-11-01,255.676
1988-12-01,256.897
1989-01-01,257.915
1989-02-01,258.309
1989-03-01,259.16
1989-04-01,259.559
1989-05-01,260.264
1989-06-01,261.108
1989-07-01,262.226
1989-08-01,262.843
1989-09-01,263.76
1989-10-01,264.899
1989-11-01,265.615
1989-12-01,267.761
1990-01-01,269.469
1990-02-01,271.088
1990-03-01,272.965
1990-04-01,275.134
1990-05-01,276.707
1990-06-01,278.903
1990-07-01,280.974
1990-08-01,284.115
1990-09-01,287.366
1990-10-01,289.265
1990-11-01,291.165
1990-12-01,293.339
1991-01-01,297.776
1991-02-01,300.808
1991-03-01,302.731
1991-04-01,302.943
