"Date","M1471AUSM144SNBR"
1914-06-01,4642
1914-07-01,4646
1914-08-01,4638
1914-09-01,4728
1914-10-01,4808
1914-11-01,4774
1914-12-01,4728
1915-01-01,4778
1915-02-01,4807
1915-03-01,4862
1915-04-01,4892
1915-05-01,4997
1915-06-01,5025
1915-07-01,5038
1915-08-01,5066
1915-09-01,5187
1915-10-01,5343
1915-11-01,5427
1915-12-01,5584
1916-01-01,5617
1916-02-01,5702
1916-03-01,5735
1916-04-01,5866
1916-05-01,6009
1916-06-01,6003
1916-07-01,6138
1916-08-01,6137
1916-09-01,6291
1916-10-01,6427
1916-11-01,6599
1916-12-01,6895
1917-01-01,6970
1917-02-01,6920
1917-03-01,7005
1917-04-01,7094
1917-05-01,7192
1917-06-01,7067
1917-07-01,7246
1917-08-01,7242
1917-09-01,7245
1917-10-01,7404
1917-11-01,7434
1917-12-01,7422
1918-01-01,7453
1918-02-01,7497
1918-03-01,7499
1918-04-01,7527
1918-05-01,7491
1918-06-01,7552
1918-07-01,7628
1918-08-01,7698
1918-09-01,7743
1918-10-01,7774
1918-11-01,7901
1918-12-01,8165
1919-01-01,8338
1919-02-01,8489
1919-03-01,8596
1919-04-01,8669
1919-05-01,8768
1919-06-01,8930
1919-07-01,9204
1919-08-01,9349
1919-09-01,9536
1919-10-01,9912
1919-11-01,10065
1919-12-01,10042
1920-01-01,10365
1920-02-01,10535
1920-03-01,10745
1920-04-01,10880
1920-05-01,10973
1920-06-01,11116
1920-07-01,11122
1920-08-01,11227
1920-09-01,11268
1920-10-01,11284
1920-11-01,11315
1920-12-01,11370
1921-01-01,11440
1921-02-01,11374
1921-03-01,11343
1921-04-01,11318
1921-05-01,11286
1921-06-01,11257
1921-07-01,11171
1921-08-01,11204
1921-09-01,11185
1921-10-01,11275
1921-11-01,11275
1921-12-01,11258
1922-01-01,11212
1922-02-01,11390
1922-03-01,11490
1922-04-01,11647
1922-05-01,11736
1922-06-01,12028
1922-07-01,12287
1922-08-01,12475
1922-09-01,12455
1922-10-01,12611
1922-11-01,12646
1922-12-01,12860
1923-01-01,12894
1923-02-01,13042
1923-03-01,13417
1923-04-01,13507
1923-05-01,13638
1923-06-01,13758
1923-07-01,13745
1923-08-01,13832
1923-09-01,13881
1923-10-01,13971
1923-11-01,14051
1923-12-01,14131
1924-01-01,14155
1924-02-01,14355
1924-03-01,14451
1924-04-01,14591
1924-05-01,14634
1924-06-01,14766
1924-07-01,14911
1924-08-01,15031
1924-09-01,15209
1924-10-01,15388
1924-11-01,15480
1924-12-01,15559
1925-01-01,15711
1925-02-01,15845
1925-03-01,15975
1925-04-01,16030
1925-05-01,16189
1925-06-01,16329
1925-07-01,16402
1925-08-01,16516
1925-09-01,16645
1925-10-01,16753
1925-11-01,16856
1925-12-01,16940
1926-01-01,17091
1926-02-01,17144
1926-03-01,17163
1926-04-01,17259
1926-05-01,17369
1926-06-01,17457
1926-07-01,17510
1926-08-01,17591
1926-09-01,17587
1926-10-01,17631
1926-11-01,17628
1926-12-01,17573
1927-01-01,17815
1927-02-01,18127
1927-03-01,18156
1927-04-01,18282
1927-05-01,18456
1927-06-01,18588
1927-07-01,18694
1927-08-01,18740
1927-09-01,18824
1927-10-01,18900
1927-11-01,19211
1927-12-01,19224
1928-01-01,19513
1928-02-01,19619
1928-03-01,19880
1928-04-01,19969
1928-05-01,20087
1928-06-01,20100
1928-07-01,19999
1928-08-01,20007
1928-09-01,19943
1928-10-01,20127
1928-11-01,20044
1928-12-01,20138
1929-01-01,20080
1929-02-01,20034
1929-03-01,19927
1929-04-01,19767
1929-05-01,19748
1929-06-01,19729
1929-07-01,19717
1929-08-01,19807
1929-09-01,19912
1929-10-01,19891
1929-11-01,19535
1929-12-01,19433
1930-01-01,19618
1930-02-01,19520
1930-03-01,19817
1930-04-01,19705
1930-05-01,19848
1930-06-01,20010
1930-07-01,19943
1930-08-01,20033
1930-09-01,20038
1930-10-01,20068
1930-11-01,19713
1930-12-01,19132
1931-01-01,19092
1931-02-01,19229
1931-03-01,19124
1931-04-01,19210
1931-05-01,19026
1931-06-01,18715
1931-07-01,18508
1931-08-01,18145
1931-09-01,17564
1931-10-01,16645
1931-11-01,16099
1931-12-01,15445
1932-01-01,15059
1932-02-01,14803
1932-03-01,14652
1932-04-01,14543
1932-05-01,14360
1932-06-01,14031
1932-07-01,13979
1932-08-01,13853
1932-09-01,13746
1932-10-01,13844
1932-11-01,13756
1932-12-01,13690
1933-01-01,13527
1933-02-01,12625
1933-03-01,10918
