"Date","OCMZMA"
1967-01-01,0.0286
1967-02-01,0.0262
1967-03-01,0.0258
1967-04-01,0.0225
1967-05-01,0.0226
1967-06-01,0.025
1967-07-01,0.0242
1967-08-01,0.0248
1967-09-01,0.0249
1967-10-01,0.0266
1967-11-01,0.0297
1967-12-01,0.0313
1968-01-01,0.0286
1968-02-01,0.0274
1968-03-01,0.0312
1968-04-01,0.0304
1968-05-01,0.0341
1968-06-01,0.0345
1968-07-01,0.0316
1968-08-01,0.0295
1968-09-01,0.0291
1968-10-01,0.0319
1968-11-01,0.0342
1968-12-01,0.0359
1969-01-01,0.038
1969-02-01,0.0416
1969-03-01,0.0441
1969-04-01,0.0437
1969-05-01,0.05
1969-06-01,0.0593
1969-07-01,0.0581
1969-08-01,0.057
1969-09-01,0.0593
1969-10-01,0.0528
1969-11-01,0.0555
1969-12-01,0.0592
1970-01-01,0.0526
1970-02-01,0.0488
1970-03-01,0.0456
1970-04-01,0.0427
1970-05-01,0.0452
1970-06-01,0.0484
1970-07-01,0.0447
1970-08-01,0.0422
1970-09-01,0.0419
1970-10-01,0.0416
1970-11-01,0.0418
1970-12-01,0.0403
1971-01-01,0.0381
1971-02-01,0.0361
1971-03-01,0.0367
1971-04-01,0.0368
1971-05-01,0.0378
1971-06-01,0.0386
1971-07-01,0.0386
1971-08-01,0.0447
1971-09-01,0.0435
1971-10-01,0.0367
1971-11-01,0.0361
1971-12-01,0.0361
1972-01-01,0.0353
1972-02-01,0.0354
1972-03-01,0.0355
1972-04-01,0.0356
1972-05-01,0.0355
1972-06-01,0.0353
1972-07-01,0.0355
1972-08-01,0.0352
1972-09-01,0.0346
1972-10-01,0.0344
1972-11-01,0.034
1972-12-01,0.0336
1973-01-01,0.0334
1973-02-01,0.0479
1973-03-01,0.0451
1973-04-01,0.0469
1973-05-01,0.0441
1973-06-01,0.0456
1973-07-01,0.0542
1973-08-01,0.0598
1973-09-01,0.0581
1973-10-01,0.0538
1973-11-01,0.0505
1973-12-01,0.056
1974-01-01,0.0485
1974-02-01,0.0434
1974-03-01,0.0469
1974-04-01,0.0543
1974-05-01,0.0608
1974-06-01,0.0632
1974-07-01,0.0707
1974-08-01,0.0713
1974-09-01,0.0664
1974-10-01,0.0567
1974-11-01,0.0516
1974-12-01,0.0528
1975-01-01,0.0493
1975-02-01,0.0484
1975-03-01,0.0474
1975-04-01,0.048
1975-05-01,0.0485
1975-06-01,0.0481
1975-07-01,0.0476
1975-08-01,0.0479
1975-09-01,0.048
1975-10-01,0.048
1975-11-01,0.0477
1975-12-01,0.0476
1976-01-01,0.0468
1976-02-01,0.0458
1976-03-01,0.0451
1976-04-01,0.044
1976-05-01,0.0435
1976-06-01,0.0437
1976-07-01,0.0433
1976-08-01,0.0422
1976-09-01,0.0408
1976-10-01,0.0401
1976-11-01,0.0398
1976-12-01,0.0391
1977-01-01,0.0389
1977-02-01,0.0392
1977-03-01,0.0392
1977-04-01,0.0389
1977-05-01,0.0385
1977-06-01,0.0379
1977-07-01,0.0376
1977-08-01,0.0373
1977-09-01,0.0372
1977-10-01,0.0378
1977-11-01,0.0381
1977-12-01,0.0383
1978-01-01,0.0394
1978-02-01,0.0395
1978-03-01,0.04
1978-04-01,0.0402
1978-05-01,0.0413
1978-06-01,0.0437
1978-07-01,0.0451
1978-08-01,0.0439
1978-09-01,0.0472
1978-10-01,0.0535
1978-11-01,0.0615
1978-12-01,0.0626
1979-01-01,0.061
1979-02-01,0.057
1979-03-01,0.0561
1979-04-01,0.0553
1979-05-01,0.0561
1979-06-01,0.0542
1979-07-01,0.0552
1979-08-01,0.059
1979-09-01,0.0652
1979-10-01,0.0758
1979-11-01,0.0776
1979-12-01,0.075
1980-01-01,0.0739
1980-02-01,0.0797
1980-03-01,0.0969
1980-04-01,0.0914
1980-05-01,0.0674
1980-06-01,0.0595
1980-07-01,0.0598
1980-08-01,0.0629
1980-09-01,0.0656
1980-10-01,0.0708
1980-11-01,0.0862
1980-12-01,0.1073
1981-01-01,0.1011
1981-02-01,0.0878
1981-03-01,0.0784
1981-04-01,0.0824
1981-05-01,0.0989
1981-06-01,0.0966
1981-07-01,0.1003
1981-08-01,0.0958
1981-09-01,0.0919
1981-10-01,0.0851
1981-11-01,0.0776
1981-12-01,0.0814
1982-01-01,0.0849
1982-02-01,0.0839
1982-03-01,0.0811
1982-04-01,0.0806
1982-05-01,0.08
1982-06-01,0.0823
1982-07-01,0.0819
1982-08-01,0.0817
1982-09-01,0.0793
1982-10-01,0.0743
1982-11-01,0.0725
1982-12-01,0.072
1983-01-01,0.071
1983-02-01,0.0712
1983-03-01,0.0688
1983-04-01,0.0662
1983-05-01,0.0648
1983-06-01,0.0663
1983-07-01,0.0658
1983-08-01,0.0669
1983-09-01,0.0663
1983-10-01,0.0658
1983-11-01,0.0672
1983-12-01,0.0681
1984-01-01,0.067
1984-02-01,0.0667
1984-03-01,0.0692
1984-04-01,0.0708
1984-05-01,0.0732
1984-06-01,0.0747
1984-07-01,0.0745
1984-08-01,0.0701
1984-09-01,0.0679
1984-10-01,0.0659
1984-11-01,0.0646
1984-12-01,0.0663
1985-01-01,0.0671
1985-02-01,0.0673
1985-03-01,0.0705
1985-04-01,0.0695
1985-05-01,0.068
1985-06-01,0.064
1985-07-01,0.0648
1985-08-01,0.0653
1985-09-01,0.0652
1985-10-01,0.0641
1985-11-01,0.0612
1985-12-01,0.058
1986-01-01,0.057
1986-02-01,0.0544
1986-03-01,0.0502
1986-04-01,0.049
1986-05-01,0.0507
1986-06-01,0.0514
1986-07-01,0.0509
1986-08-01,0.0522
1986-09-01,0.0535
1986-10-01,0.0544
1986-11-01,0.0531
1986-12-01,0.0521
1987-01-01,0.0501
1987-02-01,0.0498
1987-03-01,0.0497
1987-04-01,0.0532
