"Date","STDNS"
1959-01-01,11.7
1959-02-01,11.7
1959-03-01,11.8
1959-04-01,12
1959-05-01,12.2
1959-06-01,12.3
1959-07-01,12.3
1959-08-01,12.4
1959-09-01,12.4
1959-10-01,12.1
1959-11-01,11.6
1959-12-01,11.2
1960-01-01,11.5
1960-02-01,11.4
1960-03-01,11.6
1960-04-01,11.8
1960-05-01,11.9
1960-06-01,12.2
1960-07-01,12.6
1960-08-01,12.9
1960-09-01,13
1960-10-01,12.9
1960-11-01,12.6
1960-12-01,12.3
1961-01-01,12.8
1961-02-01,13
1961-03-01,13.1
1961-04-01,13.4
1961-05-01,14.1
1961-06-01,14.5
1961-07-01,15
1961-08-01,15.2
1961-09-01,15.4
1961-10-01,15.3
1961-11-01,14.8
1961-12-01,14.5
1962-01-01,15.6
1962-02-01,16.6
1962-03-01,17.5
1962-04-01,18.1
1962-05-01,18.3
1962-06-01,18.7
1962-07-01,19.1
1962-08-01,19.4
1962-09-01,19.8
1962-10-01,19.9
1962-11-01,19.6
1962-12-01,19.7
1963-01-01,20.6
1963-02-01,21
1963-03-01,21.6
1963-04-01,22
1963-05-01,22.5
1963-06-01,22.9
1963-07-01,23.4
1963-08-01,24.1
1963-09-01,24.6
1963-10-01,25.2
1963-11-01,25.1
1963-12-01,25
1964-01-01,25.9
1964-02-01,26.2
1964-03-01,26.6
1964-04-01,26.7
1964-05-01,27
1964-06-01,27.5
1964-07-01,28
1964-08-01,28.4
1964-09-01,28.8
1964-10-01,28.9
1964-11-01,28.6
1964-12-01,28.5
1965-01-01,29.9
1965-02-01,30.8
1965-03-01,31.3
1965-04-01,31.5
1965-05-01,31.9
1965-06-01,32.4
1965-07-01,32.9
1965-08-01,33.4
1965-09-01,33.9
1965-10-01,34.2
1965-11-01,33.9
1965-12-01,33.6
1966-01-01,35.3
1966-02-01,36.8
1966-03-01,38.8
1966-04-01,41.5
1966-05-01,43.8
1966-06-01,45.2
1966-07-01,46.6
1966-08-01,48.9
1966-09-01,50.8
1966-10-01,52.4
1966-11-01,52.8
1966-12-01,53.4
1967-01-01,56.8
1967-02-01,59.3
1967-03-01,61.1
1967-04-01,62.9
1967-05-01,65.1
1967-06-01,67.2
1967-07-01,69.4
1967-08-01,71
1967-09-01,72.7
1967-10-01,73.9
1967-11-01,74.5
1967-12-01,75.6
1968-01-01,79.3
1968-02-01,82.2
1968-03-01,83.6
1968-04-01,85.2
1968-05-01,87
1968-06-01,89
1968-07-01,91.4
1968-08-01,93.2
1968-09-01,95.1
1968-10-01,96.8
1968-11-01,97.6
1968-12-01,97.8
1969-01-01,101.1
1969-02-01,104.4
1969-03-01,106
1969-04-01,107.7
1969-05-01,109
1969-06-01,110.2
1969-07-01,112.9
1969-08-01,114.8
1969-09-01,116.1
1969-10-01,116.6
1969-11-01,116.9
1969-12-01,117.4
1970-01-01,120.2
1970-02-01,124.4
1970-03-01,128.3
1970-04-01,131.3
1970-05-01,134.9
1970-06-01,137.9
1970-07-01,140.1
1970-08-01,142.2
1970-09-01,143.9
1970-10-01,145.4
1970-11-01,147.1
1970-12-01,148.8
1971-01-01,153.4
1971-02-01,158.6
1971-03-01,163.1
1971-04-01,167.2
1971-05-01,169.9
1971-06-01,172.2
1971-07-01,174.5
1971-08-01,176.8
1971-09-01,179.5
1971-10-01,181.7
1971-11-01,184.7
1971-12-01,186.8
1972-01-01,192.5
1972-02-01,197.6
1972-03-01,201.4
1972-04-01,203.3
1972-05-01,205.8
1972-06-01,209
1972-07-01,213.6
1972-08-01,217
1972-09-01,220.4
1972-10-01,223.9
1972-11-01,226.2
1972-12-01,228.3
1973-01-01,235.8
1973-02-01,240.5
1973-03-01,241.9
1973-04-01,244.7
1973-05-01,247.8
1973-06-01,250.8
1973-07-01,252.2
1973-08-01,255.5
1973-09-01,255.9
1973-10-01,256.8
1973-11-01,259.8
1973-12-01,262.3
1974-01-01,268.1
1974-02-01,272.7
1974-03-01,276.2
1974-04-01,277.5
1974-05-01,278
1974-06-01,279.3
1974-07-01,280.6
1974-08-01,281.7
1974-09-01,283.1
1974-10-01,284.7
1974-11-01,285.4
1974-12-01,284.8
1975-01-01,289.7
1975-02-01,294.7
1975-03-01,299.4
1975-04-01,304.2
1975-05-01,308
1975-06-01,312.7
1975-07-01,318.7
1975-08-01,322.3
1975-09-01,325.2
1975-10-01,328.5
1975-11-01,331.1
1975-12-01,334.9
1976-01-01,342.2
1976-02-01,346.6
1976-03-01,348.1
1976-04-01,351.5
1976-05-01,356.3
1976-06-01,359.5
1976-07-01,364.1
1976-08-01,368.9
1976-09-01,375.1
1976-10-01,380.6
1976-11-01,384
1976-12-01,388.1
1977-01-01,397.3
1977-02-01,403.2
1977-03-01,408.1
1977-04-01,413.2
1977-05-01,417.7
1977-06-01,422.5
1977-07-01,427.5
1977-08-01,430.4
1977-09-01,434.3
1977-10-01,438.2
1977-11-01,440.1
1977-12-01,443.3
1978-01-01,450.8
1978-02-01,454.4
1978-03-01,457.2
1978-04-01,460.5
1978-05-01,463
1978-06-01,469.3
1978-07-01,478.5
1978-08-01,484.4
1978-09-01,492.4
1978-10-01,501.1
1978-11-01,509.5
1978-12-01,519.4
1979-01-01,535.7
1979-02-01,546
1979-03-01,554.3
1979-04-01,563.9
1979-05-01,570
1979-06-01,576
1979-07-01,581.6
1979-08-01,588
1979-09-01,597.5
1979-10-01,611.7
1979-11-01,626.3
1979-12-01,633.1
1980-01-01,644.1
1980-02-01,653.9
1980-03-01,667.6
1980-04-01,686
1980-05-01,693.8
1980-06-01,692.4
1980-07-01,689.2
1980-08-01,686.9
1980-09-01,689.7
1980-10-01,697.6
1980-11-01,711.2
1980-12-01,727.9
1981-01-01,751
1981-02-01,761
1981-03-01,767
1981-04-01,765.8
1981-05-01,772
1981-06-01,781
1981-07-01,784.1
1981-08-01,795.8
1981-09-01,804.7
1981-10-01,819.3
1981-11-01,824
1981-12-01,823
1982-01-01,826.7
1982-02-01,835.4
1982-03-01,844.2
1982-04-01,849.7
1982-05-01,855.7
1982-06-01,861.5
1982-07-01,872
1982-08-01,877
1982-09-01,879.2
1982-10-01,875.2
1982-11-01,871
1982-12-01,851.4
1983-01-01,796.5
1983-02-01,756.2
1983-03-01,735.8
1983-04-01,728.2
1983-05-01,722
1983-06-01,722.5
1983-07-01,732.6
1983-08-01,743.3
1983-09-01,752.3
1983-10-01,767.6
1983-11-01,779.4
1983-12-01,784.8
1984-01-01,795.4
1984-02-01,803
1984-03-01,806.2
1984-04-01,809.8
1984-05-01,816.5
1984-06-01,828
1984-07-01,842.7
1984-08-01,859.1
1984-09-01,870.8
1984-10-01,882.3
1984-11-01,887.8
1984-12-01,889.7
1985-01-01,890.9
1985-02-01,886
1985-03-01,882.6
1985-04-01,882.5
1985-05-01,884.4
1985-06-01,887.4
1985-07-01,888.7
1985-08-01,885.2
1985-09-01,883.6
1985-10-01,884.8
1985-11-01,884.4
1985-12-01,886.4
1986-01-01,893
1986-02-01,893.5
1986-03-01,894.3
1986-04-01,893
1986-05-01,886.9
1986-06-01,883.5
1986-07-01,885.1
1986-08-01,881.8
1986-09-01,877.8
1986-10-01,871.7
1986-11-01,863.2
1986-12-01,858.4
1987-01-01,858.9
1987-02-01,854.4
1987-03-01,850.2
1987-04-01,846.6
1987-05-01,843.9
1987-06-01,851.2
1987-07-01,862.8
1987-08-01,870.2
1987-09-01,877.4
1987-10-01,890.5
1987-11-01,908.5
1987-12-01,920.1
1988-01-01,935.8
1988-02-01,952.1
1988-03-01,961.4
1988-04-01,968.1
1988-05-01,972
1988-06-01,977.2
1988-07-01,986.5
1988-08-01,993.7
1988-09-01,1005.1
1988-10-01,1019.2
1988-11-01,1027.8
1988-12-01,1035
1989-01-01,1052.4
1989-02-01,1064.6
1989-03-01,1074.5
1989-04-01,1091.3
1989-05-01,1108.5
1989-06-01,1122.4
1989-07-01,1134.6
1989-08-01,1140.3
1989-09-01,1141.9
1989-10-01,1145.7
1989-11-01,1146.4
1989-12-01,1148.1
1990-01-01,1152.8
1990-02-01,1153.7
1990-03-01,1154.4
1990-04-01,1156.2
1990-05-01,1156.4
1990-06-01,1159.4
1990-07-01,1166.1
1990-08-01,1166.8
1990-09-01,1167.6
1990-10-01,1170.5
1990-11-01,1170
1990-12-01,1170.9
1991-01-01,1175.9
1991-02-01,1175.1
1991-03-01,1168.4
1991-04-01,1160.2
1991-05-01,1149.3
1991-06-01,1137.8
1991-07-01,1130.2
1991-08-01,1120.9
1991-09-01,1110.9
1991-10-01,1097.4
1991-11-01,1080.2
1991-12-01,1063
1992-01-01,1044.2
1992-02-01,1020.3
1992-03-01,1000.4
1992-04-01,981.8
1992-05-01,963
1992-06-01,949.8
1992-07-01,938.6
1992-08-01,923.5
1992-09-01,910.6
1992-10-01,895.3
1992-11-01,878.3
1992-12-01,865.8
1993-01-01,857.7
1993-02-01,850.2
1993-03-01,842.6
1993-04-01,834.8
1993-05-01,826.5
1993-06-01,818.9
1993-07-01,812.1
1993-08-01,804.2
1993-09-01,798.1
1993-10-01,792.3
1993-11-01,785.1
1993-12-01,779.7
1994-01-01,775.4
