"Date","MDLM"
2020-05-01,12293.5
2020-06-01,12491.3
2020-07-01,12629.3
2020-08-01,12684.5
2020-09-01,12815.5
2020-10-01,12968.1
2020-11-01,12863
2020-12-01,12514.5
2021-01-01,12744.1
2021-02-01,12803.9
2021-03-01,12860.1
2021-04-01,13084.2
2021-05-01,13191
2021-06-01,13042.9
2021-07-01,13089.8
2021-08-01,13191.7
2021-09-01,13285.3
2021-10-01,13336.1
2021-11-01,13475.3
2021-12-01,13610.4
2022-01-01,13630.8
2022-02-01,13698.3
2022-03-01,13716.6
2022-04-01,13654.2
2022-05-01,13543.5
2022-06-01,13508.7
2022-07-01,13469.8
2022-08-01,13111.1
2022-09-01,12949.3
2022-10-01,12774.5
2022-11-01,12626
2022-12-01,12473.1
2023-01-01,12307.8
2023-02-01,12072
2023-03-01,11681.9
2023-04-01,11428.5
2023-05-01,11365.9
2023-06-01,11302
2023-07-01,11263.8
2023-08-01,11159.3
2023-09-01,11005.4
2023-10-01,10856.6
