"Date","M1439BUS35620M144NNBR"
1934-09-01,1687
1934-10-01,1746
1934-11-01,1764
1934-12-01,1839
1935-01-01,1967
1935-02-01,2108
1935-03-01,2083
1935-04-01,2062
1935-05-01,2109
1935-06-01,2146
1935-07-01,2187
1935-08-01,2266
1935-09-01,2379
1935-10-01,2458
1935-11-01,2561
1935-12-01,2616
1936-01-01,2760
1936-02-01,2707
1936-03-01,2693
1936-04-01,2620
1936-05-01,2652
1936-06-01,2730
1936-07-01,2872
1936-08-01,2756
1936-09-01,2790
1936-10-01,2875
1936-11-01,2941
1936-12-01,2869
1937-01-01,2802
1937-02-01,2770
1937-03-01,2628
1937-04-01,2589
1937-05-01,2422
1937-06-01,2462
1937-07-01,2517
1937-08-01,2401
1937-09-01,2426
1937-10-01,2425
1937-11-01,2345
1937-12-01,2371
1938-01-01,2486
1938-02-01,2449
1938-03-01,2403
1938-04-01,2482
1938-05-01,2632
1938-06-01,2706
1938-07-01,2715
1938-08-01,2726
1938-09-01,2864
1938-10-01,2973
1938-11-01,3015
1938-12-01,3040
1939-01-01,3130
1939-02-01,3134
1939-03-01,3260
1939-04-01,3346
1939-05-01,3374
1939-06-01,3374
1939-07-01,3468
1939-08-01,3627
1939-09-01,3957
1939-10-01,4084
1939-11-01,4089
1939-12-01,4081
1940-01-01,4147
1940-02-01,4156
1940-03-01,4202
1940-04-01,4303
1940-05-01,4377
1940-06-01,4358
1940-07-01,4339
1940-08-01,4257
1940-09-01,4327
1940-10-01,4395
1940-11-01,4452
1940-12-01,4441
1941-01-01,4523
1941-02-01,4413
1941-03-01,4517
1941-04-01,4447
1941-05-01,4441
1941-06-01,4460
1941-07-01,4442
1941-08-01,4374
1941-09-01,4444
1941-10-01,4452
1941-11-01,4236
1941-12-01,4184
1942-01-01,4046
1942-02-01,4033
1942-03-01,3911
1942-04-01,3823
1942-05-01,3816
1942-06-01,3879
