"Date","SVSTNS"
1978-09-01,988.2
1978-10-01,996
1978-11-01,994.7
1978-12-01,997.5
1979-01-01,1005.1
1979-02-01,1009
1979-03-01,1017.6
1979-04-01,1025.3
1979-05-01,1026.7
1979-06-01,1034.8
1979-07-01,1042.5
1979-08-01,1046.2
1979-09-01,1050.4
1979-10-01,1054.4
1979-11-01,1052.3
1979-12-01,1053.7
1980-01-01,1059.2
1980-02-01,1061.4
1980-03-01,1067.9
1980-04-01,1074.3
1980-05-01,1076.9
1980-06-01,1085.4
1980-07-01,1096.3
1980-08-01,1102.1
1980-09-01,1108.4
1980-10-01,1117.6
1980-11-01,1122.5
1980-12-01,1125
1981-01-01,1131.8
1981-02-01,1133.5
1981-03-01,1139.4
1981-04-01,1140.5
1981-05-01,1140.3
1981-06-01,1144.4
1981-07-01,1148
1981-08-01,1149.8
1981-09-01,1151.8
1981-10-01,1162.5
1981-11-01,1164.4
1981-12-01,1164.2
1982-01-01,1172.1
1982-02-01,1178.6
1982-03-01,1188.8
1982-04-01,1196.3
1982-05-01,1201.4
1982-06-01,1207.7
1982-07-01,1217.9
1982-08-01,1221
1982-09-01,1224.3
1982-10-01,1229.6
1982-11-01,1231.1
1982-12-01,1248.6
1983-01-01,1318.1
1983-02-01,1356.5
1983-03-01,1377.3
1983-04-01,1391.7
1983-05-01,1401.2
1983-06-01,1412.8
1983-07-01,1425
1983-08-01,1429.6
1983-09-01,1436.2
1983-10-01,1451.8
1983-11-01,1461.7
1983-12-01,1467.2
1984-01-01,1481.8
1984-02-01,1493.5
1984-03-01,1505.8
1984-04-01,1514.7
1984-05-01,1518.8
1984-06-01,1528.9
1984-07-01,1539
1984-08-01,1544.3
1984-09-01,1553.1
1984-10-01,1567
1984-11-01,1580
1984-12-01,1591.9
1985-01-01,1612.1
1985-02-01,1621.6
1985-03-01,1629.6
1985-04-01,1633.3
1985-05-01,1639.9
1985-06-01,1657.9
1985-07-01,1671.9
1985-08-01,1675.9
1985-09-01,1679.2
1985-10-01,1689.2
1985-11-01,1695.3
1985-12-01,1699.4
1986-01-01,1711.1
1986-02-01,1712.3
1986-03-01,1720.9
1986-04-01,1729.9
1986-05-01,1735.9
1986-06-01,1748.9
1986-07-01,1763.6
1986-08-01,1771.2
1986-09-01,1779.2
1986-10-01,1790
1986-11-01,1793.6
1986-12-01,1797.4
1987-01-01,1811.2
1987-02-01,1811.2
1987-03-01,1816.6
1987-04-01,1818.5
1987-05-01,1814.1
1987-06-01,1822.8
1987-07-01,1832.6
1987-08-01,1834.1
1987-09-01,1836.2
1987-10-01,1843.3
1987-11-01,1850.4
1987-12-01,1856.1
1988-01-01,1871.7
1988-02-01,1887
1988-03-01,1904.1
1988-04-01,1914.7
1988-05-01,1918.2
1988-06-01,1930.5
1988-07-01,1941.5
1988-08-01,1941.3
1988-09-01,1942.8
1988-10-01,1953.1
1988-11-01,1961.2
1988-12-01,1960.6
1989-01-01,1967.4
1989-02-01,1965.7
1989-03-01,1970.3
1989-04-01,1974.2
1989-05-01,1970.8
1989-06-01,1984.2
1989-07-01,2000.3
1989-08-01,2009.2
1989-09-01,2014.3
1989-10-01,2025.3
1989-11-01,2035.8
1989-12-01,2041.8
1990-01-01,2050.1
1990-02-01,2054.5
1990-03-01,2064.9
1990-04-01,2071
1990-05-01,2067.2
1990-06-01,2076.3
1990-07-01,2086
1990-08-01,2088.7
1990-09-01,2089.1
1990-10-01,2092.5
1990-11-01,2094.4
1990-12-01,2092.9
1991-01-01,2098.9
1991-02-01,2105.6
1991-03-01,2116.3
1991-04-01,2120.9
1991-05-01,2119.6
1991-06-01,2123.4
1991-07-01,2125.8
1991-08-01,2122.1
1991-09-01,2117.3
1991-10-01,2115.9
1991-11-01,2113.6
1991-12-01,2106.2
1992-01-01,2103.7
1992-02-01,2102.4
1992-03-01,2104.8
1992-04-01,2100.9
1992-05-01,2088.7
1992-06-01,2085.4
1992-07-01,2082.6
1992-08-01,2076.6
1992-09-01,2073.6
1992-10-01,2069.8
1992-11-01,2063.8
1992-12-01,2051.1
1993-01-01,2039.5
1993-02-01,2032.9
1993-03-01,2031.2
1993-04-01,2028.3
1993-05-01,2026.5
1993-06-01,2027.6
1993-07-01,2021.6
1993-08-01,2015.7
1993-09-01,2009.2
1993-10-01,2004.8
1993-11-01,2004.1
1993-12-01,1997.4
1994-01-01,1993.3
1994-02-01,1989.5
1994-03-01,1993.4
1994-04-01,1992
1994-05-01,1985.1
1994-06-01,1984.2
1994-07-01,1985.8
1994-08-01,1982
1994-09-01,1977.2
1994-10-01,1974.9
1994-11-01,1974.2
1994-12-01,1965.5
1995-01-01,1964.1
1995-02-01,1966.7
1995-03-01,1978.9
1995-04-01,1986.2
1995-05-01,1996.3
1995-06-01,2015.8
1995-07-01,2021.9
1995-08-01,2030.3
1995-09-01,2037.4
1995-10-01,2046.4
1995-11-01,2055.1
1995-12-01,2065.7
1996-01-01,2080.2
1996-02-01,2092.3
1996-03-01,2114.1
1996-04-01,2125.2
1996-05-01,2126.4
1996-06-01,2140.7
1996-07-01,2150.8
1996-08-01,2165.6
1996-09-01,2174.4
1996-10-01,2191.7
1996-11-01,2209.7
1996-12-01,2218.7
1997-01-01,2228.4
1997-02-01,2237.2
1997-03-01,2261.7
1997-04-01,2280.7
1997-05-01,2279
1997-06-01,2293.6
1997-07-01,2302.1
1997-08-01,2314.4
1997-09-01,2327.1
1997-10-01,2341.8
1997-11-01,2355
1997-12-01,2365.8
1998-01-01,2380.4
1998-02-01,2396
1998-03-01,2421.1
1998-04-01,2445.4
1998-05-01,2438.5
1998-06-01,2455.4
1998-07-01,2471.5
1998-08-01,2483.7
1998-09-01,2497.2
1998-10-01,2514.3
1998-11-01,2536.4
1998-12-01,2553.6
1999-01-01,2565.7
1999-02-01,2575.5
1999-03-01,2592.8
1999-04-01,2618.9
1999-05-01,2612.4
1999-06-01,2630.1
1999-07-01,2650.3
1999-08-01,2659.8
1999-09-01,2674.1
1999-10-01,2681.7
1999-11-01,2693
1999-12-01,2695.9
2000-01-01,2700.5
2000-02-01,2717.3
2000-03-01,2746.9
2000-04-01,2786
2000-05-01,2762.9
2000-06-01,2787.4
2000-07-01,2810.7
2000-08-01,2833.5
2000-09-01,2866.3
2000-10-01,2872.1
2000-11-01,2896.9
2000-12-01,2929.6
2001-01-01,2943.9
2001-02-01,2974.9
2001-03-01,3022
2001-04-01,3069.2
2001-05-01,3059.9
2001-06-01,3094.5
2001-07-01,3107.7
2001-08-01,3138.7
2001-09-01,3192.9
2001-10-01,3203.5
2001-11-01,3255.5
2001-12-01,3289.8
2002-01-01,3299.5
2002-02-01,3335.2
2002-03-01,3374.4
2002-04-01,3407
2002-05-01,3409.2
2002-06-01,3443
2002-07-01,3467.7
2002-08-01,3526.5
2002-09-01,3563.7
2002-10-01,3593.4
2002-11-01,3657.7
2002-12-01,3669.6
2003-01-01,3684.5
2003-02-01,3712.8
2003-03-01,3755.9
2003-04-01,3809.7
2003-05-01,3820.6
2003-06-01,3860.9
2003-07-01,3907.4
2003-08-01,3957.6
2003-09-01,3948.5
2003-10-01,3952.6
2003-11-01,3987.2
2003-12-01,3979.4
2004-01-01,3983.3
2004-02-01,4016.9
2004-03-01,4072.3
2004-04-01,4146.8
2004-05-01,4176.8
2004-06-01,4190.6
2004-07-01,4214.8
2004-08-01,4223.5
2004-09-01,4268
2004-10-01,4295.3
2004-11-01,4327.2
2004-12-01,4336.6
2005-01-01,4333.3
2005-02-01,4343.4
2005-03-01,4378.7
2005-04-01,4435.8
2005-05-01,4395.3
2005-06-01,4434.8
2005-07-01,4473.5
2005-08-01,4483.4
2005-09-01,4525.2
2005-10-01,4545.7
2005-11-01,4573.5
2005-12-01,4598.1
2006-01-01,4608.6
2006-02-01,4637.1
2006-03-01,4669.7
2006-04-01,4734
2006-05-01,4677.7
2006-06-01,4729.7
2006-07-01,4752.8
2006-08-01,4756.2
2006-09-01,4798.2
2006-10-01,4819.6
2006-11-01,4862.6
2006-12-01,4904.2
2007-01-01,4903.5
2007-02-01,4930.6
2007-03-01,4981.3
2007-04-01,5055.3
2007-05-01,5010.6
2007-06-01,5055.9
2007-07-01,5050.3
2007-08-01,5079.5
2007-09-01,5106.6
2007-10-01,5099.6
2007-11-01,5137.8
2007-12-01,5150.3
2008-01-01,5138.3
2008-02-01,5192.6
2008-03-01,5271.9
2008-04-01,5304
2008-05-01,5282.8
2008-06-01,5303.5
2008-07-01,5305.1
2008-08-01,5320.4
2008-09-01,5362
2008-10-01,5422.8
2008-11-01,5466.7
2008-12-01,5550.6
2009-01-01,5642
2009-02-01,5715.2
2009-03-01,5804.5
2009-04-01,5802.7
2009-05-01,5835.3
2009-06-01,5833.3
2009-07-01,5829.3
2009-08-01,5838.7
2009-09-01,5879.3
2009-10-01,5921.3
2009-11-01,5997.1
2009-12-01,6010.8
2010-01-01,5993.3
2010-02-01,6035.9
2010-03-01,6076.4
2010-04-01,6138.6
2010-05-01,6139.6
2010-06-01,6135.8
2010-07-01,6127.1
2010-08-01,6144.9
2010-09-01,6190.1
2010-10-01,6235.5
2010-11-01,6245.1
2010-12-01,6281.4
2011-01-01,6285.2
2011-02-01,6325.8
2011-03-01,6389
2011-04-01,6448.5
2011-05-01,6412.2
2011-06-01,6477.4
2011-07-01,6589.8
2011-08-01,6660.8
2011-09-01,6706.1
2011-10-01,6726.5
2011-11-01,6779.3
2011-12-01,6826.9
2012-01-01,6856.2
2012-02-01,6908.7
2012-03-01,6977.8
2012-04-01,7010.7
2012-05-01,6977.6
2012-06-01,7035.1
2012-07-01,7041
2012-08-01,7083.7
2012-09-01,7156.2
2012-10-01,7180.1
2012-11-01,7274.2
2012-12-01,7348
2013-01-01,7332.8
2013-02-01,7349.4
2013-03-01,7454.8
2013-04-01,7448.2
2013-05-01,7409.1
2013-06-01,7454.9
2013-07-01,7465.8
2013-08-01,7528.9
2013-09-01,7574.2
2013-10-01,7639.1
2013-11-01,7704.8
2013-12-01,7717.2
2014-01-01,7724.2
2014-02-01,7775.9
2014-03-01,7837.9
2014-04-01,7861.5
2014-05-01,7840.1
2014-06-01,7863.5
2014-07-01,7907
2014-08-01,7982.6
2014-09-01,7988.3
2014-10-01,8020.7
2014-11-01,8107.3
2014-12-01,8117.6
2015-01-01,8159.9
2015-02-01,8218.7
2015-03-01,8288.3
2015-04-01,8333
2015-05-01,8309
2015-06-01,8316.7
2015-07-01,8346.9
2015-08-01,8414.8
2015-09-01,8477
2015-10-01,8516
2015-11-01,8595.9
2015-12-01,8614.3
2016-01-01,8622.7
2016-02-01,8653.6
2016-03-01,8753.8
2016-04-01,8809.8
2016-05-01,8751.4
2016-06-01,8831.8
2016-07-01,8903.6
2016-08-01,8942.4
2016-09-01,9051.6
2016-10-01,9078
2016-11-01,9169
2016-12-01,9211.6
2017-01-01,9184.3
2017-02-01,9245.6
2017-03-01,9308.5
2017-04-01,9372.5
2017-05-01,9262.9
2017-06-01,9305.2
2017-07-01,9346.7
2017-08-01,9368.3
2017-09-01,9461.3
2017-10-01,9446.1
2017-11-01,9511.9
2017-12-01,9572.8
2018-01-01,9484.1
2018-02-01,9551
2018-03-01,9607.6
2018-04-01,9641
2018-05-01,9592.7
2018-06-01,9681.1
2018-07-01,9685.7
2018-08-01,9723.9
2018-09-01,9762.2
2018-10-01,9706
2018-11-01,9788.4
2018-12-01,9835.9
2019-01-01,9815.5
2019-02-01,9835.8
2019-03-01,9942.4
2019-04-01,9925.9
2019-05-01,9912.2
2019-06-01,10023.8
2019-07-01,10052.5
2019-08-01,10132.6
2019-09-01,10176.5
2019-10-01,10228.8
2019-11-01,10359.2
2019-12-01,10387.7
2020-01-01,10421.7
2020-02-01,10457.4
2020-03-01,10739.3
2020-04-01,11160.3
2020-05-01,11632.8
2020-06-01,11775.2
2020-07-01,11832.5
2020-08-01,11880.4
2020-09-01,12031.5
2020-10-01,12098.2
2020-11-01,11981.6
2020-12-01,11532.6
2021-01-01,11565
