"Date","M1476CUSM144NNBR"
1947-01-01,20624
1947-02-01,20726
1947-03-01,20406
1947-04-01,20586
1947-05-01,20865
1947-06-01,21092
1947-07-01,21399
1947-08-01,21648
1947-09-01,21866
1947-10-01,22149
1947-11-01,22479
1947-12-01,22712
1948-01-01,22816
1948-02-01,22967
1948-03-01,23103
1948-04-01,23154
1948-05-01,23243
1948-06-01,23457
1948-07-01,23615
1948-08-01,23700
1948-09-01,23829
1948-10-01,23958
1948-11-01,24110
1948-12-01,24218
1949-01-01,24259
1949-02-01,24283
1949-03-01,24301
1949-04-01,24322
1949-05-01,24304
1949-06-01,24404
1949-07-01,24502
1949-08-01,24588
1949-09-01,24637
1949-10-01,24596
1949-11-01,24533
1949-12-01,24451
1950-01-01,24420
1950-02-01,24346
1950-03-01,24311
1950-04-01,24247
1950-05-01,24236
1950-06-01,24231
1950-07-01,24192
1950-08-01,23927
1950-09-01,23560
1950-10-01,23366
1950-11-01,23157
1950-12-01,22879
1951-01-01,22523
1951-02-01,22249
1951-03-01,21909
1951-04-01,21806
1951-05-01,21757
1951-06-01,21755
1951-07-01,21757
1951-08-01,21790
1951-09-01,21906
1951-10-01,22104
1951-11-01,22298
1951-12-01,22483
1952-01-01,22824
1952-02-01,23039
1952-03-01,23278
1952-04-01,23293
1952-05-01,23297
1952-06-01,23308
1952-07-01,23348
1952-08-01,23346
1952-09-01,23343
1952-10-01,23340
1952-11-01,23338
1952-12-01,23276
1953-01-01,23101
1953-02-01,22797
1953-03-01,22606
1953-04-01,22562
1953-05-01,22557
1953-06-01,22514
1953-07-01,22366
1953-08-01,22226
1953-09-01,22176
1953-10-01,22102
1953-11-01,22057
1953-12-01,22028
1954-01-01,22015
1954-02-01,21957
1954-03-01,21963
1954-04-01,21966
1954-05-01,21971
1954-06-01,21927
1954-07-01,21926
1954-08-01,21871
1954-09-01,21809
1954-10-01,21787
1954-11-01,21724
1954-12-01,21711
1955-01-01,21714
1955-02-01,21715
1955-03-01,21718
1955-04-01,21680
1955-05-01,21673
1955-06-01,21676
1955-07-01,21680
1955-08-01,21682
1955-09-01,21682
1955-10-01,21685
1955-11-01,21687
1955-12-01,21689
1956-01-01,21692
1956-02-01,21694
1956-03-01,21711
1956-04-01,21735
1956-05-01,21768
1956-06-01,21795
1956-07-01,21826
