"Date","SMU06000005552200001"
1990-01-01,314.2
1990-02-01,316
1990-03-01,317.3
1990-04-01,310.6
1990-05-01,310.7
1990-06-01,311.2
1990-07-01,306.1
1990-08-01,306.7
1990-09-01,307.5
1990-10-01,306.2
1990-11-01,303.8
1990-12-01,307.3
1991-01-01,309.4
1991-02-01,308.4
1991-03-01,308
1991-04-01,304.1
1991-05-01,302.8
1991-06-01,300.2
1991-07-01,295
1991-08-01,300.1
1991-09-01,291.9
1991-10-01,287.3
1991-11-01,287.6
1991-12-01,287.1
1992-01-01,287.8
1992-02-01,290.4
1992-03-01,292.9
1992-04-01,295.6
1992-05-01,295.2
1992-06-01,295
1992-07-01,289.5
1992-08-01,292.5
1992-09-01,288.9
1992-10-01,293.2
1992-11-01,295.7
1992-12-01,295.9
1993-01-01,295.7
1993-02-01,294.8
1993-03-01,293
1993-04-01,293
1993-05-01,292.8
1993-06-01,293.7
1993-07-01,292.7
1993-08-01,292.9
1993-09-01,291.9
1993-10-01,290.3
1993-11-01,290.4
1993-12-01,290.8
1994-01-01,289.8
1994-02-01,289.8
1994-03-01,288.4
1994-04-01,280.4
1994-05-01,277
1994-06-01,273.4
1994-07-01,268.3
1994-08-01,266.5
1994-09-01,263.7
1994-10-01,258.4
1994-11-01,257.7
1994-12-01,257.7
1995-01-01,254.4
1995-02-01,253.4
1995-03-01,252.4
1995-04-01,248.9
1995-05-01,249
1995-06-01,249.2
1995-07-01,248.6
1995-08-01,249.4
1995-09-01,248.7
1995-10-01,245.7
1995-11-01,247.1
1995-12-01,247.7
1996-01-01,247.5
1996-02-01,249.9
1996-03-01,248.9
1996-04-01,246
1996-05-01,245.8
1996-06-01,246
1996-07-01,244.9
1996-08-01,245.4
1996-09-01,244.7
1996-10-01,244
1996-11-01,245.2
1996-12-01,237.1
1997-01-01,246.9
1997-02-01,240.8
1997-03-01,242.9
1997-04-01,240.6
1997-05-01,241.9
1997-06-01,243.1
1997-07-01,243.3
1997-08-01,244.5
1997-09-01,244.3
1997-10-01,245.4
1997-11-01,247.1
1997-12-01,249
1998-01-01,252.9
1998-02-01,250.9
1998-03-01,254.2
1998-04-01,254.8
1998-05-01,256.1
1998-06-01,255.8
1998-07-01,256.6
1998-08-01,258.3
1998-09-01,258
1998-10-01,257.7
1998-11-01,259.3
1998-12-01,259.6
1999-01-01,258.4
1999-02-01,259.8
1999-03-01,260.3
1999-04-01,258.6
1999-05-01,259.5
1999-06-01,259.3
1999-07-01,253.3
1999-08-01,253.7
1999-09-01,252.3
1999-10-01,250.2
1999-11-01,251.1
1999-12-01,252.9
2000-01-01,248.1
2000-02-01,249.8
2000-03-01,249.9
2000-04-01,247.7
2000-05-01,247.6
2000-06-01,249
2000-07-01,245
2000-08-01,246.4
2000-09-01,246.5
2000-10-01,246.4
2000-11-01,247.1
2000-12-01,249.6
2001-01-01,254
2001-02-01,257.9
2001-03-01,262.1
2001-04-01,261.2
2001-05-01,262.3
2001-06-01,264.3
2001-07-01,263.5
2001-08-01,266
2001-09-01,267.5
2001-10-01,271.8
2001-11-01,275
2001-12-01,279.1
2002-01-01,273.5
2002-02-01,276.8
2002-03-01,278.5
2002-04-01,279.1
2002-05-01,280
2002-06-01,281
2002-07-01,282.3
2002-08-01,284.5
2002-09-01,285.8
2002-10-01,290.1
2002-11-01,293.8
2002-12-01,295.8
2003-01-01,294.8
2003-02-01,297.4
2003-03-01,299.5
2003-04-01,301.5
2003-05-01,303.6
2003-06-01,305.2
2003-07-01,307.5
2003-08-01,309.5
2003-09-01,308.8
2003-10-01,309.5
2003-11-01,309.3
2003-12-01,310.3
2004-01-01,310.2
2004-02-01,311.7
2004-03-01,313.7
2004-04-01,312.3
2004-05-01,313.1
2004-06-01,313.4
2004-07-01,316.5
2004-08-01,318.3
2004-09-01,318.1
2004-10-01,319.3
2004-11-01,320.7
2004-12-01,321.3
2005-01-01,322.3
2005-02-01,323.6
2005-03-01,324.8
2005-04-01,324.7
2005-05-01,326.3
2005-06-01,327.1
2005-07-01,330.8
2005-08-01,333.3
2005-09-01,334.9
2005-10-01,335.9
2005-11-01,336.7
2005-12-01,338.5
2006-01-01,335.6
2006-02-01,335.8
2006-03-01,335.7
2006-04-01,336.2
2006-05-01,337.1
2006-06-01,333.9
2006-07-01,331.4
2006-08-01,331.5
2006-09-01,330.5
2006-10-01,328.3
2006-11-01,326.7
2006-12-01,326.8
2007-01-01,324
2007-02-01,325.5
2007-03-01,324.1
2007-04-01,321.2
2007-05-01,318.9
2007-06-01,315.7
2007-07-01,310.7
2007-08-01,307.8
2007-09-01,301.1
2007-10-01,295.5
2007-11-01,292.5
2007-12-01,288.7
2008-01-01,283.1
2008-02-01,282
2008-03-01,280.3
2008-04-01,274.3
2008-05-01,272
2008-06-01,269.5
2008-07-01,268.9
2008-08-01,267.6
2008-09-01,264.1
2008-10-01,261.8
2008-11-01,260
2008-12-01,258.6
2009-01-01,258.5
2009-02-01,258.5
2009-03-01,257.4
2009-04-01,256.4
2009-05-01,255.6
2009-06-01,255
2009-07-01,255
2009-08-01,254.8
2009-09-01,252.9
2009-10-01,253
2009-11-01,253.1
2009-12-01,253.6
2010-01-01,252.3
2010-02-01,252.7
2010-03-01,253
2010-04-01,252.1
2010-05-01,250.6
2010-06-01,250.7
2010-07-01,251.4
2010-08-01,252
2010-09-01,252.2
2010-10-01,254.5
2010-11-01,253.9
2010-12-01,256.3
2011-01-01,254.5
2011-02-01,254.5
2011-03-01,254.9
2011-04-01,254.2
2011-05-01,253.9
2011-06-01,254.8
2011-07-01,253.7
2011-08-01,254
2011-09-01,254.1
2011-10-01,254.4
2011-11-01,254.4
2011-12-01,256.5
2012-01-01,258.1
2012-02-01,259.8
2012-03-01,261.8
2012-04-01,258.4
