"Date","SVGTI"
1959-01-01,84.2
1959-02-01,84.8
1959-03-01,85.6
1959-04-01,86.2
1959-05-01,87
1959-06-01,87.9
1959-07-01,88.4
1959-08-01,89.2
1959-09-01,90
1959-10-01,90.3
1959-11-01,90.8
1959-12-01,91.7
1960-01-01,92.1
1960-02-01,92.8
1960-03-01,93.6
1960-04-01,94.2
1960-05-01,94.9
1960-06-01,95.8
1960-07-01,96.4
1960-08-01,97.3
1960-09-01,98.3
1960-10-01,99
1960-11-01,99.8
1960-12-01,100.8
1961-01-01,101.5
1961-02-01,102.4
1961-03-01,103.4
1961-04-01,104.1
1961-05-01,104.9
1961-06-01,106.1
1961-07-01,106.7
1961-08-01,107.6
1961-09-01,108.6
1961-10-01,109.2
1961-11-01,110.2
1961-12-01,111.3
1962-01-01,112
1962-02-01,112.9
1962-03-01,114.1
1962-04-01,114.9
1962-05-01,115.8
1962-06-01,117
1962-07-01,117.8
1962-08-01,118.8
1962-09-01,120.1
1962-10-01,121
1962-11-01,122.1
1962-12-01,123.4
1963-01-01,124.5
1963-02-01,125.9
1963-03-01,127.4
1963-04-01,128.5
1963-05-01,129.7
1963-06-01,131.1
1963-07-01,132
1963-08-01,133
1963-09-01,134.4
1963-10-01,135.2
1963-11-01,136.3
1963-12-01,137.6
1964-01-01,138.5
1964-02-01,139.8
1964-03-01,141.2
1964-04-01,142.2
1964-05-01,143.4
1964-06-01,145.1
1964-07-01,146.1
1964-08-01,147.5
1964-09-01,149
1964-10-01,149.9
1964-11-01,151.1
1964-12-01,152.4
1965-01-01,153.2
1965-02-01,154.4
1965-03-01,155.7
1965-04-01,156.4
1965-05-01,157.4
1965-06-01,158.8
1965-07-01,159.5
1965-08-01,160.4
1965-09-01,161.7
1965-10-01,162.3
1965-11-01,163.3
1965-12-01,164.5
1966-01-01,165.1
1966-02-01,165.9
1966-03-01,166.1
1966-04-01,165.3
1966-05-01,164.8
1966-06-01,164.8
1966-07-01,163.9
1966-08-01,163.4
1966-09-01,163.5
1966-10-01,162.8
1966-11-01,162.8
1966-12-01,163.3
1967-01-01,163.1
1967-02-01,163.4
1967-03-01,164.2
1967-04-01,164.8
