"Date","M2MNS"
1959-01-01,278.1
1959-02-01,276
1959-03-01,276.1
1959-04-01,278.2
1959-05-01,278
1959-06-01,280.2
1959-07-01,282.1
1959-08-01,282.4
1959-09-01,283.7
1959-10-01,284.8
1959-11-01,286.2
1959-12-01,289.4
1960-01-01,290
1960-02-01,287.1
1960-03-01,286.6
1960-04-01,288.5
1960-05-01,287
1960-06-01,288.7
1960-07-01,290.9
1960-08-01,292.3
1960-09-01,294.8
1960-10-01,297
1960-11-01,299.1
1960-12-01,303
1961-01-01,304.7
1961-02-01,303.6
1961-03-01,304.1
1961-04-01,306.8
1961-05-01,305.9
1961-06-01,308.2
1961-07-01,309.9
1961-08-01,310.6
1961-09-01,313.4
1961-10-01,316.2
1961-11-01,319.3
1961-12-01,324
1962-01-01,325.5
1962-02-01,323.7
1962-03-01,324.6
1962-04-01,327.9
1962-05-01,326.7
1962-06-01,329
1962-07-01,331
1962-08-01,331.5
1962-09-01,334.1
1962-10-01,337.6
1962-11-01,340.9
1962-12-01,346.1
1963-01-01,348.5
1963-02-01,347
1963-03-01,348.2
1963-04-01,351.8
1963-05-01,350.9
1963-06-01,353.8
1963-07-01,356.8
1963-08-01,357.4
1963-09-01,360.3
1963-10-01,363.6
1963-11-01,367.2
1963-12-01,371.4
1964-01-01,373.6
1964-02-01,371.4
1964-03-01,372.3
1964-04-01,375.7
1964-05-01,374.3
1964-06-01,377.8
1964-07-01,381.3
1964-08-01,382.7
1964-09-01,386.9
1964-10-01,391
1964-11-01,394.3
1964-12-01,399.8
1965-01-01,402.4
1965-02-01,399.3
1965-03-01,400.9
1965-04-01,404.7
1965-05-01,401.8
1965-06-01,406
1965-07-01,409.2
1965-08-01,409.9
1965-09-01,414.5
1965-10-01,419.4
1965-11-01,422.8
1965-12-01,429.5
1966-01-01,431.8
1966-02-01,426.9
1966-03-01,427.1
1966-04-01,428.6
1966-05-01,422.4
1966-06-01,424.4
1966-07-01,423.7
1966-08-01,421.2
1966-09-01,423.8
1966-10-01,424.5
1966-11-01,425.3
1966-12-01,430.3
1967-01-01,429.6
1967-02-01,424.3
1967-03-01,427
1967-04-01,430
1967-05-01,428.2
1967-06-01,433.7
1967-07-01,436.8
1967-08-01,437.6
1967-09-01,441.5
1967-10-01,445.4
1967-11-01,447.1
1967-12-01,452.4
1968-01-01,452.6
1968-02-01,445.9
1968-03-01,448
1968-04-01,451.7
1968-05-01,448.4
1968-06-01,453.2
1968-07-01,454.8
1968-08-01,454.4
1968-09-01,458
1968-10-01,461.7
1968-11-01,464.9
1968-12-01,471.9
1969-01-01,472.4
1969-02-01,464.7
1969-03-01,466.8
1969-04-01,469.7
1969-05-01,464.5
1969-06-01,468.5
1969-07-01,467.7
1969-08-01,463.6
1969-09-01,465.2
1969-10-01,467.1
1969-11-01,467.9
1969-12-01,472.7
1970-01-01,471.8
1970-02-01,459
1970-03-01,459
1970-04-01,461.6
1970-05-01,455.9
1970-06-01,459.6
1970-07-01,461.1
1970-08-01,460.8
1970-09-01,464.8
1970-10-01,468.6
1970-11-01,471.1
1970-12-01,479
1971-01-01,482.1
1971-02-01,479.4
1971-03-01,486.9
1971-04-01,496.3
1971-05-01,496.2
1971-06-01,503.7
1971-07-01,507.8
1971-08-01,506.9
1971-09-01,510.2
1971-10-01,513.9
1971-11-01,516.5
1971-12-01,524.4
1972-01-01,527.5
1972-02-01,524.6
1972-03-01,532.3
1972-04-01,540.5
1972-05-01,536.8
1972-06-01,544.2
1972-07-01,549.4
1972-08-01,550
1972-09-01,554.8
1972-10-01,559.7
1972-11-01,564
1972-12-01,574.8
1973-01-01,576.5
1973-02-01,569.6
1973-03-01,573.7
1973-04-01,580.7
1973-05-01,578
1973-06-01,586.4
1973-07-01,588.5
1973-08-01,581.9
1973-09-01,580.1
1973-10-01,582.5
1973-11-01,585.5
1973-12-01,594.2
1974-01-01,593.4
1974-02-01,587.1
1974-03-01,593.7
1974-04-01,601.1
1974-05-01,595.4
1974-06-01,602.6
1974-07-01,605.4
1974-08-01,601.2
1974-09-01,601.6
1974-10-01,605.7
1974-11-01,610
1974-12-01,618.7
1975-01-01,618.3
1975-02-01,614
1975-03-01,625
1975-04-01,636.9
1975-05-01,638.2
1975-06-01,654.2
1975-07-01,661
1975-08-01,660.1
1975-09-01,663.2
1975-10-01,667.1
1975-11-01,673.7
1975-12-01,682.9
1976-01-01,686.1
1976-02-01,687.6
1976-03-01,699.6
1976-04-01,715.4
1976-05-01,714
1976-06-01,721.3
1976-07-01,727.5
1976-08-01,728.4
1976-09-01,733.3
1976-10-01,744.5
1976-11-01,751
1976-12-01,765.4
1977-01-01,770.2
1977-02-01,766.7
1977-03-01,777.2
1977-04-01,793.4
1977-05-01,787.8
1977-06-01,797.3
1977-07-01,805.4
1977-08-01,804.9
1977-09-01,810.4
