"Date","M1472AUSM144SNBR"
1914-06-01,9674
1914-07-01,9670
1914-08-01,9657
1914-09-01,9719
1914-10-01,9644
1914-11-01,9699
1914-12-01,9717
1915-01-01,9785
1915-02-01,9947
1915-03-01,9975
1915-04-01,10011
1915-05-01,10097
1915-06-01,10225
1915-07-01,10318
1915-08-01,10416
1915-09-01,10688
1915-10-01,11168
1915-11-01,11309
1915-12-01,11422
1916-01-01,11648
1916-02-01,11875
1916-03-01,11921
1916-04-01,12019
1916-05-01,12117
1916-06-01,12170
1916-07-01,12307
1916-08-01,12569
1916-09-01,12786
1916-10-01,13001
1916-11-01,13196
1916-12-01,13362
1917-01-01,13633
1917-02-01,13798
1917-03-01,13917
1917-04-01,13988
1917-05-01,14146
1917-06-01,14197
1917-07-01,14461
1917-08-01,14566
1917-09-01,14369
1917-10-01,14142
1917-11-01,14224
1917-12-01,15156
1918-01-01,15000
1918-02-01,14547
1918-03-01,15117
1918-04-01,15141
1918-05-01,14499
1918-06-01,14764
1918-07-01,14850
1918-08-01,15001
1918-09-01,15790
1918-10-01,15157
1918-11-01,15615
1918-12-01,16686
1919-01-01,16390
1919-02-01,16131
1919-03-01,16843
1919-04-01,17089
1919-05-01,17099
1919-06-01,17502
1919-07-01,17790
1919-08-01,18071
1919-09-01,18361
1919-10-01,18719
1919-11-01,18917
1919-12-01,19252
1920-01-01,19077
1920-02-01,19317
1920-03-01,19534
1920-04-01,19365
1920-05-01,19331
1920-06-01,19129
1920-07-01,19093
1920-08-01,18971
1920-09-01,18884
1920-10-01,18685
1920-11-01,18380
1920-12-01,18661
1921-01-01,18157
1921-02-01,17990
1921-03-01,17532
1921-04-01,17270
1921-05-01,17250
1921-06-01,16908
1921-07-01,16742
1921-08-01,16848
1921-09-01,16645
1921-10-01,16852
1921-11-01,16961
1921-12-01,16910
1922-01-01,16837
1922-02-01,17034
1922-03-01,17052
1922-04-01,17593
1922-05-01,17794
1922-06-01,17993
1922-07-01,18115
1922-08-01,18074
1922-09-01,18321
1922-10-01,18401
1922-11-01,18342
