"Date","OCM2P"
1967-01-01,0.025
1967-02-01,0.0227
1967-03-01,0.0224
1967-04-01,0.0193
1967-05-01,0.0194
1967-06-01,0.0216
1967-07-01,0.0209
1967-08-01,0.0214
1967-09-01,0.0213
1967-10-01,0.0231
1967-11-01,0.026
1967-12-01,0.0275
1968-01-01,0.025
1968-02-01,0.0234
1968-03-01,0.0274
1968-04-01,0.0267
1968-05-01,0.0302
1968-06-01,0.0306
1968-07-01,0.0278
1968-08-01,0.0258
1968-09-01,0.0254
1968-10-01,0.0281
1968-11-01,0.0303
1968-12-01,0.032
1969-01-01,0.034
1969-02-01,0.0375
1969-03-01,0.04
1969-04-01,0.0396
1969-05-01,0.0457
1969-06-01,0.0548
1969-07-01,0.0536
1969-08-01,0.0525
1969-09-01,0.0548
1969-10-01,0.0484
1969-11-01,0.0511
1969-12-01,0.0547
1970-01-01,0.0482
1970-02-01,0.0446
1970-03-01,0.0415
1970-04-01,0.0386
1970-05-01,0.0412
1970-06-01,0.0443
1970-07-01,0.0407
1970-08-01,0.0376
1970-09-01,0.0364
1970-10-01,0.0359
1970-11-01,0.0313
1970-12-01,0.0318
1971-01-01,0.0261
1971-02-01,0.0244
1971-03-01,0.0227
1971-04-01,0.0268
1971-05-01,0.0322
1971-06-01,0.0328
1971-07-01,0.0313
1971-08-01,0.0409
1971-09-01,0.0396
1971-10-01,0.0289
1971-11-01,0.0268
1971-12-01,0.0291
1972-01-01,0.0222
1972-02-01,0.0216
1972-03-01,0.0225
1972-04-01,0.0237
1972-05-01,0.0209
1972-06-01,0.0211
1972-07-01,0.0254
1972-08-01,0.025
1972-09-01,0.0255
1972-10-01,0.0259
1972-11-01,0.0251
1972-12-01,0.0259
1973-01-01,0.0267
1973-02-01,0.0445
1973-03-01,0.0417
1973-04-01,0.0435
1973-05-01,0.0406
1973-06-01,0.0422
1973-07-01,0.0505
1973-08-01,0.0563
1973-09-01,0.0546
1973-10-01,0.0501
1973-11-01,0.0467
1973-12-01,0.0523
1974-01-01,0.0445
1974-02-01,0.0392
1974-03-01,0.0428
1974-04-01,0.0506
1974-05-01,0.0574
1974-06-01,0.0599
1974-07-01,0.0677
1974-08-01,0.0684
1974-09-01,0.0633
1974-10-01,0.0531
1974-11-01,0.0478
1974-12-01,0.049
1975-01-01,0.0405
1975-02-01,0.0318
1975-03-01,0.0315
1975-04-01,0.0345
1975-05-01,0.0306
1975-06-01,0.0283
1975-07-01,0.0347
1975-08-01,0.0362
1975-09-01,0.0376
1975-10-01,0.0341
1975-11-01,0.0315
1975-12-01,0.0305
1976-01-01,0.0224
1976-02-01,0.0231
1976-03-01,0.0244
1976-04-01,0.0219
1976-05-01,0.0263
1976-06-01,0.028
1976-07-01,0.0245
1976-08-01,0.0232
1976-09-01,0.0219
1976-10-01,0.0205
1976-11-01,0.0195
1976-12-01,0.0193
1977-01-01,0.0192
1977-02-01,0.0192
1977-03-01,0.0192
1977-04-01,0.0192
1977-05-01,0.023
1977-06-01,0.0229
1977-07-01,0.0227
1977-08-01,0.0255
1977-09-01,0.0274
1977-10-01,0.0318
1977-11-01,0.0312
1977-12-01,0.0319
1978-01-01,0.0331
1978-02-01,0.033
1978-03-01,0.0365
1978-04-01,0.0338
1978-05-01,0.0366
1978-06-01,0.0364
1978-07-01,0.0373
1978-08-01,0.0363
1978-09-01,0.0386
1978-10-01,0.044
1978-11-01,0.0512
1978-12-01,0.0519
1979-01-01,0.0497
1979-02-01,0.0457
1979-03-01,0.0445
1979-04-01,0.0438
1979-05-01,0.0446
1979-06-01,0.0434
1979-07-01,0.0449
1979-08-01,0.0486
1979-09-01,0.054
1979-10-01,0.0631
1979-11-01,0.0633
1979-12-01,0.061
1980-01-01,0.0593
1980-02-01,0.0645
1980-03-01,0.0781
1980-04-01,0.0752
1980-05-01,0.0597
1980-06-01,0.0405
1980-07-01,0.0383
1980-08-01,0.0471
1980-09-01,0.0512
1980-10-01,0.0554
1980-11-01,0.0683
1980-12-01,0.0905
1981-01-01,0.0864
1981-02-01,0.0687
1981-03-01,0.0606
1981-04-01,0.0638
1981-05-01,0.0782
1981-06-01,0.0805
1981-07-01,0.0836
1981-08-01,0.0747
1981-09-01,0.0711
1981-10-01,0.0665
1981-11-01,0.0531
1981-12-01,0.0585
1982-01-01,0.0611
1982-02-01,0.0615
1982-03-01,0.0582
1982-04-01,0.0603
1982-05-01,0.0611
1982-06-01,0.0654
1982-07-01,0.0593
1982-08-01,0.0496
1982-09-01,0.0557
1982-10-01,0.0438
1982-11-01,0.0406
1982-12-01,0.039
1983-01-01,0.0357
1983-02-01,0.0369
1983-03-01,0.0367
1983-04-01,0.0356
1983-05-01,0.0342
1983-06-01,0.0395
1983-07-01,0.0418
1983-08-01,0.0429
1983-09-01,0.0385
1983-10-01,0.0367
1983-11-01,0.0377
1983-12-01,0.0403
1984-01-01,0.0379
1984-02-01,0.0386
1984-03-01,0.0425
1984-04-01,0.045
1984-05-01,0.0508
1984-06-01,0.0519
1984-07-01,0.0523
1984-08-01,0.047
1984-09-01,0.0461
1984-10-01,0.0413
1984-11-01,0.0362
1984-12-01,0.0349
1985-01-01,0.0323
1985-02-01,0.0382
1985-03-01,0.0413
1985-04-01,0.0351
1985-05-01,0.0315
1985-06-01,0.0292
1985-07-01,0.0319
1985-08-01,0.0331
1985-09-01,0.0344
1985-10-01,0.0327
1985-11-01,0.0317
1985-12-01,0.0338
1986-01-01,0.0318
1986-02-01,0.0307
1986-03-01,0.0291
1986-04-01,0.0268
1986-05-01,0.0262
1986-06-01,0.0274
1986-07-01,0.0254
1986-08-01,0.0234
1986-09-01,0.0227
1986-10-01,0.0224
1986-11-01,0.0235
1986-12-01,0.0363
1987-01-01,0.0264
1987-02-01,0.0267
1987-03-01,0.0276
1987-04-01,0.0317
1987-05-01,0.0356
1987-06-01,0.0338
1987-07-01,0.0309
1987-08-01,0.0319
1987-09-01,0.0369
1987-10-01,0.0401
1987-11-01,0.0319
1987-12-01,0.0372
1988-01-01,0.0307
1988-02-01,0.0281
1988-03-01,0.0288
1988-04-01,0.0318
1988-05-01,0.0345
1988-06-01,0.0358
1988-07-01,0.039
1988-08-01,0.0421
1988-09-01,0.0397
1988-10-01,0.0394
1988-11-01,0.0414
1988-12-01,0.0453
1989-01-01,0.044
1989-02-01,0.0462
1989-03-01,0.05
1989-04-01,0.047
1989-05-01,0.0424
1989-06-01,0.0419
1989-07-01,0.0408
1989-08-01,0.038
1989-09-01,0.0386
1989-10-01,0.0375
1989-11-01,0.0359
1989-12-01,0.0375
1990-01-01,0.0349
1990-02-01,0.0354
1990-03-01,0.0374
1990-04-01,0.0378
1990-05-01,0.037
1990-06-01,0.0353
1990-07-01,0.034
1990-08-01,0.0332
1990-09-01,0.0341
1990-10-01,0.0344
1990-11-01,0.0343
1990-12-01,0.0377
1991-01-01,0.0308
1991-02-01,0.0287
1991-03-01,0.0267
1991-04-01,0.0265
1991-05-01,0.0253
1991-06-01,0.0272
1991-07-01,0.0274
1991-08-01,0.0246
1991-09-01,0.024
1991-10-01,0.0227
1991-11-01,0.0216
1991-12-01,0.023
1992-01-01,0.0222
1992-02-01,0.0209
1992-03-01,0.0237
1992-04-01,0.0219
1992-05-01,0.0212
1992-06-01,0.0219
1992-07-01,0.0193
1992-08-01,0.0195
