"Date","M1422BUS35620M144NNBR"
1929-01-01,165
1929-02-01,141
1929-03-01,155
1929-04-01,185
1929-05-01,157
1929-06-01,174
1929-07-01,329
1929-08-01,230
1929-09-01,166
1929-10-01,95
1929-11-01,79
1929-12-01,108
1930-01-01,62
1930-02-01,28
1930-03-01,22
1930-04-01,26
1930-05-01,29
1930-06-01,28
1930-07-01,9
1930-08-01,21
1930-09-01,14
1930-10-01,14
1930-11-01,11
1930-12-01,41
1931-01-01,19
1931-02-01,17
1931-03-01,13
1931-04-01,17
1931-05-01,12
1931-06-01,4
1931-07-01,2
1931-08-01,14
1931-09-01,13
1931-10-01,82
1931-11-01,27
1931-12-01,45
1932-01-01,47
1932-02-01,29
1932-03-01,7
1932-04-01,1
1932-05-01,1
1932-06-01,0
1932-07-01,1
1932-08-01,1
1932-09-01,1
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,9
1933-03-01,367
1933-04-01,22
1933-05-01,1
1933-06-01,0
1933-07-01,0
1933-08-01,1
1933-09-01,3
1933-10-01,1
1933-11-01,0
1933-12-01,1
1934-01-01,0
1934-02-01,0
1934-03-01,0
1934-04-01,0
1934-05-01,0
1934-06-01,0
1934-07-01,0
1934-08-01,0
1934-09-01,1
1934-10-01,1
1934-11-01,0
1934-12-01,0
1935-01-01,0
1935-02-01,0
1935-03-01,0
1935-04-01,0
1935-05-01,0
1935-06-01,0
1935-07-01,0
1935-08-01,1
1935-09-01,3
1935-10-01,3
1935-11-01,1
1935-12-01,0
1936-01-01,0
1936-02-01,0
1936-03-01,0
1936-04-01,0
1936-05-01,0
1936-06-01,0
1936-07-01,0
1936-08-01,1
1936-09-01,2
1936-10-01,2
1936-11-01,1
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,1
1937-04-01,1
1937-05-01,3
1937-06-01,2
1937-07-01,3
1937-08-01,6
1937-09-01,12
1937-10-01,9
1937-11-01,3
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,1
1938-10-01,1
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0
1939-03-01,0
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0
1939-09-01,0
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0
1940-03-01,0
1940-04-01,0
1940-05-01,0
1940-06-01,0
1940-07-01,0
1940-08-01,0
1940-09-01,0
1940-10-01,0
1940-11-01,0
1940-12-01,0
1941-01-01,0
1941-02-01,0
1941-03-01,0
1941-04-01,0
1941-05-01,0
1941-06-01,0
1941-07-01,0
1941-08-01,0
1941-09-01,0
1941-10-01,0
1941-11-01,0
1941-12-01,0
