"Date","M14162USM144SNBR"
1919-07-01,8755
1919-08-01,NA
1919-09-01,NA
1919-10-01,NA
1919-11-01,NA
1919-12-01,9627
1920-01-01,9857
1920-02-01,NA
1920-03-01,NA
1920-04-01,NA
1920-05-01,9704
1920-06-01,NA
1920-07-01,9708
1920-08-01,NA
1920-09-01,NA
1920-10-01,NA
1920-11-01,NA
1920-12-01,9537
1921-01-01,9091
1921-02-01,NA
1921-03-01,NA
1921-04-01,NA
1921-05-01,8651
1921-06-01,NA
1921-07-01,8575
1921-08-01,NA
1921-09-01,NA
1921-10-01,NA
1921-11-01,NA
1921-12-01,NA
1922-01-01,8456
1922-02-01,NA
1922-03-01,8643
1922-04-01,NA
1922-05-01,NA
1922-06-01,NA
1922-07-01,9081
1922-08-01,NA
1922-09-01,NA
1922-10-01,NA
1922-11-01,NA
1922-12-01,NA
1923-01-01,9629
1923-02-01,NA
1923-03-01,NA
1923-04-01,9803
1923-05-01,NA
1923-06-01,NA
1923-07-01,9914
1923-08-01,NA
1923-09-01,9837
1923-10-01,NA
1923-11-01,NA
1923-12-01,NA
1924-01-01,9856
1924-02-01,NA
1924-03-01,NA
1924-04-01,9750
1924-05-01,NA
1924-06-01,NA
1924-07-01,9882
1924-08-01,NA
1924-09-01,NA
1924-10-01,10432
1924-11-01,NA
1924-12-01,NA
1925-01-01,10517
1925-02-01,NA
1925-03-01,NA
1925-04-01,10676
1925-05-01,NA
1925-06-01,NA
1925-07-01,10806
1925-08-01,NA
1925-09-01,NA
1925-10-01,11111
1925-11-01,NA
1925-12-01,NA
1926-01-01,11267
1926-02-01,NA
1926-03-01,NA
1926-04-01,11155
1926-05-01,NA
1926-06-01,NA
1926-07-01,11223
1926-08-01,NA
1926-09-01,NA
1926-10-01,NA
1926-11-01,NA
1926-12-01,NA
1927-01-01,11022
1927-02-01,NA
1927-03-01,NA
1927-04-01,11173
1927-05-01,NA
1927-06-01,NA
1927-07-01,11264
1927-08-01,NA
1927-09-01,NA
1927-10-01,11515
1927-11-01,NA
1927-12-01,NA
1928-01-01,11496
1928-02-01,NA
1928-03-01,11179
1928-04-01,NA
1928-05-01,NA
1928-06-01,NA
1928-07-01,11389
1928-08-01,NA
1928-09-01,NA
1928-10-01,11364
1928-11-01,NA
1928-12-01,NA
1929-01-01,11528
1929-02-01,NA
1929-03-01,NA
1929-04-01,11270
1929-05-01,NA
1929-06-01,NA
1929-07-01,11311
1929-08-01,NA
1929-09-01,NA
1929-10-01,11388
1929-11-01,NA
1929-12-01,NA
1930-01-01,11152
1930-02-01,NA
1930-03-01,NA
