"Date","RBMTETPFB"
2013-07-01,2024886
2013-08-01,2127647
2013-09-01,2207385
2013-10-01,2301847
2013-11-01,2385767
2013-12-01,2409535
2014-01-01,2414965
2014-02-01,2509021
2014-03-01,2536902
2014-04-01,2572354
2014-05-01,2544306
2014-06-01,2578997
2014-07-01,2611164
2014-08-01,2691520
2014-09-01,2669445
2014-10-01,2612408
2014-11-01,2424740
2014-12-01,2515848
2015-01-01,2584437
2015-02-01,2399015
2015-03-01,2574720
2015-04-01,2597465
2015-05-01,2483111
2015-06-01,2456776
2015-07-01,2490114
2015-08-01,2502851
2015-09-01,2543060
2015-10-01,2569860
2015-11-01,2503815
2015-12-01,2321793
2016-01-01,2270368
2016-02-01,2349406
2016-03-01,2358680
2016-04-01,2321150
2016-05-01,2273320
2016-06-01,2257741
2016-07-01,2197864
2016-08-01,2239301
2016-09-01,2147036
2016-10-01,1979116
2016-11-01,2022440
2016-12-01,1914722
2017-01-01,1971607
2017-02-01,2119205
2017-03-01,2207497
2017-04-01,2157202
2017-05-01,2099222
2017-06-01,2076852
2017-07-01,2101027
2017-08-01,2212375
2017-09-01,2161785
2017-10-01,2117497
2017-11-01,2179474
2017-12-01,2108555
2018-01-01,2075794
2018-02-01,2102989
2018-03-01,2035232
2018-04-01,1947710
2018-05-01,1882137
2018-06-01,1850656
2018-07-01,1811960
2018-08-01,1775621
2018-09-01,1734901
2018-10-01,1694286
2018-11-01,1636591
2018-12-01,1555696
2019-01-01,1495414
2019-02-01,1508105
2019-03-01,1520371
2019-04-01,1416809
2019-05-01,1363493
2019-06-01,1387832
2019-07-01,1365359
2019-08-01,1373321
2019-09-01,1292273
2019-10-01,1333462
2019-11-01,1375085
2019-12-01,1477528
2020-01-01,1486619
2020-02-01,1505377
2020-03-01,1921000
2020-04-01,2953586
2020-05-01,3217635
2020-06-01,3043556
2020-07-01,2718529
2020-08-01,2799719
