"Date","TCDNS"
1959-01-01,113.4
1959-02-01,110.8
1959-03-01,109.8
1959-04-01,111.1
1959-05-01,109.8
1959-06-01,110.3
1959-07-01,110.9
1959-08-01,110.6
1959-09-01,111.1
1959-10-01,111.5
1959-11-01,112.4
1959-12-01,114
1960-01-01,114.3
1960-02-01,111
1960-03-01,109.7
1960-04-01,110.8
1960-05-01,108.7
1960-06-01,108.9
1960-07-01,109.5
1960-08-01,110.1
1960-09-01,111.3
1960-10-01,111.9
1960-11-01,112.9
1960-12-01,114.8
1961-01-01,115.5
1961-02-01,112.9
1961-03-01,111.8
1961-04-01,113.6
1961-05-01,111.7
1961-06-01,112.1
1961-07-01,112.2
1961-08-01,112.1
1961-09-01,113.6
1961-10-01,114.8
1961-11-01,116.4
1961-12-01,118.9
1962-01-01,119.2
1962-02-01,116.1
1962-03-01,115
1962-04-01,116.8
1962-05-01,114.7
1962-06-01,114.7
1962-07-01,114.5
1962-08-01,113.9
1962-09-01,115
1962-10-01,116.4
1962-11-01,117.9
1962-12-01,120.5
1963-01-01,121.5
1963-02-01,118.1
1963-03-01,117
1963-04-01,119
1963-05-01,116.8
1963-06-01,117.1
1963-07-01,117.9
1963-08-01,117.5
1963-09-01,119
1963-10-01,120.6
1963-11-01,122.5
1963-12-01,124.3
1964-01-01,125.3
1964-02-01,121.5
1964-03-01,120.3
1964-04-01,122.4
1964-05-01,119.5
1964-06-01,120.4
1964-07-01,121.5
1964-08-01,121.4
1964-09-01,123.8
1964-10-01,125.5
1964-11-01,126.9
1964-12-01,129.8
1965-01-01,130.8
1965-02-01,126
1965-03-01,125.4
1965-04-01,128
1965-05-01,123.9
1965-06-01,125.4
1965-07-01,126.2
1965-08-01,125.5
1965-09-01,128.1
1965-10-01,130.3
1965-11-01,131.6
1965-12-01,135.4
1966-01-01,137.2
1966-02-01,132.1
1966-03-01,132
1966-04-01,135.5
1966-05-01,130.8
1966-06-01,132.5
1966-07-01,131.1
1966-08-01,130.2
1966-09-01,133
1966-10-01,133.3
1966-11-01,134.2
1966-12-01,137.6
1967-01-01,137.9
1967-02-01,133.1
1967-03-01,134.2
1967-04-01,135.9
1967-05-01,133.2
1967-06-01,136.2
1967-07-01,137.3
1967-08-01,137.3
1967-09-01,139.8
1967-10-01,141.7
1967-11-01,143.2
1967-12-01,147
1968-01-01,148.3
1968-02-01,142.5
1968-03-01,142.6
1968-04-01,146
1968-05-01,143.1
1968-06-01,146.1
1968-07-01,147.2
1968-08-01,146.7
1968-09-01,148.9
1968-10-01,151.2
1968-11-01,153.7
1968-12-01,158.3
1969-01-01,160.1
1969-02-01,153.6
1969-03-01,153.8
1969-04-01,157.4
1969-05-01,152.9
1969-06-01,155.1
1969-07-01,155.6
1969-08-01,153.7
1969-09-01,155.5
1969-10-01,156.9
1969-11-01,158.3
1969-12-01,162.1
1970-01-01,164.4
1970-02-01,155.9
1970-03-01,157
1970-04-01,161.2
1970-05-01,156.7
1970-06-01,158.9
1970-07-01,159.4
1970-08-01,159.3
1970-09-01,162.2
1970-10-01,163.3
1970-11-01,165
1970-12-01,169.7
1971-01-01,170.8
1971-02-01,164.8
1971-03-01,166.5
1971-04-01,171
1971-05-01,167.9
1971-06-01,171.4
1971-07-01,172.6
1971-08-01,171.1
1971-09-01,173
1971-10-01,173.9
1971-11-01,175.7
1971-12-01,180.6
1972-01-01,182.1
1972-02-01,176
1972-03-01,178.2
1972-04-01,183
1972-05-01,177.8
1972-06-01,181.2
1972-07-01,183.4
1972-08-01,183
1972-09-01,186
1972-10-01,187.9
1972-11-01,190.5
1972-12-01,197.7
1973-01-01,199.1
1973-02-01,191.1
1973-03-01,190.9
1973-04-01,195.3
1973-05-01,191.6
1973-06-01,196.3
1973-07-01,197.4
1973-08-01,194.8
1973-09-01,195.7
1973-10-01,197.2
1973-11-01,200.6
1973-12-01,207
1974-01-01,206.4
1974-02-01,198.6
1974-03-01,200.2
1974-04-01,204.4
1974-05-01,198.5
1974-06-01,202.8
1974-07-01,203.9
1974-08-01,201.5
1974-09-01,203
1974-10-01,204.4
1974-11-01,207.1
1974-12-01,212
1975-01-01,210
1975-02-01,201.3
1975-03-01,203.3
1975-04-01,207.7
1975-05-01,203.4
1975-06-01,210
1975-07-01,211.1
1975-08-01,209.2
1975-09-01,211.1
1975-10-01,211.3
1975-11-01,214.9
1975-12-01,219.2
1976-01-01,218.4
1976-02-01,210.2
1976-03-01,211.5
1976-04-01,218.8
1976-05-01,213.1
1976-06-01,216.5
1976-07-01,218
1976-08-01,216.6
1976-09-01,218.1
1976-10-01,221.8
1976-11-01,223.6
1976-12-01,231.1
1977-01-01,231.4
1977-02-01,222.6
1977-03-01,225.1
1977-04-01,234.2
1977-05-01,226.6
1977-06-01,231.6
1977-07-01,234.5
1977-08-01,232.4
1977-09-01,235.8
1977-10-01,239.2
1977-11-01,241.3
1977-12-01,248.2
1978-01-01,249.1
1978-02-01,237.4
1978-03-01,239.3
1978-04-01,250.8
1978-05-01,244.6
1978-06-01,250.4
1978-07-01,253.3
1978-08-01,251
1978-09-01,255.7
1978-10-01,257.3
1978-11-01,259.4
1978-12-01,266.9
1979-01-01,264.1
1979-02-01,252.4
1979-03-01,255.7
1979-04-01,269.6
1979-05-01,259.7
1979-06-01,267.8
1979-07-01,272.7
1979-08-01,270.4
1979-09-01,273.7
1979-10-01,275.2
1979-11-01,275.8
1979-12-01,282.9
1980-01-01,281.9
1980-02-01,272
1980-03-01,272.3
1980-04-01,276.1
1980-05-01,265.9
1980-06-01,273.9
1980-07-01,279.3
1980-08-01,281.9
1980-09-01,288.5
1980-10-01,293.5
1980-11-01,296.4
1980-12-01,298.3
1981-01-01,298.1
1981-02-01,287
1981-03-01,292.6
1981-04-01,309.9
1981-05-01,296.3
1981-06-01,299.8
1981-07-01,302.8
1981-08-01,300.9
1981-09-01,302.8
1981-10-01,305.2
1981-11-01,309.1
1981-12-01,318.4
1982-01-01,322.2
1982-02-01,306.3
1982-03-01,308.5
1982-04-01,322.1
1982-05-01,310.2
1982-06-01,314.1
1982-07-01,315.6
1982-08-01,315.6
1982-09-01,322.2
1982-10-01,330.7
1982-11-01,338.1
1982-12-01,347.1
1983-01-01,346.6
1983-02-01,337.1
1983-03-01,343.7
1983-04-01,357.5
1983-05-01,350.9
1983-06-01,358.8
1983-07-01,363.7
1983-08-01,361.3
1983-09-01,364.2
1983-10-01,368.8
1983-11-01,371.4
1983-12-01,380.3
1984-01-01,379.7
1984-02-01,366.2
1984-03-01,370.9
1984-04-01,385.9
1984-05-01,375.2
1984-06-01,383.6
1984-07-01,383.9
1984-08-01,379.3
1984-09-01,383.3
1984-10-01,383.2
1984-11-01,388.9
1984-12-01,401.5
1985-01-01,400.9
1985-02-01,391.2
1985-03-01,396.3
1985-04-01,411.6
1985-05-01,403.7
1985-06-01,417
1985-07-01,421.7
1985-08-01,423.7
1985-09-01,431.3
1985-10-01,434.2
1985-11-01,441.8
1985-12-01,458.1
1986-01-01,454.2
1986-02-01,440
1986-03-01,449.6
1986-04-01,470.8
1986-05-01,467.2
1986-06-01,482.2
1986-07-01,490.5
1986-08-01,494.7
1986-09-01,501.7
1986-10-01,508.4
1986-11-01,522.9
1986-12-01,551.3
1987-01-01,550.8
1987-02-01,529.8
1987-03-01,534.5
1987-04-01,561.3
1987-05-01,546.3
1987-06-01,548.8
1987-07-01,548.6
1987-08-01,546
1987-09-01,546.6
1987-10-01,554.2
1987-11-01,553.6
1987-12-01,560
1988-01-01,561.1
1988-02-01,541.2
1988-03-01,546.2
1988-04-01,570
1988-05-01,553.3
1988-06-01,565.9
1988-07-01,570
1988-08-01,565.6
1988-09-01,564.5
1988-10-01,565
1988-11-01,569
1988-12-01,581.9
1989-01-01,574
1989-02-01,553.4
1989-03-01,554.2
1989-04-01,568.7
1989-05-01,543
1989-06-01,547.5
1989-07-01,553.6
1989-08-01,549.9
1989-09-01,552.1
1989-10-01,557.6
1989-11-01,562.7
1989-12-01,579.1
1990-01-01,571.5
1990-02-01,555.9
1990-03-01,560.9
1990-04-01,580.1
1990-05-01,557.1
1990-06-01,567
1990-07-01,566
1990-08-01,565.3
1990-09-01,568.3
1990-10-01,565.9
1990-11-01,571.8
1990-12-01,586.4
1991-01-01,575.1
1991-02-01,562.7
1991-03-01,571.3
1991-04-01,589.1
1991-05-01,576.2
1991-06-01,590.5
1991-07-01,592.7
1991-08-01,593.7
1991-09-01,596.3
1991-10-01,603.8
1991-11-01,619.2
1991-12-01,638.7
1992-01-01,641.7
1992-02-01,638.6
1992-03-01,651.6
1992-04-01,673.4
1992-05-01,660.3
1992-06-01,666.4
1992-07-01,673.4
1992-08-01,679.1
1992-09-01,689.9
1992-10-01,705.8
1992-11-01,723.9
1992-12-01,743.3
1993-01-01,738.9
1993-02-01,719.2
1993-03-01,725.2
1993-04-01,748.7
1993-05-01,744.9
1993-06-01,756.7
1993-07-01,764.2
1993-08-01,767.4
1993-09-01,776.3
1993-10-01,786.7
1993-11-01,802
1993-12-01,821.2
1994-01-01,810.5
1994-02-01,789.2
1994-03-01,793.1
1994-04-01,810.4
1994-05-01,787.2
1994-06-01,793.2
1994-07-01,797.2
1994-08-01,789.4
1994-09-01,790.6
1994-10-01,789.8
1994-11-01,794.5
1994-12-01,808.6
1995-01-01,795.3
1995-02-01,769.9
1995-03-01,769.3
1995-04-01,785.8
1995-05-01,756.9
1995-06-01,763.3
1995-07-01,766.9
1995-08-01,760.6
1995-09-01,759.7
1995-10-01,753.7
1995-11-01,758.1
1995-12-01,767.7
1996-01-01,749.6
1996-02-01,726.1
1996-03-01,734.8
1996-04-01,746.9
1996-05-01,719.4
1996-06-01,725.3
1996-07-01,717.6
1996-08-01,702.5
1996-09-01,695.8
1996-10-01,680.6
1996-11-01,685.8
1996-12-01,699.2
1997-01-01,683.7
1997-02-01,660.7
1997-03-01,659.6
1997-04-01,662.7
1997-05-01,639.9
1997-06-01,647.5
1997-07-01,645.4
1997-08-01,646.8
1997-09-01,636.5
1997-10-01,631.8
1997-11-01,643.5
1997-12-01,660.3
1998-01-01,645.6
1998-02-01,629
1998-03-01,636.1
1998-04-01,645.7
1998-05-01,626.3
1998-06-01,628.2
1998-07-01,622.6
1998-08-01,616.2
1998-09-01,613.6
1998-10-01,616.2
1998-11-01,632
1998-12-01,648.6
1999-01-01,633.1
1999-02-01,610.3
1999-03-01,617.7
1999-04-01,629.3
1999-05-01,608
1999-06-01,606.3
1999-07-01,600.8
1999-08-01,594.3
1999-09-01,584.8
1999-10-01,588.4
1999-11-01,599.2
1999-12-01,617.7
2000-01-01,594.9
2000-02-01,571.7
2000-03-01,583.5
2000-04-01,599
2000-05-01,572.8
2000-06-01,572.1
2000-07-01,570.8
2000-08-01,563.4
2000-09-01,557.3
2000-10-01,559.1
2000-11-01,555.7
2000-12-01,568
2001-01-01,559.6
2001-02-01,545.3
2001-03-01,563.5
2001-04-01,575.9
2001-05-01,560.7
2001-06-01,569.3
2001-07-01,576.7
2001-08-01,574.1
2001-09-01,619
2001-10-01,581.2
2001-11-01,585.4
2001-12-01,615.4
2002-01-01,598.8
2002-02-01,579.2
2002-03-01,592.9
2002-04-01,589.4
2002-05-01,572.9
2002-06-01,576.1
2002-07-01,576.6
2002-08-01,557.6
2002-09-01,561.6
2002-10-01,570.8
2002-11-01,574.8
2002-12-01,607.6
2003-01-01,589.2
2003-02-01,582.8
2003-03-01,597.7
2003-04-01,608.9
2003-05-01,612.7
2003-06-01,629.4
2003-07-01,631.6
2003-08-01,634.2
2003-09-01,628
2003-10-01,625.8
2003-11-01,626.5
2003-12-01,658.2
2004-01-01,631.7
2004-02-01,633.2
2004-03-01,662.9
2004-04-01,665.4
2004-05-01,652.1
2004-06-01,661.9
2004-07-01,645.2
2004-08-01,658.8
2004-09-01,653.6
2004-10-01,652.1
2004-11-01,666.1
2004-12-01,691.6
2005-01-01,656.8
2005-02-01,646.8
2005-03-01,671.6
2005-04-01,658
2005-05-01,656.8
2005-06-01,668.4
2005-07-01,646.4
2005-08-01,657.1
2005-09-01,641.8
2005-10-01,642.4
2005-11-01,645.9
2005-12-01,660.8
2006-01-01,640.8
2006-02-01,621.2
2006-03-01,650.8
2006-04-01,648
2006-05-01,643.2
2006-06-01,630.7
2006-07-01,620.3
2006-08-01,623.1
2006-09-01,600.8
2006-10-01,612.7
2006-11-01,615.6
2006-12-01,626.2
2007-01-01,613.7
2007-02-01,590
2007-03-01,618.8
2007-04-01,631.6
2007-05-01,622.8
2007-06-01,607.6
2007-07-01,603.6
2007-08-01,608.7
2007-09-01,593
2007-10-01,603.3
2007-11-01,601.8
2007-12-01,624.6
2008-01-01,614
2008-02-01,600.9
2008-03-01,632.9
2008-04-01,640.6
2008-05-01,626.3
2008-06-01,632.2
2008-07-01,636.7
2008-08-01,619.9
2008-09-01,658.8
2008-10-01,663.2
2008-11-01,701.8
2008-12-01,807.9
2009-01-01,749.1
2009-02-01,707.6
2009-03-01,742.8
2009-04-01,772.9
2009-05-01,761.3
2009-06-01,803.7
2009-07-01,797.4
2009-08-01,790.2
2009-09-01,778.7
2009-10-01,799.4
2009-11-01,816.7
2009-12-01,853.5
2010-01-01,808.5
2010-02-01,810.3
2010-03-01,848.8
2010-04-01,831.7
2010-05-01,820.7
2010-06-01,843.6
2010-07-01,826.2
2010-08-01,844.5
2010-09-01,841.5
2010-10-01,857.8
2010-11-01,910.1
2010-12-01,946
2011-01-01,933
2011-02-01,922.6
2011-03-01,962
2011-04-01,960.9
2011-05-01,969.6
2011-06-01,985
2011-07-01,1020
2011-08-01,1123.9
2011-09-01,1116.5
2011-10-01,1140.8
2011-11-01,1166.5
2011-12-01,1200.5
2012-01-01,1201.5
2012-02-01,1169.8
2012-03-01,1208
2012-04-01,1225.2
2012-05-01,1200.8
2012-06-01,1219
2012-07-01,1259.1
2012-08-01,1274.3
2012-09-01,1289.9
2012-10-01,1338.9
2012-11-01,1329.6
2012-12-01,1413.6
2013-01-01,1387.4
2013-02-01,1351.4
2013-03-01,1383.1
2013-04-01,1423.9
2013-05-01,1393.6
2013-06-01,1394.8
2013-07-01,1409.8
2013-08-01,1399.1
2013-09-01,1411.8
2013-10-01,1467.2
2013-11-01,1450.8
2013-12-01,1550.2
2014-01-01,1539.5
2014-02-01,1530.6
