"Date","ALLMON"
1967-01-01,481.6
1967-02-01,485.1
1967-03-01,489.7
1967-04-01,492.1
1967-05-01,497.2
1967-06-01,502
1967-07-01,506.3
1967-08-01,510.8
1967-09-01,514.7
1967-10-01,518.2
1967-11-01,521.2
1967-12-01,524.8
1968-01-01,527.4
1968-02-01,530.4
1968-03-01,533.2
1968-04-01,535.7
1968-05-01,538.9
1968-06-01,542.6
1968-07-01,545.6
1968-08-01,549.4
1968-09-01,553.6
1968-10-01,557.6
1968-11-01,562.4
1968-12-01,566.8
1969-01-01,569.3
1969-02-01,571.9
1969-03-01,574.4
1969-04-01,575.7
1969-05-01,576.5
1969-06-01,578.5
1969-07-01,579.5
1969-08-01,580.1
1969-09-01,582.1
1969-10-01,583.4
1969-11-01,585.4
1969-12-01,587.9
1970-01-01,589.6
1970-02-01,586.3
1970-03-01,587.3
1970-04-01,588.4
1970-05-01,591.5
1970-06-01,595.2
1970-07-01,599.1
1970-08-01,604.9
1970-09-01,611.2
1970-10-01,616.4
1970-11-01,621.1
1970-12-01,626.5
1971-01-01,632.9
1971-02-01,641
1971-03-01,649.9
1971-04-01,658.4
1971-05-01,666.7
1971-06-01,673
1971-07-01,679.6
1971-08-01,685.5
1971-09-01,692.5
1971-10-01,698.4
1971-11-01,704.6
1971-12-01,710.3
1972-01-01,717.7
1972-02-01,725.7
1972-03-01,733.5
1972-04-01,738.4
1972-05-01,743.3
1972-06-01,749.7
1972-07-01,759.5
1972-08-01,768.7
1972-09-01,778.3
1972-10-01,786.9
1972-11-01,793.9
1972-12-01,802.3
1973-01-01,810.3
1973-02-01,814.1
1973-03-01,815.3
1973-04-01,819.7
1973-05-01,826.8
1973-06-01,833.3
1973-07-01,836.5
1973-08-01,838.8
1973-09-01,839.3
1973-10-01,842.6
1973-11-01,848.9
1973-12-01,855.5
1974-01-01,859.7
1974-02-01,864.3
1974-03-01,870.2
1974-04-01,873
1974-05-01,874.7
1974-06-01,878
1974-07-01,881.5
1974-08-01,884.2
1974-09-01,888.2
1974-10-01,893.6
1974-11-01,898.9
1974-12-01,902.5
1975-01-01,906.6
