"Date","RESBRQTPF"
2013-07-01,69643
2013-08-01,71724
2013-09-01,73944
2013-10-01,73399
2013-11-01,77546
2013-12-01,75947
2014-01-01,83506
2014-02-01,85067
2014-03-01,86333
2014-04-01,88238
2014-05-01,91213
2014-06-01,89603
2014-07-01,93064
2014-08-01,95605
2014-09-01,90096
2014-10-01,93544
2014-11-01,95081
2014-12-01,91061
2015-01-01,99589
2015-02-01,98045
2015-03-01,100660
2015-04-01,101729
2015-05-01,101607
2015-06-01,96684
2015-07-01,101030
2015-08-01,105770
2015-09-01,101188
2015-10-01,98615
2015-11-01,98545
2015-12-01,98259
2016-01-01,106172
2016-02-01,99760
2016-03-01,102081
2016-04-01,106979
2016-05-01,111280
2016-06-01,109656
2016-07-01,112218
2016-08-01,113258
2016-09-01,118620
2016-10-01,116270
2016-11-01,118091
2016-12-01,116551
2017-01-01,121546
2017-02-01,119092
2017-03-01,119005
2017-04-01,124561
2017-05-01,127023
2017-06-01,130018
2017-07-01,132712
2017-08-01,132113
2017-09-01,134332
2017-10-01,128574
2017-11-01,135467
2017-12-01,136103
2018-01-01,139484
2018-02-01,136420
2018-03-01,132326
2018-04-01,139070
2018-05-01,140970
2018-06-01,138065
2018-07-01,138323
2018-08-01,135994
2018-09-01,139444
2018-10-01,136215
2018-11-01,139202
2018-12-01,136085
2019-01-01,144255
2019-02-01,137655
2019-03-01,141279
2019-04-01,143144
2019-05-01,148200
2019-06-01,148409
2019-07-01,148624
2019-08-01,148114
2019-09-01,148188
2019-10-01,148509
2019-11-01,154787
2019-12-01,152893
2020-01-01,159309
2020-02-01,152218
2020-03-01,124461
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
