"Date","M14168USM144SNBR"
1919-07-01,4484
1919-08-01,4594
1919-09-01,4737
1919-10-01,5077
1919-11-01,5245
1919-12-01,5323
1920-01-01,5569
1920-02-01,5662
1920-03-01,5775
1920-04-01,5833
1920-05-01,5881
1920-06-01,5977
1920-07-01,5990
1920-08-01,6103
1920-09-01,6151
1920-10-01,6173
1920-11-01,6217
1920-12-01,6288
1921-01-01,6407
1921-02-01,6390
1921-03-01,6420
1921-04-01,6443
1921-05-01,6434
1921-06-01,6425
1921-07-01,6362
1921-08-01,6413
1921-09-01,6413
1921-10-01,6526
1921-11-01,6544
1921-12-01,6545
1922-01-01,6512
1922-02-01,6699
1922-03-01,6782
1922-04-01,6901
1922-05-01,6960
1922-06-01,7222
1922-07-01,7446
1922-08-01,7607
1922-09-01,7559
1922-10-01,7680
1922-11-01,7688
1922-12-01,7860
1923-01-01,7827
1923-02-01,7908
1923-03-01,8216
1923-04-01,8218
1923-05-01,8278
1923-06-01,8327
1923-07-01,8297
1923-08-01,8374
1923-09-01,8408
1923-10-01,8463
1923-11-01,8504
1923-12-01,8572
1924-01-01,8545
1924-02-01,8733
1924-03-01,8813
1924-04-01,8929
1924-05-01,8954
1924-06-01,9055
1924-07-01,9170
1924-08-01,9268
1924-09-01,9426
1924-10-01,9575
1924-11-01,9640
1924-12-01,9707
1925-01-01,9788
1925-02-01,9907
1925-03-01,10040
1925-04-01,10071
1925-05-01,10204
1925-06-01,10285
1925-07-01,10310
1925-08-01,10384
1925-09-01,10478
1925-10-01,10533
1925-11-01,10584
1925-12-01,10616
1926-01-01,10739
1926-02-01,10798
1926-03-01,10831
1926-04-01,10950
1926-05-01,11070
1926-06-01,11153
1926-07-01,11184
1926-08-01,11266
1926-09-01,11280
1926-10-01,11346
1926-11-01,11363
1926-12-01,11330
1927-01-01,11517
1927-02-01,11814
1927-03-01,11796
1927-04-01,11896
1927-05-01,12018
1927-06-01,12111
1927-07-01,12189
1927-08-01,12241
1927-09-01,12341
1927-10-01,12378
1927-11-01,12661
1927-12-01,12624
1928-01-01,12838
1928-02-01,12897
1928-03-01,13146
1928-04-01,13238
1928-05-01,13363
1928-06-01,13370
1928-07-01,13278
1928-08-01,13295
1928-09-01,13177
1928-10-01,13294
1928-11-01,13232
1928-12-01,13293
1929-01-01,13213
1929-02-01,13179
1929-03-01,13110
1929-04-01,12996
1929-05-01,13029
1929-06-01,13043
1929-07-01,12944
1929-08-01,12962
1929-09-01,12970
1929-10-01,13028
1929-11-01,12799
1929-12-01,12791
1930-01-01,12969
1930-02-01,12869
1930-03-01,13164
1930-04-01,13044
1930-05-01,13189
1930-06-01,13346
1930-07-01,13321
1930-08-01,13468
1930-09-01,13523
1930-10-01,13603
1930-11-01,13343
1930-12-01,12873
